,SNX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.5147
2020-01-02,11.6138
2020-01-03,11.568
2020-01-04,11.568
2020-01-05,11.568
2020-01-06,11.3854
2020-01-07,11.4243
2020-01-08,11.3986
2020-01-09,11.5172
2020-01-10,12.5093
2020-01-11,12.5093
2020-01-12,12.5093
2020-01-13,12.7763
2020-01-14,12.6877
2020-01-15,12.7944
2020-01-16,12.7713
2020-01-17,12.5904
2020-01-18,12.5904
2020-01-19,12.5904
2020-01-20,12.5904
2020-01-21,12.5717
2020-01-22,12.5698
2020-01-23,12.4495
2020-01-24,12.3359
2020-01-25,12.3359
2020-01-26,12.3359
2020-01-27,12.0902
2020-01-28,12.1607
2020-01-29,12.1428
2020-01-30,12.2863
2020-01-31,12.139
2020-02-01,12.139
2020-02-02,12.139
2020-02-03,12.316
2020-02-04,12.3767
2020-02-05,12.39
2020-02-06,12.4361
2020-02-07,12.1801
2020-02-08,12.1801
2020-02-09,12.1801
2020-02-10,12.3091
2020-02-11,12.383
2020-02-12,12.5436
2020-02-13,12.5329
2020-02-14,12.4336
2020-02-15,12.4336
2020-02-16,12.4336
2020-02-17,12.4336
2020-02-18,12.3552
2020-02-19,12.5088
2020-02-20,12.6106
2020-02-21,12.3913
2020-02-22,12.3913
2020-02-23,12.3913
2020-02-24,12.0689
2020-02-25,11.8483
2020-02-26,11.89
2020-02-27,11.4291
2020-02-28,12.7495
2020-02-29,12.7495
2020-03-01,12.7495
2020-03-02,13.0671
2020-03-03,12.889
2020-03-04,13.2033
2020-03-05,12.8465
2020-03-06,12.5554
2020-03-07,12.5554
2020-03-08,12.5554
2020-03-09,11.5281
2020-03-10,11.6982
2020-03-11,11.1526
2020-03-12,10.1624
2020-03-13,10.5784
2020-03-14,10.5784
2020-03-15,10.5784
2020-03-16,9.6049
2020-03-17,9.4195
2020-03-18,8.8247
2020-03-19,9.2221
2020-03-20,9.4182
2020-03-21,9.4182
2020-03-22,9.4182
2020-03-23,9.3856
2020-03-24,9.8275
2020-03-25,9.3584
2020-03-26,9.6022
2020-03-27,9.2148
2020-03-28,9.2148
2020-03-29,9.2148
2020-03-30,9.3438
2020-03-31,9.2433
2020-04-01,9.146
2020-04-02,9.2019
2020-04-03,8.8839
2020-04-04,8.8839
2020-04-05,8.8839
2020-04-06,9.2104
2020-04-07,9.5033
2020-04-08,9.9163
2020-04-09,10.1197
2020-04-10,10.1197
2020-04-11,10.1197
2020-04-12,10.1197
2020-04-13,9.8877
2020-04-14,9.8438
2020-04-15,9.4594
2020-04-16,9.4508
2020-04-17,9.6449
2020-04-18,9.6449
2020-04-19,9.6449
2020-04-20,9.3809
2020-04-21,9.1103
2020-04-22,9.2227
2020-04-23,9.2945
2020-04-24,9.5086
