,PEG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,23.653
2020-01-02,23.5651
2020-01-03,23.5625
2020-01-04,23.5625
2020-01-05,23.5625
2020-01-06,23.415
2020-01-07,23.2779
2020-01-08,23.3711
2020-01-09,23.4901
2020-01-10,23.459
2020-01-11,23.459
2020-01-12,23.459
2020-01-13,23.4461
2020-01-14,23.4797
2020-01-15,23.6634
2020-01-16,23.6453
2020-01-17,23.6815
2020-01-18,23.6815
2020-01-19,23.6815
2020-01-20,23.6815
2020-01-21,23.7823
2020-01-22,23.9763
2020-01-23,24.3488
2020-01-24,24.3281
2020-01-25,24.3281
2020-01-26,24.3281
2020-01-27,24.0074
2020-01-28,23.8134
2020-01-29,23.9246
2020-01-30,23.8987
2020-01-31,23.6918
2020-02-01,23.6918
2020-02-02,23.6918
2020-02-03,23.7254
2020-02-04,23.6582
2020-02-05,23.7125
2020-02-06,23.4668
2020-02-07,23.3038
2020-02-08,23.3038
2020-02-09,23.3038
2020-02-10,23.2366
2020-02-11,23.3349
2020-02-12,23.4357
2020-02-13,23.4745
2020-02-14,23.5056
2020-02-15,23.5056
2020-02-16,23.5056
2020-02-17,23.5056
2020-02-18,23.6453
2020-02-19,23.6142
2020-02-20,23.6866
2020-02-21,23.8884
2020-02-22,23.8884
2020-02-23,23.8884
2020-02-24,23.6685
2020-02-25,23.2288
2020-02-26,22.7529
2020-02-27,22.0383
2020-02-28,21.6352
2020-02-29,21.6352
2020-03-01,21.6352
2020-03-02,22.2553
2020-03-03,22.0848
2020-03-04,22.741
2020-03-05,22.3276
2020-03-06,22.5188
2020-03-07,22.5188
2020-03-08,22.5188
2020-03-09,21.4931
2020-03-10,22.0563
2020-03-11,20.9738
2020-03-12,19.8991
2020-03-13,19.7828
2020-03-14,19.7828
2020-03-15,19.7828
2020-03-16,18.7855
2020-03-17,19.5089
2020-03-18,18.2637
2020-03-19,18.491
2020-03-20,18.15
2020-03-21,18.15
2020-03-22,18.15
2020-03-23,17.902
2020-03-24,18.9147
2020-03-25,18.9431
2020-03-26,19.7492
2020-03-27,19.8706
2020-03-28,19.8706
2020-03-29,19.8706
2020-03-30,19.8784
2020-03-31,19.9177
2020-04-01,19.3697
