,EVR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,7.0812
2020-01-02,7.1647
2020-01-03,6.9612
2020-01-04,6.9612
2020-01-05,6.9612
2020-01-06,7.0012
2020-01-07,6.9612
2020-01-08,7.1308
2020-01-09,7.1117
2020-01-10,7.0717
2020-01-11,7.0717
2020-01-12,7.0717
2020-01-13,7.0569
2020-01-14,7.1186
2020-01-15,7.1169
2020-01-16,7.2969
2020-01-17,7.2934
2020-01-18,7.2934
2020-01-19,7.2934
2020-01-20,7.2934
2020-01-21,7.2995
2020-01-22,7.3369
2020-01-23,7.2004
2020-01-24,7.0699
2020-01-25,7.0699
2020-01-26,7.0699
2020-01-27,6.9221
2020-01-28,6.9708
2020-01-29,7.6091
2020-01-30,7.4812
2020-01-31,7.243
2020-02-01,7.243
2020-02-02,7.243
2020-02-03,7.2186
2020-02-04,7.2864
2020-02-05,7.5004
2020-02-06,7.6795
2020-02-07,7.5621
2020-02-08,7.5621
2020-02-09,7.5621
2020-02-10,7.6299
2020-02-11,7.6664
2020-02-12,7.7334
2020-02-13,7.6004
2020-02-14,7.5769
2020-02-15,7.5769
2020-02-16,7.5769
2020-02-17,7.5769
2020-02-18,7.5717
2020-02-19,7.6778
2020-02-20,7.6786
2020-02-21,7.4621
2020-02-22,7.4621
2020-02-23,7.4621
2020-02-24,7.2534
2020-02-25,7.0047
2020-02-26,6.9818
2020-02-27,6.7946
2020-02-28,6.6039
2020-02-29,6.6039
2020-03-01,6.6039
2020-03-02,6.7332
2020-03-03,6.4709
2020-03-04,6.6319
2020-03-05,6.206
2020-03-06,6.1563
2020-03-07,6.1563
2020-03-08,6.1563
2020-03-09,5.4013
2020-03-10,5.5848
2020-03-11,5.2593
2020-03-12,4.5369
2020-03-13,5.0469
2020-03-14,5.0469
2020-03-15,5.0469
2020-03-16,4.3597
2020-03-17,4.394
2020-03-18,3.8154
2020-03-19,4.149
2020-03-20,3.8126
2020-03-21,3.8126
2020-03-22,3.8126
2020-03-23,3.8334
2020-03-24,4.5396
2020-03-25,4.574
2020-03-26,4.7919
2020-03-27,4.7855
2020-03-28,4.7855
2020-03-29,4.7855
2020-03-30,4.8018
2020-03-31,5.3647
2020-04-01,5.3216
2020-04-02,5.4734
2020-04-03,5.4871
2020-04-04,5.4871
2020-04-05,5.4871
2020-04-06,5.678
2020-04-07,6.0404
2020-04-08,6.3166
2020-04-09,6.3361
2020-04-10,6.3361
2020-04-11,6.3361
2020-04-12,6.3361
2020-04-13,6.1971
2020-04-14,6.0424
2020-04-15,5.8612
2020-04-16,5.8445
2020-04-17,6.2558
2020-04-18,6.2558
2020-04-19,6.2558
2020-04-20,6.0649
2020-04-21,5.8749
2020-04-22,5.5791
2020-04-23,5.7104
2020-04-24,6.1662
2020-04-25,6.1662
2020-04-26,6.1662
2020-04-27,6.5255
2020-04-28,6.5947
2020-04-29,6.8558
2020-04-30,6.6114
2020-05-01,6.4251
2020-05-02,6.4251
2020-05-03,6.4251
2020-05-04,6.3771
2020-05-05,5.5893
2020-05-06,5.5278
2020-05-07,5.772
2020-05-08,5.984
2020-05-09,5.984
2020-05-10,5.984
2020-05-11,5.8902
2020-05-12,5.7759
2020-05-13,5.5239
