,DVA US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,11.887
2020-01-02,11.9029
2020-01-03,11.8906
2020-01-04,11.8906
2020-01-05,11.8906
2020-01-06,11.9246
2020-01-07,11.8928
2020-01-08,11.9232
2020-01-09,11.9268
2020-01-10,11.9536
2020-01-11,11.9536
2020-01-12,11.9536
2020-01-13,12.0238
2020-01-14,12.0838
2020-01-15,12.1056
2020-01-16,12.1736
2020-01-17,12.2083
2020-01-18,12.2083
2020-01-19,12.2083
2020-01-20,12.2083
2020-01-21,12.2395
2020-01-22,12.2865
2020-01-23,12.2829
2020-01-24,12.4776
2020-01-25,12.4776
2020-01-26,12.4776
2020-01-27,12.3936
2020-01-28,12.4566
2020-01-29,12.4696
2020-01-30,12.4392
2020-01-31,12.2373
2020-02-01,12.2373
2020-02-02,12.2373
2020-02-03,12.1902
2020-02-04,12.2952
2020-02-05,12.4038
2020-02-06,12.4689
2020-02-07,12.3437
2020-02-08,12.3437
2020-02-09,12.3437
2020-02-10,12.4457
2020-02-11,12.7485
2020-02-12,12.6418
2020-02-13,12.5878
2020-02-14,12.5693
2020-02-15,12.5693
2020-02-16,12.5693
2020-02-17,12.5693
2020-02-18,12.5281
2020-02-19,12.5345
2020-02-20,12.4747
2020-02-21,12.4234
2020-02-22,12.4234
2020-02-23,12.4234
2020-02-24,12.3361
2020-02-25,12.2077
2020-02-26,12.207
2020-02-27,12.0785
2020-02-28,11.9643
2020-02-29,11.9643
2020-03-01,11.9643
2020-03-02,12.2914
2020-03-03,11.96
2020-03-04,12.3248
2020-03-05,12.2119
2020-03-06,12.2637
2020-03-07,12.2637
2020-03-08,12.2637
2020-03-09,11.9345
2020-03-10,11.9714
2020-03-11,11.7692
2020-03-12,11.2994
2020-03-13,11.8458
2020-03-14,11.8458
2020-03-15,11.8458
2020-03-16,11.5471
2020-03-17,11.7876
2020-03-18,11.7961
2020-03-19,11.5187
2020-03-20,11.0681
2020-03-21,11.0681
2020-03-22,11.0681
2020-03-23,11.1213
2020-03-24,11.3278
2020-03-25,11.4378
2020-03-26,11.689
2020-03-27,11.6428
2020-03-28,11.6428
2020-03-29,11.6428
2020-03-30,11.8784
2020-03-31,11.2203
2020-04-01,10.9909
2020-04-02,10.8384
2020-04-03,10.5215
2020-04-04,10.5215
2020-04-05,10.5215
2020-04-06,10.8855
2020-04-07,10.9505
2020-04-08,11.28
2020-04-09,11.1381
2020-04-10,11.1381
2020-04-11,11.1381
2020-04-12,11.1381
2020-04-13,11.0566
2020-04-14,11.2707
2020-04-15,11.2336
2020-04-16,11.2595
2020-04-17,11.3596
2020-04-18,11.3596
2020-04-19,11.3596
2020-04-20,11.3172
2020-04-21,10.9863
2020-04-22,10.9783
2020-04-23,11.0407
2020-04-24,11.0838
2020-04-25,11.0838
2020-04-26,11.0838
2020-04-27,11.2538
2020-04-28,11.232
2020-04-29,11.4236
2020-04-30,11.2577
2020-05-01,11.0969
2020-05-02,11.0969
2020-05-03,11.0969
2020-05-04,11.0076
2020-05-05,11.2484
2020-05-06,11.4722
2020-05-07,11.3314
2020-05-08,11.37
2020-05-09,11.37
2020-05-10,11.37
2020-05-11,11.3938
2020-05-12,11.251
2020-05-13,11.2562
2020-05-14,11.2015
2020-05-15,11.2729
2020-05-16,11.2729
2020-05-17,11.2729
2020-05-18,11.3668
2020-05-19,11.3346
2020-05-20,11.3192
2020-05-21,11.2394
2020-05-22,11.116
2020-05-23,11.116
2020-05-24,11.116
2020-05-25,11.116
2020-05-26,11.1938
2020-05-27,11.2382
2020-05-28,11.287
2020-05-29,11.3828
2020-05-30,11.3828
2020-05-31,11.3828
2020-06-01,11.343
2020-06-02,11.3764
2020-06-03,11.3031
2020-06-04,11.4748
2020-06-05,11.8535
2020-06-06,11.8535
2020-06-07,11.8535
2020-06-08,11.7712
2020-06-09,11.6105
2020-06-10,11.5076
2020-06-11,11.3179
2020-06-12,11.2086
2020-06-13,11.2086
2020-06-14,11.2086
2020-06-15,11.2266
2020-06-16,11.2549
2020-06-17,11.2079
2020-06-18,11.2009
2020-06-19,11.2922
2020-06-20,11.2922
2020-06-21,11.2922
2020-06-22,11.2536
2020-06-23,11.2697
2020-06-24,11.1398
2020-06-25,11.1604
2020-06-26,11.0356
2020-06-27,11.0356
2020-06-28,11.0356
2020-06-29,11.1417
2020-06-30,12.1484
2020-07-01,12.2548
2020-07-02,12.2839
2020-07-03,12.2839
2020-07-04,12.2839
2020-07-05,12.2839
2020-07-06,12.296
2020-07-07,12.3506
2020-07-08,12.345
2020-07-09,12.191
2020-07-10,12.2939
2020-07-11,12.2939
2020-07-12,12.2939
2020-07-13,12.1789
2020-07-14,12.3478
2020-07-15,12.5316
2020-07-16,12.5508
2020-07-17,12.5721
2020-07-18,12.5721
2020-07-19,12.5721
2020-07-20,12.6004
2020-07-21,12.6352
2020-07-22,12.7147
2020-07-23,12.7545
2020-07-24,12.7296
2020-07-25,12.7296
2020-07-26,12.7296
2020-07-27,12.8119
2020-07-28,12.7765
2020-07-29,13.0114
2020-07-30,13.0092
2020-07-31,12.7441
2020-08-01,12.7441
2020-08-02,12.7441
2020-08-03,12.7313
2020-08-04,12.4725
2020-08-05,12.4263
2020-08-06,12.3815
2020-08-07,12.3872
2020-08-08,12.3872
2020-08-09,12.3872
2020-08-10,12.4036
2020-08-11,12.3417
2020-08-12,12.3936
2020-08-13,12.3374
2020-08-14,12.373
2020-08-15,12.373
2020-08-16,12.373
2020-08-17,12.6637
2020-08-18,12.6836
2020-08-19,12.6602
2020-08-20,12.6964
2020-08-21,12.7021
2020-08-22,12.7021
2020-08-23,12.7021
2020-08-24,12.7569
2020-08-25,12.7668
2020-08-26,12.7533
2020-08-27,12.7128
2020-08-28,12.7121
2020-08-29,12.7121
2020-08-30,12.7121
2020-08-31,12.6993
2020-09-01,12.7405
2020-09-02,12.8898
2020-09-03,12.7512
2020-09-04,12.7206
2020-09-05,12.7206
2020-09-06,12.7206
2020-09-07,12.7206
2020-09-08,12.5742
2020-09-09,12.7853
2020-09-10,12.7583
2020-09-11,12.791
