,AGCO US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,19.6927
2020-01-02,19.8986
2020-01-03,19.6694
2020-01-04,19.6694
2020-01-05,19.6694
2020-01-06,19.5081
2020-01-07,19.3574
2020-01-08,19.3871
2020-01-09,19.3871
2020-01-10,18.9584
2020-01-11,18.9584
2020-01-12,18.9584
2020-01-13,19.1112
2020-01-14,19.1175
2020-01-15,19.0135
2020-01-16,19.194
2020-01-17,19.1642
2020-01-18,19.1642
2020-01-19,19.1642
2020-01-20,19.1642
2020-01-21,18.8119
2020-01-22,18.7355
2020-01-23,18.6952
2020-01-24,18.5381
2020-01-25,18.5381
2020-01-26,18.5381
2020-01-27,17.965
2020-01-28,18.1964
2020-01-29,18.2367
2020-01-30,18.3853
2020-01-31,18.1837
2020-02-01,18.1837
2020-02-02,18.1837
2020-02-03,18.4129
2020-02-04,18.7206
2020-02-05,18.8374
2020-02-06,17.9608
2020-02-07,17.4854
2020-02-08,17.4854
2020-02-09,17.4854
2020-02-10,17.4705
2020-02-11,17.5894
2020-02-12,17.9183
2020-02-13,17.4641
2020-02-14,17.4663
2020-02-15,17.4663
2020-02-16,17.4663
2020-02-17,17.4663
2020-02-18,17.4344
2020-02-19,17.3835
2020-02-20,17.617
2020-02-21,17.8526
2020-02-22,17.8526
2020-02-23,17.8526
2020-02-24,17.6254
2020-02-25,16.9229
2020-02-26,16.5154
2020-02-27,16.3244
2020-02-28,16.1131
2020-02-29,16.1131
2020-03-01,16.1131
2020-03-02,16.7854
2020-03-03,16.2403
2020-03-04,16.6157
2020-03-05,16.2276
2020-03-06,16.3209
2020-03-07,16.3209
2020-03-08,16.3209
2020-03-09,15.3814
2020-03-10,15.9285
2020-03-11,15.2202
2020-03-12,13.9646
2020-03-13,15.0314
2020-03-14,15.0314
2020-03-15,15.0314
2020-03-16,13.4704
2020-03-17,12.9508
2020-03-18,11.1375
2020-03-19,12.7069
2020-03-20,11.8437
2020-03-21,11.8437
2020-03-22,11.8437
2020-03-23,11.6698
2020-03-24,12.393
2020-03-25,12.7303
2020-03-26,13.3538
2020-03-27,13.095
2020-03-28,13.095
2020-03-29,13.095
2020-03-30,13.3262
2020-03-31,14.4243
2020-04-01,13.8938
2020-04-02,13.8876
2020-04-03,13.6502
2020-04-04,13.6502
2020-04-05,13.6502
2020-04-06,14.5151
2020-04-07,14.8145
2020-04-08,15.2087
2020-04-09,15.4255
2020-04-10,15.4255
2020-04-11,15.4255
2020-04-12,15.4255
2020-04-13,15.1819
2020-04-14,14.9631
2020-04-15,14.5317
2020-04-16,13.9433
2020-04-17,14.8867
2020-04-18,14.8867
2020-04-19,14.8867
2020-04-20,14.8186
2020-04-21,14.5151
2020-04-22,14.6473
2020-04-23,14.769
2020-04-24,14.9404
2020-04-25,14.9404
2020-04-26,14.9404
2020-04-27,15.1447
2020-04-28,15.3367
2020-04-29,15.8053
2020-04-30,15.5782
2020-05-01,15.0518
2020-05-02,15.0518
2020-05-03,15.0518
2020-05-04,14.9177
2020-05-05,14.7938
2020-05-06,14.6823
2020-05-07,14.8785
2020-05-08,15.199
2020-05-09,15.199
2020-05-10,15.199
2020-05-11,15.0446
2020-05-12,14.4825
2020-05-13,14.0542
2020-05-14,14.0768
2020-05-15,14.0871
2020-05-16,14.0871
2020-05-17,14.0871
2020-05-18,14.8202
2020-05-19,14.6451
2020-05-20,15.1908
2020-05-21,15.1929
2020-05-22,15.3452
2020-05-23,15.3452
2020-05-24,15.3452
2020-05-25,15.3452
2020-05-26,16.416
2020-05-27,16.6404
2020-05-28,16.554
2020-05-29,16.0433
2020-05-30,16.0433
2020-05-31,16.0433
2020-06-01,16.3213
2020-06-02,16.4201
2020-06-03,16.9164
2020-06-04,17.2396
2020-06-05,17.6453
2020-06-06,17.6453
2020-06-07,17.6453
2020-06-08,17.7709
2020-06-09,17.3529
2020-06-10,16.731
2020-06-11,15.8765
2020-06-12,16.0433
2020-06-13,16.0433
2020-06-14,16.0433
2020-06-15,16.1298
2020-06-16,16.2616
2020-06-17,15.9259
2020-06-18,15.825
2020-06-19,15.8394
2020-06-20,15.8394
2020-06-21,15.8394
2020-06-22,15.8353
2020-06-23,15.9177
2020-06-24,15.6109
2020-06-25,15.7983
2020-06-26,15.5223
2020-06-27,15.5223
2020-06-28,15.5223
2020-06-29,15.893
2020-06-30,22.3955
2020-07-01,21.953
2020-07-02,22.1565
2020-07-03,22.1565
2020-07-04,22.1565
2020-07-05,22.1565
2020-07-06,22.6993
2020-07-07,22.3158
2020-07-08,22.0739
2020-07-09,21.7937
2020-07-10,22.071
2020-07-11,22.071
2020-07-12,22.071
2020-07-13,22.9972
2020-07-14,23.8999
