,LYB US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.7222
2020-01-02,10.672
2020-01-03,10.4849
2020-01-04,10.4849
2020-01-05,10.4849
2020-01-06,10.4654
2020-01-07,10.4338
2020-01-08,10.4031
2020-01-09,10.4055
2020-01-10,10.3132
2020-01-11,10.3132
2020-01-12,10.3132
2020-01-13,10.4565
2020-01-14,10.5157
2020-01-15,10.4557
2020-01-16,10.4816
2020-01-17,10.5213
2020-01-18,10.5213
2020-01-19,10.5213
2020-01-20,10.5213
2020-01-21,10.3099
2020-01-22,10.0872
2020-01-23,10.0547
2020-01-24,9.9503
2020-01-25,9.9503
2020-01-26,9.9503
2020-01-27,9.7202
2020-01-28,9.7866
2020-01-29,9.8612
2020-01-30,9.8287
2020-01-31,9.3759
2020-02-01,9.3759
2020-02-02,9.3759
2020-02-03,9.4537
2020-02-04,9.6886
2020-02-05,9.8798
2020-02-06,9.8231
2020-02-07,9.7194
2020-02-08,9.7194
2020-02-09,9.7194
2020-02-10,9.7056
2020-02-11,9.8709
2020-02-12,10.0037
2020-02-13,9.832
2020-02-14,9.7599
2020-02-15,9.7599
2020-02-16,9.7599
2020-02-17,9.7599
2020-02-18,9.6562
2020-02-19,9.7072
2020-02-20,9.8236
2020-02-21,9.7879
2020-02-22,9.7879
2020-02-23,9.7879
2020-02-24,9.5237
2020-02-25,9.1801
2020-02-26,9.0975
2020-02-27,8.8146
2020-02-28,8.86
2020-02-29,8.86
2020-03-01,8.86
2020-03-02,9.108
2020-03-03,8.9232
2020-03-04,9.1655
2020-03-05,9.0586
2020-03-06,8.903
2020-03-07,8.903
2020-03-08,8.903
2020-03-09,7.8997
2020-03-10,7.9102
2020-03-11,7.4451
2020-03-12,6.8024
2020-03-13,6.8648
2020-03-14,6.8648
2020-03-15,6.8648
2020-03-16,5.8972
2020-03-17,6.4499
2020-03-18,6.3567
2020-03-19,6.5723
2020-03-20,6.4726
2020-03-21,6.4726
2020-03-22,6.4726
2020-03-23,6.3503
2020-03-24,6.7392
2020-03-25,7.2911
2020-03-26,7.4394
2020-03-27,7.0723
2020-03-28,7.0723
2020-03-29,7.0723
2020-03-30,7.0869
2020-03-31,8.7397
2020-04-01,8.2889
2020-04-02,8.3761
2020-04-03,8.3937
2020-04-04,8.3937
2020-04-05,8.3937
2020-04-06,8.7642
2020-04-07,8.9377
2020-04-08,9.3122
2020-04-09,9.6513
2020-04-10,9.6513
2020-04-11,9.6513
2020-04-12,9.6513
2020-04-13,9.5641
2020-04-14,9.6229
2020-04-15,9.0416
2020-04-16,8.723
2020-04-17,8.9916
2020-04-18,8.9916
2020-04-19,8.9916
2020-04-20,8.6211
2020-04-21,8.4465
2020-04-22,8.5916
2020-04-23,8.7152
2020-04-24,8.7818
2020-04-25,8.7818
2020-04-26,8.7818
2020-04-27,9.0132
2020-04-28,9.3328
2020-04-29,9.7504
2020-04-30,9.5563
2020-05-01,9.2842
2020-05-02,9.2842
2020-05-03,9.2842
2020-05-04,9.2048
2020-05-05,9.2538
2020-05-06,8.9851
2020-05-07,9.144
2020-05-08,9.4107
2020-05-09,9.4107
2020-05-10,9.4107
2020-05-11,9.3725
2020-05-12,9.3529
2020-05-13,9.0322
2020-05-14,9.1009
2020-05-15,9.1313
2020-05-16,9.1313
2020-05-17,9.1313
2020-05-18,9.6971
2020-05-19,9.5696
2020-05-20,9.7971
2020-05-21,9.7843
2020-05-22,9.8
2020-05-23,9.8
2020-05-24,9.8
2020-05-25,9.8
2020-05-26,10.5159
2020-05-27,10.4757
2020-05-28,10.1903
2020-05-29,10.1276
2020-05-30,10.1276
2020-05-31,10.1276
2020-06-01,10.2825
2020-06-02,10.5816
2020-06-03,10.7885
2020-06-04,11.1268
2020-06-05,11.217
2020-06-06,11.217
2020-06-07,11.217
2020-06-08,11.3661
2020-06-09,11.3279
2020-06-10,11.0896
2020-06-11,10.1413
2020-06-12,10.407
2020-06-13,10.407
2020-06-14,10.407
2020-06-15,10.4727
2020-06-16,10.6473
2020-06-17,10.4286
2020-06-18,10.4394
2020-06-19,10.4002
2020-06-20,10.4002
2020-06-21,10.4002
2020-06-22,10.4169
2020-06-23,10.3462
2020-06-24,9.8216
2020-06-25,10.1511
2020-06-26,10.0893
2020-06-27,10.0893
2020-06-28,10.0893
2020-06-29,10.2443
2020-06-30,13.3954
2020-07-01,13.3811
2020-07-02,13.5567
2020-07-03,13.5567
2020-07-04,13.5567
2020-07-05,13.5567
2020-07-06,13.7245
2020-07-07,13.6257
2020-07-08,13.4123
2020-07-09,13.0558
2020-07-10,13.3069
2020-07-11,13.3069
2020-07-12,13.3069
2020-07-13,13.346
2020-07-14,13.5567
2020-07-15,13.8065
2020-07-16,13.8039
2020-07-17,13.7571
2020-07-18,13.7571
2020-07-19,13.7571
2020-07-20,13.5359
2020-07-21,13.7011
2020-07-22,13.7402
2020-07-23,13.8078
2020-07-24,13.7571
2020-07-25,13.7571
2020-07-26,13.7571
2020-07-27,13.9223
2020-07-28,13.6374
2020-07-29,13.6894
2020-07-30,13.3394
2020-07-31,12.9823
2020-08-01,12.9823
2020-08-02,12.9823
2020-08-03,12.9316
2020-08-04,13.2804
2020-08-05,13.4131
2020-08-06,13.3624
2020-08-07,13.525
