,CG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.0294
2020-01-02,9.7221
2020-01-03,9.5718
2020-01-04,9.5718
2020-01-05,9.5718
2020-01-06,9.5718
2020-01-07,9.5455
2020-01-08,9.5797
2020-01-09,9.6562
2020-01-10,9.5956
2020-01-11,9.5956
2020-01-12,9.5956
2020-01-13,9.6219
2020-01-14,9.5665
2020-01-15,9.7169
2020-01-16,9.9648
2020-01-17,10.0544
2020-01-18,10.0544
2020-01-19,10.0544
2020-01-20,10.0544
2020-01-21,10.0887
2020-01-22,10.3181
2020-01-23,10.363
2020-01-24,10.1705
2020-01-25,10.1705
2020-01-26,10.1705
2020-01-27,9.9569
2020-01-28,10.0228
2020-01-29,10.1599
2020-01-30,9.8883
2020-01-31,9.8435
2020-02-01,9.8435
2020-02-02,9.8435
2020-02-03,9.7696
2020-02-04,10.1124
2020-02-05,9.8909
2020-02-06,9.8355
2020-02-07,9.9463
2020-02-08,9.9463
2020-02-09,9.9463
2020-02-10,10.0887
2020-02-11,10.1388
2020-02-12,10.1899
2020-02-13,9.9915
2020-02-14,9.7773
2020-02-15,9.7773
2020-02-16,9.7773
2020-02-17,9.7773
2020-02-18,9.7429
2020-02-19,9.6768
2020-02-20,9.5736
2020-02-21,9.5498
2020-02-22,9.5498
2020-02-23,9.5498
2020-02-24,9.4545
2020-02-25,9.0234
2020-02-26,9.1662
2020-02-27,8.9149
2020-02-28,8.8064
2020-02-29,8.8064
2020-03-01,8.8064
2020-03-02,9.354
2020-03-03,9.0101
2020-03-04,8.944
2020-03-05,8.8488
2020-03-06,8.2536
2020-03-07,8.2536
2020-03-08,8.2536
2020-03-09,7.4229
2020-03-10,7.4917
2020-03-11,7.1902
2020-03-12,6.7696
2020-03-13,7.5288
2020-03-14,7.5288
2020-03-15,7.5288
2020-03-16,6.2035
2020-03-17,6.1267
2020-03-18,5.7961
2020-03-19,6.5632
2020-03-20,6.4071
2020-03-21,6.4071
2020-03-22,6.4071
2020-03-23,6.095
2020-03-24,6.5764
2020-03-25,7.214
2020-03-26,7.5552
2020-03-27,7.2933
2020-03-28,7.2933
2020-03-29,7.2933
2020-03-30,7.2338
2020-03-31,148.9466
2020-04-01,137.7986
2020-04-02,140.5569
2020-04-03,138.833
2020-04-04,138.833
2020-04-05,138.833
2020-04-06,149.9234
2020-04-07,152.222
2020-04-08,156.5317
2020-04-09,162.7953
2020-04-10,162.7953
2020-04-11,162.7953
2020-04-12,162.7953
2020-04-13,155.6123
2020-04-14,162.508
2020-04-15,154.8653
2020-04-16,154.8653
2020-04-17,156.4168
2020-04-18,156.4168
2020-04-19,156.4168
2020-04-20,150.2108
2020-04-21,145.2114
2020-04-22,149.1764
2020-04-23,152.1071
2020-04-24,154.2907
2020-04-25,154.2907
2020-04-26,154.2907
2020-04-27,164.9789
2020-04-28,167.105
2020-04-29,173.7134
2020-04-30,159.2826
2020-05-01,152.0395
2020-05-02,152.0395
2020-05-03,152.0395
2020-05-04,150.8898
2020-05-05,157.8455
2020-05-06,157.0982
2020-05-07,161.9269
2020-05-08,165.6634
2020-05-09,165.6634
2020-05-10,165.6634
2020-05-11,165.8359
2020-05-12,164.5137
2020-05-13,159.6275
2020-05-14,160.9497
2020-05-15,159.5125
2020-05-16,159.5125
2020-05-17,159.5125
2020-05-18,168.4802
2020-05-19,168.0203
2020-05-20,173.5964
2020-05-21,176.873
2020-05-22,178.7125
2020-05-23,178.7125
2020-05-24,178.7125
2020-05-25,178.7125
2020-05-26,184.6335
2020-05-27,186.0131
2020-05-28,185.3233
2020-05-29,183.5412
2020-05-30,183.5412
2020-05-31,183.5412
2020-06-01,186.1856
2020-06-02,190.6694
2020-06-03,197.3951
2020-06-04,195.5556
2020-06-05,195.0382
2020-06-06,195.0382
2020-06-07,195.0382
2020-06-08,200.9592
2020-06-09,196.7053
2020-06-10,196.7628
2020-06-11,185.7257
2020-06-12,193.4287
2020-06-13,193.4287
2020-06-14,193.4287
2020-06-15,201.4191
2020-06-16,200.2119
2020-06-17,201.5915
2020-06-18,202.3963
2020-06-19,196.1304
2020-06-20,196.1304
2020-06-21,196.1304
2020-06-22,191.7041
2020-06-23,193.1987
2020-06-24,187.7376
2020-06-25,187.7376
2020-06-26,176.7005
2020-06-27,176.7005
2020-06-28,176.7005
2020-06-29,181.4143
2020-06-30,181.4143
2020-07-01,181.4143
2020-07-02,181.4143
2020-07-03,181.4143
2020-07-04,181.4143
2020-07-05,181.4143
2020-07-06,181.4143
2020-07-07,181.4143
2020-07-08,181.4143
2020-07-09,181.4143
2020-07-10,181.4143
2020-07-11,181.4143
2020-07-12,181.4143
2020-07-13,181.4143
2020-07-14,181.4143
2020-07-15,181.4143
2020-07-16,181.4143
2020-07-17,181.4143
2020-07-18,181.4143
2020-07-19,181.4143
2020-07-20,181.4143
2020-07-21,181.4143
2020-07-22,181.4143
2020-07-23,181.4143
2020-07-24,181.4143
2020-07-25,181.4143
2020-07-26,181.4143
2020-07-27,181.4143
2020-07-28,181.4143
2020-07-29,181.4143
2020-07-30,181.4143
2020-07-31,181.4143
2020-08-01,181.4143
2020-08-02,181.4143
2020-08-03,181.4143
2020-08-04,181.4143
2020-08-05,181.4143
2020-08-06,181.4143
2020-08-07,181.4143
2020-08-08,181.4143
2020-08-09,181.4143
2020-08-10,181.4143
2020-08-11,181.4143
2020-08-12,181.4143
2020-08-13,181.4143
2020-08-14,181.4143
2020-08-15,181.4143
2020-08-16,181.4143
2020-08-17,181.4143
2020-08-18,181.4143
2020-08-19,181.4143
2020-08-20,181.4143
2020-08-21,181.4143
2020-08-22,181.4143
2020-08-23,181.4143
2020-08-24,181.4143
2020-08-25,181.4143
2020-08-26,181.4143
2020-08-27,181.4143
2020-08-28,181.4143
2020-08-29,181.4143
2020-08-30,181.4143
2020-08-31,181.4143
2020-09-01,181.4143
2020-09-02,181.4143
2020-09-03,181.4143
2020-09-04,181.4143
2020-09-05,181.4143
2020-09-06,181.4143
2020-09-07,181.4143
2020-09-08,181.4143
2020-09-09,181.4143
2020-09-10,181.4143
2020-09-11,181.4143
2020-09-12,181.4143
2020-09-13,181.4143
2020-09-14,181.4143
2020-09-15,181.4143
2020-09-16,181.4143
2020-09-17,181.4143
2020-09-18,181.4143
2020-09-19,181.4143
2020-09-20,181.4143
2020-09-21,181.4143
2020-09-22,181.4143
2020-09-23,181.4143
2020-09-24,181.4143
2020-09-25,181.4143
2020-09-26,181.4143
2020-09-27,181.4143
2020-09-28,181.4143
2020-09-29,181.4143
2020-09-30,181.4143
2020-10-01,181.4143
2020-10-02,181.4143
2020-10-03,181.4143
2020-10-04,181.4143
2020-10-05,181.4143
2020-10-06,181.4143
2020-10-07,181.4143
2020-10-08,181.4143
2020-10-09,181.4143
2020-10-10,181.4143
2020-10-11,181.4143
2020-10-12,181.4143
2020-10-13,181.4143
2020-10-14,181.4143
2020-10-15,181.4143
2020-10-16,181.4143
2020-10-17,181.4143
2020-10-18,181.4143
2020-10-19,181.4143
2020-10-20,181.4143
2020-10-21,181.4143
2020-10-22,181.4143
2020-10-23,181.4143
2020-10-24,181.4143
2020-10-25,181.4143
2020-10-26,181.4143
2020-10-27,181.4143
2020-10-28,181.4143
2020-10-29,181.4143
2020-10-30,181.4143
2020-10-31,181.4143
2020-11-01,181.4143
2020-11-02,181.4143
2020-11-03,181.4143
2020-11-04,181.4143
2020-11-05,181.4143
2020-11-06,181.4143
2020-11-07,181.4143
2020-11-08,181.4143
2020-11-09,181.4143
2020-11-10,181.4143
2020-11-11,181.4143
2020-11-12,181.4143
2020-11-13,181.4143
2020-11-14,181.4143
2020-11-15,181.4143
2020-11-16,181.4143
2020-11-17,181.4143
2020-11-18,181.4143
2020-11-19,181.4143
2020-11-20,181.4143
2020-11-21,181.4143
2020-11-22,181.4143
2020-11-23,181.4143
2020-11-24,181.4143
2020-11-25,181.4143
2020-11-26,181.4143
2020-11-27,181.4143
2020-11-28,181.4143
2020-11-29,181.4143
2020-11-30,181.4143
2020-12-01,181.4143
2020-12-02,181.4143
2020-12-03,181.4143
2020-12-04,181.4143
2020-12-05,181.4143
2020-12-06,181.4143
2020-12-07,181.4143
2020-12-08,181.4143
2020-12-09,181.4143
2020-12-10,181.4143
2020-12-11,181.4143
2020-12-12,181.4143
2020-12-13,181.4143
2020-12-14,181.4143
2020-12-15,181.4143
2020-12-16,181.4143
2020-12-17,181.4143
2020-12-18,181.4143
2020-12-19,181.4143
2020-12-20,181.4143
2020-12-21,181.4143
2020-12-22,181.4143
2020-12-23,181.4143
2020-12-24,181.4143
2020-12-25,181.4143
2020-12-26,181.4143
2020-12-27,181.4143
2020-12-28,181.4143
2020-12-29,181.4143
2020-12-30,181.4143
2020-12-31,19.1205
2021-01-01,19.1205
2021-01-02,19.1205
2021-01-03,19.1205
2021-01-04,18.9449
2021-01-05,19.1205
2021-01-06,18.9024
2021-01-07,19.1364
2021-01-08,19.5035
2021-01-09,19.5035
2021-01-10,19.5035
2021-01-11,19.743
