,TDS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,29.2284
2020-01-02,29.1521
2020-01-03,29.0299
2020-01-04,29.0299
2020-01-05,29.0299
2020-01-06,28.9739
2020-01-07,28.7449
2020-01-08,28.8416
2020-01-09,28.8162
2020-01-10,28.6686
2020-01-11,28.6686
2020-01-12,28.6686
2020-01-13,28.862
2020-01-14,28.8671
2020-01-15,28.918
2020-01-16,29.2386
2020-01-17,29.1928
2020-01-18,29.1928
2020-01-19,29.1928
2020-01-20,29.1928
2020-01-21,29.0808
2020-01-22,29.1826
2020-01-23,29.1215
2020-01-24,28.8671
2020-01-25,28.8671
2020-01-26,28.8671
2020-01-27,28.4904
2020-01-28,28.6533
2020-01-29,28.2207
2020-01-30,28.2054
2020-01-31,27.8288
2020-02-01,27.8288
2020-02-02,27.8288
2020-02-03,28.1087
2020-02-04,28.241
2020-02-05,28.4548
2020-02-06,28.5668
2020-02-07,28.5362
2020-02-08,28.5362
2020-02-09,28.5362
2020-02-10,28.3377
2020-02-11,28.7551
2020-02-12,28.9078
2020-02-13,28.6635
2020-02-14,28.5311
2020-02-15,28.5311
2020-02-16,28.5311
2020-02-17,28.5311
2020-02-18,28.918
2020-02-19,29.0961
2020-02-20,29.1215
2020-02-21,27.5946
2020-02-22,27.5946
2020-02-23,27.5946
2020-02-24,27.3351
2020-02-25,26.8128
2020-02-26,27.149
2020-02-27,26.4258
2020-02-28,26.5429
2020-02-29,26.5429
2020-03-01,26.5429
2020-03-02,26.8841
2020-03-03,26.5837
2020-03-04,26.7925
2020-03-05,26.0642
2020-03-06,26.1864
2020-03-07,26.1864
2020-03-08,26.1864
2020-03-09,24.9895
2020-03-10,25.1219
2020-03-11,24.5464
2020-03-12,24.0575
2020-03-13,24.8724
2020-03-14,24.8724
2020-03-15,24.8724
2020-03-16,24.6024
2020-03-17,25.6567
2020-03-18,25.0761
2020-03-19,25.7076
2020-03-20,24.5362
2020-03-21,24.5362
2020-03-22,24.5362
2020-03-23,24.2001
2020-03-24,25.1168
2020-03-25,24.7807
2020-03-26,25.1117
2020-03-27,24.9538
2020-03-28,24.9538
2020-03-29,24.9538
2020-03-30,24.8673
2020-03-31,36.0871
2020-04-01,35.261
2020-04-02,35.2171
2020-04-03,35.9847
2020-04-04,35.9847
2020-04-05,35.9847
2020-04-06,36.4453
2020-04-07,36.1309
2020-04-08,36.9822
2020-04-09,37.0624
2020-04-10,37.0624
2020-04-11,37.0624
2020-04-12,37.0624
2020-04-13,37.4051
2020-04-14,37.4197
2020-04-15,36.4207
2020-04-16,37.3759
2020-04-17,37.5291
2020-04-18,37.5291
2020-04-19,37.5291
2020-04-20,37.6166
2020-04-21,37.0624
2020-04-22,37.0697
2020-04-23,37.7114
2020-04-24,37.7624
2020-04-25,37.7624
2020-04-26,37.7624
2020-04-27,37.9156
2020-04-28,38.1927
2020-04-29,38.7614
2020-04-30,38.1459
2020-05-01,37.0444
2020-05-02,37.0444
2020-05-03,37.0444
2020-05-04,36.4755
2020-05-05,36.9715
2020-05-06,36.3296
2020-05-07,36.9861
2020-05-08,37.6644
2020-05-09,37.6644
2020-05-10,37.6644
2020-05-11,37.3654
2020-05-12,36.8183
2020-05-13,36.4317
2020-05-14,36.4171
2020-05-15,36.6432
2020-05-16,36.6432
2020-05-17,36.6432
2020-05-18,37.6134
2020-05-19,37.3654
2020-05-20,37.6644
2020-05-21,37.803
2020-05-22,38.1604
2020-05-23,38.1604
2020-05-24,38.1604
2020-05-25,38.1604
2020-05-26,38.6273
2020-05-27,38.9993
2020-05-28,38.6054
2020-05-29,38.7805
2020-05-30,38.7805
2020-05-31,38.7805
2020-06-01,39.0722
2020-06-02,39.0941
2020-06-03,39.2546
2020-06-04,39.116
2020-06-05,39.2254
2020-06-06,39.2254
2020-06-07,39.2254
2020-06-08,40.4071
2020-06-09,39.8454
2020-06-10,39.3567
2020-06-11,37.9854
2020-06-12,38.5325
2020-06-13,38.5325
2020-06-14,38.5325
2020-06-15,38.5762
2020-06-16,38.8461
2020-06-17,38.3866
2020-06-18,38.423
2020-06-19,38.3939
2020-06-20,38.3939
2020-06-21,38.3939
2020-06-22,38.4012
2020-06-23,38.4303
2020-06-24,38.0729
2020-06-25,38.2188
2020-06-26,37.5623
2020-06-27,37.5623
2020-06-28,37.5623
2020-06-29,38.3209
2020-06-30,32.3084
2020-07-01,32.388
2020-07-02,32.3635
2020-07-03,32.3635
2020-07-04,32.3635
2020-07-05,32.3635
2020-07-06,32.4248
2020-07-07,32.2166
2020-07-08,32.339
2020-07-09,32.088
2020-07-10,32.3329
2020-07-11,32.3329
2020-07-12,32.3329
2020-07-13,32.2288
2020-07-14,32.4432
2020-07-15,32.4003
2020-07-16,32.4921
2020-07-17,32.5656
2020-07-18,32.5656
2020-07-19,32.5656
2020-07-20,32.3513
2020-07-21,32.5718
2020-07-22,32.1308
2020-07-23,32.2288
2020-07-24,31.9961
2020-07-25,31.9961
2020-07-26,31.9961
2020-07-27,32.1676
2020-07-28,32.1737
2020-07-29,32.2472
2020-07-30,31.941
2020-07-31,32.0267
2020-08-01,32.0267
2020-08-02,32.0267
2020-08-03,32.1921
2020-08-04,32.1614
2020-08-05,32.0696
2020-08-06,31.9605
2020-08-07,34.1792
2020-08-08,34.1792
2020-08-09,34.1792
