,BHF US Equity
2020-11-29,2.3549
2020-11-30,2.3549
2020-12-01,2.3549
2020-12-02,2.3549
2020-12-03,2.3549
2020-12-04,2.3549
2020-12-05,2.3549
2020-12-06,2.3549
2020-12-07,2.3549
2020-12-08,2.3549
2020-12-09,2.3549
2020-12-10,2.3549
2020-12-11,2.3549
2020-12-12,2.3549
2020-12-13,2.3549
2020-12-14,2.3549
2020-12-15,2.3549
2020-12-16,2.3549
2020-12-17,2.3549
2020-12-18,2.3549
2020-12-19,2.3549
2020-12-20,2.3549
2020-12-21,2.3549
2020-12-22,2.3549
2020-12-23,2.3549
2020-12-24,2.3549
2020-12-25,2.3549
2020-12-26,2.3549
2020-12-27,2.3549
2020-12-28,2.3549
2020-12-29,2.3549
2020-12-30,2.3549
2020-12-31,2.3549
2021-01-01,2.3549
2021-01-02,2.3549
2021-01-03,2.3549
2021-01-04,2.3549
2021-01-05,2.3549
2021-01-06,2.3549
2021-01-07,2.3549
2021-01-08,2.3549
2021-01-09,2.3549
2021-01-10,2.3549
2021-01-11,2.3549
2021-01-12,2.3549
2021-01-13,2.3549
2021-01-14,2.3549
2021-01-15,2.3549
2021-01-16,2.3549
2021-01-17,2.3549
2021-01-18,2.3549
2021-01-19,2.3549
2021-01-20,2.3549
2021-01-21,2.3549
2021-01-22,2.3549
2021-01-23,2.3549
2021-01-24,2.3549
2021-01-25,2.3549
2021-01-26,2.3549
2021-01-27,2.3549
2021-01-28,2.3549
2021-01-29,2.3549
2021-01-30,2.3549
2021-01-31,2.3549
2021-02-01,2.3549
2021-02-02,2.3549
2021-02-03,2.3549
2021-02-04,2.3549
2021-02-05,2.3549
2021-02-06,2.3549
2021-02-07,2.3549
2021-02-08,2.3549
2021-02-09,2.3549
2021-02-10,2.3549
2021-02-11,2.3549
2021-02-12,2.3549
2021-02-13,2.3549
2021-02-14,2.3549
2021-02-15,2.3549
2021-02-16,2.3549
2021-02-17,2.3549
2021-02-18,2.3549
2021-02-19,2.3549
2021-02-20,2.3549
2021-02-21,2.3549
2021-02-22,2.3549
2021-02-23,2.3549
2021-02-24,2.3549
2021-02-25,2.3549
2021-02-26,2.3549
2021-02-27,2.3549
2021-02-28,2.3549
2021-03-01,2.3549
2021-03-02,2.3549
2021-03-03,2.3549
2021-03-04,2.3549
2021-03-05,2.3549
2021-03-06,2.3549
2021-03-07,2.3549
2021-03-08,2.3549
2021-03-09,2.3549
2021-03-10,2.3549
2021-03-11,2.3549
2021-03-12,2.3549
2021-03-13,2.3549
2021-03-14,2.3549
2021-03-15,2.3549
2021-03-16,2.3549
2021-03-17,2.3549
2021-03-18,2.3549
2021-03-19,2.3549
2021-03-20,2.3549
2021-03-21,2.3549
2021-03-22,2.3549
2021-03-23,2.3549
2021-03-24,2.3549
2021-03-25,2.3549
2021-03-26,2.3549
2021-03-27,2.3549
2021-03-28,2.3549
2021-03-29,2.3549
2021-03-30,2.3549
2021-03-31,2.3549
2021-04-01,2.3549
2021-04-02,2.3549
2021-04-03,2.3549
2021-04-04,2.3549
2021-04-05,2.3549
2021-04-06,2.3549
2021-04-07,2.3549
2021-04-08,2.3549
2021-04-09,2.3549
2021-04-10,2.3549
2021-04-11,2.3549
2021-04-12,2.3549
2021-04-13,2.3549
2021-04-14,2.3549
2021-04-15,2.3549
2021-04-16,2.3549
2021-04-17,2.3549
2021-04-18,2.3549
2021-04-19,2.3549
2021-04-20,2.3549
2021-04-21,2.3549
2021-04-22,2.3549
2021-04-23,2.3549
2021-04-24,2.3549
2021-04-25,2.3549
2021-04-26,2.3549
2021-04-27,2.3549
2021-04-28,2.3549
2021-04-29,2.3549
2021-04-30,2.3549
2021-05-01,2.3549
2021-05-02,2.3549
2021-05-03,2.3549
2021-05-04,2.3549
2021-05-05,2.3549
2021-05-06,2.3549
2021-05-07,2.3549
2021-05-08,2.3549
2021-05-09,2.3549
2021-05-10,2.3549
2021-05-11,2.3549
2021-05-12,2.3549
2021-05-13,2.3549
2021-05-14,2.3549
2021-05-15,2.3549
2021-05-16,2.3549
2021-05-17,2.3549
2021-05-18,2.3549
2021-05-19,2.3549
2021-05-20,2.3549
2021-05-21,2.3549
2021-05-22,2.3549
2021-05-23,2.3549
2021-05-24,2.3549
2021-05-25,2.3549
2021-05-26,2.3549
2021-05-27,2.3549
2021-05-28,2.3549
2021-05-29,2.3549
2021-05-30,2.3549
2021-05-31,2.3549
2021-06-01,2.3549
2021-06-02,2.3549
2021-06-03,2.3549
2021-06-04,2.3549
2021-06-05,2.3549
2021-06-06,2.3549
2021-06-07,2.3549
2021-06-08,2.3549
2021-06-09,2.3549
2021-06-10,2.3549
2021-06-11,2.3549
2021-06-12,2.3549
2021-06-13,2.3549
2021-06-14,2.3549
2021-06-15,2.3549
2021-06-16,2.3549
2021-06-17,2.3549
2021-06-18,2.3549
2021-06-19,2.3549
2021-06-20,2.3549
2021-06-21,2.3549
2021-06-22,2.3549
2021-06-23,2.3549
2021-06-24,2.3549
2021-06-25,2.3549
2021-06-26,2.3549
2021-06-27,2.3549
2021-06-28,2.3549
2021-06-29,2.3549
2021-06-30,2.3549
2021-07-01,2.3549
2021-07-02,2.3549
2021-07-03,2.3549
2021-07-04,2.3549
2021-07-05,2.3549
2021-07-06,2.3549
2021-07-07,2.3549
2021-07-08,2.3549
2021-07-09,2.3549
2021-07-10,2.3549
2021-07-11,2.3549
2021-07-12,2.3549
2021-07-13,2.3549
2021-07-14,2.3549
2021-07-15,2.3549
2021-07-16,2.3549
2021-07-17,2.3549
2021-07-18,2.3549
2021-07-19,2.3549
2021-07-20,2.3549
2021-07-21,2.3549
2021-07-22,2.3549
2021-07-23,2.3549
2021-07-24,2.3549
2021-07-25,2.3549
2021-07-26,2.3549
2021-07-27,2.3549
2021-07-28,2.3549
2021-07-29,2.3549
2021-07-30,2.3549
2021-07-31,2.3549
2021-08-01,2.3549
2021-08-02,2.3549
2021-08-03,2.3549
2021-08-04,2.3549
2021-08-05,2.3549
2021-08-06,2.3549
2021-08-07,2.3549
2021-08-08,2.3549
2021-08-09,2.3549
2021-08-10,2.3549
2021-08-11,2.3549
2021-08-12,2.3549
2021-08-13,2.3549
2021-08-14,2.3549
2021-08-15,2.3549
2021-08-16,2.3549
2021-08-17,2.3549
2021-08-18,2.3549
2021-08-19,2.3549
2021-08-20,2.3549
2021-08-21,2.3549
2021-08-22,2.3549
2021-08-23,2.3549
2021-08-24,2.3549
2021-08-25,2.3549
2021-08-26,2.3549
2021-08-27,2.3549
2021-08-28,2.3549
2021-08-29,2.3549
2021-08-30,2.3549
2021-08-31,2.3549
2021-09-01,2.3549
2021-09-02,2.3549
2021-09-03,2.3549
2021-09-04,2.3549
2021-09-05,2.3549
2021-09-06,2.3549
2021-09-07,2.3549
2021-09-08,2.3549
2021-09-09,2.3549
2021-09-10,2.3549
2021-09-11,2.3549
2021-09-12,2.3549
2021-09-13,2.3549
2021-09-14,2.3549
2021-09-15,2.3549
2021-09-16,2.3549
2021-09-17,2.3549
2021-09-18,2.3549
2021-09-19,2.3549
2021-09-20,2.3549
2021-09-21,2.3549
2021-09-22,2.3549
2021-09-23,2.3549
2021-09-24,2.3549
2021-09-25,2.3549
2021-09-26,2.3549
2021-09-27,2.3549
2021-09-28,2.3549
2021-09-29,2.3549
2021-09-30,2.3549
2021-10-01,2.3549
2021-10-02,2.3549
2021-10-03,2.3549
2021-10-04,2.3549
2021-10-05,2.3549
2021-10-06,2.3549
2021-10-07,2.3549
2021-10-08,2.3549
2021-10-09,2.3549
2021-10-10,2.3549
2021-10-11,2.3549
2021-10-12,2.3549
2021-10-13,2.3549
2021-10-14,2.3549
2021-10-15,2.3549
2021-10-16,2.3549
2021-10-17,2.3549
2021-10-18,2.3549
2021-10-19,2.3549
2021-10-20,2.3549
2021-10-21,2.3549
2021-10-22,2.3549
2021-10-23,2.3549
2021-10-24,2.3549
2021-10-25,2.3549
2021-10-26,2.3549
2021-10-27,2.3549
2021-10-28,2.3549
2021-10-29,2.3549
2021-10-30,2.3549
2021-10-31,2.3549
2021-11-01,2.3549
2021-11-02,2.3549
2021-11-03,2.3549
2021-11-04,2.3549
2021-11-05,2.3549
2021-11-06,2.3549
2021-11-07,2.3549
2021-11-08,2.3549
2021-11-09,2.3549
2021-11-10,2.3549
2021-11-11,2.3549
2021-11-12,2.3549
2021-11-13,2.3549
2021-11-14,2.3549
2021-11-15,2.3549
2021-11-16,2.3549
2021-11-17,2.3549
2021-11-18,2.3549
2021-11-19,2.3549
2021-11-20,2.3549
2021-11-21,2.3549
2021-11-22,2.3549
2021-11-23,2.3549
2021-11-24,2.3549
2021-11-25,2.3549
2021-11-26,2.3549
2021-11-27,2.3549
2021-11-28,2.3549
2021-11-29,2.3549
2021-11-30,2.3549
2021-12-01,2.3549
2021-12-02,2.3549
2021-12-03,2.3549
2021-12-04,2.3549
2021-12-05,2.3549
2021-12-06,2.3549
2021-12-07,2.3549
2021-12-08,2.3549
2021-12-09,2.3549
2021-12-10,2.3549
2021-12-11,2.3549
2021-12-12,2.3549
2021-12-13,2.3549
2021-12-14,2.3549
2021-12-15,2.3549
2021-12-16,2.3549
2021-12-17,2.3549
2021-12-18,2.3549
2021-12-19,2.3549
2021-12-20,2.3549
2021-12-21,2.3549
2021-12-22,2.3549
2021-12-23,2.3549
2021-12-24,2.3549
2021-12-25,2.3549
2021-12-26,2.3549
2021-12-27,2.3549
2021-12-28,2.3549
2021-12-29,2.3549
2021-12-30,2.3549
2021-12-31,2.3549
2022-01-01,2.3549
2022-01-02,2.3549
2022-01-03,2.3549
2022-01-04,2.3549
2022-01-05,2.3549
2022-01-06,2.3549
2022-01-07,2.3549
2022-01-08,2.3549
2022-01-09,2.3549
2022-01-10,2.3549
2022-01-11,2.3549
2022-01-12,2.3549
2022-01-13,2.3549
2022-01-14,2.3549
2022-01-15,2.3549
2022-01-16,2.3549
2022-01-17,2.3549
2022-01-18,2.3549
2022-01-19,2.3549
2022-01-20,2.3549
2022-01-21,2.3549
2022-01-22,2.3549
2022-01-23,2.3549
2022-01-24,2.3549
2022-01-25,2.3549
2022-01-26,2.3549
2022-01-27,2.3549
2022-01-28,2.3549
2022-01-29,2.3549
2022-01-30,2.3549
2022-01-31,2.3549
2022-02-01,2.3549
2022-02-02,2.3549
2022-02-03,2.3549
2022-02-04,2.3549
2022-02-05,2.3549
2022-02-06,2.3549
2022-02-07,2.3549
2022-02-08,2.3549
2022-02-09,2.3549
2022-02-10,2.3549
2022-02-11,2.3549
2022-02-12,2.3549
2022-02-13,2.3549
2022-02-14,2.3549
2022-02-15,2.3549
2022-02-16,2.3549
2022-02-17,2.3549
2022-02-18,2.3549
2022-02-19,2.3549
2022-02-20,2.3549
2022-02-21,2.3549
2022-02-22,2.3549
2022-02-23,2.3549
2022-02-24,2.3549
2022-02-25,2.3549
2022-02-26,2.3549
2022-02-27,2.3549
2022-02-28,2.3549
2022-03-01,2.3549
2022-03-02,2.3549
2022-03-03,2.3549
2022-03-04,2.3549
2022-03-05,2.3549
2022-03-06,2.3549
2022-03-07,2.3549
2022-03-08,2.3549
2022-03-09,2.3549
2022-03-10,2.3549
2022-03-11,2.3549
2022-03-12,2.3549
2022-03-13,2.3549
2022-03-14,2.3549
2022-03-15,2.3549
2022-03-16,2.3549
2022-03-17,2.3549
2022-03-18,2.3549
2022-03-19,2.3549
2022-03-20,2.3549
2022-03-21,2.3549
2022-03-22,2.3549
2022-03-23,2.3549
2022-03-24,2.3549
2022-03-25,2.3549
2022-03-26,2.3549
2022-03-27,2.3549
2022-03-28,2.3549
2022-03-29,2.3549
2022-03-30,2.3549
2022-03-31,9.6519
2022-04-01,9.7021
2022-04-02,9.7021
2022-04-03,9.7021
2022-04-04,9.6365
2022-04-05,9.6619
2022-04-06,9.6251
2022-04-07,9.4938
2022-04-08,9.6277
2022-04-09,9.6277
2022-04-10,9.6277
2022-04-11,9.6458
2022-04-12,9.6385
2022-04-13,9.7503
2022-04-14,9.7704
2022-04-15,9.7704
2022-04-16,9.7704
2022-04-17,9.7704
2022-04-18,9.7671
2022-04-19,9.9131
2022-04-20,9.9834
2022-04-21,9.9258
2022-04-22,9.7765
2022-04-23,9.7765
2022-04-24,9.7765
2022-04-25,9.7845
2022-04-26,9.5508
2022-04-27,9.5944
2022-04-28,9.671
2022-04-29,9.5825
2022-04-30,9.5825
2022-05-01,9.5825
2022-05-02,9.6618
2022-05-03,9.6994
2022-05-04,9.8724
2022-05-05,9.7232
2022-05-06,9.6321
2022-05-07,9.6321
2022-05-08,9.6321
2022-05-09,9.566
2022-05-10,9.2841
2022-05-11,9.1191
2022-05-12,9.0261
2022-05-13,9.1905
2022-05-14,9.1905
2022-05-15,9.1905
2022-05-16,9.2252
2022-05-17,9.3928
2022-05-18,9.2559
2022-05-19,9.1885
2022-05-20,9.1944
2022-05-21,9.1944
2022-05-22,9.1944
2022-05-23,9.2317
2022-05-24,9.1937
2022-05-25,9.2815
2022-05-26,9.3633
2022-05-27,9.4451
2022-05-28,9.4451
2022-05-29,9.4451
2022-05-30,9.4451
2022-05-31,9.4072
2022-06-01,9.3705
2022-06-02,9.4006
2022-06-03,9.3175
2022-06-04,9.3175
2022-06-05,9.3175
2022-06-06,9.4157
2022-06-07,9.4419
2022-06-08,9.4052
2022-06-09,9.2644
2022-06-10,9.0707
2022-06-11,9.0707
2022-06-12,9.0707
2022-06-13,8.8756
2022-06-14,8.9194
2022-06-15,8.9567
2022-06-16,8.7636
2022-06-17,8.8513
2022-06-18,8.8513
2022-06-19,8.8513
2022-06-20,8.8513
2022-06-21,8.9214
2022-06-22,8.9031
2022-06-23,8.8284
2022-06-24,8.9522
2022-06-25,8.9522
2022-06-26,8.9522
2022-06-27,8.9168
2022-06-28,8.9306
2022-06-29,8.8965
2022-06-30,2.9264
2022-07-01,2.9625
2022-07-02,2.9625
2022-07-03,2.9625
2022-07-04,2.9625
2022-07-05,2.935
2022-07-06,2.9021
2022-07-07,2.9166
2022-07-08,2.9155
2022-07-09,2.9155
2022-07-10,2.9155
2022-07-11,2.9171
2022-07-12,2.9354
2022-07-13,2.9027
2022-07-14,2.8798
2022-07-15,2.905
2022-07-16,2.905
2022-07-17,2.905
2022-07-18,2.9075
2022-07-19,2.9407
2022-07-20,2.9479
2022-07-21,2.9488
2022-07-22,2.9404
2022-07-23,2.9404
2022-07-24,2.9404
2022-07-25,2.9561
2022-07-26,2.9364
2022-07-27,2.9638
2022-07-28,2.9634
2022-07-29,2.9809
2022-07-30,2.9809
2022-07-31,2.9809
2022-08-01,2.9761
2022-08-02,2.9552
2022-08-03,2.9906
2022-08-04,2.96
2022-08-05,2.9776
2022-08-06,2.9776
2022-08-07,2.9776
2022-08-08,2.9941
2022-08-09,3.0155
2022-08-10,3.0434
2022-08-11,3.073
2022-08-12,3.0921
2022-08-13,3.0921
2022-08-14,3.0921
2022-08-15,3.0819
2022-08-16,3.0969
2022-08-17,3.0906
2022-08-18,3.1124
2022-08-19,3.0745
2022-08-20,3.0745
2022-08-21,3.0745
2022-08-22,3.0475
2022-08-23,3.0508
2022-08-24,3.0595
2022-08-25,3.0941
2022-08-26,3.0499
2022-08-27,3.0499
2022-08-28,3.0499
2022-08-29,3.0421
2022-08-30,3.0342
2022-08-31,3.0303
2022-09-01,3.0235
2022-09-02,3.0157
2022-09-03,3.0157
2022-09-04,3.0157
2022-09-05,3.0157
2022-09-06,3.0111
2022-09-07,3.0357
2022-09-08,3.0521
2022-09-09,3.0993
2022-09-10,3.0993
2022-09-11,3.0993
2022-09-12,3.1046
2022-09-13,3.0671
2022-09-14,3.0634
2022-09-15,3.0678
2022-09-16,3.0375
2022-09-17,3.0375
2022-09-18,3.0375
2022-09-19,3.0664
2022-09-20,3.0542
2022-09-21,3.0429
2022-09-22,3.0164
2022-09-23,2.9678
2022-09-24,2.9678
2022-09-25,2.9678
2022-09-26,2.941
2022-09-27,2.9273
2022-09-28,2.9645
2022-09-29,2.9489
2022-09-30,2.9639
2022-10-01,2.9639
2022-10-02,2.9639
2022-10-03,3.0005
2022-10-04,3.0754
2022-10-05,3.0687
2022-10-06,3.0694
2022-10-07,3.0412
2022-10-08,3.0412
2022-10-09,3.0412
2022-10-10,3.0399
2022-10-11,3.0375
2022-10-12,3.0351
2022-10-13,3.0832
2022-10-14,3.0767
2022-10-15,3.0767
2022-10-16,3.0767
2022-10-17,3.1029
2022-10-18,3.1371
2022-10-19,3.1187
2022-10-20,3.1016
2022-10-21,3.1529
2022-10-22,3.1529
2022-10-23,3.1529
2022-10-24,3.1687
2022-10-25,3.1923
2022-10-26,3.2049
2022-10-27,3.2023
2022-10-28,3.2614
2022-10-29,3.2614
2022-10-30,3.2614
2022-10-31,3.2595
2022-11-01,3.2733
2022-11-02,3.2443
2022-11-03,3.1939
2022-11-04,3.2372
2022-11-05,3.2372
2022-11-06,3.2372
2022-11-07,3.2458
2022-11-08,3.1126
2022-11-09,3.0719
2022-11-10,3.1478
2022-11-11,3.1601
2022-11-12,3.1601
2022-11-13,3.1601
2022-11-14,3.1496
2022-11-15,3.1599
2022-11-16,3.1223
2022-11-17,3.1203
2022-11-18,3.1451
2022-11-19,3.1451
2022-11-20,3.1451
2022-11-21,3.1505
2022-11-22,3.1763
2022-11-23,3.1634
2022-11-24,3.1634
2022-11-25,3.1772
2022-11-26,3.1772
2022-11-27,3.1772
2022-11-28,3.1494
2022-11-29,3.1605
2022-11-30,3.1855
2022-12-01,3.1826
2022-12-02,3.1707
2022-12-03,3.1707
2022-12-04,3.1707
2022-12-05,3.1317
2022-12-06,3.1365
2022-12-07,3.128
2022-12-08,3.1309
2022-12-09,3.1111
2022-12-10,3.1111
2022-12-11,3.1111
2022-12-12,3.1326
2022-12-13,3.1226
2022-12-14,3.1142
2022-12-15,3.0802
2022-12-16,3.0613
2022-12-17,3.0613
2022-12-18,3.0613
2022-12-19,3.0627
2022-12-20,3.0767
2022-12-21,3.1082
2022-12-22,3.0848
2022-12-23,3.0894
2022-12-24,3.0894
2022-12-25,3.0894
2022-12-26,3.0894
2022-12-27,3.0823
2022-12-28,3.0594
2022-12-29,3.098
2022-12-30,2.7112
2022-12-31,2.7112
2023-01-01,2.7112
2023-01-02,2.7112
2023-01-03,2.7064
2023-01-04,2.7294
2023-01-05,2.7213
2023-01-06,2.7512
2023-01-07,2.7512
2023-01-08,2.7512
2023-01-09,2.7242
2023-01-10,2.7236
2023-01-11,2.7641
2023-01-12,2.7629
2023-01-13,2.7687
2023-01-14,2.7687
2023-01-15,2.7687
2023-01-16,2.7687
2023-01-17,2.767
2023-01-18,2.719
2023-01-19,2.7116
2023-01-20,2.748
2023-01-21,2.748
2023-01-22,2.748
2023-01-23,2.7645
2023-01-24,2.7679
2023-01-25,2.7892
2023-01-26,2.7959
2023-01-27,2.7976
2023-01-28,2.7976
2023-01-29,2.7976
2023-01-30,2.7863
2023-01-31,2.8158
2023-02-01,2.8216
2023-02-02,2.8501
2023-02-03,2.8285
2023-02-04,2.8285
2023-02-05,2.8285
2023-02-06,2.8237
2023-02-07,2.845
2023-02-08,2.8611
2023-02-09,2.8486
2023-02-10,2.8337
2023-02-11,2.8337
2023-02-12,2.8337
2023-02-13,2.8779
2023-02-14,2.8729
2023-02-15,2.8756
2023-02-16,2.8653
2023-02-17,2.861
2023-02-18,2.861
2023-02-19,2.861
2023-02-20,2.861
2023-02-21,2.8104
2023-02-22,2.8122
2023-02-23,2.8106
2023-02-24,2.8121
2023-02-25,2.8121
2023-02-26,2.8121
2023-02-27,2.8147
2023-02-28,2.8233
2023-03-01,2.834
2023-03-02,2.8225
2023-03-03,2.836
2023-03-04,2.836
2023-03-05,2.836
2023-03-06,2.8143
2023-03-07,2.7916
2023-03-08,2.766
2023-03-09,2.7007
2023-03-10,2.6374
2023-03-11,2.6374
2023-03-12,2.6374
2023-03-13,2.5633
2023-03-14,2.5645
2023-03-15,2.5192
2023-03-16,2.533
2023-03-17,2.4719
2023-03-18,2.4719
2023-03-19,2.4719
2023-03-20,2.5084
2023-03-21,2.55
2023-03-22,2.5
2023-03-23,2.4752
2023-03-24,2.4867
2023-03-25,2.4867
2023-03-26,2.4867
2023-03-27,2.5127
2023-03-28,2.5078
2023-03-29,2.5217
2023-03-30,2.5254
2023-03-31,3.8928
2023-04-01,3.8928
2023-04-02,3.8928
2023-04-03,3.8913
2023-04-04,3.8415
2023-04-05,3.8227
2023-04-06,3.8281
2023-04-07,3.8281
2023-04-08,3.8281
2023-04-09,3.8281
2023-04-10,3.8473
2023-04-11,3.8631
