,AMAT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.1836
2020-01-02,17.5006
2020-01-03,17.2301
2020-01-04,17.2301
2020-01-05,17.2301
2020-01-06,16.8694
2020-01-07,17.3421
2020-01-08,17.3312
2020-01-09,17.4377
2020-01-10,17.3011
2020-01-11,17.3011
2020-01-12,17.3011
2020-01-13,17.394
2020-01-14,17.5416
2020-01-15,17.4296
2020-01-16,17.7794
2020-01-17,17.681
2020-01-18,17.681
2020-01-19,17.681
2020-01-20,17.681
2020-01-21,17.7766
2020-01-22,17.9652
2020-01-23,17.9652
2020-01-24,16.7257
2020-01-25,16.7257
2020-01-26,16.7257
2020-01-27,15.9505
2020-01-28,16.2501
2020-01-29,16.1529
2020-01-30,16.2658
2020-01-31,15.7245
2020-02-01,15.7245
2020-02-02,15.7245
2020-02-03,16.1806
2020-02-04,17.048
2020-02-05,17.2563
2020-02-06,17.0955
2020-02-07,16.7053
2020-02-08,16.7053
2020-02-09,16.7053
2020-02-10,17.0243
2020-02-11,17.4277
2020-02-12,17.6703
2020-02-13,18.1976
2020-02-14,18.0605
2020-02-15,18.0605
2020-02-16,18.0605
2020-02-17,18.0605
2020-02-18,17.6149
2020-02-19,18.2082
2020-02-20,17.9361
2020-02-21,17.3747
2020-02-22,17.3747
2020-02-23,17.3747
2020-02-24,16.5339
2020-02-25,15.9487
2020-02-26,16.1991
2020-02-27,15.4585
2020-02-28,15.7537
2020-02-29,15.7537
2020-03-01,15.7537
2020-03-02,16.2914
2020-03-03,15.7326
2020-03-04,16.3863
2020-03-05,16.0199
2020-03-06,15.6667
2020-03-07,15.6667
2020-03-08,15.6667
2020-03-09,14.1591
2020-03-10,15.2397
2020-03-11,14.2698
2020-03-12,12.3246
2020-03-13,13.848
2020-03-14,13.848
2020-03-15,13.848
2020-03-16,11.1174
2020-03-17,12.2587
2020-03-18,10.7615
2020-03-19,11.0278
2020-03-20,10.4479
2020-03-21,10.4479
2020-03-22,10.4479
2020-03-23,11.0225
2020-03-24,12.3325
2020-03-25,12.2244
2020-03-26,13.4026
2020-03-27,12.3087
2020-03-28,12.3087
2020-03-29,12.3087
2020-03-30,12.9018
2020-03-31,12.5117
2020-04-01,11.8475
2020-04-02,11.8317
2020-04-03,11.5786
2020-04-04,11.5786
2020-04-05,11.5786
2020-04-06,12.5987
2020-04-07,12.9703
2020-04-08,13.9983
2020-04-09,13.5054
2020-04-10,13.5054
2020-04-11,13.5054
2020-04-12,13.5054
2020-04-13,13.5818
2020-04-14,14.2645
2020-04-15,13.711
2020-04-16,14.2012
2020-04-17,14.4569
2020-04-18,14.4569
2020-04-19,14.4569
2020-04-20,13.7795
2020-04-21,13.1733
2020-04-22,14.1696
2020-04-23,13.8507
2020-04-24,13.4253
2020-04-25,13.4253
2020-04-26,13.4253
2020-04-27,13.2462
2020-04-28,13.0923
2020-04-29,14.0812
2020-04-30,12.9056
2020-05-01,12.2017
2020-05-02,12.2017
2020-05-03,12.2017
2020-05-04,12.3758
2020-05-05,12.6962
2020-05-06,13.1125
