,BURL US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,25.4835
2020-01-02,25.5884
2020-01-03,25.5474
2020-01-04,25.5474
2020-01-05,25.5474
2020-01-06,25.833
2020-01-07,26.0319
2020-01-08,25.9488
2020-01-09,25.937
2020-01-10,25.7846
2020-01-11,25.7846
2020-01-12,25.7846
2020-01-13,25.7837
2020-01-14,25.6441
2020-01-15,25.1259
2020-01-16,25.2052
2020-01-17,25.3868
2020-01-18,25.3868
2020-01-19,25.3868
2020-01-20,25.3868
2020-01-21,25.3768
2020-01-22,25.406
2020-01-23,25.2217
2020-01-24,24.8184
2020-01-25,24.8184
2020-01-26,24.8184
2020-01-27,24.9571
2020-01-28,24.9288
2020-01-29,25.1012
2020-01-30,24.5939
2020-01-31,23.1012
2020-02-01,23.1012
2020-02-02,23.1012
2020-02-03,23.5352
2020-02-04,23.9761
2020-02-05,24.3311
2020-02-06,24.3146
2020-02-07,24.1731
2020-02-08,24.1731
2020-02-09,24.1731
2020-02-10,24.0586
2020-02-11,25.3561
2020-02-12,25.1712
2020-02-13,25.416
2020-02-14,25.5496
2020-02-15,25.5496
2020-02-16,25.5496
2020-02-17,25.5496
2020-02-18,25.6616
2020-02-19,25.7588
2020-02-20,25.56
2020-02-21,25.1703
2020-02-22,25.1703
2020-02-23,25.1703
2020-02-24,24.897
2020-02-25,24.6435
2020-02-26,24.5333
2020-02-27,23.4284
2020-02-28,22.9962
2020-02-29,22.9962
2020-03-01,22.9962
2020-03-02,23.1828
2020-03-03,22.9259
2020-03-04,23.2661
2020-03-05,23.1872
2020-03-06,22.82
2020-03-07,22.82
2020-03-08,22.82
2020-03-09,21.7204
2020-03-10,22.2073
2020-03-11,21.1884
2020-03-12,20.0497
2020-03-13,20.4382
2020-03-14,20.4382
2020-03-15,20.4382
2020-03-16,15.6024
2020-03-17,16.2645
2020-03-18,14.6244
2020-03-19,15.4928
2020-03-20,16.1402
2020-03-21,16.1402
2020-03-22,16.1402
2020-03-23,15.8458
2020-03-24,17.5671
2020-03-25,18.2111
2020-03-26,18.881
2020-03-27,17.6785
2020-03-28,17.6785
2020-03-29,17.6785
2020-03-30,18.2568
2020-03-31,17.9055
2020-04-01,16.8299
2020-04-02,16.7816
2020-04-03,16.3339
2020-04-04,16.3339
2020-04-05,16.3339
2020-04-06,17.9403
2020-04-07,18.5897
2020-04-08,19.3615
2020-04-09,19.4631
2020-04-10,19.4631
2020-04-11,19.4631
2020-04-12,19.4631
2020-04-13,18.5398
2020-04-14,19.4881
2020-04-15,19.1694
2020-04-16,19.3443
2020-04-17,19.9558
2020-04-18,19.9558
2020-04-19,19.9558
2020-04-20,19.4864
2020-04-21,19.0927
2020-04-22,19.24
2020-04-23,18.9575
2020-04-24,19.2564
2020-04-25,19.2564
2020-04-26,19.2564
2020-04-27,19.9412
2020-04-28,20.3159
2020-04-29,20.9886
2020-04-30,19.9627
2020-05-01,19.9627
2020-05-02,19.9627
2020-05-03,19.9627
2020-05-04,19.9627
2020-05-05,19.9627
2020-05-06,19.9627
2020-05-07,19.9627
2020-05-08,19.9627
2020-05-09,19.9627
2020-05-10,19.9627
2020-05-11,19.9627
2020-05-12,19.9627
2020-05-13,19.9627
2020-05-14,19.9627
2020-05-15,19.9627
2020-05-16,19.9627
2020-05-17,19.9627
2020-05-18,19.9627
2020-05-19,19.9627
2020-05-20,19.9627
2020-05-21,19.9627
2020-05-22,19.9627
2020-05-23,19.9627
2020-05-24,19.9627
2020-05-25,19.9627
2020-05-26,19.9627
2020-05-27,19.9627
2020-05-28,19.9627
2020-05-29,19.9627
2020-05-30,19.9627
2020-05-31,19.9627
2020-06-01,19.9627
2020-06-02,19.9627
2020-06-03,19.9627
2020-06-04,19.9627
2020-06-05,19.9627
2020-06-06,19.9627
2020-06-07,19.9627
2020-06-08,19.9627
2020-06-09,19.9627
2020-06-10,19.9627
2020-06-11,19.9627
2020-06-12,19.9627
2020-06-13,19.9627
2020-06-14,19.9627
2020-06-15,19.9627
2020-06-16,19.9627
2020-06-17,19.9627
2020-06-18,19.9627
2020-06-19,19.9627
2020-06-20,19.9627
2020-06-21,19.9627
2020-06-22,19.9627
2020-06-23,19.9627
2020-06-24,19.9627
2020-06-25,19.9627
2020-06-26,19.9627
2020-06-27,19.9627
2020-06-28,19.9627
2020-06-29,19.9627
2020-06-30,19.9627
2020-07-01,19.9627
2020-07-02,19.9627
2020-07-03,19.9627
2020-07-04,19.9627
2020-07-05,19.9627
2020-07-06,19.9627
2020-07-07,19.9627
2020-07-08,19.9627
2020-07-09,19.9627
2020-07-10,19.9627
2020-07-11,19.9627
2020-07-12,19.9627
2020-07-13,19.9627
2020-07-14,19.9627
2020-07-15,19.9627
2020-07-16,19.9627
2020-07-17,19.9627
2020-07-18,19.9627
2020-07-19,19.9627
2020-07-20,19.9627
2020-07-21,19.9627
2020-07-22,19.9627
2020-07-23,19.9627
2020-07-24,19.9627
2020-07-25,19.9627
2020-07-26,19.9627
2020-07-27,19.9627
2020-07-28,19.9627
2020-07-29,19.9627
2020-07-30,19.9627
2020-07-31,19.9627
2020-08-01,19.9627
2020-08-02,19.9627
2020-08-03,19.9627
2020-08-04,19.9627
2020-08-05,19.9627
2020-08-06,19.9627
2020-08-07,19.9627
2020-08-08,19.9627
2020-08-09,19.9627
2020-08-10,19.9627
2020-08-11,19.9627
2020-08-12,19.9627
2020-08-13,19.9627
2020-08-14,19.9627
2020-08-15,19.9627
2020-08-16,19.9627
2020-08-17,19.9627
2020-08-18,19.9627
2020-08-19,19.9627
2020-08-20,19.9627
2020-08-21,19.9627
2020-08-22,19.9627
2020-08-23,19.9627
2020-08-24,19.9627
2020-08-25,19.9627
2020-08-26,19.9627
2020-08-27,19.9627
2020-08-28,19.9627
2020-08-29,19.9627
2020-08-30,19.9627
2020-08-31,19.9627
2020-09-01,19.9627
2020-09-02,19.9627
2020-09-03,19.9627
2020-09-04,19.9627
2020-09-05,19.9627
2020-09-06,19.9627
2020-09-07,19.9627
2020-09-08,19.9627
2020-09-09,19.9627
2020-09-10,19.9627
2020-09-11,19.9627
2020-09-12,19.9627
2020-09-13,19.9627
2020-09-14,19.9627
2020-09-15,19.9627
2020-09-16,19.9627
2020-09-17,19.9627
2020-09-18,19.9627
2020-09-19,19.9627
2020-09-20,19.9627
2020-09-21,19.9627
2020-09-22,19.9627
2020-09-23,19.9627
2020-09-24,19.9627
