,YORW US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,29.4264
2020-01-02,28.7602
2020-01-03,28.7929
2020-01-04,28.7929
2020-01-05,28.7929
2020-01-06,28.7165
2020-01-07,28.6073
2020-01-08,28.3616
2020-01-09,28.4981
2020-01-10,28.5691
2020-01-11,28.5691
2020-01-12,28.5691
2020-01-13,29.0769
2020-01-14,28.9841
2020-01-15,29.4264
2020-01-16,30.098
2020-01-17,30.3984
2020-01-18,30.3984
2020-01-19,30.3984
2020-01-20,30.3984
2020-01-21,30.9499
2020-01-22,31.0482
2020-01-23,31.3321
2020-01-24,30.8134
2020-01-25,30.8134
2020-01-26,30.8134
2020-01-27,30.8844
2020-01-28,30.868
2020-01-29,30.8188
2020-01-30,30.8024
2020-01-31,30.109
2020-02-01,30.109
2020-02-02,30.109
2020-02-03,30.5676
2020-02-04,30.3492
2020-02-05,30.6987
2020-02-06,30.513
2020-02-07,30.5949
2020-02-08,30.5949
2020-02-09,30.5949
2020-02-10,30.9226
2020-02-11,30.5185
2020-02-12,30.7806
2020-02-13,30.8789
2020-02-14,30.7315
2020-02-15,30.7315
2020-02-16,30.7315
2020-02-17,30.7315
2020-02-18,30.8298
2020-02-19,30.7861
2020-02-20,30.8407
2020-02-21,30.8516
2020-02-22,30.8516
2020-02-23,30.8516
2020-02-24,29.9397
2020-02-25,29.4864
2020-02-26,30.0107
2020-02-27,27.8264
2020-02-28,27.3404
2020-02-29,27.3404
2020-03-01,27.3404
2020-03-02,29.1916
2020-03-03,28.5145
2020-03-04,29.7977
2020-03-05,29.8032
2020-03-06,30.8844
2020-03-07,30.8844
2020-03-08,30.8844
2020-03-09,29.3226
2020-03-10,29.1745
2020-03-11,26.4766
2020-03-12,24.0523
2020-03-13,26.3617
2020-03-14,26.3617
2020-03-15,26.3617
2020-03-16,23.7294
2020-03-17,28.3974
2020-03-18,26.2468
2020-03-19,25.7816
2020-03-20,24.4573
2020-03-21,24.4573
2020-03-22,24.4573
2020-03-23,24.4956
2020-03-24,25.9512
2020-03-25,24.6598
2020-03-26,27.5218
2020-03-27,27.5766
2020-03-28,27.5766
2020-03-29,27.5766
2020-03-30,29.8421
2020-03-31,27.6617
2020-04-01,25.2004
2020-04-02,26.5066
2020-04-03,25.8427
2020-04-04,25.8427
2020-04-05,25.8427
2020-04-06,27.8128
2020-04-07,25.8859
2020-04-08,26.0964
2020-04-09,27.4458
2020-04-10,27.4458
2020-04-11,27.4458
2020-04-12,27.4458
2020-04-13,27.0841
2020-04-14,27.5807
2020-04-15,26.6793
2020-04-16,26.8412
2020-04-17,27.9531
2020-04-18,27.9531
2020-04-19,27.9531
2020-04-20,26.9384
2020-04-21,26.5498
2020-04-22,26.879
2020-04-23,26.7927
2020-04-24,26.7819
2020-04-25,26.7819
2020-04-26,26.7819
2020-04-27,27.0571
2020-04-28,27.0679
2020-04-29,27.3918
2020-04-30,25.9668
2020-05-01,26.1018
2020-05-02,26.1018
2020-05-03,26.1018
2020-05-04,26.0856
2020-05-05,26.4727
2020-05-06,26.3809
2020-05-07,26.4565
2020-05-08,27.3747
2020-05-09,27.3747
2020-05-10,27.3747
2020-05-11,27.1749
2020-05-12,26.651
2020-05-13,26.6348
2020-05-14,26.3377
2020-05-15,26.3485
2020-05-16,26.3485
2020-05-17,26.3485
2020-05-18,27.4017
2020-05-19,26.4241
2020-05-20,27.1317
2020-05-21,27.1317
2020-05-22,27.4395
2020-05-23,27.4395
2020-05-24,27.4395
2020-05-25,27.4395
2020-05-26,27.823
2020-05-27,28.0553
2020-05-28,28.2821
2020-05-29,28.1849
2020-05-30,28.1849
2020-05-31,28.1849
2020-06-01,27.7258
2020-06-02,28.2389
2020-06-03,29.1193
2020-06-04,28.5684
2020-06-05,29.5082
2020-06-06,29.5082
2020-06-07,29.5082
2020-06-08,29.519
2020-06-09,29.0329
2020-06-10,28.8492
2020-06-11,27.4774
2020-06-12,27.8284
2020-06-13,27.8284
2020-06-14,27.8284
2020-06-15,29.4812
2020-06-16,28.8384
