,AJRD US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,13.9133
2020-01-02,14.3087
2020-01-03,14.9361
2020-01-04,14.9361
2020-01-05,14.9361
2020-01-06,14.972
2020-01-07,16.0373
2020-01-08,16.1288
2020-01-09,16.2072
2020-01-10,16.0667
2020-01-11,16.0667
2020-01-12,16.0667
2020-01-13,16.4653
2020-01-14,16.2725
2020-01-15,16.364
2020-01-16,16.4424
2020-01-17,16.3542
2020-01-18,16.3542
2020-01-19,16.3542
2020-01-20,16.3542
2020-01-21,15.8347
2020-01-22,15.9098
2020-01-23,15.8869
2020-01-24,15.8477
2020-01-25,15.8477
2020-01-26,15.8477
2020-01-27,16.266
2020-01-28,16.4065
2020-01-29,16.2464
2020-01-30,16.2562
2020-01-31,16.0079
2020-02-01,16.0079
2020-02-02,16.0079
2020-02-03,15.8249
2020-02-04,16.2758
2020-02-05,16.5437
2020-02-06,16.5633
2020-02-07,16.6287
2020-02-08,16.6287
2020-02-09,16.6287
2020-02-10,16.6516
2020-02-11,16.6875
2020-02-12,16.9326
2020-02-13,17.1286
2020-02-14,17.2789
2020-02-15,17.2789
2020-02-16,17.2789
2020-02-17,17.2789
2020-02-18,16.5078
2020-02-19,16.3542
2020-02-20,16.7635
2020-02-21,16.7046
2020-02-22,16.7046
2020-02-23,16.7046
2020-02-24,16.2732
2020-02-25,15.7078
2020-02-26,15.6588
2020-02-27,15.4725
2020-02-28,15.0999
2020-02-29,15.0999
2020-03-01,15.0999
2020-03-02,15.6588
2020-03-03,15.4202
2020-03-04,16.2307
2020-03-05,15.2927
2020-03-06,14.8547
2020-03-07,14.8547
2020-03-08,14.8547
2020-03-09,13.7991
2020-03-10,13.8023
2020-03-11,13.1356
2020-03-12,11.4491
2020-03-13,13.1291
2020-03-14,13.1291
2020-03-15,13.1291
2020-03-16,10.6255
2020-03-17,11.9525
2020-03-18,11.7237
2020-03-19,12.3185
2020-03-20,11.6158
2020-03-21,11.6158
2020-03-22,11.6158
2020-03-23,11.4426
2020-03-24,12.2107
2020-03-25,11.3772
2020-03-26,13.0408
2020-03-27,12.3545
2020-03-28,12.3545
2020-03-29,12.3545
2020-03-30,13.063
2020-03-31,13.194
2020-04-01,12.6963
2020-04-02,13.1026
2020-04-03,12.8216
2020-04-04,12.8216
2020-04-05,12.8216
2020-04-06,13.9049
2020-04-07,13.2143
2020-04-08,13.7594
2020-04-09,13.756
2020-04-10,13.756
2020-04-11,13.756
2020-04-12,13.756
2020-04-13,13.5021
2020-04-14,13.8034
2020-04-15,13.0146
2020-04-16,13.2245
2020-04-17,13.7763
2020-04-18,13.7763
2020-04-19,13.7763
2020-04-20,13.3226
2020-04-21,12.8047
2020-04-22,12.9976
2020-04-23,12.7234
2020-04-24,13.1703
2020-04-25,13.1703
2020-04-26,13.1703
2020-04-27,13.0958
2020-04-28,13.3302
2020-04-29,13.3776
2020-04-30,12.9579
2020-05-01,12.8936
2020-05-02,12.8936
2020-05-03,12.8936
2020-05-04,12.5788
2020-05-05,12.7683
2020-05-06,12.5517
2020-05-07,12.6126
2020-05-08,13.0696
2020-05-09,13.0696
2020-05-10,13.0696
2020-05-11,12.8225
2020-05-12,12.3351
2020-05-13,12.4908
2020-05-14,12.1828
2020-05-15,12.1117
2020-05-16,12.1117
2020-05-17,12.1117
2020-05-18,12.704
2020-05-19,12.5788
2020-05-20,12.7413
2020-05-21,12.8394
2020-05-22,12.6363
2020-05-23,12.6363
2020-05-24,12.6363
2020-05-25,12.6363
2020-05-26,13.0121
2020-05-27,14.0681
2020-05-28,13.821
2020-05-29,13.8752
2020-05-30,13.8752
2020-05-31,13.8752
2020-06-01,13.8075
2020-06-02,13.8109
2020-06-03,14.1494
2020-06-04,14.3524
2020-06-05,14.4201
2020-06-06,14.4201
2020-06-07,14.4201
2020-06-08,14.6097
2020-06-09,14.6537
2020-06-10,13.9835
2020-06-11,12.8902
2020-06-12,12.8733
2020-06-13,12.8733
2020-06-14,12.8733
2020-06-15,12.941
2020-06-16,13.2456
2020-06-17,12.9748
2020-06-18,12.7548
2020-06-19,12.2505
2020-06-20,12.2505
2020-06-21,12.2505
2020-06-22,12.9071
2020-06-23,12.5551
2020-06-24,12.3317
2020-06-25,12.7616
2020-06-26,12.1895
2020-06-27,12.1895
2020-06-28,12.1895
2020-06-29,12.836
2020-06-30,11.9915
2020-07-01,11.8104
2020-07-02,11.7046
2020-07-03,11.7046
2020-07-04,11.7046
2020-07-05,11.7046
2020-07-06,11.6875
2020-07-07,11.1615
2020-07-08,10.9907
2020-07-09,10.6115
2020-07-10,10.7481
2020-07-11,10.7481
2020-07-12,10.7481
2020-07-13,10.5842
2020-07-14,10.7755
2020-07-15,11.4825
