,DRI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,22.0789
2020-01-02,22.4008
2020-01-03,22.4179
2020-01-04,22.4179
2020-01-05,22.4179
2020-01-06,22.5228
2020-01-07,22.3852
2020-01-08,22.6263
2020-01-09,22.7028
2020-01-10,22.7255
2020-01-11,22.7255
2020-01-12,22.7255
2020-01-13,22.5412
2020-01-14,22.3938
2020-01-15,22.2633
2020-01-16,22.5072
2020-01-17,22.5795
2020-01-18,22.5795
2020-01-19,22.5795
2020-01-20,22.5795
2020-01-21,22.7255
2020-01-22,22.7865
2020-01-23,23.1608
2020-01-24,23.0857
2020-01-25,23.0857
2020-01-26,23.0857
2020-01-27,22.985
2020-01-28,23.1367
2020-01-29,23.3863
2020-01-30,23.2445
2020-01-31,22.9921
2020-02-01,22.9921
2020-02-02,22.9921
2020-02-03,22.778
2020-02-04,22.8687
2020-02-05,23.141
2020-02-06,23.7109
2020-02-07,23.5989
2020-02-08,23.5989
2020-02-09,23.5989
2020-02-10,23.7521
2020-02-11,23.8144
2020-02-12,23.8456
2020-02-13,23.8201
2020-02-14,23.7407
2020-02-15,23.7407
2020-02-16,23.7407
2020-02-17,23.7407
2020-02-18,23.5677
2020-02-19,23.5947
2020-02-20,23.5947
2020-02-21,23.1662
2020-02-22,23.1662
2020-02-23,23.1662
2020-02-24,22.7178
2020-02-25,21.86
2020-02-26,21.2062
2020-02-27,20.1292
2020-02-28,19.8693
2020-02-29,19.8693
2020-03-01,19.8693
2020-03-02,20.0509
2020-03-03,19.5634
2020-03-04,19.5285
2020-03-05,18.5352
2020-03-06,18.5631
2020-03-07,18.5631
2020-03-08,18.5631
2020-03-09,17.0656
2020-03-10,17.7878
2020-03-11,16.0569
2020-03-12,14.5147
2020-03-13,15.3738
2020-03-14,15.3738
2020-03-15,15.3738
2020-03-16,13.1233
2020-03-17,12.1063
2020-03-18,11.0208
2020-03-19,12.1747
2020-03-20,11.6969
2020-03-21,11.6969
2020-03-22,11.6969
2020-03-23,11.9805
2020-03-24,13.7771
2020-03-25,14.4141
2020-03-26,14.7088
2020-03-27,13.8846
2020-03-28,13.8846
2020-03-29,13.8846
2020-03-30,14.1906
2020-03-31,13.8567
2020-04-01,12.6413
2020-04-02,12.4038
2020-04-03,12.5663
2020-04-04,12.5663
2020-04-05,12.5663
2020-04-06,13.5275
2020-04-07,14.4388
2020-04-08,15.0792
2020-04-09,15.1861
2020-04-10,15.1861
2020-04-11,15.1861
2020-04-12,15.1861
2020-04-13,14.7069
2020-04-14,14.743
2020-04-15,14.4152
2020-04-16,14.3026
2020-04-17,15.0486
2020-04-18,15.0486
2020-04-19,15.0486
2020-04-20,14.8319
2020-04-21,15.7037
2020-04-22,16.4473
2020-04-23,16.2338
2020-04-24,16.5249
2020-04-25,16.5249
2020-04-26,16.5249
2020-04-27,17.0595
2020-04-28,17.4179
2020-04-29,17.9271
2020-04-30,17.2671
2020-05-01,16.6787
2020-05-02,16.6787
2020-05-03,16.6787
2020-05-04,16.7937
2020-05-05,16.5503
2020-05-06,16.4339
2020-05-07,16.7803
2020-05-08,17.4059
2020-05-09,17.4059
2020-05-10,17.4059
2020-05-11,17.288
2020-05-12,16.7489
2020-05-13,16.0859
2020-05-14,16.2024
2020-05-15,16.6429
2020-05-16,16.6429
2020-05-17,16.6429
2020-05-18,17.5149
2020-05-19,17.5702
2020-05-20,17.9435
2020-05-21,17.7792
2020-05-22,17.5418
2020-05-23,17.5418
2020-05-24,17.5418
2020-05-25,17.5418
2020-05-26,17.9659
2020-05-27,18.4273
2020-05-28,18.1197
2020-05-29,64.9318
2020-05-30,64.9318
2020-05-31,64.9318
2020-06-01,65.7348
2020-06-02,65.6296
2020-06-03,69.9545
2020-06-04,70.0154
2020-06-05,69.7662
2020-06-06,69.7662
2020-06-07,69.7662
2020-06-08,69.2955
2020-06-09,67.1635
2020-06-10,65.4358
2020-06-11,62.7555
2020-06-12,64.4224
2020-06-13,64.4224
2020-06-14,64.4224
2020-06-15,64.7325
2020-06-16,64.8488
2020-06-17,63.4533
2020-06-18,63.4201
2020-06-19,61.2825
2020-06-20,61.2825
2020-06-21,61.2825
2020-06-22,61.8806
2020-06-23,64.0957
2020-06-24,61.5816
2020-06-25,63.6748
2020-06-26,62.7666
2020-06-27,62.7666
2020-06-28,62.7666
2020-06-29,64.8045
2020-06-30,64.3282
2020-07-01,64.5165
2020-07-02,63.78
2020-07-03,63.78
2020-07-04,63.78
2020-07-05,63.78
2020-07-06,63.8963
2020-07-07,62.3458
2020-07-08,62.8608
2020-07-09,61.8751
2020-07-10,62.2904
2020-07-11,62.2904
2020-07-12,62.2904
2020-07-13,62.7389
2020-07-14,62.7555
2020-07-15,66.1833
2020-07-16,64.8377
2020-07-17,65.2918
2020-07-18,65.2918
2020-07-19,65.2918
2020-07-20,63.5087
2020-07-21,64.1787
2020-07-22,65.2253
2020-07-23,64.5497
2020-07-24,65.9224
2020-07-25,65.9224
2020-07-26,65.9224
2020-07-27,64.6652
2020-07-28,64.3717
2020-07-29,66.0332
2020-07-30,65.8726
2020-07-31,64.4049
2020-08-01,64.4049
2020-08-02,64.4049
2020-08-03,63.624
2020-08-04,64.7262
2020-08-05,64.3219
2020-08-06,64.7317
2020-08-07,66.155
2020-08-08,66.155
2020-08-09,66.155
2020-08-10,67.523
2020-08-11,69.0355
2020-08-12,69.2906
2020-08-13,69.2629
2020-08-14,68.9967
2020-08-15,68.9967
2020-08-16,68.9967
2020-08-17,68.9024
2020-08-18,68.3089
2020-08-19,66.6672
2020-08-20,67.2441
2020-08-21,68.2424
2020-08-22,68.2424
2020-08-23,68.2424
2020-08-24,68.3367
2020-08-25,68.1869
2020-08-26,68.2535
2020-08-27,69.934
2020-08-28,69.934
2020-08-29,69.934
2020-08-30,69.934
2020-08-31,69.934
2020-09-01,69.934
2020-09-02,69.934
2020-09-03,69.934
2020-09-04,69.934
2020-09-05,69.934
2020-09-06,69.934
2020-09-07,69.934
2020-09-08,69.934
2020-09-09,69.934
2020-09-10,69.934
2020-09-11,69.934
2020-09-12,69.934
2020-09-13,69.934
2020-09-14,69.934
2020-09-15,69.934
2020-09-16,69.934
2020-09-17,69.934
2020-09-18,69.934
2020-09-19,69.934
2020-09-20,69.934
2020-09-21,69.934
2020-09-22,69.934
2020-09-23,69.934
2020-09-24,69.934
2020-09-25,69.934
2020-09-26,69.934
2020-09-27,69.934
2020-09-28,69.934
2020-09-29,69.934
2020-09-30,69.934
