,ENSG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,15.3187
2020-01-02,15.239
2020-01-03,15.3055
2020-01-04,15.3055
2020-01-05,15.3055
2020-01-06,15.3984
2020-01-07,15.3431
2020-01-08,15.5312
2020-01-09,15.6629
2020-01-10,15.6397
2020-01-11,15.6397
2020-01-12,15.6397
2020-01-13,15.7459
2020-01-14,15.602
2020-01-15,15.6994
2020-01-16,15.8544
2020-01-17,15.7968
2020-01-18,15.7968
2020-01-19,15.7968
2020-01-20,15.7968
2020-01-21,15.7282
2020-01-22,15.7968
2020-01-23,15.4394
2020-01-24,15.2081
2020-01-25,15.2081
2020-01-26,15.2081
2020-01-27,15.1948
2020-01-28,15.4095
2020-01-29,15.4537
2020-01-30,15.5312
2020-01-31,15.2811
2020-02-01,15.2811
2020-02-02,15.2811
2020-02-03,15.4161
2020-02-04,15.6242
2020-02-05,15.9141
2020-02-06,16.8601
2020-02-07,17.0533
2020-02-08,17.0533
2020-02-09,17.0533
2020-02-10,17.1066
2020-02-11,16.9756
2020-02-12,16.9778
2020-02-13,17.0644
2020-02-14,16.8468
2020-02-15,16.8468
2020-02-16,16.8468
2020-02-17,16.8468
2020-02-18,16.8979
2020-02-19,16.8801
2020-02-20,16.758
2020-02-21,16.6469
2020-02-22,16.6469
2020-02-23,16.6469
2020-02-24,16.1139
2020-02-25,15.8985
2020-02-26,15.8941
2020-02-27,15.4766
2020-02-28,15.159
2020-02-29,15.159
2020-03-01,15.159
2020-03-02,15.1212
2020-03-03,14.6082
2020-03-04,15.4055
2020-03-05,15.2567
2020-03-06,15.3966
2020-03-07,15.3966
2020-03-08,15.3966
2020-03-09,13.5223
2020-03-10,13.5933
2020-03-11,13.1736
2020-03-12,12.1276
2020-03-13,12.2476
2020-03-14,12.2476
2020-03-15,12.2476
2020-03-16,10.8263
2020-03-17,11.4614
2020-03-18,11.739
2020-03-19,13.0826
2020-03-20,12.6673
2020-03-21,12.6673
2020-03-22,12.6673
2020-03-23,12.4541
2020-03-24,13.6133
2020-03-25,13.0915
2020-03-26,13.2203
2020-03-27,12.8094
2020-03-28,12.8094
2020-03-29,12.8094
2020-03-30,13.7977
2020-03-31,12.4987
2020-04-01,10.7978
2020-04-02,11.3857
2020-04-03,11.5276
2020-04-04,11.5276
2020-04-05,11.5276
2020-04-06,12.1885
2020-04-07,11.9026
2020-04-08,12.3973
2020-04-09,12.8676
2020-04-10,12.8676
2020-04-11,12.8676
2020-04-12,12.8676
2020-04-13,12.3081
2020-04-14,12.527
2020-04-15,12.0648
2020-04-16,12.2736
2020-04-17,12.4447
2020-04-18,12.4447
2020-04-19,12.4447
2020-04-20,12.3898
2020-04-21,11.963
2020-04-22,12.087
2020-04-23,12.5626
2020-04-24,12.2719
2020-04-25,12.2719
2020-04-26,12.2719
2020-04-27,12.7861
2020-04-28,12.5382
2020-04-29,13.156
2020-04-30,12.4772
2020-05-01,12.2841
2020-05-02,12.2841
2020-05-03,12.2841
2020-05-04,11.8146
2020-05-05,12.1032
2020-05-06,11.7394
2020-05-07,11.8675
2020-05-08,12.4731
2020-05-09,12.4731
2020-05-10,12.4731
2020-05-11,12.6845
2020-05-12,12.6692
2020-05-13,12.2891
2020-05-14,12.5309
2020-05-15,12.6732
2020-05-16,12.6732
2020-05-17,12.6732
2020-05-18,13.3074
2020-05-19,13.0249
2020-05-20,13.3826
2020-05-21,13.4924
2020-05-22,13.6631
2020-05-23,13.6631
2020-05-24,13.6631
2020-05-25,13.6631
2020-05-26,13.9131
2020-05-27,14.4111
2020-05-28,13.9883
2020-05-29,13.7596
2020-05-30,13.7596
2020-05-31,13.7596
2020-06-01,13.6356
2020-06-02,13.7007
2020-06-03,14.032
2020-06-04,13.8358
2020-06-05,14.4608
2020-06-06,14.4608
2020-06-07,14.4608
2020-06-08,14.6762
2020-06-09,14.4161
2020-06-10,14.1905
2020-06-11,13.3084
2020-06-12,13.408
2020-06-13,13.408
2020-06-14,13.408
2020-06-15,13.5706
2020-06-16,13.7718
2020-06-17,13.5381
2020-06-18,13.4507
2020-06-19,13.3816
2020-06-20,13.3816
2020-06-21,13.3816
2020-06-22,13.4344
2020-06-23,13.3694
2020-06-24,13.0828
2020-06-25,13.1865
2020-06-26,12.8044
2020-06-27,12.8044
2020-06-28,12.8044
2020-06-29,13.1011
2020-06-30,11.324
2020-07-01,11.4519
2020-07-02,11.4348
2020-07-03,11.4348
2020-07-04,11.4348
2020-07-05,11.4348
2020-07-06,11.5723
2020-07-07,11.2247
2020-07-08,11.196
2020-07-09,11.0261
2020-07-10,11.1617
2020-07-11,11.1617
2020-07-12,11.1617
2020-07-13,11.1158
2020-07-14,11.1922
2020-07-15,11.9084
2020-07-16,11.874
2020-07-17,11.9886
2020-07-18,11.9886
2020-07-19,11.9886
2020-07-20,11.8263
2020-07-21,12.0268
2020-07-22,12.0917
2020-07-23,12.0583
2020-07-24,11.96
2020-07-25,11.96
2020-07-26,11.96
2020-07-27,12.1815
2020-07-28,12.0306
2020-07-29,12.1968
2020-07-30,12.2216
2020-07-31,12.1147
2020-08-01,12.1147
2020-08-02,12.1147
2020-08-03,12.382
2020-08-04,12.1586
2020-08-05,12.6466
2020-08-06,14.0397
2020-08-07,14.2406
2020-08-08,14.2406
2020-08-09,14.2406
2020-08-10,14.0779
2020-08-11,14.0741
2020-08-12,14.1066
2020-08-13,14.1219
2020-08-14,13.9593
2020-08-15,13.9593
2020-08-16,13.9593
2020-08-17,13.8847
2020-08-18,13.9019
2020-08-19,14.1679
2020-08-20,14.3439
2020-08-21,14.4224
2020-08-22,14.4224
2020-08-23,14.4224
2020-08-24,14.4779
2020-08-25,14.43
2020-08-26,14.254
2020-08-27,14.4415
2020-08-28,14.5525
2020-08-29,14.5525
2020-08-30,14.5525
2020-08-31,14.5334
2020-09-01,14.5621
2020-09-02,14.8013
2020-09-03,14.2942
2020-09-04,14.0282
2020-09-05,14.0282
2020-09-06,14.0282
2020-09-07,14.0282
2020-09-08,13.8808
2020-09-09,14.1105
2020-09-10,13.81
2020-09-11,13.5574
2020-09-12,13.5574
2020-09-13,13.5574
2020-09-14,13.9478
2020-09-15,13.854
2020-09-16,14.0397
2020-09-17,13.8196
2020-09-18,13.9727
2020-09-19,13.9727
2020-09-20,13.9727
2020-09-21,13.8406
2020-09-22,13.9325
2020-09-23,13.6933
2020-09-24,13.7431
2020-09-25,14.0339
2020-09-26,14.0339
2020-09-27,14.0339
2020-09-28,14.1411
2020-09-29,14.0511
2020-09-30,13.0432
2020-10-01,12.9764
2020-10-02,12.9255
2020-10-03,12.9255
2020-10-04,12.9255
2020-10-05,13.182
2020-10-06,13.0836
2020-10-07,13.2048
2020-10-08,13.4384
2020-10-09,13.4718
2020-10-10,13.4718
2020-10-11,13.4718
2020-10-12,13.3489
2020-10-13,13.4595
2020-10-14,13.528
2020-10-15,13.2768
2020-10-16,13.2118
2020-10-17,13.2118
2020-10-18,13.2118
2020-10-19,13.0678
2020-10-20,13.1662
2020-10-21,13.2118
2020-10-22,13.4701
2020-10-23,13.5192
2020-10-24,13.5192
2020-10-25,13.5192
2020-10-26,13.3137
2020-10-27,13.2224
2020-10-28,13.0495
2020-10-29,13.6006
2020-10-30,13.4464
2020-10-31,13.4464
2020-11-01,13.4464
2020-11-02,13.8044
2020-11-03,14.1818
2020-11-04,14.1163
2020-11-05,14.0631
2020-11-06,13.8806
2020-11-07,13.8806
2020-11-08,13.8806
2020-11-09,14.3183
2020-11-10,14.7081
2020-11-11,14.8516
2020-11-12,14.414
2020-11-13,15.0218
2020-11-14,15.0218
2020-11-15,15.0218
2020-11-16,15.3159
2020-11-17,15.3602
2020-11-18,15.1547
2020-11-19,15.2982
2020-11-20,15.4063
2020-11-21,15.4063
2020-11-22,15.4063
2020-11-23,15.4967
2020-11-24,15.6561
2020-11-25,15.8564
2020-11-26,15.8564
2020-11-27,15.7004
2020-11-28,15.7004
2020-11-29,15.7004
2020-11-30,15.7554
2020-12-01,15.6987
2020-12-02,15.4488
2020-12-03,15.5711
2020-12-04,15.8759
2020-12-05,15.8759
2020-12-06,15.8759
2020-12-07,16.1098
2020-12-08,16.4624
2020-12-09,16.4695
2020-12-10,16.4606
2020-12-11,15.8174
2020-12-12,15.8174
2020-12-13,15.8174
2020-12-14,15.7518
2020-12-15,16.4535
2020-12-16,16.225
2020-12-17,16.2001
2020-12-18,16.5173
2020-12-19,16.5173
2020-12-20,16.5173
2020-12-21,15.9361
2020-12-22,15.9698
2020-12-23,15.8776
2020-12-24,15.9237
2020-12-25,15.9237
2020-12-26,15.9237
2020-12-27,15.9237
2020-12-28,16.1115
2020-12-29,15.9024
2020-12-30,15.9397
2020-12-31,14.1388
2021-01-01,14.1388
2021-01-02,14.1388
2021-01-03,14.1388
2021-01-04,14.5239
2021-01-05,15.3625
2021-01-06,16.2377
2021-01-07,16.1231
2021-01-08,15.8908
2021-01-09,15.8908
2021-01-10,15.8908
2021-01-11,15.8152
2021-01-12,15.8876
2021-01-13,15.8224
2021-01-14,16.0165
2021-01-15,16.0133
2021-01-16,16.0133
2021-01-17,16.0133
2021-01-18,16.0133
2021-01-19,16.0324
2021-01-20,16.112
2021-01-21,15.7826
2021-01-22,16.0897
2021-01-23,16.0897
2021-01-24,16.0897
2021-01-25,16.1868
2021-01-26,16.0006
2021-01-27,15.4882
2021-01-28,15.4819
2021-01-29,14.9917
2021-01-30,14.9917
2021-01-31,14.9917
2021-02-01,16.0293
2021-02-02,16.2616
2021-02-03,16.6928
2021-02-04,16.4326
2021-02-05,15.9849
2021-02-06,15.9849
2021-02-07,15.9849
2021-02-08,16.0876
2021-02-09,16.277
2021-02-10,16.3925
2021-02-11,16.6877
2021-02-12,16.439
2021-02-13,16.439
2021-02-14,16.439
2021-02-15,16.439
2021-02-16,16.0523
2021-02-17,16.1277
2021-02-18,15.887
2021-02-19,15.956
2021-02-20,15.956
2021-02-21,15.956
2021-02-22,15.9223
2021-02-23,15.7683
2021-02-24,16.2449
2021-02-25,15.5212
2021-02-26,15.6961
2021-02-27,15.6961
2021-02-28,15.6961
2021-03-01,15.8886
2021-03-02,15.6977
2021-03-03,15.7474
2021-03-04,15.7795
2021-03-05,15.5084
2021-03-06,15.5084
2021-03-07,15.5084
2021-03-08,15.8935
2021-03-09,16.3363
2021-03-10,16.6492
2021-03-11,16.7904
2021-03-12,16.9782
2021-03-13,16.9782
2021-03-14,16.9782
2021-03-15,17.2766
2021-03-16,16.6492
2021-03-17,16.4984
2021-03-18,16.784
2021-03-19,16.9348
2021-03-20,16.9348
2021-03-21,16.9348
2021-03-22,17.1017
2021-03-23,16.7086
2021-03-24,17.0279
2021-03-25,17.4916
2021-03-26,17.9602
2021-03-27,17.9602
2021-03-28,17.9602
2021-03-29,17.1836
2021-03-30,17.4018
2021-03-31,17.4852
2021-04-01,17.4711
2021-04-02,17.4711
2021-04-03,17.4711
2021-04-04,17.4711
2021-04-05,17.5463
2021-04-06,17.6012
2021-04-07,17.1779
2021-04-08,17.7485
2021-04-09,17.4225
2021-04-10,17.4225
2021-04-11,17.4225
2021-04-12,17.1967
2021-04-13,17.1967
2021-04-14,17.3425
2021-04-15,17.4021
2021-04-16,17.2757
2021-04-17,17.2757
2021-04-18,17.2757
2021-04-19,16.674
2021-04-20,16.5763
2021-04-21,16.8756
2021-04-22,16.4897
2021-04-23,16.6945
2021-04-24,16.6945
2021-04-25,16.6945
2021-04-26,16.7323
2021-04-27,16.6913
2021-04-28,16.7528
2021-04-29,16.4267
2021-04-30,16.3019
2021-05-01,16.3019
2021-05-02,16.3019
2021-05-03,16.5509
2021-05-04,16.4107
2021-05-05,16.376
2021-05-06,16.2105
2021-05-07,16.3791
2021-05-08,16.3791
2021-05-09,16.3791
2021-05-10,16.0057
2021-05-11,16.0104
2021-05-12,15.6559
2021-05-13,15.8355
2021-05-14,16.0041
2021-05-15,16.0041
2021-05-16,16.0041
2021-05-17,15.7126
2021-05-18,15.7016
2021-05-19,15.7945
2021-05-20,15.9064
2021-05-21,15.8008
2021-05-22,15.8008
2021-05-23,15.8008
2021-05-24,15.5755
2021-05-25,15.7268
2021-05-26,15.8544
2021-05-27,15.7268
2021-05-28,15.8844
2021-05-29,15.8844
2021-05-30,15.8844
2021-05-31,15.8844
2021-06-01,15.9978
2021-06-02,15.7441
2021-06-03,15.7677
2021-06-04,15.7945
2021-06-05,15.7945
2021-06-06,15.7945
2021-06-07,15.8938
2021-06-08,15.9805
2021-06-09,15.8702
2021-06-10,15.919
2021-06-11,16.0624
2021-06-12,16.0624
2021-06-13,16.0624
2021-06-14,16.0325
2021-06-15,16.231
2021-06-16,16.157
2021-06-17,16.3271
2021-06-18,15.9127
2021-06-19,15.9127
2021-06-20,15.9127
2021-06-21,16.0656
2021-06-22,16.1696
2021-06-23,16.2074
2021-06-24,16.4847
2021-06-25,16.5698
2021-06-26,16.5698
2021-06-27,16.5698
2021-06-28,16.8282
2021-06-29,16.6612
2021-06-30,16.0602
2021-07-01,16.3961
2021-07-02,16.3608
2021-07-03,16.3608
2021-07-04,16.3608
2021-07-05,16.3608
2021-07-06,16.2703
2021-07-07,16.3639
2021-07-08,16.1415
2021-07-09,16.1905
2021-07-10,16.1905
2021-07-11,16.1905
2021-07-12,16.4666
2021-07-13,16.2105
2021-07-14,16.1553
2021-07-15,16.0648
2021-07-16,16.1031
2021-07-17,16.1031
2021-07-18,16.1031
2021-07-19,15.9865
2021-07-20,16.1031
2021-07-21,16.0142
2021-07-22,15.7749
2021-07-23,15.9988
2021-07-24,15.9988
2021-07-25,15.9988
2021-07-26,15.8163
2021-07-27,15.8838
2021-07-28,16.0744
2021-07-29,15.5975
2021-07-30,15.8529
2021-07-31,15.8529
2021-08-01,15.8529
2021-08-02,15.7467
2021-08-03,15.8821
2021-08-04,15.6114
2021-08-05,15.7298
2021-08-06,15.8283
2021-08-07,15.8283
2021-08-08,15.8283
2021-08-09,15.7821
2021-08-10,15.7267
2021-08-11,15.6175
2021-08-12,15.7098
2021-08-13,15.6252
2021-08-14,15.6252
2021-08-15,15.6252
2021-08-16,15.5883
2021-08-17,15.3545
2021-08-18,15.0437
2021-08-19,15.0145
2021-08-20,15.3176
2021-08-21,15.3176
2021-08-22,15.3176
2021-08-23,15.3914
2021-08-24,15.293
2021-08-25,15.1622
2021-08-26,15.0545
2021-08-27,15.4283
2021-08-28,15.4283
2021-08-29,15.4283
2021-08-30,15.2822
2021-08-31,15.3299
2021-09-01,15.5268
2021-09-02,15.5637
2021-09-03,15.5129
2021-09-04,15.5129
2021-09-05,15.5129
2021-09-06,15.5129
2021-09-07,15.2776
2021-09-08,15.2345
2021-09-09,15.0837
2021-09-10,15.0853
2021-09-11,15.0853
2021-09-12,15.0853
2021-09-13,15.1314
2021-09-14,14.9391
2021-09-15,14.7176
2021-09-16,14.9053
2021-09-17,14.7622
2021-09-18,14.7622
2021-09-19,14.7622
2021-09-20,14.5853
2021-09-21,14.5761
2021-09-22,14.6315
2021-09-23,14.4438
2021-09-24,14.3654
2021-09-25,14.3654
2021-09-26,14.3654
2021-09-27,14.6007
2021-09-28,14.3684
2021-09-29,14.3315
2021-09-30,13.6837
2021-10-01,13.7917
2021-10-02,13.7917
2021-10-03,13.7917
2021-10-04,13.7798
