,ON US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,29.7391
2020-01-02,30.3846
2020-01-03,30.0333
2020-01-04,30.0333
2020-01-05,30.0333
2020-01-06,29.4448
2020-01-07,30.0049
2020-01-08,30.1567
2020-01-09,30.1947
2020-01-10,29.9289
2020-01-11,29.9289
2020-01-12,29.9289
2020-01-13,30.6313
2020-01-14,30.9161
2020-01-15,30.2137
2020-01-16,30.3561
2020-01-17,30.3276
2020-01-18,30.3276
2020-01-19,30.3276
2020-01-20,30.3276
2020-01-21,30.1283
2020-01-22,30.1283
2020-01-23,30.7737
2020-01-24,30.3181
2020-01-25,30.3181
2020-01-26,30.3181
2020-01-27,29.0557
2020-01-28,29.5398
2020-01-29,29.2645
2020-01-30,29.3214
2020-01-31,28.5716
2020-02-01,28.5716
2020-02-02,28.5716
2020-02-03,25.4914
2020-02-04,25.4107
2020-02-05,26.6732
2020-02-06,26.4453
2020-02-07,26.0087
2020-02-08,26.0087
2020-02-09,26.0087
2020-02-10,26.0941
2020-02-11,26.9105
2020-02-12,26.8962
2020-02-13,27.1288
2020-02-14,26.9484
2020-02-15,26.9484
2020-02-16,26.9484
2020-02-17,26.9484
2020-02-18,26.6352
2020-02-19,26.4524
2020-02-20,26.1674
2020-02-21,25.6117
2020-02-22,25.6117
2020-02-23,25.6117
2020-02-24,24.9799
2020-02-25,24.2864
2020-02-26,24.0394
2020-02-27,23.2604
2020-02-28,24.3244
2020-02-29,24.3244
2020-03-01,24.3244
2020-03-02,24.5809
2020-03-03,23.8209
2020-03-04,24.3909
2020-03-05,23.5359
2020-03-06,23.0134
2020-03-07,23.0134
2020-03-08,23.0134
2020-03-09,21.3509
2020-03-10,22.6429
2020-03-11,20.9139
2020-03-12,18.8809
2020-03-13,20.3629
2020-03-14,20.3629
2020-03-15,20.3629
2020-03-16,17.8169
2020-03-17,17.5699
2020-03-18,14.6249
2020-03-19,16.5819
2020-03-20,16.8764
2020-03-21,16.8764
2020-03-22,16.8764
2020-03-23,17.5129
2020-03-24,19.7549
2020-03-25,20.6479
2020-03-26,20.0494
2020-03-27,18.8429
2020-03-28,18.8429
2020-03-29,18.8429
2020-03-30,18.9189
2020-03-31,18.4154
2020-04-01,17.0474
2020-04-02,17.3039
2020-04-03,27.1635
2020-04-04,27.1635
2020-04-05,27.1635
2020-04-06,30.0049
2020-04-07,29.8694
2020-04-08,31.3
2020-04-09,31.3
2020-04-10,31.3
2020-04-11,31.3
2020-04-12,31.3
2020-04-13,32.0228
2020-04-14,32.58
2020-04-15,31.1343
2020-04-16,30.7052
2020-04-17,31.3
2020-04-18,31.3
2020-04-19,31.3
2020-04-20,30.7428
2020-04-21,29.9447
2020-04-22,31.8722
2020-04-23,31.5861
2020-04-24,32.7005
2020-04-25,32.7005
2020-04-26,32.7005
2020-04-27,33.7998
2020-04-28,34.4774
2020-04-29,36.6007
2020-04-30,34.7861
2020-05-01,33.3932
2020-05-02,33.3932
2020-05-03,33.3932
2020-05-04,33.0167
2020-05-05,33.4384
2020-05-06,33.8751
2020-05-07,34.6882
2020-05-08,36.405
2020-05-09,36.405
2020-05-10,36.405
2020-05-11,34.2391
2020-05-12,33.1685
2020-05-13,31.8113
2020-05-14,32.8141
2020-05-15,31.9621
2020-05-16,31.9621
2020-05-17,31.9621
2020-05-18,34.1637
2020-05-19,33.9677
2020-05-20,35.159
2020-05-21,34.1864
2020-05-22,34.3598
2020-05-23,34.3598
2020-05-24,34.3598
2020-05-25,34.3598
2020-05-26,35.7773
2020-05-27,36.9158
2020-05-28,34.8423
2020-05-29,35.4908
2020-05-30,35.4908
2020-05-31,35.4908
2020-06-01,35.9281
2020-06-02,36.471
2020-06-03,39.0195
2020-06-04,39.2457
2020-06-05,41.0251
2020-06-06,41.0251
2020-06-07,41.0251
2020-06-08,42.0203
2020-06-09,41.0402
2020-06-10,39.9695
2020-06-11,37.9639
2020-06-12,39.2607
2020-06-13,39.2607
2020-06-14,39.2607
2020-06-15,40.1203
2020-06-16,40.6933
2020-06-17,40.4671
2020-06-18,40.2108
2020-06-19,39.8639
2020-06-20,39.8639
2020-06-21,39.8639
2020-06-22,40.1655
2020-06-23,41.0552
2020-06-24,39.7131
2020-06-25,39.9996
2020-06-26,39.4115
2020-06-27,39.4115
2020-06-28,39.4115
2020-06-29,40.06
2020-06-30,40.5124
2020-07-01,39.3512
2020-07-02,68.3797
2020-07-03,68.3797
2020-07-04,68.3797
2020-07-05,68.3797
2020-07-06,69.6357
2020-07-07,68.6152
2020-07-08,70.4468
2020-07-09,72.5139
2020-07-10,71.8074
2020-07-11,71.8074
2020-07-12,71.8074
2020-07-13,71.9644
2020-07-14,72.3307
2020-07-15,74.5287
2020-07-16,74.0315
2020-07-17,73.639
2020-07-18,73.639
2020-07-19,73.639
2020-07-20,74.7903
2020-07-21,74.8688
2020-07-22,74.3194
2020-07-23,72.7756
2020-07-24,71.7551
2020-07-25,71.7551
2020-07-26,71.7551
2020-07-27,73.8745
2020-07-28,71.8336
2020-07-29,73.0372
2020-07-30,72.5401
2020-07-31,72.0953
2020-08-01,72.0953
2020-08-02,72.0953
2020-08-03,73.7699
2020-08-04,74.9473
2020-08-05,73.8222
2020-08-06,73.482
2020-08-07,72.7232
2020-08-08,72.7232
2020-08-09,72.7232
2020-08-10,75.6612
2020-08-11,76.3691
2020-08-12,76.8672
2020-08-13,75.6088
2020-08-14,75.9758
2020-08-15,75.9758
2020-08-16,75.9758
2020-08-17,75.7661
2020-08-18,75.2155
2020-08-19,74.9796
2020-08-20,73.4065
2020-08-21,73.0133
2020-08-22,73.0133
2020-08-23,73.0133
2020-08-24,74.2586
2020-08-25,74.7961
2020-08-26,75.032
2020-08-27,74.1144
2020-08-28,75.9365
2020-08-29,75.9365
2020-08-30,75.9365
2020-08-31,74.2193
2020-09-01,75.2155
2020-09-02,76.8672
2020-09-03,74.429
2020-09-04,77.6537
2020-09-05,77.6537
2020-09-06,77.6537
2020-09-07,77.6537
2020-09-08,73.0657
2020-09-09,75.399
2020-09-10,74.6125
2020-09-11,74.7567
2020-09-12,74.7567
2020-09-13,74.7567
2020-09-14,75.8972
2020-09-15,75.9234
2020-09-16,76.002
2020-09-17,75.6088
2020-09-18,74.3504
2020-09-19,74.3504
2020-09-20,74.3504
2020-09-21,72.2268
2020-09-22,72.7773
2020-09-23,70.8373
2020-09-24,71.4403
2020-09-25,71.9122
2020-09-26,71.9122
2020-09-27,71.9122
2020-09-28,75.15
2020-09-29,75.2942
2020-09-30,75.0582
2020-10-01,78.2567
2020-10-02,37.4732
2020-10-03,37.4732
2020-10-04,37.4732
2020-10-05,38.3859
2020-10-06,38.0517
2020-10-07,38.643
2020-10-08,42.1007
2020-10-09,42.4992
2020-10-10,42.4992
2020-10-11,42.4992
2020-10-12,42.7049
2020-10-13,41.9272
2020-10-14,41.9594
2020-10-15,42.1393
2020-10-16,42.1393
2020-10-17,42.1393
2020-10-18,42.1393
2020-10-19,42.3193
2020-10-20,42.1779
2020-10-21,41.4452
2020-10-22,41.9465
2020-10-23,42.255
2020-10-24,42.255
2020-10-25,42.255
2020-10-26,41.4709
2020-10-27,40.9824
2020-10-28,40.1726
2020-10-29,41.0081
2020-10-30,40.8796
2020-10-31,40.8796
2020-11-01,40.8796
2020-11-02,39.9719
2020-11-03,40.8597
2020-11-04,41.9405
2020-11-05,42.661
2020-11-06,42.8283
2020-11-07,42.8283
2020-11-08,42.8283
2020-11-09,44.0506
2020-11-10,43.4845
2020-11-11,44.5653
2020-11-12,43.9863
2020-11-13,44.7261
2020-11-14,44.7261
2020-11-15,44.7261
2020-11-16,45.4017
2020-11-17,44.8612
2020-11-18,44.1407
2020-11-19,44.4624
2020-11-20,43.9348
2020-11-21,43.9348
2020-11-22,43.9348
2020-11-23,45.1829
2020-11-24,45.4403
2020-11-25,45.4017
2020-11-26,45.4017
2020-11-27,45.4917
2020-11-28,45.4917
2020-11-29,45.4917
2020-11-30,45.6204
2020-12-01,46.2895
2020-12-02,45.8906
2020-12-03,46.0707
2020-12-04,47.1258
2020-12-05,47.1258
2020-12-06,47.1258
2020-12-07,47.9686
2020-12-08,49.0172
2020-12-09,48.0908
2020-12-10,47.9236
2020-12-11,48.078
2020-12-12,48.078
2020-12-13,48.078
2020-12-14,48.2838
2020-12-15,48.9915
2020-12-16,48.657
2020-12-17,49.2874
2020-12-18,49.2102
2020-12-19,49.2102
2020-12-20,49.2102
2020-12-21,49.2617
2020-12-22,49.6091
2020-12-23,49.5448
2020-12-24,49.7892
2020-12-25,49.7892
2020-12-26,49.7892
