,GPC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-04-04,14.6115
2020-04-05,14.6115
2020-04-06,16.1048
2020-04-07,16.4866
2020-04-08,17.1437
2020-04-09,16.8768
2020-04-10,16.8768
2020-04-11,16.8768
2020-04-12,16.8768
2020-04-13,16.8126
2020-04-14,17.2991
2020-04-15,16.8515
2020-04-16,17.1826
2020-04-17,17.3802
2020-04-18,17.3802
2020-04-19,17.3802
2020-04-20,17.1319
2020-04-21,16.7704
2020-04-22,17.0846
2020-04-23,17.1184
2020-04-24,17.4444
2020-04-25,17.4444
2020-04-26,17.4444
2020-04-27,17.8667
2020-04-28,18.1522
2020-04-29,18.6404
2020-04-30,18.1624
2020-05-01,17.4714
2020-05-02,17.4714
2020-05-03,17.4714
2020-05-04,17.5458
2020-05-05,17.4393
2020-05-06,16.941
2020-05-07,17.1271
2020-05-08,17.583
2020-05-09,17.583
2020-05-10,17.583
2020-05-11,17.5076
2020-05-12,17.2025
2020-05-13,16.6091
2020-05-14,16.6711
2020-05-15,17.0265
2020-05-16,17.0265
2020-05-17,17.0265
2020-05-18,17.7288
2020-05-19,17.5763
2020-05-20,17.7138
2020-05-21,17.702
2020-05-22,17.7138
2020-05-23,17.7138
2020-05-24,17.7138
2020-05-25,17.7138
2020-05-26,18.572
2020-05-27,19.4018
2020-05-28,18.9022
2020-05-29,18.7514
2020-05-30,18.7514
2020-05-31,18.7514
2020-06-01,18.981
2020-06-02,18.9961
2020-06-03,19.7119
2020-06-04,19.8963
2020-06-05,20.2382
2020-06-06,20.2382
2020-06-07,20.2382
2020-06-08,20.4461
2020-06-09,20.1343
2020-06-10,19.6063
2020-06-11,18.7815
2020-06-12,19.1168
2020-06-13,19.1168
2020-06-14,19.1168
2020-06-15,19.1218
2020-06-16,19.618
2020-06-17,19.6364
2020-06-18,19.561
2020-06-19,19.4504
2020-06-20,19.4504
2020-06-21,19.4504
2020-06-22,19.4789
2020-06-23,19.5945
2020-06-24,18.9626
2020-06-25,19.028
2020-06-26,18.7933
2020-06-27,18.7933
2020-06-28,18.7933
2020-06-29,19.3565
2020-06-30,55.0707
2020-07-01,54.5293
2020-07-02,55.0094
2020-07-03,55.0094
2020-07-04,55.0094
2020-07-05,55.0094
2020-07-06,55.3209
2020-07-07,55.0094
2020-07-08,54.6519
2020-07-09,53.7888
2020-07-10,54.3659
2020-07-11,54.3659
2020-07-12,54.3659
2020-07-13,54.1361
2020-07-14,54.6672
2020-07-15,55.7346
2020-07-16,55.9286
2020-07-17,55.5303
2020-07-18,55.5303
2020-07-19,55.5303
2020-07-20,55.1064
