,IR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,31.4927
2020-01-02,31.6413
2020-01-03,31.5224
2020-01-04,31.5224
2020-01-05,31.5224
2020-01-06,31.1953
2020-01-07,30.9947
2020-01-08,30.8014
2020-01-09,30.8386
2020-01-10,30.348
2020-01-11,30.348
2020-01-12,30.348
2020-01-13,30.571
2020-01-14,30.1919
2020-01-15,29.8723
2020-01-16,30.3257
2020-01-17,30.6641
2020-01-18,30.6641
2020-01-19,30.6641
2020-01-20,30.6641
2020-01-21,29.9786
2020-01-22,29.9339
2020-01-23,30.2096
2020-01-24,30.0531
2020-01-25,30.0531
2020-01-26,30.0531
2020-01-27,29.9488
2020-01-28,30.7386
2020-01-29,31.1261
2020-01-30,31.208
2020-01-31,30.5374
2020-02-01,30.5374
2020-02-02,30.5374
2020-02-03,30.8802
2020-02-04,31.4688
2020-02-05,31.6104
2020-02-06,31.8115
2020-02-07,31.8637
2020-02-08,31.8637
2020-02-09,31.8637
2020-02-10,32.2139
2020-02-11,32.348
2020-02-12,32.8994
2020-02-13,32.2064
2020-02-14,31.67
2020-02-15,31.67
2020-02-16,31.67
2020-02-17,31.67
2020-02-18,32.2064
2020-02-19,33.0098
2020-02-20,33.7664
2020-02-21,33.7359
2020-02-22,33.7359
2020-02-23,33.7359
2020-02-24,32.1692
2020-02-25,31.5348
2020-02-26,31.5501
2020-02-27,29.2814
2020-02-28,28.6702
2020-02-29,28.6702
2020-03-01,28.6702
2020-03-02,53.7411
2020-03-03,52.0806
2020-03-04,50.9484
2020-03-05,44.7291
2020-03-06,46.1783
2020-03-07,46.1783
2020-03-08,46.1783
2020-03-09,39.4457
2020-03-10,40.2458
2020-03-11,39.6872
2020-03-12,36.4417
2020-03-13,38.9476
2020-03-14,38.9476
2020-03-15,38.9476
2020-03-16,36.3059
2020-03-17,36.7436
2020-03-18,33.2415
2020-03-19,34.434
2020-03-20,33.8302
2020-03-21,33.8302
2020-03-22,33.8302
2020-03-23,33.6642
2020-03-24,38.0569
2020-03-25,39.3702
2020-03-26,39.5665
2020-03-27,38.389
2020-03-28,38.389
2020-03-29,38.389
2020-03-30,40.0797
2020-03-31,112.411
2020-04-01,108.8838
2020-04-02,106.2646
2020-04-03,107.8361
2020-04-04,107.8361
2020-04-05,107.8361
2020-04-06,114.6111
2020-04-07,112.4808
2020-04-08,115.554
2020-04-09,118.3478
2020-04-10,118.3478
2020-04-11,118.3478
2020-04-12,118.3478
2020-04-13,117.37
2020-04-14,117.8239
2020-04-15,110.8744
2020-04-16,111.7125
2020-04-17,119.4304
2020-04-18,119.4304
2020-04-19,119.4304
2020-04-20,118.1033
2020-04-21,117.9287
2020-04-22,119.4653
2020-04-23,121.3511
2020-04-24,122.9575
2020-04-25,122.9575
2020-04-26,122.9575
2020-04-27,126.2752
2020-04-28,128.0213
2020-04-29,131.939
2020-04-30,127.5983
2020-05-01,124.2728
2020-05-02,124.2728
2020-05-03,124.2728
2020-05-04,121.6124
2020-05-05,122.3825
2020-05-06,121.2974
2020-05-07,122.6976
2020-05-08,127.9134
2020-05-09,127.9134
2020-05-10,127.9134
2020-05-11,127.6333
2020-05-12,121.9275
2020-05-13,116.5367
2020-05-14,119.3021
2020-05-15,118.2939
2020-05-16,118.2939
2020-05-17,118.2939
2020-05-18,126.2757
2020-05-19,125.5055
2020-05-20,127.396
2020-05-21,128.7613
2020-05-22,125.7156
2020-05-23,125.7156
2020-05-24,125.7156
2020-05-25,125.7156
2020-05-26,132.262
2020-05-27,130.8267
2020-05-28,126.4508
2020-05-29,124.5253
2020-05-30,124.5253
2020-05-31,124.5253
2020-06-01,126.4858
2020-06-02,126.8008
2020-06-03,133.5923
2020-06-04,133.2073
2020-06-05,142.1693
2020-06-06,142.1693
2020-06-07,142.1693
2020-06-08,148.4356
2020-06-09,141.6441
2020-06-10,140.5589
2020-06-11,133.4523
2020-06-12,135.0977
2020-06-13,135.0977
2020-06-14,135.0977
2020-06-15,134.3975
2020-06-16,138.8125
2020-06-17,132.256
2020-06-18,131.6436
2020-06-19,129.5902
2020-06-20,129.5902
2020-06-21,129.5902
2020-06-22,130.8871
2020-06-23,130.2026
2020-06-24,124.871
2020-06-25,125.1232
2020-06-26,123.8983
2020-06-27,123.8983
2020-06-28,123.8983
2020-06-29,127.0685
2020-06-30,127.0685
2020-07-01,127.0685
2020-07-02,127.0685
2020-07-03,127.0685
2020-07-04,127.0685
2020-07-05,127.0685
2020-07-06,127.0685
2020-07-07,127.0685
2020-07-08,127.0685
2020-07-09,127.0685
2020-07-10,127.0685
2020-07-11,127.0685
2020-07-12,127.0685
2020-07-13,127.0685
2020-07-14,127.0685
2020-07-15,127.0685
2020-07-16,127.0685
2020-07-17,127.0685
2020-07-18,127.0685
2020-07-19,127.0685
2020-07-20,127.0685
2020-07-21,127.0685
2020-07-22,127.0685
2020-07-23,127.0685
2020-07-24,127.0685
2020-07-25,127.0685
2020-07-26,127.0685
2020-07-27,127.0685
2020-07-28,127.0685
2020-07-29,127.0685
2020-07-30,127.0685
2020-07-31,127.0685
2020-08-01,127.0685
2020-08-02,127.0685
2020-08-03,127.0685
2020-08-04,127.0685
2020-08-05,127.0685
2020-08-06,127.0685
2020-08-07,127.0685
2020-08-08,127.0685
2020-08-09,127.0685
2020-08-10,127.0685
2020-08-11,127.0685
2020-08-12,127.0685
2020-08-13,127.0685
2020-08-14,127.0685
2020-08-15,127.0685
2020-08-16,127.0685
2020-08-17,127.0685
2020-08-18,127.0685
2020-08-19,127.0685
2020-08-20,127.0685
2020-08-21,127.0685
2020-08-22,127.0685
2020-08-23,127.0685
2020-08-24,127.0685
2020-08-25,127.0685
2020-08-26,127.0685
2020-08-27,127.0685
2020-08-28,127.0685
2020-08-29,127.0685
2020-08-30,127.0685
2020-08-31,127.0685
2020-09-01,127.0685
2020-09-02,127.0685
2020-09-03,127.0685
2020-09-04,127.0685
2020-09-05,127.0685
2020-09-06,127.0685
2020-09-07,127.0685
2020-09-08,127.0685
2020-09-09,127.0685
2020-09-10,127.0685
2020-09-11,127.0685
2020-09-12,127.0685
2020-09-13,127.0685
2020-09-14,127.0685
2020-09-15,127.0685
2020-09-16,127.0685
2020-09-17,127.0685
2020-09-18,127.0685
2020-09-19,127.0685
2020-09-20,127.0685
2020-09-21,127.0685
2020-09-22,127.0685
2020-09-23,127.0685
2020-09-24,127.0685
2020-09-25,127.0685
2020-09-26,127.0685
2020-09-27,127.0685
2020-09-28,127.0685
2020-09-29,127.0685
2020-09-30,127.0685
2020-10-01,127.0685
2020-10-02,127.0685
2020-10-03,127.0685
2020-10-04,127.0685
2020-10-05,127.0685
2020-10-06,127.0685
2020-10-07,127.0685
2020-10-08,127.0685
2020-10-09,127.0685
2020-10-10,127.0685
2020-10-11,127.0685
2020-10-12,127.0685
2020-10-13,127.0685
2020-10-14,127.0685
2020-10-15,127.0685
2020-10-16,127.0685
2020-10-17,127.0685
2020-10-18,127.0685
