,ARCH US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,4.5961
2020-01-02,4.7027
2020-01-03,4.7071
2020-01-04,4.7071
2020-01-05,4.7071
2020-01-06,4.6337
2020-01-07,4.6072
2020-01-08,4.5319
2020-01-09,4.5529
2020-01-10,4.4844
2020-01-11,4.4844
2020-01-12,4.4844
2020-01-13,4.5979
2020-01-14,4.4641
2020-01-15,4.2822
2020-01-16,4.4117
2020-01-17,4.2606
2020-01-18,4.2606
2020-01-19,4.2606
2020-01-20,4.2606
2020-01-21,4.0232
2020-01-22,3.93
2020-01-23,3.8591
2020-01-24,3.7
2020-01-25,3.7
2020-01-26,3.7
2020-01-27,3.5946
2020-01-28,3.5625
2020-01-29,3.5354
2020-01-30,3.5082
2020-01-31,3.3497
2020-02-01,3.3497
2020-02-02,3.3497
2020-02-03,3.3479
2020-02-04,3.5181
2020-02-05,3.7857
2020-02-06,3.716
2020-02-07,3.6063
2020-02-08,3.6063
2020-02-09,3.6063
2020-02-10,3.6383
2020-02-11,3.7502
2020-02-12,3.6776
2020-02-13,3.7031
2020-02-14,3.6466
2020-02-15,3.6466
2020-02-16,3.6466
2020-02-17,3.6466
2020-02-18,3.5976
2020-02-19,3.6038
2020-02-20,3.5058
2020-02-21,3.3631
2020-02-22,3.3631
2020-02-23,3.3631
2020-02-24,3.4022
2020-02-25,3.3154
2020-02-26,3.0728
2020-02-27,3.1987
2020-02-28,3.2955
2020-02-29,3.2955
2020-03-01,3.2955
2020-03-02,3.0858
2020-03-03,3.0697
2020-03-04,3.0988
2020-03-05,2.9971
2020-03-06,2.9233
2020-03-07,2.9233
2020-03-08,2.9233
2020-03-09,2.5002
2020-03-10,2.4803
2020-03-11,2.2998
2020-03-12,2.1293
2020-03-13,2.4115
2020-03-14,2.4115
2020-03-15,2.4115
2020-03-16,2.3472
2020-03-17,2.7117
2020-03-18,2.1939
2020-03-19,2.2771
2020-03-20,2.2374
2020-03-21,2.2374
2020-03-22,2.2374
2020-03-23,2.0915
2020-03-24,2.1182
2020-03-25,2.2355
2020-03-26,2.0909
2020-03-27,1.868
2020-03-28,1.868
2020-03-29,1.868
2020-03-30,1.8717
2020-03-31,4.0575
2020-04-01,4.2277
2020-04-02,4.2911
2020-04-03,4.271
2020-04-04,4.271
2020-04-05,4.271
2020-04-06,4.4792
2020-04-07,4.2361
2020-04-08,4.3714
2020-04-09,4.6778
2020-04-10,4.6778
2020-04-11,4.6778
2020-04-12,4.6778
2020-04-13,4.6514
2020-04-14,4.7254
2020-04-15,4.3418
2020-04-16,4.0491
2020-04-17,3.9688
2020-04-18,3.9688
2020-04-19,3.9688
2020-04-20,4.0523
2020-04-21,3.9719
2020-04-22,4.1252
2020-04-23,3.749
2020-04-24,3.4944
2020-04-25,3.4944
2020-04-26,3.4944
2020-04-27,3.4151
2020-04-28,3.7099
2020-04-29,4.009
2020-04-30,4.0882
2020-05-01,3.8378
2020-05-02,3.8378
2020-05-03,3.8378
2020-05-04,4.1474
2020-05-05,3.9118
2020-05-06,3.8272
2020-05-07,3.8462
2020-05-08,4.4465
2020-05-09,4.4465
2020-05-10,4.4465
2020-05-11,4.3429
2020-05-12,4.1781
2020-05-13,4.01
2020-05-14,3.972
2020-05-15,4.0724
2020-05-16,4.0724
2020-05-17,4.0724
2020-05-18,4.2573
2020-05-19,4.3186
2020-05-20,4.5648
2020-05-21,4.4644
2020-05-22,4.3619
2020-05-23,4.3619
2020-05-24,4.3619
2020-05-25,4.3619
2020-05-26,4.5447
2020-05-27,4.6546
2020-05-28,4.643
2020-05-29,4.4866
2020-05-30,4.4866
2020-05-31,4.4866
2020-06-01,4.4116
2020-06-02,4.3059
2020-06-03,4.4264
2020-06-04,4.5722
2020-06-05,4.9865
2020-06-06,4.9865
2020-06-07,4.9865
2020-06-08,5.3246
2020-06-09,5.1302
2020-06-10,4.9653
2020-06-11,4.4729
2020-06-12,4.4919
2020-06-13,4.4919
2020-06-14,4.4919
2020-06-15,4.5532
2020-06-16,4.661
2020-06-17,4.4359
2020-06-18,4.3249
2020-06-19,4.2594
2020-06-20,4.2594
2020-06-21,4.2594
2020-06-22,4.2246
2020-06-23,4.233
2020-06-24,4.1728
2020-06-25,4.1918
2020-06-26,4.0904
2020-06-27,4.0904
2020-06-28,4.0904
2020-06-29,4.1791
2020-06-30,36.738
2020-07-01,36.8241
2020-07-02,37.7427
2020-07-03,37.7427
2020-07-04,37.7427
2020-07-05,37.7427
2020-07-06,38.2403
2020-07-07,37.6279
2020-07-08,37.1112
2020-07-09,35.7716
2020-07-10,36.7093
2020-07-11,36.7093
2020-07-12,36.7093
2020-07-13,36.0969
2020-07-14,36.4892
2020-07-15,37.781
2020-07-16,37.7044
2020-07-17,36.9581
2020-07-18,36.9581
2020-07-19,36.9581
2020-07-20,36.451
2020-07-21,37.293
2020-07-22,36.671
2020-07-23,37.6949
2020-07-24,38.7952
2020-07-25,38.7952
2020-07-26,38.7952
2020-07-27,38.2785
2020-07-28,38.1608
2020-07-29,40.1037
2020-07-30,39.1753
2020-07-31,39.2423
2020-08-01,39.2423
2020-08-02,39.2423
2020-08-03,39.6921
2020-08-04,39.6251
2020-08-05,39.3859
2020-08-06,39.7878
2020-08-07,39.9123
2020-08-08,39.9123
2020-08-09,39.9123
2020-08-10,41.769
2020-08-11,41.702
2020-08-12,41.1564
2020-08-13,40.9842
2020-08-14,42.2092
2020-08-15,42.2092
2020-08-16,42.2092
2020-08-17,41.6637
2020-08-18,41.635
2020-08-19,41.0703
2020-08-20,40.9363
2020-08-21,40.2377
2020-08-22,40.2377
2020-08-23,40.2377
2020-08-24,41.8647
2020-08-25,43.0036
2020-08-26,42.8409
2020-08-27,43.2811
2020-08-28,46.0853
2020-08-29,46.0853
2020-08-30,46.0853
2020-08-31,45.6068
2020-09-01,46.3724
2020-09-02,46.2672
2020-09-03,46.3246
2020-09-04,48.4301
2020-09-05,48.4301
2020-09-06,48.4301
2020-09-07,48.4301
2020-09-08,47.0615
2020-09-09,47.6932
2020-09-10,47.3008
2020-09-11,48.5258
2020-09-12,48.5258
2020-09-13,48.5258
2020-09-14,51.9425
2020-09-15,51.8851
2020-09-16,53.8662
2020-09-17,56.345
2020-09-18,60.1829
2020-09-19,60.1829
2020-09-20,60.1829
2020-09-21,57.4839
2020-09-22,58.1635
2020-09-23,54.2969
2020-09-24,53.225
2020-09-25,54.0959
2020-09-26,54.0959
2020-09-27,54.0959
2020-09-28,54.2012
2020-09-29,50.8228
2020-09-30,50.8228
2020-10-01,50.8228
2020-10-02,50.8228
2020-10-03,50.8228
2020-10-04,50.8228
2020-10-05,50.8228
2020-10-06,50.8228
2020-10-07,50.8228
2020-10-08,50.8228
2020-10-09,50.8228
2020-10-10,50.8228
2020-10-11,50.8228
2020-10-12,50.8228
2020-10-13,50.8228
2020-10-14,50.8228
2020-10-15,50.8228
2020-10-16,50.8228
2020-10-17,50.8228
2020-10-18,50.8228
2020-10-19,50.8228
2020-10-20,50.8228
2020-10-21,50.8228
2020-10-22,50.8228
2020-10-23,50.8228
2020-10-24,50.8228
2020-10-25,50.8228
2020-10-26,50.8228
2020-10-27,50.8228
2020-10-28,50.8228
2020-10-29,50.8228
2020-10-30,50.8228
2020-10-31,50.8228
2020-11-01,50.8228
2020-11-02,50.8228
2020-11-03,50.8228
2020-11-04,50.8228
2020-11-05,50.8228
2020-11-06,50.8228
2020-11-07,50.8228
2020-11-08,50.8228
2020-11-09,50.8228
2020-11-10,50.8228
2020-11-11,50.8228
2020-11-12,50.8228
2020-11-13,50.8228
2020-11-14,50.8228
2020-11-15,50.8228
2020-11-16,50.8228
2020-11-17,50.8228
2020-11-18,50.8228
2020-11-19,50.8228
2020-11-20,50.8228
2020-11-21,50.8228
2020-11-22,50.8228
2020-11-23,50.8228
2020-11-24,50.8228
2020-11-25,50.8228
2020-11-26,50.8228
2020-11-27,50.8228
2020-11-28,50.8228
2020-11-29,50.8228
2020-11-30,50.8228
2020-12-01,50.8228
2020-12-02,50.8228
2020-12-03,50.8228
2020-12-04,50.8228
2020-12-05,50.8228
2020-12-06,50.8228
2020-12-07,50.8228
2020-12-08,50.8228
2020-12-09,50.8228
2020-12-10,50.8228
2020-12-11,50.8228
2020-12-12,50.8228
2020-12-13,50.8228
2020-12-14,50.8228
2020-12-15,50.8228
2020-12-16,50.8228
2020-12-17,50.8228
2020-12-18,50.8228
