,PCAR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,7.4588
2020-01-02,7.5065
2020-01-03,7.4158
2020-01-04,7.4158
2020-01-05,7.4158
2020-01-06,7.3821
2020-01-07,7.3216
2020-01-08,7.4425
2020-01-09,7.3832
2020-01-10,7.3088
2020-01-11,7.3088
2020-01-12,7.3088
2020-01-13,7.3379
2020-01-14,7.3542
2020-01-15,7.2681
2020-01-16,7.396
2020-01-17,7.3914
2020-01-18,7.3914
2020-01-19,7.3914
2020-01-20,7.3914
2020-01-21,7.2774
2020-01-22,7.2077
2020-01-23,7.2844
2020-01-24,7.1902
2020-01-25,7.1902
2020-01-26,7.1902
2020-01-27,7.0013
2020-01-28,7.1989
2020-01-29,7.1221
2020-01-30,7.1163
2020-01-31,6.9009
2020-02-01,6.9009
2020-02-02,6.9009
2020-02-03,6.916
2020-02-04,7.1302
2020-02-05,7.3409
2020-02-06,7.2944
2020-02-07,7.0406
2020-02-08,7.0406
2020-02-09,7.0406
2020-02-10,7.029
2020-02-11,7.0697
2020-02-12,7.1745
2020-02-13,6.9731
2020-02-14,6.9626
2020-02-15,6.9626
2020-02-16,6.9626
2020-02-17,6.9626
2020-02-18,6.9114
2020-02-19,6.9046
2020-02-20,7.0571
2020-02-21,7.0361
2020-02-22,7.0361
2020-02-23,7.0361
2020-02-24,6.7299
2020-02-25,6.4109
2020-02-26,6.3446
2020-02-27,6.1533
2020-02-28,6.052
2020-02-29,6.052
2020-03-01,6.052
2020-03-02,6.3757
2020-03-03,6.1277
2020-03-04,6.349
2020-03-05,5.8727
2020-03-06,5.7796
2020-03-07,5.7796
2020-03-08,5.7796
2020-03-09,5.3546
2020-03-10,5.7901
2020-03-11,5.5386
2020-03-12,5.1566
2020-03-13,5.846
2020-03-14,5.846
2020-03-15,5.846
2020-03-16,5.2684
2020-03-17,5.2102
2020-03-18,4.7538
2020-03-19,4.7864
2020-03-20,4.352
2020-03-21,4.352
2020-03-22,4.352
2020-03-23,4.0738
2020-03-24,4.8993
2020-03-25,5.1299
2020-03-26,5.301
2020-03-27,5.1892
2020-03-28,5.1892
2020-03-29,5.1892
2020-03-30,5.5129
2020-03-31,6.4316
2020-04-01,6.298
2020-04-02,6.3972
2020-04-03,6.495
2020-04-04,6.495
2020-04-05,6.495
2020-04-06,6.9354
2020-04-07,7.0134
2020-04-08,7.1364
2020-04-09,7.2435
2020-04-10,7.2435
2020-04-11,7.2435
2020-04-12,7.2435
2020-04-13,7.0663
2020-04-14,7.1827
2020-04-15,6.9936
2020-04-16,7.1007
2020-04-17,7.2938
2020-04-18,7.2938
2020-04-19,7.2938
2020-04-20,7.2343
2020-04-21,7.0218
2020-04-22,7.0766
2020-04-23,7.0463
2020-04-24,7.2535
2020-04-25,7.2535
2020-04-26,7.2535
2020-04-27,7.429
2020-04-28,7.4752
2020-04-29,7.5319
2020-04-30,7.4844
2020-05-01,7.3604
2020-05-02,7.3604
2020-05-03,7.3604
2020-05-04,7.3716
2020-05-05,7.3307
2020-05-06,7.3624
2020-05-07,7.4033
2020-05-08,7.5366
2020-05-09,7.5366
2020-05-10,7.5366
2020-05-11,7.4323
2020-05-12,7.1697
2020-05-13,7.0588
2020-05-14,7.1393
2020-05-15,7.1684
2020-05-16,7.1684
2020-05-17,7.1684
2020-05-18,7.5828
2020-05-19,7.3954
2020-05-20,7.4587
2020-05-21,7.3479
2020-05-22,7.3782
2020-05-23,7.3782
2020-05-24,7.3782
2020-05-25,7.3782
2020-05-26,7.922
2020-05-27,8.2546
2020-05-28,8.1154
2020-05-29,8.0962
2020-05-30,8.0962
2020-05-31,8.0962
2020-06-01,7.9986
2020-06-02,8.0395
2020-06-03,8.1979
2020-06-04,8.3378
2020-06-05,8.6361
2020-06-06,8.6361
2020-06-07,8.6361
2020-06-08,8.7522
2020-06-09,8.7681
2020-06-10,8.4843
2020-06-11,7.9273
2020-06-12,8.0052
2020-06-13,8.0052
2020-06-14,8.0052
2020-06-15,8.0778
2020-06-16,8.182
2020-06-17,8.1543
2020-06-18,8.1768
2020-06-19,8.2414
2020-06-20,8.2414
2020-06-21,8.2414
2020-06-22,8.2097
2020-06-23,8.2163
2020-06-24,7.9194
2020-06-25,8.0157
2020-06-26,7.9088
2020-06-27,7.9088
2020-06-28,7.9088
2020-06-29,8.0725
2020-06-30,10.8441
2020-07-01,10.7399
2020-07-02,10.9881
2020-07-03,10.9881
2020-07-04,10.9881
2020-07-05,10.9881
2020-07-06,11.245
2020-07-07,11.0037
2020-07-08,10.9499
2020-07-09,10.7712
2020-07-10,10.9117
2020-07-11,10.9117
2020-07-12,10.9117
2020-07-13,10.9812
2020-07-14,11.2259
2020-07-15,11.5157
2020-07-16,11.6424
2020-07-17,11.6389
2020-07-18,11.6389
2020-07-19,11.6389
2020-07-20,11.6823
2020-07-21,12.3761
2020-07-22,12.6521
2020-07-23,12.7927
2020-07-24,12.7372
2020-07-25,12.7372
2020-07-26,12.7372
2020-07-27,12.7684
2020-07-28,12.6868
2020-07-29,12.7806
2020-07-30,12.541
2020-07-31,12.6226
2020-08-01,12.6226
2020-08-02,12.6226
2020-08-03,12.7296
2020-08-04,12.608
2020-08-05,12.9537
2020-08-06,13.0337
2020-08-07,13.2491
2020-08-08,13.2491
2020-08-09,13.2491
2020-08-10,13.4663
2020-08-11,13.5602
2020-08-12,13.5497
2020-08-13,13.2318
2020-08-14,13.3099
2020-08-15,13.3099
2020-08-16,13.3099
2020-08-17,13.2509
2020-08-18,13.2422
2020-08-19,13.164
2020-08-20,13.0024
2020-08-21,12.9746
2020-08-22,12.9746
2020-08-23,12.9746
2020-08-24,12.9537
2020-08-25,12.8686
2020-08-26,12.9485
2020-08-27,12.8547
2020-08-28,12.8825
2020-08-29,12.8825
2020-08-30,12.8825
2020-08-31,12.7696
2020-09-01,12.9798
2020-09-02,13.124
2020-09-03,12.7018
2020-09-04,12.7313
2020-09-05,12.7313
2020-09-06,12.7313
2020-09-07,12.7313
2020-09-08,12.3612
2020-09-09,12.6166
2020-09-10,12.2483
2020-09-11,12.4307
2020-09-12,12.4307
2020-09-13,12.4307
2020-09-14,12.859
2020-09-15,12.7574
2020-09-16,12.8703
2020-09-17,12.773
2020-09-18,12.4915
2020-09-19,12.4915
2020-09-20,12.4915
2020-09-21,12.078
2020-09-22,12.1614
2020-09-23,12.0345
2020-09-24,12.1301
2020-09-25,12.3682
2020-09-26,12.3682
2020-09-27,12.3682
2020-09-28,12.8929
2020-09-29,12.8234
2020-09-30,14.5433
2020-10-01,14.3841
2020-10-02,14.4848
2020-10-03,14.4848
2020-10-04,14.4848
2020-10-05,15.1095
2020-10-06,15.0269
2020-10-07,15.4723
2020-10-08,15.4824
2020-10-09,15.3373
2020-10-10,15.3373
2020-10-11,15.3373
2020-10-12,15.4501
2020-10-13,15.2002
2020-10-14,15.2869
2020-10-15,15.3252
2020-10-16,15.4824
2020-10-17,15.4824
2020-10-18,15.4824
2020-10-19,15.7081
2020-10-20,15.5709
2020-10-21,15.6858
2020-10-22,15.8431
2020-10-23,16.0346
2020-10-24,16.0346
2020-10-25,16.0346
2020-10-26,15.6173
2020-10-27,15.1899
2020-10-28,14.4721
2020-10-29,14.6294
2020-10-30,14.5709
2020-10-31,14.5709
2020-11-01,14.5709
2020-11-02,15.2737
2020-11-03,15.8687
2020-11-04,15.2576
2020-11-05,15.6327
2020-11-06,15.5278
2020-11-07,15.5278
2020-11-08,15.5278
