,HUM US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,12.4108
2020-01-02,12.2756
2020-01-03,12.3424
2020-01-04,12.3424
2020-01-05,12.3424
2020-01-06,12.577
2020-01-07,12.4253
2020-01-08,12.7606
2020-01-09,12.3279
2020-01-10,12.3119
2020-01-11,12.3119
2020-01-12,12.3119
2020-01-13,12.0133
2020-01-14,12.0285
2020-01-15,12.3098
2020-01-16,12.436
2020-01-17,12.4121
2020-01-18,12.4121
2020-01-19,12.4121
2020-01-20,12.4121
2020-01-21,12.3428
2020-01-22,12.3778
2020-01-23,12.2896
2020-01-24,12.0141
2020-01-25,12.0141
2020-01-26,12.0141
2020-01-27,11.6021
2020-01-28,11.847
2020-01-29,11.7943
2020-01-30,11.4507
2020-01-31,11.162
2020-02-01,11.162
2020-02-02,11.162
2020-02-03,11.0321
2020-02-04,11.4305
2020-02-05,12.3399
2020-02-06,12.1069
2020-02-07,11.864
2020-02-08,11.864
2020-02-09,11.864
2020-02-10,11.8532
2020-02-11,12.0252
2020-02-12,12.7136
2020-02-13,12.975
2020-02-14,12.7956
2020-02-15,12.7956
2020-02-16,12.7956
2020-02-17,12.7956
2020-02-18,12.6418
2020-02-19,12.9058
2020-02-20,12.5583
2020-02-21,12.504
2020-02-22,12.504
2020-02-23,12.504
2020-02-24,11.5367
2020-02-25,10.9549
2020-02-26,10.8171
2020-02-27,10.2271
2020-02-28,10.4472
2020-02-29,10.4472
2020-03-01,10.4472
2020-03-02,11.5038
2020-03-03,10.6813
2020-03-04,12.6158
2020-03-05,12.5442
2020-03-06,12.3965
2020-03-07,12.3965
2020-03-08,12.3965
2020-03-09,11.1699
2020-03-10,11.6678
2020-03-11,10.8003
2020-03-12,9.3531
2020-03-13,10.2115
2020-03-14,10.2115
2020-03-15,10.2115
2020-03-16,8.4133
2020-03-17,8.5108
2020-03-18,7.441
2020-03-19,7.8364
2020-03-20,6.7838
2020-03-21,6.7838
2020-03-22,6.7838
2020-03-23,6.118
2020-03-24,6.9258
2020-03-25,8.3639
2020-03-26,9.8235
2020-03-27,9.5186
2020-03-28,9.5186
2020-03-29,9.5186
2020-03-30,10.1012
2020-03-31,9.4927
2020-04-01,8.9026
2020-04-02,8.9552
2020-04-03,8.6275
2020-04-04,8.6275
2020-04-05,8.6275
2020-04-06,10.0125
2020-04-07,9.7257
2020-04-08,10.3908
2020-04-09,10.5701
2020-04-10,10.5701
2020-04-11,10.5701
2020-04-12,10.5701
2020-04-13,10.8159
2020-04-14,10.9685
2020-04-15,11.0199
2020-04-16,11.9385
2020-04-17,11.7947
2020-04-18,11.7947
2020-04-19,11.7947
2020-04-20,11.5528
2020-04-21,11.2255
2020-04-22,11.5466
2020-04-23,11.5041
2020-04-24,11.6208
2020-04-25,11.6208
2020-04-26,11.6208
2020-04-27,11.792
2020-04-28,11.3805
2020-04-29,11.9503
2020-04-30,12.1219
2020-05-01,11.7515
2020-05-02,11.7515
2020-05-03,11.7515
2020-05-04,11.968
2020-05-05,12.2086
2020-05-06,11.8578
2020-05-07,11.7198
2020-05-08,11.9549
2020-05-09,11.9549
2020-05-10,11.9549
2020-05-11,12.0531
2020-05-12,12.195
2020-05-13,11.9518
2020-05-14,12.2762
2020-05-15,12.7561
2020-05-16,12.7561
2020-05-17,12.7561
2020-05-18,12.5299
2020-05-19,12.6111
2020-05-20,12.4843
2020-05-21,12.642
2020-05-22,12.6095
2020-05-23,12.6095
2020-05-24,12.6095
2020-05-25,12.6095
2020-05-26,12.7124
2020-05-27,12.7994
2020-05-28,12.9723
2020-05-29,13.2367
2020-05-30,13.2367
2020-05-31,13.2367
2020-06-01,12.8829
2020-06-02,13.0144
2020-06-03,12.5825
2020-06-04,12.526
2020-06-05,12.4328
2020-06-06,12.4328
2020-06-07,12.4328
2020-06-08,12.7515
2020-06-09,12.4452
2020-06-10,12.5353
2020-06-11,11.8018
2020-06-12,12.0021
2020-06-13,12.0021
2020-06-14,12.0021
2020-06-15,12.0071
2020-06-16,11.9742
2020-06-17,12.0516
2020-06-18,12.0156
2020-06-19,12.081
2020-06-20,12.081
2020-06-21,12.081
2020-06-22,12.0442
2020-06-23,12.1204
2020-06-24,11.7345
2020-06-25,11.9019
2020-06-26,11.8443
2020-06-27,11.8443
2020-06-28,11.8443
2020-06-29,12.0268
2020-06-30,8.3047
2020-07-01,8.4107
2020-07-02,8.4202
2020-07-03,8.4202
2020-07-04,8.4202
2020-07-05,8.4202
2020-07-06,8.5477
2020-07-07,8.4149
2020-07-08,8.2559
2020-07-09,8.1699
2020-07-10,8.1326
2020-07-11,8.1326
2020-07-12,8.1326
2020-07-13,8.1406
2020-07-14,8.5499
2020-07-15,8.5173
2020-07-16,8.5318
2020-07-17,8.7717
2020-07-18,8.7717
2020-07-19,8.7717
2020-07-20,8.556
2020-07-21,8.5792
2020-07-22,8.7125
2020-07-23,8.5837
2020-07-24,8.4272
2020-07-25,8.4272
2020-07-26,8.4272
2020-07-27,8.3959
2020-07-28,8.274
2020-07-29,8.546
2020-07-30,8.6057
2020-07-31,8.4358
2020-08-01,8.4358
2020-08-02,8.4358
2020-08-03,8.4944
2020-08-04,8.4004
2020-08-05,8.7629
2020-08-06,8.8667
2020-08-07,9.1545
2020-08-08,9.1545
2020-08-09,9.1545
2020-08-10,9.2053
2020-08-11,9.094
2020-08-12,9.2137
2020-08-13,9.1981
2020-08-14,9.2684
2020-08-15,9.2684
2020-08-16,9.2684
2020-08-17,9.2123
2020-08-18,9.133
2020-08-19,9.1562
2020-08-20,9.0434
