,UPBD US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,7.7644
2020-01-02,7.691
2020-01-03,7.7386
2020-01-04,7.7386
2020-01-05,7.7386
2020-01-06,7.7545
2020-01-07,7.7763
2020-01-08,7.7744
2020-01-09,7.8041
2020-01-10,7.8379
2020-01-11,7.8379
2020-01-12,7.8379
2020-01-13,7.9471
2020-01-14,7.967
2020-01-15,8.0434
2020-01-16,8.1437
2020-01-17,8.2131
2020-01-18,8.2131
2020-01-19,8.2131
2020-01-20,8.2131
2020-01-21,8.0285
2020-01-22,8.0702
2020-01-23,8.0325
2020-01-24,8.0742
2020-01-25,8.0742
2020-01-26,8.0742
2020-01-27,8.0166
2020-01-28,8.0563
2020-01-29,8.0523
2020-01-30,7.9947
2020-01-31,7.822
2020-02-01,7.822
2020-02-02,7.822
2020-02-03,7.6354
2020-02-04,7.282
2020-02-05,7.5242
2020-02-06,7.554
2020-02-07,7.4865
2020-02-08,7.4865
2020-02-09,7.4865
2020-02-10,7.5401
2020-02-11,7.6671
2020-02-12,7.6671
2020-02-13,7.7446
2020-02-14,7.5917
2020-02-15,7.5917
2020-02-16,7.5917
2020-02-17,7.5917
2020-02-18,7.6711
2020-02-19,7.3991
2020-02-20,7.143
2020-02-21,6.9842
2020-02-22,6.9842
2020-02-23,6.9842
2020-02-24,7.0318
2020-02-25,6.9564
2020-02-26,6.7042
2020-02-27,6.5156
2020-02-28,6.2654
2020-02-29,6.2654
2020-03-01,6.2654
2020-03-02,6.4404
2020-03-03,6.2261
2020-03-04,6.2441
2020-03-05,6.0458
2020-03-06,5.9457
2020-03-07,5.9457
2020-03-08,5.9457
2020-03-09,5.6453
2020-03-10,5.7655
2020-03-11,5.6173
2020-03-12,5.1987
2020-03-13,5.4831
2020-03-14,5.4831
2020-03-15,5.4831
2020-03-16,5.1166
2020-03-17,5.2588
2020-03-18,4.9003
2020-03-19,5.0164
2020-03-20,4.7701
2020-03-21,4.7701
2020-03-22,4.7701
2020-03-23,4.4557
2020-03-24,4.9023
2020-03-25,5.0405
2020-03-26,5.1366
2020-03-27,5.0345
2020-03-28,5.0345
2020-03-29,5.0345
