,MTG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,6.2313
2020-01-02,6.2274
2020-01-03,6.1848
2020-01-04,6.1848
2020-01-05,6.1848
2020-01-06,6.1655
2020-01-07,6.119
2020-01-08,6.0958
2020-01-09,6.1771
2020-01-10,6.1229
2020-01-11,6.1229
2020-01-12,6.1229
2020-01-13,6.1074
2020-01-14,6.1035
2020-01-15,6.1306
2020-01-16,6.1771
2020-01-17,6.2003
2020-01-18,6.2003
2020-01-19,6.2003
2020-01-20,6.2003
2020-01-21,6.181
2020-01-22,6.1887
2020-01-23,6.1693
2020-01-24,6.0803
2020-01-25,6.0803
2020-01-26,6.0803
2020-01-27,6.0377
2020-01-28,6.0803
2020-01-29,6.0803
2020-01-30,6.1229
2020-01-31,6.0842
2020-02-01,6.0842
2020-02-02,6.0842
2020-02-03,6.2042
2020-02-04,6.244
2020-02-05,6.3442
2020-02-06,6.2864
2020-02-07,6.2401
2020-02-08,6.2401
2020-02-09,6.2401
2020-02-10,6.2054
2020-02-11,6.2131
2020-02-12,6.0858
2020-02-13,6.0704
2020-02-14,5.9933
2020-02-15,5.9933
2020-02-16,5.9933
2020-02-17,5.9933
2020-02-18,5.9894
2020-02-19,5.866
2020-02-20,5.9432
2020-02-21,5.8969
2020-02-22,5.8969
2020-02-23,5.8969
2020-02-24,5.7601
2020-02-25,5.6603
2020-02-26,5.5911
2020-02-27,5.4452
2020-02-28,5.3646
2020-02-29,5.3646
2020-03-01,5.3646
2020-03-02,5.6411
2020-03-03,5.6641
2020-03-04,5.7524
2020-03-05,5.6526
2020-03-06,5.5143
2020-03-07,5.5143
2020-03-08,5.5143
2020-03-09,5.0881
2020-03-10,5.0727
2020-03-11,4.7501
2020-03-12,4.4583
2020-03-13,4.466
2020-03-14,4.466
2020-03-15,4.466
2020-03-16,3.7479
2020-03-17,3.7479
2020-03-18,2.9991
2020-03-19,3.5674
2020-03-20,3.3034
2020-03-21,3.3034
2020-03-22,3.3034
2020-03-23,2.7546
2020-03-24,3.0006
2020-03-25,3.2277
2020-03-26,3.8711
2020-03-27,3.7613
2020-03-28,3.7613
2020-03-29,3.7613
2020-03-30,3.3828
2020-03-31,2.9324
2020-04-01,2.6476
2020-04-02,2.7235
2020-04-03,2.4083
2020-04-04,2.4083
2020-04-05,2.4083
2020-04-06,2.6818
2020-04-07,2.9742
2020-04-08,3.1033
2020-04-09,3.3463
2020-04-10,3.3463
2020-04-11,3.3463
2020-04-12,3.3463
2020-04-13,3.0387
2020-04-14,2.959
2020-04-15,2.8526
2020-04-16,2.6931
2020-04-17,2.9134
2020-04-18,2.9134
2020-04-19,2.9134
2020-04-20,2.7311
2020-04-21,2.6248
2020-04-22,2.7767
2020-04-23,2.8526
2020-04-24,2.9096
2020-04-25,2.9096
2020-04-26,2.9096
2020-04-27,3.0387
2020-04-28,3.1792
2020-04-29,3.4944
2020-04-30,3.2969
2020-05-01,3.0729
2020-05-02,3.0729
2020-05-03,3.0729
2020-05-04,3.0045
2020-05-05,3.0919
2020-05-06,3.0767
2020-05-07,3.3501
2020-05-08,3.2104
2020-05-09,3.2104
2020-05-10,3.2104
2020-05-11,3.2141
2020-05-12,3.0595
2020-05-13,2.9539
2020-05-14,3.0783
2020-05-15,3.0482
2020-05-16,3.0482
2020-05-17,3.0482
2020-05-18,3.2028
2020-05-19,3.2518
2020-05-20,3.531
2020-05-21,3.5046
2020-05-22,3.3914
2020-05-23,3.3914
2020-05-24,3.3914
2020-05-25,3.3914
2020-05-26,3.6931
2020-05-27,4.0552
2020-05-28,3.7309
2020-05-29,3.6177
2020-05-30,3.6177
2020-05-31,3.6177
2020-06-01,3.7686
2020-06-02,3.8252
2020-06-03,3.9081
2020-06-04,4.0213
2020-06-05,4.2137
2020-06-06,4.2137
2020-06-07,4.2137
2020-06-08,4.3947
2020-06-09,4.1043
2020-06-10,3.927
2020-06-11,3.6177
2020-06-12,3.8176
2020-06-13,3.8176
2020-06-14,3.8176
2020-06-15,3.8365
2020-06-16,3.9119
2020-06-17,3.795
2020-06-18,3.7497
2020-06-19,3.6441
2020-06-20,3.6441
2020-06-21,3.6441
2020-06-22,3.7233
2020-06-23,3.7346
2020-06-24,3.5046
2020-06-25,3.5838
2020-06-26,3.3839
2020-06-27,3.3839
2020-06-28,3.3839
2020-06-29,3.5423
2020-06-30,4.6128
2020-07-01,4.5019
2020-07-02,4.4826
2020-07-03,4.4826
2020-07-04,4.4826
2020-07-05,4.4826
2020-07-06,4.4923
2020-07-07,4.2175
2020-07-08,4.3091
2020-07-09,4.1452
2020-07-10,4.2801
2020-07-11,4.2801
2020-07-12,4.2801
2020-07-13,4.3042
2020-07-14,4.2271
2020-07-15,4.5501
2020-07-16,4.4248
2020-07-17,4.3091
2020-07-18,4.3091
2020-07-19,4.3091
2020-07-20,4.2705
2020-07-21,4.3717
2020-07-22,4.4441
2020-07-23,4.4344
2020-07-24,4.4007
2020-07-25,4.4007
2020-07-26,4.4007
2020-07-27,4.3139
2020-07-28,4.3814
2020-07-29,4.579
2020-07-30,4.6176
2020-07-31,4.6514
2020-08-01,4.6514
2020-08-02,4.6514
2020-08-03,4.6755
2020-08-04,4.6563
2020-08-05,4.743
2020-08-06,4.6948
2020-08-07,4.8105
2020-08-08,4.8105
2020-08-09,4.8105
2020-08-10,4.9985
2020-08-11,5.013
2020-08-12,4.9552
2020-08-13,4.8057
2020-08-14,4.8539
2020-08-15,4.8539
2020-08-16,4.8539
2020-08-17,4.8925
2020-08-18,4.8202
2020-08-19,4.825
2020-08-20,4.8202
2020-08-21,4.8153
2020-08-22,4.8153
2020-08-23,4.8153
2020-08-24,5.013
2020-08-25,4.9889
2020-08-26,4.9166
2020-08-27,5.0564
2020-08-28,5.0901
2020-08-29,5.0901
2020-08-30,5.0901
2020-08-31,5.0853
2020-09-01,5.1094
2020-09-02,5.2685
2020-09-03,5.1625
2020-09-04,5.2155
2020-09-05,5.2155
2020-09-06,5.2155
2020-09-07,5.2155
2020-09-08,4.96
2020-09-09,5.0709
2020-09-10,5.0516
2020-09-11,5.148
2020-09-12,5.148
2020-09-13,5.148
2020-09-14,5.2878
2020-09-15,5.2782
