,ES US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,26.8661
2020-01-02,26.4915
2020-01-03,26.4162
2020-01-04,26.4162
2020-01-05,26.4162
2020-01-06,26.5078
2020-01-07,26.3796
2020-01-08,26.3938
2020-01-09,26.5261
2020-01-10,26.7317
2020-01-11,26.7317
2020-01-12,26.7317
2020-01-13,26.8824
2020-01-14,27.0248
2020-01-15,27.3241
2020-01-16,27.4136
2020-01-17,27.6111
2020-01-18,27.6111
2020-01-19,27.6111
2020-01-20,27.6111
2020-01-21,27.8289
2020-01-22,27.8594
2020-01-23,28.122
2020-01-24,28.2381
2020-01-25,28.2381
2020-01-26,28.2381
2020-01-27,28.1485
2020-01-28,28.234
2020-01-29,28.3561
2020-01-30,28.5231
2020-01-31,28.3663
2020-02-01,28.3663
2020-02-02,28.3663
2020-02-03,28.3602
2020-02-04,27.9918
2020-02-05,27.9694
2020-02-06,28.0467
2020-02-07,27.9877
2020-02-08,27.9877
2020-02-09,27.9877
2020-02-10,28.1485
2020-02-11,28.1098
2020-02-12,28.1261
2020-02-13,28.3745
2020-02-14,28.6147
2020-02-15,28.6147
2020-02-16,28.6147
2020-02-17,28.6147
2020-02-18,28.8488
2020-02-19,28.7449
2020-02-20,29.0197
2020-02-21,29.0828
2020-02-22,29.0828
2020-02-23,29.0828
2020-02-24,28.9302
2020-02-25,28.5577
2020-02-26,28.5739
2020-02-27,28.1204
2020-02-28,27.4856
2020-02-29,27.4856
2020-03-01,27.4856
2020-03-02,28.9709
2020-03-03,28.7179
2020-03-04,29.9916
2020-03-05,29.7634
2020-03-06,29.5394
2020-03-07,29.5394
2020-03-08,29.5394
2020-03-09,28.751
2020-03-10,28.4565
2020-03-11,27.7615
2020-03-12,26.689
2020-03-13,27.915
2020-03-14,27.915
2020-03-15,27.915
2020-03-16,25.5604
2020-03-17,27.6412
2020-03-18,27.442
2020-03-19,25.5334
2020-03-20,23.7265
2020-03-21,23.7265
2020-03-22,23.7265
2020-03-23,22.459
2020-03-24,24.3696
2020-03-25,24.4651
2020-03-26,25.884
2020-03-27,26.3446
2020-03-28,26.3446
2020-03-29,26.3446
2020-03-30,26.9226
2020-03-31,25.0998
2020-04-01,24.6512
2020-04-02,25.318
2020-04-03,24.4633
2020-04-04,24.4633
2020-04-05,24.4633
2020-04-06,25.8837
2020-04-07,25.417
2020-04-08,26.1383
2020-04-09,27.5021
2020-04-10,27.5021
2020-04-11,27.5021
2020-04-12,27.5021
2020-04-13,26.8192
2020-04-14,27.7648
2020-04-15,27.2637
2020-04-16,27.4395
2020-04-17,27.7971
2020-04-18,27.7971
2020-04-19,27.7971
2020-04-20,27.0313
2020-04-21,26.9162
2020-04-22,27.0798
2020-04-23,26.7869
2020-04-24,26.7889
2020-04-25,26.7889
2020-04-26,26.7889
2020-04-27,26.5868
2020-04-28,26.7182
2020-04-29,26.1423
2020-04-30,25.6029
2020-05-01,25.4352
2020-05-02,25.4352
2020-05-03,25.4352
2020-05-04,25.6231
2020-05-05,25.6615
2020-05-06,24.7058
2020-05-07,24.9846
2020-05-08,25.3056
2020-05-09,25.3056
2020-05-10,25.3056
2020-05-11,25.1472
2020-05-12,24.8694
2020-05-13,25.069
2020-05-14,25.1986
2020-05-15,25.0175
2020-05-16,25.0175
2020-05-17,25.0175
2020-05-18,25.7193
2020-05-19,25.3962
2020-05-20,25.6369
2020-05-21,25.5176
2020-05-22,25.4435
2020-05-23,25.4435
2020-05-24,25.4435
2020-05-25,25.4435
2020-05-26,25.3509
2020-05-27,25.2398
2020-05-28,25.9436
2020-05-29,26.5218
2020-05-30,26.5218
2020-05-31,26.5218
2020-06-01,26.9087
2020-06-02,26.9478
2020-06-03,27.1845
2020-06-04,26.8984
2020-06-05,27.1021
2020-06-06,27.1021
2020-06-07,27.1021
2020-06-08,27.3573
2020-06-09,26.8449
2020-06-10,27.0486
2020-06-11,26.9704
2020-06-12,26.962
2020-06-13,26.962
2020-06-14,26.962
2020-06-15,26.9516
2020-06-16,26.9348
2020-06-17,27.1129
2020-06-18,27.0479
2020-06-19,26.6645
2020-06-20,26.6645
2020-06-21,26.6645
2020-06-22,26.9348
2020-06-23,26.7693
2020-06-24,26.566
2020-06-25,26.5535
2020-06-26,26.4466
2020-06-27,26.4466
2020-06-28,26.4466
2020-06-29,26.7064
2020-06-30,22.6883
2020-07-01,23.017
2020-07-02,22.9384
2020-07-03,22.9384
2020-07-04,22.9384
2020-07-05,22.9384
2020-07-06,22.7937
2020-07-07,22.8777
2020-07-08,23.0224
2020-07-09,22.9205
2020-07-10,23.0759
2020-07-11,23.0759
2020-07-12,23.0759
2020-07-13,23.1653
2020-07-14,23.251
2020-07-15,22.9973
2020-07-16,23.142
2020-07-17,23.5047
2020-07-18,23.5047
2020-07-19,23.5047
2020-07-20,23.2849
2020-07-21,23.385
2020-07-22,23.8244
2020-07-23,23.8959
2020-07-24,23.7976
2020-07-25,23.7976
2020-07-26,23.7976
2020-07-27,23.6583
2020-07-28,23.9155
2020-07-29,23.978
2020-07-30,23.9941
2020-07-31,23.903
2020-08-01,23.903
2020-08-02,23.903
2020-08-03,23.7994
2020-08-04,23.9387
2020-08-05,23.5654
2020-08-06,23.5511
2020-08-07,23.7155
2020-08-08,23.7155
2020-08-09,23.7155
2020-08-10,23.6372
2020-08-11,23.1976
2020-08-12,23.5228
2020-08-13,23.5246
2020-08-14,23.387
2020-08-15,23.387
2020-08-16,23.387
2020-08-17,23.4424
2020-08-18,23.3495
2020-08-19,23.219
2020-08-20,23.1225
2020-08-21,23.278
2020-08-22,23.278
2020-08-23,23.278
2020-08-24,23.1601
2020-08-25,22.9903
2020-08-26,22.8259
2020-08-27,22.8741
2020-08-28,22.9617
2020-08-29,22.9617
2020-08-30,22.9617
2020-08-31,23.1297
2020-09-01,22.7633
2020-09-02,23.2655
2020-09-03,23.1958
2020-09-04,23.1958
2020-09-05,23.1958
2020-09-06,23.1958
2020-09-07,23.1958
2020-09-08,23.0493
2020-09-09,23.144
2020-09-10,22.7062
2020-09-11,22.4953
2020-09-12,22.4953
2020-09-13,22.4953
2020-09-14,22.6293
2020-09-15,22.8187
2020-09-16,22.7097
2020-09-17,22.4542
2020-09-18,21.9056
2020-09-19,21.9056
2020-09-20,21.9056
2020-09-21,21.7555
2020-09-22,21.927
2020-09-23,21.8037
2020-09-24,22.1004
2020-09-25,22.5525
2020-09-26,22.5525
2020-09-27,22.5525
2020-09-28,22.5829
2020-09-29,22.6472
2020-09-30,22.3046
2020-10-01,22.6352
2020-10-02,22.9135
2020-10-03,22.9135
2020-10-04,22.9135
2020-10-05,23.338
