,CHRW US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.7913
2020-01-02,14.728
2020-01-03,14.7126
2020-01-04,14.7126
2020-01-05,14.7126
2020-01-06,14.502
2020-01-07,14.8119
2020-01-08,14.894
2020-01-09,15.0019
2020-01-10,15.12
2020-01-11,15.12
2020-01-12,15.12
2020-01-13,15.1782
2020-01-14,15.3991
2020-01-15,15.6987
2020-01-16,15.8014
2020-01-17,15.2262
2020-01-18,15.2262
2020-01-19,15.2262
2020-01-20,15.2262
2020-01-21,15.1337
2020-01-22,15.1526
2020-01-23,15.0652
2020-01-24,15.0344
2020-01-25,15.0344
2020-01-26,15.0344
2020-01-27,14.8375
2020-01-28,14.7365
2020-01-29,13.9712
2020-01-30,13.8394
2020-01-31,13.7675
2020-02-01,13.7675
2020-02-02,13.7675
2020-02-03,13.7315
2020-02-04,13.7692
2020-02-05,13.8565
2020-02-06,14.0003
2020-02-07,14.1373
2020-02-08,14.1373
2020-02-09,14.1373
2020-02-10,13.8873
2020-02-11,13.8531
2020-02-12,13.9558
2020-02-13,13.7521
2020-02-14,13.7315
2020-02-15,13.7315
2020-02-16,13.7315
2020-02-17,13.7315
2020-02-18,13.8069
2020-02-19,13.9499
2020-02-20,14.1788
2020-02-21,14.1327
2020-02-22,14.1327
2020-02-23,14.1327
2020-02-24,13.7211
2020-02-25,13.6716
2020-02-26,13.6392
2020-02-27,13.3335
2020-02-28,13.1679
2020-02-29,13.1679
2020-03-01,13.1679
2020-03-02,13.3711
2020-03-03,13.0603
2020-03-04,13.4906
2020-03-05,12.7376
2020-03-06,12.6864
2020-03-07,12.6864
2020-03-08,12.6864
2020-03-09,12.1041
2020-03-10,12.4644
2020-03-11,12.35
2020-03-12,11.6669
2020-03-13,12.0529
2020-03-14,12.0529
2020-03-15,12.0529
2020-03-16,11.8292
2020-03-17,12.4336
2020-03-18,12.4763
2020-03-19,12.3414
2020-03-20,12.3158
2020-03-21,12.3158
2020-03-22,12.3158
2020-03-23,12.2014
2020-03-24,12.2543
2020-03-25,12.0392
2020-03-26,12.6539
2020-03-27,12.0768
2020-03-28,12.0768
2020-03-29,12.0768
2020-03-30,12.2412
2020-03-31,15.0701
2020-04-01,15.1421
2020-04-02,15.5995
2020-04-03,15.4496
2020-04-04,15.4496
2020-04-05,15.4496
2020-04-06,16.2748
2020-04-07,16.1678
2020-04-08,16.3585
2020-04-09,16.4363
2020-04-10,16.4363
2020-04-11,16.4363
2020-04-12,16.4363
2020-04-13,16.0568
2020-04-14,16.0024
2020-04-15,15.9887
2020-04-16,16.631
2020-04-17,16.6329
2020-04-18,16.6329
2020-04-19,16.6329
2020-04-20,16.2612
2020-04-21,15.9965
2020-04-22,16.1172
2020-04-23,15.9031
2020-04-24,16.2534
2020-04-25,16.2534
2020-04-26,16.2534
2020-04-27,16.5959
2020-04-28,16.5901
2020-04-29,16.0549
2020-04-30,15.9848
2020-05-01,16.3144
2020-05-02,16.3144
2020-05-03,16.3144
2020-05-04,16.1369
2020-05-05,16.3743
2020-05-06,16.2347
2020-05-07,16.5378
2020-05-08,16.9068
2020-05-09,16.9068
2020-05-10,16.9068
2020-05-11,17.0265
2020-05-12,16.6914
2020-05-13,16.5059
2020-05-14,16.5837
2020-05-15,16.6475
2020-05-16,16.6475
2020-05-17,16.6475
2020-05-18,17.7127
2020-05-19,17.3377
2020-05-20,17.6688
2020-05-21,17.7246
2020-05-22,17.7157
2020-05-23,17.7157
2020-05-24,17.7157
2020-05-25,17.7157
2020-05-26,17.7944
2020-05-27,18.1754
2020-05-28,18.315
2020-05-29,18.3689
2020-05-30,18.3689
2020-05-31,18.3689
2020-06-01,18.2752
2020-06-02,18.5783
2020-06-03,18.9035
2020-06-04,18.6023
2020-06-05,18.7539
2020-06-06,18.7539
2020-06-07,18.7539
2020-06-08,19.1608
2020-06-09,18.7598
2020-06-10,18.5823
2020-06-11,17.8982
2020-06-12,17.6907
2020-06-13,17.6907
2020-06-14,17.6907
2020-06-15,17.7705
2020-06-16,17.7625
2020-06-17,17.8722
2020-06-18,17.7167
2020-06-19,17.6947
2020-06-20,17.6947
2020-06-21,17.6947
2020-06-22,17.5531
2020-06-23,17.607
2020-06-24,17.8523
2020-06-25,17.6089
2020-06-26,17.4773
2020-06-27,17.4773
2020-06-28,17.4773
2020-06-29,17.6967
2020-06-30,18.421
2020-07-01,18.4274
2020-07-02,18.4464
2020-07-03,18.4464
2020-07-04,18.4464
2020-07-05,18.4464
2020-07-06,18.6644
2020-07-07,18.6623
2020-07-08,18.7257
2020-07-09,18.804
2020-07-10,19.0876
2020-07-11,19.0876
2020-07-12,19.0876
2020-07-13,19.0559
2020-07-14,19.4219
2020-07-15,19.659
2020-07-16,19.8706
2020-07-17,19.9489
2020-07-18,19.9489
2020-07-19,19.9489
2020-07-20,19.7415
2020-07-21,19.8007
2020-07-22,19.7203
2020-07-23,19.7267
2020-07-24,19.9044
2020-07-25,19.9044
2020-07-26,19.9044
2020-07-27,20.2493
2020-07-28,20.133
2020-07-29,21.8534
2020-07-30,21.4894
2020-07-31,21.5547
2020-08-01,21.5547
2020-08-02,21.5547
2020-08-03,21.5165
2020-08-04,21.9235
2020-08-05,21.9341
2020-08-06,21.8599
2020-08-07,21.9934
2020-08-08,21.9934
2020-08-09,21.9934
2020-08-10,22.1736
2020-08-11,21.8896
2020-08-12,21.9701
2020-08-13,21.8514
2020-08-14,21.8429
2020-08-15,21.8429
2020-08-16,21.8429
2020-08-17,21.8853
2020-08-18,21.8175
2020-08-19,21.9171
2020-08-20,22.1503
2020-08-21,22.1418
2020-08-22,22.1418
2020-08-23,22.1418
2020-08-24,22.2456
2020-08-25,22.1545
2020-08-26,22.3092
2020-08-27,22.5169
2020-08-28,22.6166
2020-08-29,22.6166
2020-08-30,22.6166
2020-08-31,22.5254
2020-09-01,22.7204
2020-09-02,22.8158
2020-09-03,22.3792
2020-09-04,22.4406
2020-09-05,22.4406
2020-09-06,22.4406
2020-09-07,22.4406
