,HOG US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,22.272
2020-01-02,22.2443
2020-01-03,22.0201
2020-01-04,22.0201
2020-01-05,22.0201
2020-01-06,22.0948
2020-01-07,21.9481
2020-01-08,22.0893
2020-01-09,22.0145
2020-01-10,21.6214
2020-01-11,21.6214
2020-01-12,21.6214
2020-01-13,21.7681
2020-01-14,21.8429
2020-01-15,21.8069
2020-01-16,21.8761
2020-01-17,21.865
2020-01-18,21.865
2020-01-19,21.865
2020-01-20,21.865
2020-01-21,21.7128
2020-01-22,21.7128
2020-01-23,21.7349
2020-01-24,21.7294
2020-01-25,21.7294
2020-01-26,21.7294
2020-01-27,21.6214
2020-01-28,21.3307
2020-01-29,21.339
2020-01-30,21.3833
2020-01-31,21.2228
2020-02-01,21.2228
2020-02-02,21.2228
2020-02-03,21.4165
2020-02-04,21.4691
2020-02-05,21.7598
2020-02-06,21.5273
2020-02-07,21.3529
2020-02-08,21.3529
2020-02-09,21.3529
2020-02-10,21.3695
2020-02-11,21.4387
2020-02-12,21.5799
2020-02-13,21.5439
2020-02-14,21.4885
2020-02-15,21.4885
2020-02-16,21.4885
2020-02-17,21.4885
2020-02-18,21.5467
2020-02-19,21.5341
2020-02-20,21.811
2020-02-21,21.6246
2020-02-22,21.6246
2020-02-23,21.6246
2020-02-24,21.3339
2020-02-25,20.9583
2020-02-26,20.6841
2020-02-27,20.5224
2020-02-28,20.3304
2020-02-29,20.3304
2020-03-01,20.3304
2020-03-02,20.4922
2020-03-03,19.9959
2020-03-04,20.2262
2020-03-05,19.5984
2020-03-06,19.1569
2020-03-07,19.1569
2020-03-08,19.1569
2020-03-09,18.4276
2020-03-10,18.9074
2020-03-11,18.3015
2020-03-12,17.5584
2020-03-13,18.4797
2020-03-14,18.4797
2020-03-15,18.4797
2020-03-16,17.6297
2020-03-17,18.2247
2020-03-18,17.5036
2020-03-19,17.1006
2020-03-20,16.4233
2020-03-21,16.4233
2020-03-22,16.4233
2020-03-23,16.182
2020-03-24,17.3172
2020-03-25,17.6133
2020-03-26,17.6654
2020-03-27,18.9916
2020-03-28,18.9916
2020-03-29,18.9916
2020-03-30,19.0284
2020-03-31,19.3385
2020-04-01,18.835
2020-04-02,18.4697
2020-04-03,18.1442
2020-04-04,18.1442
2020-04-05,18.1442
2020-04-06,18.6631
2020-04-07,19.0284
2020-04-08,19.3139
2020-04-09,20.0277
2020-04-10,20.0277
2020-04-11,20.0277
2020-04-12,20.0277
2020-04-13,19.4432
2020-04-14,19.4801
2020-04-15,19.1971
2020-04-16,19.1725
2020-04-17,19.4801
2020-04-18,19.4801
2020-04-19,19.4801
2020-04-20,19.2278
2020-04-21,18.9848
2020-04-22,19.1509
2020-04-23,19.2309
2020-04-24,19.2709
2020-04-25,19.2709
2020-04-26,19.2709
2020-04-27,19.354
2020-04-28,20.24
2020-04-29,21.0215
2020-04-30,20.2431
2020-05-01,19.8001
2020-05-02,19.8001
2020-05-03,19.8001
2020-05-04,19.7755
2020-05-05,19.8432
2020-05-06,19.5447
2020-05-07,19.817
2020-05-08,20.1278
2020-05-09,20.1278
2020-05-10,20.1278
2020-05-11,19.7124
2020-05-12,19.6478
2020-05-13,19.4139
2020-05-14,19.5431
2020-05-15,19.577
2020-05-16,19.577
2020-05-17,19.577
2020-05-18,20.4571
2020-05-19,20.2478
2020-05-20,20.5279
2020-05-21,20.7833
2020-05-22,21.0295
2020-05-23,21.0295
2020-05-24,21.0295
2020-05-25,21.0295
2020-05-26,21.1464
2020-05-27,21.168
2020-05-28,20.7433
2020-05-29,20.094
2020-05-30,20.094
2020-05-31,20.094
2020-06-01,20.5217
2020-06-02,20.7833
2020-06-03,21.0049
2020-06-04,21.2141
2020-06-05,21.3495
2020-06-06,21.3495
2020-06-07,21.3495
2020-06-08,22.0419
2020-06-09,21.888
2020-06-10,21.4388
2020-06-11,20.8387
2020-06-12,21.2449
2020-06-13,21.2449
2020-06-14,21.2449
2020-06-15,21.2264
2020-06-16,21.3495
2020-06-17,21.2049
2020-06-18,21.1803
2020-06-19,21.1649
2020-06-20,21.1649
2020-06-21,21.1649
2020-06-22,21.0818
2020-06-23,21.1341
2020-06-24,20.7248
2020-06-25,21.0387
2020-06-26,78.9542
2020-06-27,78.9542
2020-06-28,78.9542
2020-06-29,80.3099
2020-06-30,80.2244
2020-07-01,79.4672
2020-07-02,79.8214
2020-07-03,79.8214
2020-07-04,79.8214
2020-07-05,79.8214
2020-07-06,81.9344
2020-07-07,81.2382
2020-07-08,82.4474
2020-07-09,82.6428
2020-07-10,83.4367
2020-07-11,83.4367
2020-07-12,83.4367
2020-07-13,82.8505
2020-07-14,84.6093
2020-07-15,86.4536
2020-07-16,87.4429
2020-07-17,86.1604
2020-07-18,86.1604
2020-07-19,86.1604
2020-07-20,85.391
2020-07-21,85.623
2020-07-22,86.1604
2020-07-23,86.6979
2020-07-24,86.6979
2020-07-25,86.6979
2020-07-26,86.6979
2020-07-27,86.9543
2020-07-28,86.6856
2020-07-29,85.6841
2020-07-30,83.7054
2020-07-31,82.9848
