,SR US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,25.1089
2020-01-02,24.9744
2020-01-03,25.0136
2020-01-04,25.0136
2020-01-05,25.0136
2020-01-06,25.0034
2020-01-07,24.9336
2020-01-08,24.76
2020-01-09,24.7157
2020-01-10,24.7242
2020-01-11,24.7242
2020-01-12,24.7242
2020-01-13,24.8604
2020-01-14,24.9285
2020-01-15,25.1191
2020-01-16,25.2621
2020-01-17,25.2485
2020-01-18,25.2485
2020-01-19,25.2485
2020-01-20,25.2485
2020-01-21,25.2485
2020-01-22,25.1293
2020-01-23,25.2944
2020-01-24,25.325
2020-01-25,25.325
2020-01-26,25.325
2020-01-27,25.2502
2020-01-28,25.3097
2020-01-29,25.2842
2020-01-30,25.3659
2020-01-31,25.2808
2020-02-01,25.2808
2020-02-02,25.2808
2020-02-03,25.4782
2020-02-04,25.3625
2020-02-05,25.6951
2020-02-06,25.6252
2020-02-07,25.6201
2020-02-08,25.6201
2020-02-09,25.6201
2020-02-10,25.6508
2020-02-11,25.5843
2020-02-12,25.5741
2020-02-13,25.7122
2020-02-14,25.8622
2020-02-15,25.8622
2020-02-16,25.8622
2020-02-17,25.8622
2020-02-18,25.8657
2020-02-19,25.7702
2020-02-20,25.794
2020-02-21,25.7668
2020-02-22,25.7668
2020-02-23,25.7668
2020-02-24,25.5656
2020-02-25,25.1683
2020-02-26,24.9756
2020-02-27,24.5306
2020-02-28,23.7257
2020-02-29,23.7257
2020-03-01,23.7257
2020-03-02,24.4879
2020-03-03,24.2049
2020-03-04,24.7812
2020-03-05,24.5459
2020-03-06,24.8
2020-03-07,24.8
2020-03-08,24.8
2020-03-09,24.0548
2020-03-10,24.0582
2020-03-11,23.4921
2020-03-12,21.8058
2020-03-13,22.2883
2020-03-14,22.2883
2020-03-15,22.2883
2020-03-16,21.6984
2020-03-17,24.1554
2020-03-18,23.9014
2020-03-19,23.5262
2020-03-20,21.7563
2020-03-21,21.7563
2020-03-22,21.7563
2020-03-23,21.2039
2020-03-24,22.3975
2020-03-25,22.5236
2020-03-26,23.3643
2020-03-27,23.3711
2020-03-28,23.3711
2020-03-29,23.3711
2020-03-30,23.9372
2020-03-31,23.2674
2020-04-01,22.2715
2020-04-02,22.5281
2020-04-03,22.4449
2020-04-04,22.4449
2020-04-05,22.4449
2020-04-06,23.6685
2020-04-07,23.3048
2020-04-08,23.4934
2020-04-09,24.0933
2020-04-10,24.0933
2020-04-11,24.0933
2020-04-12,24.0933
2020-04-13,23.592
2020-04-14,23.8044
2020-04-15,23.2453
2020-04-16,23.2997
2020-04-17,23.7347
2020-04-18,23.7347
2020-04-19,23.7347
2020-04-20,23.1144
2020-04-21,22.9428
2020-04-22,23.1654
2020-04-23,22.9054
2020-04-24,22.9649
2020-04-25,22.9649
2020-04-26,22.9649
2020-04-27,23.1042
2020-04-28,23.1705
2020-04-29,23.3863
2020-04-30,23.0091
2020-05-01,22.6216
2020-05-02,22.6216
2020-05-03,22.6216
2020-05-04,22.7321
2020-05-05,22.9428
2020-05-06,22.3922
2020-05-07,22.6437
2020-05-08,23.1349
2020-05-09,23.1349
2020-05-10,23.1349
2020-05-11,22.7734
2020-05-12,22.4188
2020-05-13,22.2449
2020-05-14,22.1988
2020-05-15,22.0556
2020-05-16,22.0556
2020-05-17,22.0556
2020-05-18,22.8467
2020-05-19,22.4086
2020-05-20,22.6865
2020-05-21,22.6456
2020-05-22,22.8178
2020-05-23,22.8178
2020-05-24,22.8178
2020-05-25,22.8178
2020-05-26,22.8382
2020-05-27,23.1826
2020-05-28,22.9968
2020-05-29,23.0428
2020-05-30,23.0428
2020-05-31,23.0428
2020-06-01,23.0667
2020-06-02,23.0565
2020-06-03,23.273
2020-06-04,22.9337
2020-06-05,23.2747
2020-06-06,23.2747
2020-06-07,23.2747
2020-06-08,23.6072
2020-06-09,23.4111
2020-06-10,22.9883
2020-06-11,22.1511
2020-06-12,22.1409
2020-06-13,22.1409
2020-06-14,22.1409
2020-06-15,22.3472
2020-06-16,22.487
2020-06-17,22.0829
2020-06-18,21.9704
2020-06-19,21.7709
2020-06-20,21.7709
2020-06-21,21.7709
2020-06-22,21.8766
2020-06-23,21.8033
2020-06-24,21.5953
2020-06-25,21.5151
2020-06-26,21.2099
2020-06-27,21.2099
2020-06-28,21.2099
2020-06-29,21.5885
2020-06-30,36.3401
2020-07-01,36.5896
2020-07-02,36.7541
2020-07-03,36.7541
2020-07-04,36.7541
2020-07-05,36.7541
2020-07-06,36.7257
2020-07-07,36.5216
2020-07-08,36.2296
2020-07-09,35.6341
2020-07-10,36.2948
2020-07-11,36.2948
2020-07-12,36.2948
2020-07-13,36.2125
2020-07-14,36.119
2020-07-15,36.1133
