,CSX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.3125
2020-01-02,14.4426
2020-01-03,14.3956
2020-01-04,14.3956
2020-01-05,14.3956
2020-01-06,14.336
2020-01-07,14.4128
2020-01-08,14.4723
2020-01-09,14.5287
2020-01-10,14.4692
2020-01-11,14.4692
2020-01-12,14.4692
2020-01-13,14.6776
2020-01-14,14.6729
2020-01-15,14.7246
2020-01-16,14.9988
2020-01-17,14.9456
2020-01-18,14.9456
2020-01-19,14.9456
2020-01-20,14.9456
2020-01-21,14.6995
2020-01-22,14.6651
2020-01-23,14.9832
2020-01-24,14.9926
2020-01-25,14.9926
2020-01-26,14.9926
2020-01-27,14.7528
2020-01-28,14.9173
2020-01-29,15.1226
2020-01-30,15.1618
2020-01-31,14.9362
2020-02-01,14.9362
2020-02-02,14.9362
2020-02-03,15.0552
2020-02-04,15.1602
2020-02-05,15.2229
2020-02-06,15.2464
2020-02-07,15.1759
2020-02-08,15.1759
2020-02-09,15.1759
2020-02-10,15.3342
2020-02-11,15.2777
2020-02-12,15.2935
2020-02-13,15.3485
2020-02-14,15.3097
2020-02-15,15.3097
2020-02-16,15.3097
2020-02-17,15.3097
2020-02-18,15.2973
2020-02-19,15.3996
2020-02-20,15.443
2020-02-21,15.3051
2020-02-22,15.3051
2020-02-23,15.3051
2020-02-24,15.0726
2020-02-25,14.6867
2020-02-26,14.6464
2020-02-27,14.1752
2020-02-28,13.8931
2020-02-29,13.8931
2020-03-01,13.8931
2020-03-02,13.9396
2020-03-03,13.6544
2020-03-04,14.1334
2020-03-05,13.6622
2020-03-06,13.5522
2020-03-07,13.5522
2020-03-08,13.5522
2020-03-09,12.3339
2020-03-10,12.7199
2020-03-11,12.0116
2020-03-12,11.2521
2020-03-13,11.9542
2020-03-14,11.9542
2020-03-15,11.9542
2020-03-16,10.5578
2020-03-17,11.3838
2020-03-18,10.8739
2020-03-19,11.5001
2020-03-20,10.7034
2020-03-21,10.7034
2020-03-22,10.7034
2020-03-23,10.3609
2020-03-24,11.576
2020-03-25,11.7357
2020-03-26,12.0519
2020-03-27,11.6985
2020-03-28,11.6985
2020-03-29,11.6985
2020-03-30,11.9304
2020-03-31,11.9654
2020-04-01,11.5819
2020-04-02,11.8966
2020-04-03,11.8825
2020-04-04,11.8825
2020-04-05,11.8825
2020-04-06,12.5868
2020-04-07,12.568
2020-04-08,12.939
2020-04-09,13.0141
2020-04-10,13.0141
2020-04-11,13.0141
2020-04-12,13.0141
2020-04-13,12.6338
2020-04-14,12.7856
2020-04-15,12.5273
2020-04-16,12.4882
2020-04-17,12.8216
2020-04-18,12.8216
2020-04-19,12.8216
2020-04-20,12.5446
2020-04-21,12.3066
2020-04-22,12.5273
2020-04-23,12.5526
2020-04-24,12.918
2020-04-25,12.918
2020-04-26,12.918
2020-04-27,13.3206
2020-04-28,13.389
2020-04-29,13.5911
2020-04-30,13.2926
2020-05-01,13.1014
2020-05-02,13.1014
2020-05-03,13.1014
2020-05-04,12.9055
2020-05-05,12.9102
2020-05-06,12.733
2020-05-07,12.9335
2020-05-08,13.274
2020-05-09,13.274
2020-05-10,13.274
2020-05-11,13.2429
2020-05-12,12.9708
2020-05-13,12.6863
2020-05-14,12.7858
2020-05-15,12.635
2020-05-16,12.635
2020-05-17,12.635
2020-05-18,13.3175
2020-05-19,13.2506
2020-05-20,13.6237
2020-05-21,13.5367
2020-05-22,13.6502
2020-05-23,13.6502
2020-05-24,13.6502
2020-05-25,13.6502
2020-05-26,14.2114
2020-05-27,14.4383
2020-05-28,14.073
2020-05-29,14.1243
2020-05-30,14.1243
2020-05-31,14.1243
2020-06-01,14.0131
2020-06-02,14.2176
2020-06-03,14.6047
2020-06-04,14.5067
2020-06-05,14.6684
2020-06-06,14.6684
2020-06-07,14.6684
2020-06-08,14.5518
2020-06-09,14.4476
2020-06-10,14.3901
2020-06-11,13.6128
2020-06-12,13.8118
2020-06-13,13.8118
2020-06-14,13.8118
2020-06-15,13.902
2020-06-16,13.9346
2020-06-17,13.8631
2020-06-18,13.7963
2020-06-19,13.5662
2020-06-20,13.5662
2020-06-21,13.5662
2020-06-22,13.661
2020-06-23,13.7901
2020-06-24,13.49
2020-06-25,13.602
2020-06-26,13.2429
2020-06-27,13.2429
2020-06-28,13.2429
2020-06-29,13.6455
2020-06-30,15.2439
2020-07-01,14.9857
2020-07-02,15.0924
2020-07-03,15.0924
2020-07-04,15.0924
2020-07-05,15.0924
2020-07-06,15.3317
2020-07-07,15.0339
2020-07-08,15.1337
2020-07-09,14.9203
2020-07-10,14.8652
2020-07-11,14.8652
2020-07-12,14.8652
2020-07-13,15.0545
2020-07-14,15.175
2020-07-15,15.4023
2020-07-16,15.4728
2020-07-17,15.6604
2020-07-18,15.6604
2020-07-19,15.6604
2020-07-20,15.5572
2020-07-21,15.7069
2020-07-22,15.8498
2020-07-23,15.5454
2020-07-24,15.5127
2020-07-25,15.5127
2020-07-26,15.5127
2020-07-27,15.5557
2020-07-28,15.2993
2020-07-29,15.6125
2020-07-30,15.3234
2020-07-31,15.5127
2020-08-01,15.5127
2020-08-02,15.5127
2020-08-03,15.3424
2020-08-04,15.4129
2020-08-05,15.5282
2020-08-06,15.6727
2020-08-07,15.7862
2020-08-08,15.7862
2020-08-09,15.7862
2020-08-10,15.9841
2020-08-11,16.1664
2020-08-12,16.1475
2020-08-13,15.9703
2020-08-14,16.0133
2020-08-15,16.0133
2020-08-16,16.0133
2020-08-17,16.1406
2020-08-18,16.0408
2020-08-19,15.9789
2020-08-20,15.9548
2020-08-21,15.9927
2020-08-22,15.9927
2020-08-23,15.9927
2020-08-24,16.1613
2020-08-25,16.2851
2020-08-26,16.2129
2020-08-27,16.3471
2020-08-28,16.4984
2020-08-29,16.4984
2020-08-30,16.4984
2020-08-31,16.3935
2020-09-01,16.6653
2020-09-02,16.6034
2020-09-03,16.2542
2020-09-04,16.2301
2020-09-05,16.2301
2020-09-06,16.2301
2020-09-07,16.2301
2020-09-08,16.1871
2020-09-09,16.4279
2020-09-10,16.2834
2020-09-11,16.5157
2020-09-12,16.5157
2020-09-13,16.5157
2020-09-14,16.8236
2020-09-15,17.049
2020-09-16,16.8907
2020-09-17,16.9165
2020-09-18,16.9733
2020-09-19,16.9733
2020-09-20,16.9733
2020-09-21,16.5862
2020-09-22,16.6464
2020-09-23,16.4004
2020-09-24,16.4141
2020-09-25,16.6722
2020-09-26,16.6722
2020-09-27,16.6722
2020-09-28,16.8873
2020-09-29,16.5896
2020-09-30,17.0899
2020-10-01,16.9458
2020-10-02,16.9974
2020-10-03,16.9974
2020-10-04,16.9974
2020-10-05,17.1023
2020-10-06,16.9209
2020-10-07,17.2713
2020-10-08,17.097
2020-10-09,17.234
2020-10-10,17.234
2020-10-11,17.234
2020-10-12,17.4261
2020-10-13,17.3603
