,XEL US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,25.4626
2020-01-02,25.186
2020-01-03,25.2608
2020-01-04,25.2608
2020-01-05,25.2608
2020-01-06,25.2383
2020-01-07,25.2059
2020-01-08,25.191
2020-01-09,25.2259
2020-01-10,25.2508
2020-01-11,25.2508
2020-01-12,25.2508
2020-01-13,25.4327
2020-01-14,25.4577
2020-01-15,25.7069
2020-01-16,25.8465
2020-01-17,25.9312
2020-01-18,25.9312
2020-01-19,25.9312
2020-01-20,25.9312
2020-01-21,26.0882
2020-01-22,26.1406
2020-01-23,26.3125
2020-01-24,26.3798
2020-01-25,26.3798
2020-01-26,26.3798
2020-01-27,26.3175
2020-01-28,26.3923
2020-01-29,26.4421
2020-01-30,26.7761
2020-01-31,26.8833
2020-02-01,26.8833
2020-02-02,26.8833
2020-02-03,26.9481
2020-02-04,26.9107
2020-02-05,26.9107
2020-02-06,26.9107
2020-02-07,26.7636
2020-02-08,26.7636
2020-02-09,26.7636
2020-02-10,26.8509
2020-02-11,26.826
2020-02-12,26.8434
2020-02-13,27.0403
2020-02-14,27.15
2020-02-15,27.15
2020-02-16,27.15
2020-02-17,27.15
2020-02-18,27.3743
2020-02-19,27.2821
2020-02-20,27.2521
2020-02-21,27.299
2020-02-22,27.299
2020-02-23,27.299
2020-02-24,27.1868
2020-02-25,26.8052
2020-02-26,26.683
2020-02-27,25.8103
2020-02-28,25.1794
2020-02-29,25.1794
2020-03-01,25.1794
2020-03-02,26.0646
2020-03-03,26.0247
2020-03-04,26.895
2020-03-05,26.9075
2020-03-06,27.1319
2020-03-07,27.1319
2020-03-08,27.1319
2020-03-09,26.5933
2020-03-10,26.718
2020-03-11,26.3015
2020-03-12,24.9225
2020-03-13,26.3065
2020-03-14,26.3065
2020-03-15,26.3065
2020-03-16,24.1919
2020-03-17,25.8302
2020-03-18,24.9425
2020-03-19,24.0996
2020-03-20,22.2643
2020-03-21,22.2643
2020-03-22,22.2643
2020-03-23,22.1072
2020-03-24,23.1171
2020-03-25,23.4911
2020-03-26,24.0796
2020-03-27,24.2941
2020-03-28,24.2941
2020-03-29,24.2941
2020-03-30,25.2392
2020-03-31,25.3625
2020-04-01,24.8007
2020-04-02,25.3929
2020-04-03,24.745
2020-04-04,24.745
2020-04-05,24.745
2020-04-06,25.5777
2020-04-07,25.0917
2020-04-08,26.0062
2020-04-09,26.885
2020-04-10,26.885
2020-04-11,26.885
2020-04-12,26.885
2020-04-13,26.2227
2020-04-14,26.88
2020-04-15,26.3861
2020-04-16,26.6267
2020-04-17,27.1079
2020-04-18,27.1079
2020-04-19,27.1079
2020-04-20,26.3988
2020-04-21,26.1607
2020-04-22,26.6444
2020-04-23,26.4064
2020-04-24,26.4545
2020-04-25,26.4545
2020-04-26,26.4545
2020-04-27,26.6824
2020-04-28,26.8597
2020-04-29,26.5837
2020-04-30,26.1987
2020-05-01,25.8492
2020-05-02,25.8492
2020-05-03,25.8492
2020-05-04,25.9024
2020-05-05,26.1265
2020-05-06,25.606
2020-05-07,25.291
2020-05-08,25.3797
2020-05-09,25.3797
2020-05-10,25.3797
2020-05-11,25.3341
2020-05-12,24.9946
2020-05-13,24.8097
2020-05-14,24.8451
2020-05-15,24.7666
2020-05-16,24.7666
2020-05-17,24.7666
2020-05-18,25.3341
2020-05-19,25.2251
2020-05-20,25.3645
2020-05-21,25.3391
2020-05-22,25.3949
2020-05-23,25.3949
2020-05-24,25.3949
2020-05-25,25.3949
2020-05-26,25.5697
2020-05-27,25.7394
2020-05-28,26.317
2020-05-29,26.5754
2020-05-30,26.5754
2020-05-31,26.5754
2020-06-01,26.7578
2020-06-02,26.8389
2020-06-03,27.0289
2020-06-04,26.5754
2020-06-05,26.6337
2020-06-06,26.6337
2020-06-07,26.6337
2020-06-08,27.0618
2020-06-09,26.9149
2020-06-10,27.0568
2020-06-11,26.5881
2020-06-12,26.2258
2020-06-13,26.2258
2020-06-14,26.2258
2020-06-15,26.1904
2020-06-16,26.2486
2020-06-17,26.2866
2020-06-18,26.4437
2020-06-19,26.317
2020-06-20,26.317
2020-06-21,26.317
2020-06-22,26.6058
2020-06-23,26.3626
2020-06-24,26.2334
2020-06-25,26.0358
2020-06-26,25.8863
2020-06-27,25.8863
2020-06-28,25.8863
2020-06-29,25.9243
2020-06-30,26.1133
2020-07-01,26.5377
2020-07-02,26.5163
2020-07-03,26.5163
2020-07-04,26.5163
2020-07-05,26.5163
2020-07-06,26.3853
2020-07-07,26.3903
2020-07-08,26.4332
2020-07-09,26.2997
2020-07-10,26.4332
2020-07-11,26.4332
2020-07-12,26.4332
2020-07-13,26.5339
2020-07-14,26.6523
2020-07-15,26.5415
2020-07-16,26.7405
2020-07-17,27.0931
2020-07-18,27.0931
2020-07-19,27.0931
2020-07-20,26.9823
2020-07-21,27.0503
2020-07-22,27.5943
2020-07-23,27.5666
2020-07-24,27.4684
2020-07-25,27.4684
2020-07-26,27.4684
2020-07-27,27.3752
2020-07-28,27.5918
2020-07-29,27.6825
2020-07-30,27.7505
2020-07-31,27.7663
2020-08-01,27.7663
2020-08-02,27.7663
2020-08-03,27.6957
2020-08-04,27.9905
2020-08-05,27.9552
2020-08-06,28.0333
2020-08-07,28.5977
2020-08-08,28.5977
2020-08-09,28.5977
2020-08-10,28.6254
2020-08-11,28.1392
2020-08-12,28.381
2020-08-13,28.3306
2020-08-14,28.1921
2020-08-15,28.1921
2020-08-16,28.1921
2020-08-17,28.0585
2020-08-18,28.0081
2020-08-19,27.9023
2020-08-20,27.7587
2020-08-21,27.9099
2020-08-22,27.9099
2020-08-23,27.9099
2020-08-24,28.1114
2020-08-25,27.7486
2020-08-26,27.537
2020-08-27,27.6629
2020-08-28,27.668
2020-08-29,27.668
2020-08-30,27.668
2020-08-31,27.8759
2020-09-01,27.6428
2020-09-02,28.3987
2020-09-03,28.1719
2020-09-04,28.0132
2020-09-05,28.0132
2020-09-06,28.0132
2020-09-07,28.0132
2020-09-08,27.7839
2020-09-09,28.1568
2020-09-10,27.7889
2020-09-11,27.7196
2020-09-12,27.7196
2020-09-13,27.7196
2020-09-14,27.8922
2020-09-15,28.1114
2020-09-16,28.2399
2020-09-17,27.6151
2020-09-18,27.2271
2020-09-19,27.2271
2020-09-20,27.2271
2020-09-21,27.1615
2020-09-22,27.2195
2020-09-23,27.0482
2020-09-24,27.2699
2020-09-25,27.6302
2020-09-26,27.6302
2020-09-27,27.6302
2020-09-28,27.7184
2020-09-29,27.6667
2020-09-30,27.0247
2020-10-01,27.361
2020-10-02,27.3856
2020-10-03,27.3856
2020-10-04,27.3856
2020-10-05,27.6286
2020-10-06,27.8692
2020-10-07,27.7808
2020-10-08,27.8839
2020-10-09,27.933
2020-10-10,27.933
2020-10-11,27.933
2020-10-12,28.1564
2020-10-13,28.0042
2020-10-14,27.8446
2020-10-15,27.8078
2020-10-16,28.0361
2020-10-17,28.0361
2020-10-18,28.0361
2020-10-19,27.6826
2020-10-20,27.6433
2020-10-21,27.6433
2020-10-22,27.6139
2020-10-23,27.6286
2020-10-24,27.6286
2020-10-25,27.6286
2020-10-26,27.6826
2020-10-27,27.8397
2020-10-28,27.3316
2020-10-29,27.4532
2020-10-30,27.2789
2020-10-31,27.2789
2020-11-01,27.2789
2020-11-02,27.7086
2020-11-03,28.0032
2020-11-04,27.9394
2020-11-05,28.1874
2020-11-06,28.0843
2020-11-07,28.0843
2020-11-08,28.0843
2020-11-09,28.1137
2020-11-10,28.1874
2020-11-11,28.4231
2020-11-12,28.1948
2020-11-13,28.2733
2020-11-14,28.2733
2020-11-15,28.2733
2020-11-16,28.428
2020-11-17,27.9173
2020-11-18,27.3943
2020-11-19,27.1119
2020-11-20,27.1021
2020-11-21,27.1021
2020-11-22,27.1021
2020-11-23,26.8688
2020-11-24,26.8148
2020-11-25,26.8074
2020-11-26,26.8074
2020-11-27,26.6871
2020-11-28,26.6871
2020-11-29,26.6871
2020-11-30,26.6233
2020-12-01,26.8811
2020-12-02,26.9474
2020-12-03,26.611
2020-12-04,26.228
2020-12-05,26.228
2020-12-06,26.228
2020-12-07,26.4391
2020-12-08,26.2992
2020-12-09,26.1813
2020-12-10,26.088
2020-12-11,26.0438
2020-12-12,26.0438
2020-12-13,26.0438
2020-12-14,26.0536
2020-12-15,26.2943
2020-12-16,26.1887
2020-12-17,26.5373
2020-12-18,26.3139
2020-12-19,26.3139
2020-12-20,26.3139
2020-12-21,26.1396
2020-12-22,26.0021
2020-12-23,25.8744
2020-12-24,25.953
2020-12-25,25.953
2020-12-26,25.953
2020-12-27,25.953
2020-12-28,26.1224
2020-12-29,26.1469
2020-12-30,26.2034
2020-12-31,26.9902
2021-01-01,26.9902
2021-01-02,26.9902
2021-01-03,26.9902
2021-01-04,26.7382
2021-01-05,26.5805
2021-01-06,26.9381
2021-01-07,26.6152
2021-01-08,26.7642
2021-01-09,26.7642
2021-01-10,26.7642
2021-01-11,26.4265
2021-01-12,26.1782
2021-01-13,26.578
2021-01-14,26.2179
2021-01-15,26.5656
2021-01-16,26.5656
2021-01-17,26.5656
2021-01-18,26.5656
2021-01-19,26.5035
2021-01-20,26.6823
2021-01-21,26.6028
2021-01-22,26.5159
2021-01-23,26.5159
2021-01-24,26.5159
2021-01-25,26.948
2021-01-26,26.7766
2021-01-27,26.2825
2021-01-28,26.2378
2021-01-29,26.3247
2021-01-30,26.3247
2021-01-31,26.3247
2021-02-01,26.3123
2021-02-02,26.3768
2021-02-03,26.1235
2021-02-04,26.2254
2021-02-05,26.1881
2021-02-06,26.1881
2021-02-07,26.1881
2021-02-08,25.8926
2021-02-09,25.8603
2021-02-10,25.9001
2021-02-11,25.7237
2021-02-12,25.7163
2021-02-13,25.7163
2021-02-14,25.7163
2021-02-15,25.7163
2021-02-16,25.4605
2021-02-17,25.9082
2021-02-18,26.264
2021-02-19,26.2055
2021-02-20,26.2055
2021-02-21,26.2055
2021-02-22,25.7875
2021-02-23,26.1699
2021-02-24,25.7329
2021-02-25,25.6389
2021-02-26,25.3213
2021-02-27,25.3213
2021-02-28,25.3213
2021-03-01,25.4636
2021-03-02,25.4204
2021-03-03,25.179
2021-03-04,25.4051
2021-03-05,26.0226
2021-03-06,26.0226
2021-03-07,26.0226
2021-03-08,26.1776
2021-03-09,26.2258
2021-03-10,26.2335
2021-03-11,26.1522
2021-03-12,26.2081
2021-03-13,26.2081
2021-03-14,26.2081
2021-03-15,26.4596
2021-03-16,26.546
2021-03-17,26.363
2021-03-18,26.2894
2021-03-19,26.4393
2021-03-20,26.4393
2021-03-21,26.4393
2021-03-22,26.6324
2021-03-23,27.0618
2021-03-24,27.0974
2021-03-25,27.2041
2021-03-26,27.2828
2021-03-27,27.2828
2021-03-28,27.2828
2021-03-29,27.4582
2021-03-30,27.2066
2021-03-31,27.3044
2021-04-01,27.3739
2021-04-02,27.3739
2021-04-03,27.3739
2021-04-04,27.3739
2021-04-05,27.7012
2021-04-06,27.7136
2021-04-07,27.6863
2021-04-08,27.6045
2021-04-09,27.5326
2021-04-10,27.5326
2021-04-11,27.5326
2021-04-12,27.6516
2021-04-13,27.793
2021-04-14,27.8426
2021-04-15,28.16
2021-04-16,28.2617
2021-04-17,28.2617
2021-04-18,28.2617
2021-04-19,28.2915
2021-04-20,28.5543
2021-04-21,28.4973
2021-04-22,28.4477
2021-04-23,28.4378
2021-04-24,28.4378
2021-04-25,28.4378
2021-04-26,28.3187
2021-04-27,28.1699
2021-04-28,28.1228
2021-04-29,28.3088
2021-04-30,28.5107
2021-05-01,28.5107
2021-05-02,28.5107
2021-05-03,28.5901
2021-05-04,28.6447
2021-05-05,28.3741
2021-05-06,28.5727
2021-05-07,28.5156
2021-05-08,28.5156
2021-05-09,28.5156
2021-05-10,28.8309
2021-05-11,28.4436
2021-05-12,28.2302
2021-05-13,28.466
2021-05-14,28.6149
2021-05-15,28.6149
2021-05-16,28.6149
2021-05-17,28.3866
2021-05-18,28.389
2021-05-19,28.3295
2021-05-20,28.5802
2021-05-21,28.6944
2021-05-22,28.6944
2021-05-23,28.6944
2021-05-24,28.6025
2021-05-25,28.4958
2021-05-26,28.4362
2021-05-27,28.255
2021-05-28,28.4064
2021-05-29,28.4064
2021-05-30,28.4064
2021-05-31,28.4064
2021-06-01,28.188
2021-06-02,28.2475
2021-06-03,28.3071
2021-06-04,28.2078
2021-06-05,28.2078
2021-06-06,28.2078
2021-06-07,28.2177
2021-06-08,27.89
2021-06-09,28.0266
2021-06-10,28.0961
2021-06-11,28.0738
2021-06-12,28.0738
2021-06-13,28.0738
2021-06-14,27.9596
2021-06-15,27.9869
2021-06-16,27.6319
2021-06-17,27.7783
2021-06-18,27.3439
2021-06-19,27.3439
2021-06-20,27.3439
2021-06-21,27.478
2021-06-22,27.3811
2021-06-23,27.252
2021-06-24,27.2595
2021-06-25,27.468
2021-06-26,27.468
2021-06-27,27.468
2021-06-28,27.4581
2021-06-29,27.123
2021-06-30,27.2972
2021-07-01,27.5806
2021-07-02,27.5288
2021-07-03,27.5288
2021-07-04,27.5288
2021-07-05,27.5288
2021-07-06,27.5904
2021-07-07,27.7432
2021-07-08,27.6964
2021-07-09,27.7383
2021-07-10,27.7383
2021-07-11,27.7383
2021-07-12,27.7802
2021-07-13,27.7161
