,MED US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,13.1124
2020-01-02,13.3867
2020-01-03,13.2514
2020-01-04,13.2514
2020-01-05,13.2514
2020-01-06,13.254
2020-01-07,13.365
2020-01-08,13.3241
2020-01-09,13.1238
2020-01-10,13.1111
2020-01-11,13.1111
2020-01-12,13.1111
2020-01-13,13.5015
2020-01-14,13.9953
2020-01-15,13.8473
2020-01-16,14.045
2020-01-17,13.8779
2020-01-18,13.8779
2020-01-19,13.8779
2020-01-20,13.8779
2020-01-21,13.9034
2020-01-22,14.0093
2020-01-23,13.0345
2020-01-24,12.3366
2020-01-25,12.3366
2020-01-26,12.3366
2020-01-27,11.9322
2020-01-28,12.1555
2020-01-29,11.8097
2020-01-30,11.6681
2020-01-31,11.4601
2020-02-01,11.4601
2020-02-02,11.4601
2020-02-03,11.7242
2020-02-04,12.1108
2020-02-05,12.1963
2020-02-06,12.1236
2020-02-07,11.9653
2020-02-08,11.9653
2020-02-09,11.9653
2020-02-10,12.0049
2020-02-11,12.2346
2020-02-12,12.3787
2020-02-13,12.5688
2020-02-14,12.3596
2020-02-15,12.3596
2020-02-16,12.3596
2020-02-17,12.3596
2020-02-18,12.2027
2020-02-19,12.0075
2020-02-20,12.0751
2020-02-21,11.3772
2020-02-22,11.3772
2020-02-23,11.3772
2020-02-24,11.2509
2020-02-25,11.2598
2020-02-26,11.1858
2020-02-27,10.221
2020-02-28,9.8708
2020-02-29,9.8708
2020-03-01,9.8708
2020-03-02,9.7698
2020-03-03,9.6095
2020-03-04,9.7956
2020-03-05,9.4234
2020-03-06,9.4002
2020-03-07,9.4002
2020-03-08,9.4002
2020-03-09,8.6791
2020-03-10,8.4581
2020-03-11,8.2345
2020-03-12,7.7421
2020-03-13,7.9851
2020-03-14,7.9851
2020-03-15,7.9851
2020-03-16,6.5157
2020-03-17,6.0233
2020-03-18,5.8489
2020-03-19,6.0453
2020-03-20,6.2068
2020-03-21,6.2068
2020-03-22,6.2068
2020-03-23,6.3438
2020-03-24,7.609
2020-03-25,7.5547
2020-03-26,8.1221
2020-03-27,7.5431
2020-03-28,7.5431
2020-03-29,7.5431
2020-03-30,7.3932
2020-03-31,7.1543
2020-04-01,6.4944
2020-04-02,6.5861
2020-04-03,6.4591
2020-04-04,6.4591
2020-04-05,6.4591
2020-04-06,7.2997
2020-04-07,7.2211
2020-04-08,7.737
2020-04-09,7.9792
2020-04-10,7.9792
2020-04-11,7.9792
2020-04-12,7.9792
2020-04-13,8.4204
2020-04-14,8.1494
2020-04-15,7.7422
2020-04-16,7.4987
2020-04-17,7.4502
2020-04-18,7.4502
2020-04-19,7.4502
2020-04-20,7.3887
2020-04-21,7.4031
2020-04-22,7.572
2020-04-23,7.7907
2020-04-24,8.0211
2020-04-25,8.0211
2020-04-26,8.0211
2020-04-27,8.5121
2020-04-28,8.5701
2020-04-29,9.3293
2020-04-30,8.9202
2020-05-01,8.5819
2020-05-02,8.5819
2020-05-03,8.5819
2020-05-04,8.6095
2020-05-05,8.8481
2020-05-06,10.3906
2020-05-07,11.0107
2020-05-08,11.5076
2020-05-09,11.5076
2020-05-10,11.5076
2020-05-11,10.839
2020-05-12,10.3775
2020-05-13,10.7184
2020-05-14,10.5466
2020-05-15,10.9504
2020-05-16,10.9504
2020-05-17,10.9504
2020-05-18,11.1405
2020-05-19,11.0684
2020-05-20,11.3031
2020-05-21,11.1274
2020-05-22,10.9701
2020-05-23,10.9701
2020-05-24,10.9701
2020-05-25,10.9701
2020-05-26,11.4421
2020-05-27,12.0124
2020-05-28,11.8328
2020-05-29,12.3887
2020-05-30,12.3887
2020-05-31,12.3887
2020-06-01,12.5172
2020-06-02,12.6063
2020-06-03,12.9629
2020-06-04,13.1111
2020-06-05,13.8427
2020-06-06,13.8427
2020-06-07,13.8427
2020-06-08,14.3225
2020-06-09,13.5241
2020-06-10,13.3563
2020-06-11,12.0596
2020-06-12,13.0993
2020-06-13,13.0993
2020-06-14,13.0993
2020-06-15,13.7994
2020-06-16,14.7368
2020-06-17,14.3474
2020-06-18,14.5795
2020-06-19,14.5362
2020-06-20,14.5362
2020-06-21,14.5362
2020-06-22,14.7381
2020-06-23,15.4854
2020-06-24,15.0987
2020-06-25,16.1528
2020-06-26,16.2262
2020-06-27,16.2262
2020-06-28,16.2262
2020-06-29,16.8804
2020-06-30,16.5723
2020-07-01,16.8974
2020-07-02,17.9597
2020-07-03,17.9597
2020-07-04,17.9597
2020-07-05,17.9597
2020-07-06,18.0091
2020-07-07,17.8908
2020-07-08,17.9636
2020-07-09,18.4148
2020-07-10,18.4031
2020-07-11,18.4031
2020-07-12,18.4031
2020-07-13,18.225
2020-07-14,18.5254
2020-07-15,19.0065
2020-07-16,19.3732
2020-07-17,19.2783
2020-07-18,19.2783
2020-07-19,19.2783
2020-07-20,20.2002
2020-07-21,20.0077
2020-07-22,20.0558
2020-07-23,20.1937
2020-07-24,19.6085
2020-07-25,19.6085
2020-07-26,19.6085
2020-07-27,20.1742
2020-07-28,19.7997
2020-07-29,20.3341
2020-07-30,20.1144
2020-07-31,20.26
2020-08-01,20.26
2020-08-02,20.26
2020-08-03,20.7515
2020-08-04,21.2079
2020-08-05,22.282
2020-08-06,19.8821
2020-08-07,19.7497
2020-08-08,19.7497
2020-08-09,19.7497
2020-08-10,20.0457
2020-08-11,19.6679
2020-08-12,19.7652
2020-08-13,20.025
2020-08-14,19.6847
2020-08-15,19.6847
2020-08-16,19.6847
2020-08-17,19.5393
2020-08-18,19.6146
2020-08-19,19.5873
2020-08-20,19.8094
2020-08-21,19.9834
2020-08-22,19.9834
2020-08-23,19.9834
2020-08-24,19.6081
2020-08-25,20.1366
2020-08-26,19.9886
2020-08-27,20.0691
2020-08-28,20.1782
2020-08-29,20.1782
2020-08-30,20.1782
2020-08-31,19.6588
2020-09-01,20.0847
2020-09-02,20.8327
2020-09-03,20.6873
2020-09-04,19.3627
2020-09-05,19.3627
2020-09-06,19.3627
2020-09-07,19.3627
2020-09-08,19.7795
2020-09-09,21.1651
2020-09-10,21.8209
2020-09-11,21.621
2020-09-12,21.621
2020-09-13,21.621
2020-09-14,21.6054
2020-09-15,21.4184
2020-09-16,21.4301
2020-09-17,21.1158
2020-09-18,21.0729
2020-09-19,21.0729
2020-09-20,21.0729
2020-09-21,20.8846
2020-09-22,21.0859
2020-09-23,19.7977
2020-09-24,19.8782
2020-09-25,19.9419
2020-09-26,19.9419
2020-09-27,19.9419
2020-09-28,20.0211
2020-09-29,19.4847
2020-09-30,15.466
2020-10-01,15.5572
2020-10-02,15.4763
2020-10-03,15.4763
2020-10-04,15.4763
2020-10-05,15.3943
2020-10-06,15.506
2020-10-07,15.4906
2020-10-08,15.338
2020-10-09,15.5213
2020-10-10,15.5213
2020-10-11,15.5213
2020-10-12,15.2981
2020-10-13,15.3186
2020-10-14,15.0298
2020-10-15,15.3053
2020-10-16,14.5997
2020-10-17,14.5997
