,HMTV US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,14.3635
2020-01-02,14.2988
2020-01-03,14.2178
2020-01-04,14.2178
2020-01-05,14.2178
2020-01-06,14.4283
2020-01-07,14.2259
2020-01-08,13.7889
2020-01-09,13.6999
2020-01-10,13.6918
2020-01-11,13.6918
2020-01-12,13.6918
2020-01-13,13.6999
2020-01-14,13.8132
2020-01-15,13.9103
2020-01-16,14.0317
2020-01-17,13.8941
2020-01-18,13.8941
2020-01-19,13.8941
2020-01-20,13.8941
2020-01-21,13.6837
2020-01-22,13.6352
2020-01-23,13.6675
2020-01-24,13.6594
2020-01-25,13.6594
2020-01-26,13.6594
2020-01-27,13.6756
2020-01-28,13.6756
2020-01-29,13.4976
2020-01-30,13.6594
2020-01-31,13.2224
2020-02-01,13.2224
2020-02-02,13.2224
2020-02-03,13.3034
2020-02-04,13.3438
2020-02-05,13.5623
2020-02-06,13.4409
2020-02-07,13.4005
2020-02-08,13.4005
2020-02-09,13.4005
2020-02-10,13.7404
2020-02-11,13.7161
2020-02-12,13.6675
2020-02-13,13.708
2020-02-14,13.6433
2020-02-15,13.6433
2020-02-16,13.6433
2020-02-17,13.6433
2020-02-18,13.6352
2020-02-19,13.5542
2020-02-20,13.5057
2020-02-21,13.2791
2020-02-22,13.2791
2020-02-23,13.2791
2020-02-24,13.012
2020-02-25,12.5831
2020-02-26,12.6398
2020-02-27,12.5022
2020-02-28,12.5669
2020-02-29,12.5669
2020-03-01,12.5669
2020-03-02,12.486
2020-03-03,12.2513
2020-03-04,12.308
2020-03-05,11.5634
2020-03-06,11.6687
2020-03-07,11.6687
2020-03-08,11.6687
2020-03-09,10.844
2020-03-10,10.747
2020-03-11,10.5612
2020-03-12,10.1169
2020-03-13,9.9796
2020-03-14,9.9796
2020-03-15,9.9796
2020-03-16,9.3415
2020-03-17,10.0362
2020-03-18,9.1637
2020-03-19,9.4545
2020-03-20,9.3576
2020-03-21,9.3576
2020-03-22,9.3576
2020-03-23,9.1637
2020-03-24,9.6
2020-03-25,9.3415
2020-03-26,9.3818
2020-03-27,9.1961
2020-03-28,9.1961
2020-03-29,9.1961
2020-03-30,9.2768
2020-03-31,10.7081
2020-04-01,10.5195
2020-04-02,10.5384
2020-04-03,10.4818
2020-04-04,10.4818
2020-04-05,10.4818
2020-04-06,10.8401
2020-04-07,10.7647
2020-04-08,10.6704
2020-04-09,10.9533
2020-04-10,10.9533
2020-04-11,10.9533
2020-04-12,10.9533
2020-04-13,11.255
2020-04-14,11.6227
2020-04-15,11.0287
2020-04-16,10.5007
2020-04-17,11.0476
2020-04-18,11.0476
2020-04-19,11.0476
2020-04-20,10.6421
2020-04-21,10.5478
2020-04-22,10.6044
2020-04-23,10.6893
2020-04-24,10.7647
2020-04-25,10.7647
2020-04-26,10.7647
2020-04-27,11.1136
2020-04-28,11.1513
2020-04-29,11.8773
2020-04-30,11.4058
2020-05-01,11.1513
2020-05-02,11.1513
2020-05-03,11.1513
2020-05-04,11.2644
2020-05-05,11.3398
2020-05-06,10.8024
2020-05-07,10.9721
2020-05-08,11.0947
2020-05-09,11.0947
2020-05-10,11.0947
2020-05-11,10.8468
2020-05-12,10.6773
2020-05-13,10.5267
2020-05-14,10.555
2020-05-15,10.8186
2020-05-16,10.8186
2020-05-17,10.8186
2020-05-18,11.5058
2020-05-19,11.1857
2020-05-20,11.2328
2020-05-21,11.4023
2020-05-22,11.5247
2020-05-23,11.5247
2020-05-24,11.5247
2020-05-25,11.5247
2020-05-26,12.0707
2020-05-27,12.5321
2020-05-28,12.0613
2020-05-29,11.8824
2020-05-30,11.8824
2020-05-31,11.8824
2020-06-01,11.8354
2020-06-02,11.6847
2020-06-03,11.9107
2020-06-04,11.8448
2020-06-05,12.4756
2020-06-06,12.4756
2020-06-07,12.4756
2020-06-08,12.7674
2020-06-09,12.3438
2020-06-10,11.8448
2020-06-11,10.9033
2020-06-12,10.9974
2020-06-13,10.9974
2020-06-14,10.9974
2020-06-15,11.0916
2020-06-16,11.2046
2020-06-17,11.0916
2020-06-18,11.1575
2020-06-19,11.2234
2020-06-20,11.2234
2020-06-21,11.2234
2020-06-22,11.3929
2020-06-23,11.5435
2020-06-24,11.214
2020-06-25,11.5717
2020-06-26,11.4117
2020-06-27,11.4117
2020-06-28,11.4117
2020-06-29,11.6
2020-06-30,13.2717
2020-07-01,13.1753
2020-07-02,13.0039
2020-07-03,13.0039
2020-07-04,13.0039
2020-07-05,13.0039
2020-07-06,12.5004
2020-07-07,12.5218
2020-07-08,12.3719
2020-07-09,11.9434
2020-07-10,12.2326
2020-07-11,12.2326
2020-07-12,12.2326
2020-07-13,12.2219
2020-07-14,12.1041
2020-07-15,13.2717
2020-07-16,13.0896
2020-07-17,13.036
2020-07-18,13.036
2020-07-19,13.036
2020-07-20,13.0574
2020-07-21,13.2717
2020-07-22,12.7254
2020-07-23,12.6825
2020-07-24,12.6504
2020-07-25,12.6504
2020-07-26,12.6504
2020-07-27,12.4254
2020-07-28,12.3826
2020-07-29,12.8003
2020-07-30,12.5325
2020-07-31,12.1683
2020-08-01,12.1683
2020-08-02,12.1683
2020-08-03,11.9969
2020-08-04,11.9327
2020-08-05,11.8898
2020-08-06,11.8684
2020-08-07,12.1148
2020-08-08,12.1148
2020-08-09,12.1148
2020-08-10,12.3139
2020-08-11,12.8941
2020-08-12,12.8941
2020-08-13,13.0015
2020-08-14,12.7329
2020-08-15,12.7329
2020-08-16,12.7329
2020-08-17,12.5396
2020-08-18,12.4106
2020-08-19,12.3569
2020-08-20,12.4429
2020-08-21,12.271
2020-08-22,12.271
2020-08-23,12.271
2020-08-24,12.4858
2020-08-25,12.4106
2020-08-26,12.1528
2020-08-27,12.2173
2020-08-28,12.4536
2020-08-29,12.4536
2020-08-30,12.4536
2020-08-31,12.3032
2020-09-01,12.3032
2020-09-02,12.2817
2020-09-03,12.0883
2020-09-04,12.1528
2020-09-05,12.1528
2020-09-06,12.1528
2020-09-07,12.1528
2020-09-08,12.0991
