,NWN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,22.7458
2020-01-02,22.7309
2020-01-03,22.7945
2020-01-04,22.7945
2020-01-05,22.7945
2020-01-06,22.6822
2020-01-07,22.5127
2020-01-08,22.4555
2020-01-09,22.1992
2020-01-10,22.2352
2020-01-11,22.2352
2020-01-12,22.2352
2020-01-13,22.4259
2020-01-14,22.3899
2020-01-15,22.6631
2020-01-16,22.589
2020-01-17,22.7246
2020-01-18,22.7246
2020-01-19,22.7246
2020-01-20,22.7246
2020-01-21,22.9258
2020-01-22,23.0063
2020-01-23,23.252
2020-01-24,23.0614
2020-01-25,23.0614
2020-01-26,23.0614
2020-01-27,23.1207
2020-01-28,23.1377
2020-01-29,22.9534
2020-01-30,22.8157
2020-01-31,22.6716
2020-02-01,22.6716
2020-02-02,22.6716
2020-02-03,23.0339
2020-02-04,23.0254
2020-02-05,22.9555
2020-02-06,22.8432
2020-02-07,22.7373
2020-02-08,22.7373
2020-02-09,22.7373
2020-02-10,22.7733
2020-02-11,22.8411
2020-02-12,22.8707
2020-02-13,23.1377
2020-02-14,23.2923
2020-02-15,23.2923
2020-02-16,23.2923
2020-02-17,23.2923
2020-02-18,23.4173
2020-02-19,23.3114
2020-02-20,23.2965
2020-02-21,23.3622
2020-02-22,23.3622
2020-02-23,23.3622
2020-02-24,23.1461
2020-02-25,22.9046
2020-02-26,22.6886
2020-02-27,22.0128
2020-02-28,21.0595
2020-02-29,21.0595
2020-03-01,21.0595
2020-03-02,21.1654
2020-03-03,20.9006
2020-03-04,21.7353
2020-03-05,21.6463
2020-03-06,21.7882
2020-03-07,21.7882
2020-03-08,21.7882
2020-03-09,21.0277
2020-03-10,21.3858
2020-03-11,20.5151
2020-03-12,18.4031
2020-03-13,19.4432
2020-03-14,19.4432
2020-03-15,19.4432
2020-03-16,18.0663
2020-03-17,21.212
2020-03-18,21.6654
2020-03-19,22.0488
2020-03-20,19.1742
2020-03-21,19.1742
2020-03-22,19.1742
2020-03-23,18.062
2020-03-24,19.0471
2020-03-25,19.314
2020-03-26,20.3393
2020-03-27,19.816
2020-03-28,19.816
2020-03-29,19.816
2020-03-30,20.9134
2020-03-31,20.6679
2020-04-01,19.4469
2020-04-02,19.7369
2020-04-03,19.4238
2020-04-04,19.4238
2020-04-05,19.4238
2020-04-06,20.567
2020-04-07,20.1488
2020-04-08,20.4094
2020-04-09,21.4518
2020-04-10,21.4518
2020-04-11,21.4518
2020-04-12,21.4518
2020-04-13,20.6826
2020-04-14,21.2458
2020-04-15,20.6847
2020-04-16,20.8086
2020-04-17,21.3021
2020-04-18,21.3021
2020-04-19,21.3021
2020-04-20,20.6399
2020-04-21,21.0216
2020-04-22,21.1418
2020-04-23,20.9879
2020-04-24,21.1102
2020-04-25,21.1102
2020-04-26,21.1102
2020-04-27,21.4603
2020-04-28,21.6143
2020-04-29,21.6817
2020-04-30,21.4202
2020-05-01,20.8065
2020-05-02,20.8065
2020-05-03,20.8065
2020-05-04,20.8002
2020-05-05,21.0195
2020-05-06,20.5893
2020-05-07,21.0174
2020-05-08,21.4329
2020-05-09,21.4329
2020-05-10,21.4329
2020-05-11,21.0533
2020-05-12,20.3636
2020-05-13,20.1591
2020-05-14,20.0473
2020-05-15,20.1823
2020-05-16,20.1823
2020-05-17,20.1823
2020-05-18,20.8803
2020-05-19,20.4543
2020-05-20,21.0005
2020-05-21,20.9204
2020-05-22,20.9394
2020-05-23,20.9394
2020-05-24,20.9394
2020-05-25,20.9394
2020-05-26,21.049
2020-05-27,21.397
2020-05-28,21.2199
2020-05-29,21.2114
2020-05-30,21.2114
2020-05-31,21.2114
2020-06-01,21.1418
2020-06-02,21.068
2020-06-03,21.3085
2020-06-04,20.9331
2020-06-05,21.2135
2020-06-06,21.2135
2020-06-07,21.2135
2020-06-08,21.4034
2020-06-09,21.1967
2020-06-10,20.7643
2020-06-11,19.8427
2020-06-12,19.7394
2020-06-13,19.7394
2020-06-14,19.7394
2020-06-15,20.0241
