,NXST US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,21.2616
2020-01-02,21.1045
2020-01-03,21.2095
2020-01-04,21.2095
2020-01-05,21.2095
2020-01-06,21.1855
2020-01-07,21.6996
2020-01-08,21.8433
2020-01-09,21.6785
2020-01-10,21.5412
2020-01-11,21.5412
2020-01-12,21.5412
2020-01-13,21.5905
2020-01-14,21.7687
2020-01-15,22.0947
2020-01-16,22.1581
2020-01-17,22.2384
2020-01-18,22.2384
2020-01-19,22.2384
2020-01-20,22.2384
2020-01-21,22.1483
2020-01-22,22.0285
2020-01-23,22.0645
2020-01-24,21.8011
2020-01-25,21.8011
2020-01-26,21.8011
2020-01-27,21.637
2020-01-28,21.6665
2020-01-29,21.6877
2020-01-30,21.594
2020-01-31,21.5363
2020-02-01,21.5363
2020-02-02,21.5363
2020-02-03,21.7546
2020-02-04,21.6405
2020-02-05,21.8137
2020-02-06,21.8806
2020-02-07,21.6109
2020-02-08,21.6109
2020-02-09,21.6109
2020-02-10,21.7088
2020-02-11,21.7919
2020-02-12,21.8144
2020-02-13,21.8581
2020-02-14,21.8792
2020-02-15,21.8792
2020-02-16,21.8792
2020-02-17,21.8792
2020-02-18,22.0187
2020-02-19,22.0454
2020-02-20,21.756
2020-02-21,21.5292
2020-02-22,21.5292
2020-02-23,21.5292
2020-02-24,21.2229
2020-02-25,21.0257
2020-02-26,20.4694
2020-02-27,20.8078
2020-02-28,21.0247
2020-02-29,21.0247
2020-03-01,21.0247
2020-03-02,21.0526
2020-03-03,20.6404
2020-03-04,20.6824
2020-03-05,20.1665
2020-03-06,19.8536
2020-03-07,19.8536
2020-03-08,19.8536
2020-03-09,18.8981
2020-03-10,19.3321
2020-03-11,18.756
2020-03-12,17.7809
2020-03-13,18.3801
2020-03-14,18.3801
2020-03-15,18.3801
2020-03-16,17.398
2020-03-17,17.5408
2020-03-18,16.8492
2020-03-19,17.3343
2020-03-20,16.5076
2020-03-21,16.5076
2020-03-22,16.5076
2020-03-23,16.2423
2020-03-24,16.9444
2020-03-25,17.4526
2020-03-26,17.734
2020-03-27,17.3805
2020-03-28,17.3805
2020-03-29,17.3805
2020-03-30,17.1971
2020-03-31,12.6221
2020-04-01,12.3958
2020-04-02,12.5048
2020-04-03,12.2379
2020-04-04,12.2379
2020-04-05,12.2379
2020-04-06,12.6606
2020-04-07,12.7036
2020-04-08,12.9948
2020-04-09,12.9012
2020-04-10,12.9012
2020-04-11,12.9012
2020-04-12,12.9012
2020-04-13,12.6683
2020-04-14,12.9447
2020-04-15,12.7383
2020-04-16,12.6997
2020-04-17,13.0886
2020-04-18,13.0886
2020-04-19,13.0886
2020-04-20,12.8434
2020-04-21,12.681
2020-04-22,12.5709
2020-04-23,12.6782
2020-04-24,12.7096
2020-04-25,12.7096
2020-04-26,12.7096
2020-04-27,12.9942
2020-04-28,13.1665
2020-04-29,13.5864
2020-04-30,13.2496
2020-05-01,13.0627
2020-05-02,13.0627
2020-05-03,13.0627
2020-05-04,12.9459
2020-05-05,12.9899
2020-05-06,13.3561
2020-05-07,13.3974
2020-05-08,13.7005
2020-05-09,13.7005
2020-05-10,13.7005
2020-05-11,13.6576
2020-05-12,13.5174
2020-05-13,13.1811
2020-05-14,13.3745
2020-05-15,13.4039
2020-05-16,13.4039
2020-05-17,13.4039
2020-05-18,13.713
2020-05-19,13.6549
2020-05-20,13.7929
2020-05-21,13.6918
2020-05-22,13.788
2020-05-23,13.788
2020-05-24,13.788
2020-05-25,13.788
2020-05-26,14.0026
2020-05-27,14.0754
2020-05-28,13.9048
2020-05-29,13.9706
2020-05-30,13.9706
2020-05-31,13.9706
2020-06-01,14.1135
2020-06-02,14.1857
2020-06-03,14.4889
2020-06-04,14.5519
2020-06-05,14.8736
2020-06-06,14.8736
2020-06-07,14.8736
2020-06-08,14.9257
2020-06-09,14.5335
2020-06-10,14.4166
2020-06-11,14.0216
2020-06-12,13.97
2020-06-13,13.97
2020-06-14,13.97
2020-06-15,14.1808
2020-06-16,14.2292
2020-06-17,14.1499
2020-06-18,14.2455
2020-06-19,14.1306
2020-06-20,14.1306
2020-06-21,14.1306
2020-06-22,14.1912
2020-06-23,14.2118
2020-06-24,14.0233
2020-06-25,13.9885
2020-06-26,13.7674
2020-06-27,13.7674
2020-06-28,13.7674
2020-06-29,13.9912
2020-06-30,12.9767
2020-07-01,12.9525
2020-07-02,13.0086
2020-07-03,13.0086
2020-07-04,13.0086
2020-07-05,13.0086
2020-07-06,13.0904
2020-07-07,12.9453
2020-07-08,12.8835
2020-07-09,12.5829
2020-07-10,12.7759
2020-07-11,12.7759
2020-07-12,12.7759
2020-07-13,12.7569
2020-07-14,12.8382
2020-07-15,13.0986
2020-07-16,13.077
2020-07-17,13.023
2020-07-18,13.023
2020-07-19,13.023
2020-07-20,12.8614
2020-07-21,12.9344
2020-07-22,13.0039
2020-07-23,13.0353
2020-07-24,13.0441
2020-07-25,13.0441
2020-07-26,13.0441
2020-07-27,13.0024
2020-07-28,13.0183
2020-07-29,13.2119
2020-07-30,13.2654
2020-07-31,13.1805
2020-08-01,13.1805
2020-08-02,13.1805
2020-08-03,13.235
2020-08-04,13.2762
2020-08-05,13.1177
2020-08-06,13.2644
2020-08-07,13.2083
2020-08-08,13.2083
2020-08-09,13.2083
2020-08-10,13.2659
2020-08-11,13.4318
2020-08-12,13.2958
2020-08-13,13.3334
2020-08-14,13.4019
2020-08-15,13.4019
2020-08-16,13.4019
2020-08-17,13.3772
2020-08-18,13.3082
2020-08-19,13.4014
2020-08-20,13.3205
2020-08-21,13.3025
2020-08-22,13.3025
2020-08-23,13.3025
2020-08-24,13.5492
2020-08-25,13.507
2020-08-26,13.4714
2020-08-27,13.5816
2020-08-28,13.7583
2020-08-29,13.7583
2020-08-30,13.7583
2020-08-31,13.6136
2020-09-01,13.5075
2020-09-02,13.6718
2020-09-03,13.5739
2020-09-04,13.594
2020-09-05,13.594
2020-09-06,13.594
2020-09-07,13.594
2020-09-08,13.5265
2020-09-09,13.6733
2020-09-10,13.5997
2020-09-11,13.664
2020-09-12,13.664
2020-09-13,13.664
2020-09-14,13.7856
2020-09-15,13.7531
2020-09-16,13.8922
2020-09-17,13.9236
2020-09-18,13.8391
2020-09-19,13.8391
2020-09-20,13.8391
2020-09-21,13.5682
2020-09-22,13.6038
2020-09-23,13.4168
2020-09-24,13.5111
2020-09-25,13.4792
2020-09-26,13.4792
2020-09-27,13.4792
2020-09-28,13.5379
2020-09-29,13.3762
