,REGN US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,16.0614
2020-01-02,15.9556
2020-01-03,15.7474
2020-01-04,15.7474
2020-01-05,15.7474
2020-01-06,15.8756
2020-01-07,15.9447
2020-01-08,16.4062
2020-01-09,16.4584
2020-01-10,16.3561
2020-01-11,16.3561
2020-01-12,16.3561
2020-01-13,16.2328
2020-01-14,16.6646
2020-01-15,16.8201
2020-01-16,16.5627
2020-01-17,16.5811
2020-01-18,16.5811
2020-01-19,16.5811
2020-01-20,16.5811
2020-01-21,15.4766
2020-01-22,15.2495
2020-01-23,15.1233
2020-01-24,14.5609
2020-01-25,14.5609
2020-01-26,14.5609
2020-01-27,14.2697
2020-01-28,14.5013
2020-01-29,14.2613
2020-01-30,14.1088
2020-01-31,14.1962
2020-02-01,14.1962
2020-02-02,14.1962
2020-02-03,14.3542
2020-02-04,15.0935
2020-02-05,15.8965
2020-02-06,16.7754
2020-02-07,16.4176
2020-02-08,16.4176
2020-02-09,16.4176
2020-02-10,16.6337
2020-02-11,17.1585
2020-02-12,17.6339
2020-02-13,17.261
2020-02-14,17.2979
2020-02-15,17.2979
2020-02-16,17.2979
2020-02-17,17.2979
2020-02-18,17.2033
2020-02-19,17.3606
2020-02-20,17.2774
2020-02-21,17.4771
2020-02-22,17.4771
2020-02-23,17.4771
2020-02-24,18.5839
2020-02-25,19.4288
2020-02-26,20.2039
2020-02-27,18.894
2020-02-28,19.5393
2020-02-29,19.5393
2020-03-01,19.5393
2020-03-02,20.544
2020-03-03,20.3847
2020-03-04,21.9744
2020-03-05,21.71
2020-03-06,22.0217
2020-03-07,22.0217
2020-03-08,22.0217
2020-03-09,21.0264
2020-03-10,21.0553
2020-03-11,20.5415
2020-03-12,18.908
2020-03-13,20.5838
2020-03-14,20.5838
2020-03-15,20.5838
2020-03-16,19.3531
2020-03-17,21.8853
2020-03-18,21.5522
2020-03-19,21.7927
2020-03-20,19.2346
2020-03-21,19.2346
2020-03-22,19.2346
2020-03-23,20.0899
2020-03-24,19.7862
2020-03-25,18.8029
2020-03-26,19.9241
2020-03-27,19.7857
2020-03-28,19.7857
2020-03-29,19.7857
2020-03-30,20.9547
2020-03-31,19.4234
2020-04-01,19.8019
2020-04-02,19.897
2020-04-03,19.6512
2020-04-04,19.6512
2020-04-05,19.6512
2020-04-06,20.147
2020-04-07,20.022
2020-04-08,20.5119
2020-04-09,20.5404
2020-04-10,20.5404
2020-04-11,20.5404
2020-04-12,20.5404
2020-04-13,20.7242
2020-04-14,21.0783
2020-04-15,20.4829
2020-04-16,21.7616
2020-04-17,23.0683
2020-04-18,23.0683
2020-04-19,23.0683
2020-04-20,23.032
2020-04-21,21.9667
2020-04-22,22.5833
2020-04-23,22.9202
2020-04-24,23.5346
2020-04-25,23.5346
2020-04-26,23.5346
2020-04-27,22.6691
2020-04-28,21.7934
2020-04-29,21.2164
2020-04-30,21.667
2020-05-01,21.6494
2020-05-02,21.6494
2020-05-03,21.6494
2020-05-04,22.4051
2020-05-05,23.9124
2020-05-06,22.946
2020-05-07,23.2391
2020-05-08,23.4044
2020-05-09,23.4044
2020-05-10,23.4044
2020-05-11,23.9004
2020-05-12,23.1331
2020-05-13,24.0398
2020-05-14,23.7499
2020-05-15,24.0213
2020-05-16,24.0213
2020-05-17,24.0213
2020-05-18,23.26
2020-05-19,23.1359
2020-05-20,24.0291
2020-05-21,23.2924
2020-05-22,23.7059
2020-05-23,23.7059
2020-05-24,23.7059
2020-05-25,23.7059
2020-05-26,22.5621
2020-05-27,22.5065
2020-05-28,21.6779
2020-05-29,23.1358
2020-05-30,23.1358
2020-05-31,23.1358
2020-06-01,22.5737
2020-06-02,23.3401
2020-06-03,22.7763
2020-06-04,22.5345
2020-06-05,22.4696
2020-06-06,22.4696
2020-06-07,22.4696
2020-06-08,22.7662
2020-06-09,22.9579
2020-06-10,22.8737
2020-06-11,22.4342
2020-06-12,22.1068
2020-06-13,22.1068
2020-06-14,22.1068
2020-06-15,22.1987
2020-06-16,22.2968
2020-06-17,22.7266
2020-06-18,22.4843
2020-06-19,24.4466
2020-06-20,24.4466
2020-06-21,24.4466
2020-06-22,23.796
2020-06-23,23.8078
2020-06-24,22.8084
2020-06-25,23.437
2020-06-26,23.0747
2020-06-27,23.0747
2020-06-28,23.0747
2020-06-29,23.054
2020-06-30,21.7765
2020-07-01,21.2414
2020-07-02,21.7321
2020-07-03,21.7321
2020-07-04,21.7321
2020-07-05,21.7321
2020-07-06,21.9095
2020-07-07,22.4132
2020-07-08,22.3932
2020-07-09,22.4039
2020-07-10,21.6734
2020-07-11,21.6734
2020-07-12,21.6734
2020-07-13,21.4894
2020-07-14,22.4261
2020-07-15,22.1124
2020-07-16,22.0928
2020-07-17,22.5307
2020-07-18,22.5307
2020-07-19,22.5307
2020-07-20,23.0536
2020-07-21,22.3385
2020-07-22,22.2894
2020-07-23,22.0226
2020-07-24,21.2329
2020-07-25,21.2329
2020-07-26,21.2329
2020-07-27,22.2846
2020-07-28,22.0481
2020-07-29,22.091
2020-07-30,22.0655
2020-07-31,22.0876
2020-08-01,22.0876
2020-08-02,22.0876
2020-08-03,22.5721
2020-08-04,22.6922
2020-08-05,22.7121
2020-08-06,22.5849
2020-08-07,22.5466
2020-08-08,22.5466
2020-08-09,22.5466
2020-08-10,22.0869
2020-08-11,21.7267
2020-08-12,22.2447
2020-08-13,22.1887
2020-08-14,22.2532
2020-08-15,22.2532
2020-08-16,22.2532
2020-08-17,22.5665
2020-08-18,22.4843
2020-08-19,22.9083
2020-08-20,22.4191
2020-08-21,21.9813
2020-08-22,21.9813
2020-08-23,21.9813
2020-08-24,21.5697
2020-08-25,22.1737
2020-08-26,22.2313
2020-08-27,22.3453
2020-08-28,21.8707
2020-08-29,21.8707
2020-08-30,21.8707
2020-08-31,22.5358
2020-09-01,21.4894
2020-09-02,22.1603
2020-09-03,20.9027
2020-09-04,21.0163
2020-09-05,21.0163
2020-09-06,21.0163
2020-09-07,21.0163
2020-09-08,20.3071
2020-09-09,20.6627
2020-09-10,19.8544
2020-09-11,19.649
2020-09-12,19.649
2020-09-13,19.649
2020-09-14,20.3958
2020-09-15,20.9987
2020-09-16,20.5859
2020-09-17,20.4265
2020-09-18,20.0518
2020-09-19,20.0518
2020-09-20,20.0518
2020-09-21,20.0694
2020-09-22,20.6765
2020-09-23,20.4338
2020-09-24,20.137
2020-09-25,20.7744
2020-09-26,20.7744
2020-09-27,20.7744
2020-09-28,20.6923
2020-09-29,20.7572
2020-09-30,18.2641
2020-10-01,18.5524
2020-10-02,18.4372
2020-10-03,18.4372
2020-10-04,18.4372
2020-10-05,19.8262
2020-10-06,19.0179
2020-10-07,19.3644
2020-10-08,19.6469
2020-10-09,19.7224
2020-10-10,19.7224
2020-10-11,19.7224
2020-10-12,19.7045
2020-10-13,19.9262
2020-10-14,19.6793
2020-10-15,19.14
2020-10-16,19.642
2020-10-17,19.642
2020-10-18,19.642
2020-10-19,19.0696
2020-10-20,18.8451
2020-10-21,18.6993
2020-10-22,18.8141
2020-10-23,18.9548
2020-10-24,18.9548
2020-10-25,18.9548
2020-10-26,19.1593
2020-10-27,19.0482
2020-10-28,18.5144
2020-10-29,18.1265
2020-10-30,17.7047
2020-10-31,17.7047
2020-11-01,17.7047
