,ROST US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,21.0004
2020-01-02,21.0705
2020-01-03,21.0756
2020-01-04,21.0756
2020-01-05,21.0756
2020-01-06,21.173
2020-01-07,21.407
2020-01-08,21.4668
2020-01-09,21.976
2020-01-10,21.7351
2020-01-11,21.7351
2020-01-12,21.7351
2020-01-13,21.6069
2020-01-14,21.4344
2020-01-15,21.2311
2020-01-16,21.2789
2020-01-17,21.2157
2020-01-18,21.2157
2020-01-19,21.2157
2020-01-20,21.2157
2020-01-21,21.2362
2020-01-22,21.1696
2020-01-23,21.3062
2020-01-24,20.8877
2020-01-25,20.8877
2020-01-26,20.8877
2020-01-27,20.7322
2020-01-28,20.669
2020-01-29,20.6331
2020-01-30,20.6177
2020-01-31,19.7559
2020-02-01,19.7559
2020-02-02,19.7559
2020-02-03,20.0301
2020-02-04,20.4515
2020-02-05,20.8512
2020-02-06,20.7592
2020-02-07,20.6321
2020-02-08,20.6321
2020-02-09,20.6321
2020-02-10,20.7709
2020-02-11,21.0117
2020-02-12,21.0719
2020-02-13,21.1622
2020-02-14,21.3595
2020-02-15,21.3595
2020-02-16,21.3595
2020-02-17,21.3595
2020-02-18,21.4782
2020-02-19,21.5535
2020-02-20,21.699
2020-02-21,21.6036
2020-02-22,21.6036
2020-02-23,21.6036
2020-02-24,21.3328
2020-02-25,20.5184
2020-02-26,20.9281
2020-02-27,19.7141
2020-02-28,19.1857
2020-02-29,19.1857
2020-03-01,19.1857
2020-03-02,19.7208
2020-03-03,19.2592
2020-03-04,19.3161
2020-03-05,18.0001
2020-03-06,18.1372
2020-03-07,18.1372
2020-03-08,18.1372
2020-03-09,16.8496
2020-03-10,18.0268
2020-03-11,17.4767
2020-03-12,16.271
2020-03-13,16.5185
2020-03-14,16.5185
2020-03-15,16.5185
2020-03-16,13.3581
2020-03-17,12.6273
2020-03-18,11.0237
2020-03-19,11.8648
2020-03-20,11.6809
2020-03-21,11.6809
2020-03-22,11.6809
2020-03-23,11.517
2020-03-24,12.9651
2020-03-25,14.5888
2020-03-26,15.3095
2020-03-27,14.7995
2020-03-28,14.7995
2020-03-29,14.7995
2020-03-30,15.1875
2020-03-31,15.4176
2020-04-01,14.4426
2020-04-02,14.1623
2020-04-03,13.3912
2020-04-04,13.3912
2020-04-05,13.3912
2020-04-06,15.4525
2020-04-07,15.0393
2020-04-08,15.7414
2020-04-09,15.6901
2020-04-10,15.6901
2020-04-11,15.6901
2020-04-12,15.6901
2020-04-13,15.4019
2020-04-14,16.0593
2020-04-15,15.6603
2020-04-16,15.4334
2020-04-17,16.1835
2020-04-18,16.1835
2020-04-19,16.1835
2020-04-20,15.3208
2020-04-21,14.6899
2020-04-22,14.8836
2020-04-23,14.6783
2020-04-24,15.1519
2020-04-25,15.1519
2020-04-26,15.1519
2020-04-27,16.0362
2020-04-28,16.3193
2020-04-29,17.0661
2020-04-30,16.1239
2020-05-01,30.7271
2020-05-02,30.7271
2020-05-03,30.7271
2020-05-04,30.5505
2020-05-05,30.6682
2020-05-06,30.6961
2020-05-07,31.0029
2020-05-08,31.5018
2020-05-09,31.5018
2020-05-10,31.5018
2020-05-11,31.2818
2020-05-12,30.002
2020-05-13,29.1033
2020-05-14,29.3512
2020-05-15,29.596
2020-05-16,29.596
2020-05-17,29.596
2020-05-18,31.2446
2020-05-19,31.0153
2020-05-20,31.3252
2020-05-21,33.1783
2020-05-22,32.2517
2020-05-23,32.2517
2020-05-24,32.2517
2020-05-25,32.2517
2020-05-26,32.4748
2020-05-27,33.0605
2020-05-28,33.6121
2020-05-29,33.2062
2020-05-30,33.2062
2020-05-31,33.2062
2020-06-01,33.2806
2020-06-02,33.7795
2020-06-03,34.1916
2020-06-04,33.8259
2020-06-05,34.9167
2020-06-06,34.9167
2020-06-07,34.9167
