,VRTX US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,44.3003
2020-01-02,44.4074
2020-01-03,44.0925
2020-01-04,44.0925
2020-01-05,44.0925
2020-01-06,45.3887
2020-01-07,45.3373
2020-01-08,46.9014
2020-01-09,46.7236
2020-01-10,46.4429
2020-01-11,46.4429
2020-01-12,46.4429
2020-01-13,45.9158
2020-01-14,46.6143
2020-01-15,47.5571
2020-01-16,47.8463
2020-01-17,47.917
2020-01-18,47.917
2020-01-19,47.917
2020-01-20,47.917
2020-01-21,47.5228
2020-01-22,47.6556
2020-01-23,47.5056
2020-01-24,46.4665
2020-01-25,46.4665
2020-01-26,46.4665
2020-01-27,46.1044
2020-01-28,47.09
2020-01-29,47.1842
2020-01-30,46.7343
2020-01-31,46.3845
2020-02-01,46.3845
2020-02-02,46.3845
2020-02-03,47.1312
2020-02-04,49.1058
2020-02-05,49.3431
2020-02-06,48.9892
2020-02-07,49.1921
2020-02-08,49.1921
2020-02-09,49.1921
2020-02-10,50.2042
2020-02-11,50.8645
2020-02-12,49.656
2020-02-13,49.1985
2020-02-14,50.0595
2020-02-15,50.0595
2020-02-16,50.0595
2020-02-17,50.0595
2020-02-18,50.5153
2020-02-19,50.9149
2020-02-20,50.336
2020-02-21,50.593
2020-02-22,50.593
2020-02-23,50.593
2020-02-24,48.5883
2020-02-25,47.074
2020-02-26,47.5147
2020-02-27,45.6266
2020-02-28,45.7843
2020-02-29,45.7843
2020-03-01,45.7843
2020-03-02,47.5687
2020-03-03,46.6981
2020-03-04,50.3835
2020-03-05,48.6531
2020-03-06,47.8301
2020-03-07,47.8301
2020-03-08,47.8301
2020-03-09,44.8381
2020-03-10,47.1841
2020-03-11,44.9871
2020-03-12,41.4702
2020-03-13,45.0995
2020-03-14,45.0995
2020-03-15,45.0995
2020-03-16,40.5435
2020-03-17,42.8485
2020-03-18,43.3972
2020-03-19,43.9826
2020-03-20,41.8893
2020-03-21,41.8893
2020-03-22,41.8893
2020-03-23,41.0706
2020-03-24,45.5899
2020-03-25,42.7729
2020-03-26,45.8837
2020-03-27,44.3175
2020-03-28,44.3175
2020-03-29,44.3175
2020-03-30,47.4887
2020-03-31,35.3663
2020-04-01,33.3961
2020-04-02,36.0315
2020-04-03,35.4232
2020-04-04,35.4232
2020-04-05,35.4232
2020-04-06,38.1076
2020-04-07,36.9021
2020-04-08,37.2165
2020-04-09,36.7346
2020-04-10,36.7346
2020-04-11,36.7346
2020-04-12,36.7346
2020-04-13,37.6304
2020-04-14,39.2309
2020-04-15,38.0965
2020-04-16,39.6022
2020-04-17,40.5028
2020-04-18,40.5028
2020-04-19,40.5028
2020-04-20,40.9452
2020-04-21,39.2925
2020-04-22,40.3306
2020-04-23,40.0999
2020-04-24,40.408
2020-04-25,40.408
2020-04-26,40.408
2020-04-27,40.1947
2020-04-28,38.3698
2020-04-29,37.4213
2020-04-30,37.445
2020-05-01,38.0456
2020-05-02,38.0456
2020-05-03,38.0456
2020-05-04,39.5925
2020-05-05,40.7996
2020-05-06,40.4409
