,LGIH US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,10.0037
2020-01-02,10.0007
2020-01-03,10.045
2020-01-04,10.045
2020-01-05,10.045
2020-01-06,10.1679
2020-01-07,10.4187
2020-01-08,10.5214
2020-01-09,10.4852
2020-01-10,10.5728
2020-01-11,10.5728
2020-01-12,10.5728
2020-01-13,10.5728
2020-01-14,10.6191
2020-01-15,10.8861
2020-01-16,10.8387
2020-01-17,10.8186
2020-01-18,10.8186
2020-01-19,10.8186
2020-01-20,10.8186
2020-01-21,11.0432
2020-01-22,11.1127
2020-01-23,11.2114
2020-01-24,11.1621
2020-01-25,11.1621
2020-01-26,11.1621
2020-01-27,11.0865
2020-01-28,11.1772
2020-01-29,11.1339
2020-01-30,11.1107
2020-01-31,10.9193
2020-02-01,10.9193
2020-02-02,10.9193
2020-02-03,11.0402
2020-02-04,11.0916
2020-02-05,11.6345
2020-02-06,11.7211
2020-02-07,11.8097
2020-02-08,11.8097
2020-02-09,11.8097
2020-02-10,12.0172
2020-02-11,12.0606
2020-02-12,12.0898
2020-02-13,12.1301
2020-02-14,12.1683
2020-02-15,12.1683
2020-02-16,12.1683
2020-02-17,12.1683
2020-02-18,12.1875
2020-02-19,12.3577
2020-02-20,12.4574
2020-02-21,12.3678
2020-02-22,12.3678
2020-02-23,12.3678
2020-02-24,12.263
2020-02-25,11.7692
2020-02-26,11.5166
2020-02-27,11.4999
2020-02-28,11.274
2020-02-29,11.274
2020-03-01,11.274
2020-03-02,11.8694
2020-03-03,12.2145
2020-03-04,12.7287
2020-03-05,12.7754
2020-03-06,12.3925
2020-03-07,12.3925
2020-03-08,12.3925
2020-03-09,10.9111
2020-03-10,11.2795
2020-03-11,10.565
2020-03-12,9.305
2020-03-13,9.5443
2020-03-14,9.5443
2020-03-15,9.5443
2020-03-16,7.5609
2020-03-17,7.6978
2020-03-18,6.9877
2020-03-19,7.4741
2020-03-20,7.7129
2020-03-21,7.7129
2020-03-22,7.7129
2020-03-23,7.8297
2020-03-24,8.3669
2020-03-25,8.795
2020-03-26,8.5815
2020-03-27,8.2
2020-03-28,8.2
2020-03-29,8.2
2020-03-30,7.9131
2020-03-31,6.8126
2020-04-01,6.1758
2020-04-02,5.8482
2020-04-03,5.7665
2020-04-04,5.7665
2020-04-05,5.7665
2020-04-06,6.4315
2020-04-07,6.7601
2020-04-08,7.3852
2020-04-09,7.7449
2020-04-10,7.7449
2020-04-11,7.7449
2020-04-12,7.7449
2020-04-13,6.9195
2020-04-14,7.322
2020-04-15,6.8233
2020-04-16,6.9156
2020-04-17,7.2501
2020-04-18,7.2501
2020-04-19,7.2501
2020-04-20,7.1558
2020-04-21,7.1169
2020-04-22,6.9973
2020-04-23,6.937
2020-04-24,7.1655
2020-04-25,7.1655
2020-04-26,7.1655
2020-04-27,7.5349
2020-04-28,7.812
2020-04-29,8.5781
2020-04-30,8.3127
2020-05-01,8.2641
2020-05-02,8.2641
2020-05-03,8.2641
2020-05-04,8.4964
2020-05-05,8.5743
2020-05-06,8.8369
2020-05-07,8.9399
2020-05-08,9.2708
2020-05-09,9.2708
2020-05-10,9.2708
2020-05-11,9.3709
2020-05-12,9.1448
2020-05-13,8.8369
2020-05-14,8.885
2020-05-15,9.2872
2020-05-16,9.2872
2020-05-17,9.2872
2020-05-18,9.9817
2020-05-19,10.1289
2020-05-20,10.1664
2020-05-21,10.0876
2020-05-22,10.3002
2020-05-23,10.3002
2020-05-24,10.3002
2020-05-25,10.3002
