,CNS US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,15.5924
2020-01-02,15.7193
2020-01-03,15.7069
2020-01-04,15.7069
2020-01-05,15.7069
2020-01-06,15.5501
2020-01-07,15.4456
2020-01-08,15.4382
2020-01-09,15.6497
2020-01-10,15.8338
2020-01-11,15.8338
2020-01-12,15.8338
2020-01-13,16.1996
2020-01-14,16.0329
2020-01-15,16.329
2020-01-16,16.5455
2020-01-17,16.436
2020-01-18,16.436
2020-01-19,16.436
2020-01-20,16.436
2020-01-21,16.3638
2020-01-22,16.6574
2020-01-23,18.2599
2020-01-24,18.3196
2020-01-25,18.3196
2020-01-26,18.3196
2020-01-27,18.2425
2020-01-28,18.2574
2020-01-29,18.6506
2020-01-30,18.7202
2020-01-31,18.3843
2020-02-01,18.3843
2020-02-02,18.3843
2020-02-03,18.6332
2020-02-04,18.7999
2020-02-05,18.2624
2020-02-06,18.6058
2020-02-07,18.6207
2020-02-08,18.6207
2020-02-09,18.6207
2020-02-10,18.7824
2020-02-11,18.7874
2020-02-12,18.6655
2020-02-13,18.6829
2020-02-14,18.4639
2020-02-15,18.4639
2020-02-16,18.4639
2020-02-17,18.4639
2020-02-18,18.7227
2020-02-19,19.412
2020-02-20,19.1532
2020-02-21,19.1258
2020-02-22,19.1258
2020-02-23,19.1258
2020-02-24,18.8422
2020-02-25,17.7573
2020-02-26,17.9115
2020-02-27,16.0055
2020-02-28,15.7327
2020-02-29,15.7327
2020-03-01,15.7327
2020-03-02,16.6884
2020-03-03,16.8896
2020-03-04,17.3398
2020-03-05,16.2281
2020-03-06,16.1175
2020-03-07,16.1175
2020-03-08,16.1175
2020-03-09,14.5657
2020-03-10,14.1432
2020-03-11,13.1346
2020-03-12,11.4043
2020-03-13,13.371
2020-03-14,13.371
2020-03-15,13.371
2020-03-16,10.8082
2020-03-17,12.3876
2020-03-18,9.9581
2020-03-19,9.7217
2020-03-20,9.5004
2020-03-21,9.5004
2020-03-22,9.5004
2020-03-23,8.7509
2020-03-24,10.4762
2020-03-25,10.3228
2020-03-26,10.9214
2020-03-27,10.436
2020-03-28,10.436
2020-03-29,10.436
2020-03-30,11.2232
2020-03-31,15.2825
2020-04-01,14.2858
2020-04-02,13.4996
2020-04-03,13.0686
2020-04-04,13.0686
2020-04-05,13.0686
2020-04-06,14.4733
2020-04-07,14.2496
2020-04-08,15.6641
2020-04-09,17.4668
2020-04-10,17.4668
2020-04-11,17.4668
