,UAL US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,8.7879
2020-01-02,8.8849
2020-01-03,8.7767
2020-01-04,8.7767
2020-01-05,8.7767
2020-01-06,8.7649
2020-01-07,8.7102
2020-01-08,8.7414
2020-01-09,8.7796
2020-01-10,8.742
2020-01-11,8.742
2020-01-12,8.742
2020-01-13,8.7173
2020-01-14,8.7737
2020-01-15,8.7996
2020-01-16,8.8732
2020-01-17,8.8826
2020-01-18,8.8826
2020-01-19,8.8826
2020-01-20,8.8826
2020-01-21,8.6525
2020-01-22,8.5084
2020-01-23,8.599
2020-01-24,8.4237
2020-01-25,8.4237
2020-01-26,8.4237
2020-01-27,8.1725
2020-01-28,8.1383
2020-01-29,8.0301
2020-01-30,8.1795
2020-01-31,8.006
2020-02-01,8.006
2020-02-02,8.006
2020-02-03,8.0124
2020-02-04,8.2466
2020-02-05,8.4207
2020-02-06,8.3413
2020-02-07,8.2813
2020-02-08,8.2813
2020-02-09,8.2813
2020-02-10,8.2807
2020-02-11,8.3431
2020-02-12,8.4413
2020-02-13,8.3701
2020-02-14,8.2854
2020-02-15,8.2854
2020-02-16,8.2854
2020-02-17,8.2854
2020-02-18,8.326
2020-02-19,8.2778
2020-02-20,8.3066
2020-02-21,8.1948
2020-02-22,8.1948
2020-02-23,8.1948
2020-02-24,8.0454
2020-02-25,7.7571
2020-02-26,7.5194
2020-02-27,7.349
2020-02-28,7.1558
2020-02-29,7.1558
2020-03-01,7.1558
2020-03-02,7.1368
2020-03-03,6.9656
2020-03-04,7.0336
2020-03-05,6.5794
2020-03-06,6.6088
2020-03-07,6.6088
2020-03-08,6.6088
2020-03-09,6.3021
2020-03-10,6.6353
2020-03-11,6.4496
2020-03-12,5.7429
2020-03-13,6.0057
2020-03-14,6.0057
2020-03-15,6.0057
2020-03-16,5.65
2020-03-17,5.3733
2020-03-18,4.8378
2020-03-19,4.832
2020-03-20,5.0176
2020-03-21,5.0176
2020-03-22,5.0176
2020-03-23,5.1185
2020-03-24,5.5076
2020-03-25,5.7152
2020-03-26,5.6547
2020-03-27,5.4984
2020-03-28,5.4984
2020-03-29,5.4984
2020-03-30,5.3439
2020-03-31,9.1852
2020-04-01,8.669
2020-04-02,8.4739
2020-04-03,8.4271
2020-04-04,8.4271
2020-04-05,8.4271
2020-04-06,8.5264
2020-04-07,8.5666
2020-04-08,8.8317
2020-04-09,9.1731
2020-04-10,9.1731
2020-04-11,9.1731
2020-04-12,9.1731
2020-04-13,8.9471
2020-04-14,9.1208
2020-04-15,9.2045
2020-04-16,8.8861
2020-04-17,8.962
2020-04-18,8.962
2020-04-19,8.962
2020-04-20,8.8494
2020-04-21,8.8573
2020-04-22,9.0774
2020-04-23,9.061
2020-04-24,9.0446
2020-04-25,9.0446
2020-04-26,9.0446
2020-04-27,8.9872
2020-04-28,9.2783
2020-04-29,9.6237
2020-04-30,9.4566
2020-05-01,9.1532
