,HE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,17.005
2020-01-02,16.7487
2020-01-03,16.7273
2020-01-04,16.7273
2020-01-05,16.7273
2020-01-06,16.6907
2020-01-07,16.6083
2020-01-08,16.6388
2020-01-09,16.5717
2020-01-10,16.5869
2020-01-11,16.5869
2020-01-12,16.5869
2020-01-13,16.7792
2020-01-14,16.8433
2020-01-15,17.0416
2020-01-16,17.1271
2020-01-17,17.1942
2020-01-18,17.1942
2020-01-19,17.1942
2020-01-20,17.1942
2020-01-21,17.2553
2020-01-22,17.3072
2020-01-23,17.4384
2020-01-24,17.4903
2020-01-25,17.4903
2020-01-26,17.4903
2020-01-27,17.4323
2020-01-28,17.5635
2020-01-29,17.6093
2020-01-30,17.7619
2020-01-31,17.6306
2020-02-01,17.6306
2020-02-02,17.6306
2020-02-03,17.6215
2020-02-04,17.4689
2020-02-05,17.4658
2020-02-06,17.414
2020-02-07,17.3957
2020-02-08,17.3957
2020-02-09,17.3957
2020-02-10,17.4567
2020-02-11,17.3957
2020-02-12,17.5208
2020-02-13,17.8839
2020-02-14,18.0854
2020-02-15,18.0854
2020-02-16,18.0854
2020-02-17,18.0854
2020-02-18,18.0548
2020-02-19,17.8565
2020-02-20,17.9053
2020-02-21,17.887
2020-02-22,17.887
2020-02-23,17.887
2020-02-24,17.7558
2020-02-25,17.3743
2020-02-26,17.0569
2020-02-27,16.3947
2020-02-28,15.7783
2020-02-29,15.7783
2020-03-01,15.7783
2020-03-02,16.465
2020-03-03,16.4161
2020-03-04,17.0143
2020-03-05,16.8342
2020-03-06,16.9685
2020-03-07,16.9685
2020-03-08,16.9685
2020-03-09,15.9065
2020-03-10,15.9004
2020-03-11,15.5219
2020-03-12,14.8811
2020-03-13,16.0377
2020-03-14,16.0377
2020-03-15,16.0377
2020-03-16,16.1199
2020-03-17,17.7766
2020-03-18,19.0023
2020-03-19,17.5321
2020-03-20,14.7689
2020-03-21,14.7689
2020-03-22,14.7689
2020-03-23,13.1978
2020-03-24,14.6191
2020-03-25,14.3471
2020-03-26,15.1601
2020-03-27,15.4536
2020-03-28,15.4536
2020-03-29,15.4536
2020-03-30,16.2208
2020-03-31,16.8115
2020-04-01,15.9146
2020-04-02,16.2124
2020-04-03,15.802
2020-04-04,15.802
2020-04-05,15.802
2020-04-06,16.7618
2020-04-07,16.55
2020-04-08,16.9935
2020-04-09,17.6554
2020-04-10,17.6554
2020-04-11,17.6554
2020-04-12,17.6554
2020-04-13,16.9372
2020-04-14,16.9703
2020-04-15,16.1926
2020-04-16,16.1893
2020-04-17,16.4573
2020-04-18,16.4573
2020-04-19,16.4573
2020-04-20,15.8087
2020-04-21,15.5009
2020-04-22,15.7491
2020-04-23,15.6233
2020-04-24,15.6432
2020-04-25,15.6432
2020-04-26,15.6432
2020-04-27,15.7987
2020-04-28,15.9775
2020-04-29,16.0767
2020-04-30,15.6266
2020-05-01,15.1732
2020-05-02,15.1732
2020-05-03,15.1732
2020-05-04,15.246
2020-05-05,15.1567
2020-05-06,14.6238
2020-05-07,14.6536
2020-05-08,15.203
2020-05-09,15.203
2020-05-10,15.203
2020-05-11,15.107
2020-05-12,14.7463
2020-05-13,14.5907
2020-05-14,14.6205
2020-05-15,14.5146
2020-05-16,14.5146
2020-05-17,14.5146
2020-05-18,15.2328
2020-05-19,14.8985
2020-05-20,15.2162
2020-05-21,14.9879
2020-05-22,14.8985
2020-05-23,14.8985
2020-05-24,14.8985
2020-05-25,14.8985
2020-05-26,15.2129
2020-05-27,15.2659
2020-05-28,15.5439
2020-05-29,15.6233
2020-05-30,15.6233
2020-05-31,15.6233
2020-06-01,15.4678
2020-06-02,15.3321
2020-06-03,15.6233
2020-06-04,15.438
2020-06-05,15.6928
2020-06-06,15.6928
2020-06-07,15.6928
2020-06-08,15.9808
2020-06-09,15.8318
2020-06-10,15.6829
2020-06-11,14.8125
2020-06-12,14.8224
2020-06-13,14.8224
2020-06-14,14.8224
2020-06-15,14.8125
2020-06-16,14.8257
2020-06-17,14.6073
2020-06-18,14.5212
2020-06-19,14.4186
2020-06-20,14.4186
2020-06-21,14.4186
2020-06-22,14.5378
2020-06-23,14.3624
2020-06-24,14.3127
2020-06-25,14.2896
2020-06-26,14.1803
2020-06-27,14.1803
2020-06-28,14.1803
2020-06-29,14.4418
2020-06-30,13.2626
2020-07-01,13.2892
2020-07-02,13.2825
2020-07-03,13.2825
2020-07-04,13.2825
2020-07-05,13.2825
2020-07-06,13.1497
2020-07-07,13.1497
2020-07-08,13.1962
2020-07-09,13.0899
2020-07-10,13.3888
2020-07-11,13.3888
2020-07-12,13.3888
2020-07-13,13.588
2020-07-14,13.5515
2020-07-15,13.5581
2020-07-16,13.5747
2020-07-17,13.7308
2020-07-18,13.7308
2020-07-19,13.7308
2020-07-20,13.4054
2020-07-21,13.6511
2020-07-22,13.7241
2020-07-23,13.6411
2020-07-24,13.5648
2020-07-25,13.5648
2020-07-26,13.5648
2020-07-27,13.3157
2020-07-28,13.578
2020-07-29,13.6245
2020-07-30,13.4386
2020-07-31,13.329
2020-08-01,13.329
2020-08-02,13.329
2020-08-03,13.2493
2020-08-04,13.1165
2020-08-05,12.8874
2020-08-06,12.9239
2020-08-07,13.3157
2020-08-08,13.3157
2020-08-09,13.3157
2020-08-10,13.2898
2020-08-11,13.0871
2020-08-12,13.2466
2020-08-13,13.1204
2020-08-14,13.137
2020-08-15,13.137
2020-08-16,13.137
2020-08-17,13.034
2020-08-18,12.9775
2020-08-19,13.0573
2020-08-20,12.7749
2020-08-21,12.7085
2020-08-22,12.7085
2020-08-23,12.7085
2020-08-24,12.9277
2020-08-25,12.8712
2020-08-26,12.6288
2020-08-27,12.7151
2020-08-28,12.7218
2020-08-29,12.7218
2020-08-30,12.7218
2020-08-31,12.7849
2020-09-01,12.5756
2020-09-02,12.6985
2020-09-03,12.662
2020-09-04,12.6852
2020-09-05,12.6852
2020-09-06,12.6852
2020-09-07,12.6852
2020-09-08,12.4893
2020-09-09,12.4992
2020-09-10,12.3498
2020-09-11,12.2368
2020-09-12,12.2368
2020-09-13,12.2368
2020-09-14,12.2999
2020-09-15,12.2833
2020-09-16,12.3664
2020-09-17,12.3332
2020-09-18,12.1438
2020-09-19,12.1438
2020-09-20,12.1438
2020-09-21,12.0641
2020-09-22,12.2302
2020-09-23,12.1173
2020-09-24,12.1472
2020-09-25,12.3033
2020-09-26,12.3033
2020-09-27,12.3033
2020-09-28,12.3099
2020-09-29,12.2568
2020-09-30,12.336
2020-10-01,12.3327
2020-10-02,12.55
2020-10-03,12.55
2020-10-04,12.55
2020-10-05,12.685
2020-10-06,12.8365
2020-10-07,12.7805
2020-10-08,12.8101
2020-10-09,12.741
2020-10-10,12.741
2020-10-11,12.741
2020-10-12,12.876
2020-10-13,12.6883
2020-10-14,12.5698
2020-10-15,12.6323
2020-10-16,12.6225
2020-10-17,12.6225
2020-10-18,12.6225
2020-10-19,12.471
2020-10-20,12.6027
2020-10-21,12.6455
2020-10-22,12.8595
2020-10-23,12.8826
2020-10-24,12.8826
2020-10-25,12.8826
2020-10-26,12.7575
2020-10-27,12.7377
2020-10-28,12.1484
2020-10-29,12.0957
2020-10-30,12.2702
2020-10-31,12.2702
2020-11-01,12.2702
2020-11-02,12.4677
2020-11-03,12.7344
2020-11-04,12.4183
2020-11-05,12.2735
2020-11-06,12.313
2020-11-07,12.313
2020-11-08,12.313
2020-11-09,13.1196
2020-11-10,13.7583
2020-11-11,13.5904
2020-11-12,13.4522
2020-11-13,13.6826
2020-11-14,13.6826
2020-11-15,13.6826
2020-11-16,13.9954
2020-11-17,13.8505
2020-11-18,13.6925
2020-11-19,13.5114
2020-11-20,13.3896
2020-11-21,13.3896
2020-11-22,13.3896
2020-11-23,13.4258
2020-11-24,13.8966
2020-11-25,13.7254
2020-11-26,13.7254
2020-11-27,13.4225
2020-11-28,13.4225
2020-11-29,13.4225
2020-11-30,13.1888
2020-12-01,13.2711
2020-12-02,13.3402
2020-12-03,13.1558
2020-12-04,13.2184
2020-12-05,13.2184
2020-12-06,13.2184
2020-12-07,13.3633
2020-12-08,13.4357
2020-12-09,13.6398
2020-12-10,13.7221
2020-12-11,13.7287
2020-12-12,13.7287
2020-12-13,13.7287
2020-12-14,13.4028
2020-12-15,13.6859
2020-12-16,13.5345
2020-12-17,13.3797
2020-12-18,13.0801
2020-12-19,13.0801
2020-12-20,13.0801
2020-12-21,12.9122
2020-12-22,12.8661
2020-12-23,12.7476
2020-12-24,12.7805
2020-12-25,12.7805
2020-12-26,12.7805
2020-12-27,12.7805
2020-12-28,12.8661
2020-12-29,12.8496
2020-12-30,12.8826
2020-12-31,12.539
2021-01-01,12.539
2021-01-02,12.539
2021-01-03,12.539
2021-01-04,12.2971
2021-01-05,12.2515
2021-01-06,12.7948
2021-01-07,12.3918
2021-01-08,12.1148
2021-01-09,12.1148
2021-01-10,12.1148
2021-01-11,12.0693
2021-01-12,11.9957
2021-01-13,12.0412
2021-01-14,11.859
2021-01-15,12.0973
2021-01-16,12.0973
2021-01-17,12.0973
2021-01-18,12.0973
2021-01-19,12.1289
2021-01-20,12.2586
2021-01-21,11.9817
2021-01-22,12.227
2021-01-23,12.227
2021-01-24,12.227
2021-01-25,12.1709
2021-01-26,11.9676
2021-01-27,12.0307
2021-01-28,11.866
2021-01-29,11.7223
2021-01-30,11.7223
2021-01-31,11.7223
2021-02-01,11.88
2021-02-02,11.8975
2021-02-03,11.9571
2021-02-04,11.9887
2021-02-05,12.0868
2021-02-06,12.0868
2021-02-07,12.0868
2021-02-08,12.0412
2021-02-09,12.0447
2021-02-10,12.3882
2021-02-11,12.1955
2021-02-12,12.3041
2021-02-13,12.3041
2021-02-14,12.3041
2021-02-15,12.3041
2021-02-16,12.3076
2021-02-17,12.2761
2021-02-18,12.3672
2021-02-19,12.4093
2021-02-20,12.4093
2021-02-21,12.4093
2021-02-22,12.4478
2021-02-23,12.5214
2021-02-24,12.2095
2021-02-25,12.3006
2021-02-26,12.3882
2021-02-27,12.3882
2021-02-28,12.3882
2021-03-01,12.539
2021-03-02,12.5565
2021-03-03,12.8018
2021-03-04,12.8684
2021-03-05,13.1874
2021-03-06,13.1874
2021-03-07,13.1874
2021-03-08,13.7237
2021-03-09,13.6816
2021-03-10,13.8113
2021-03-11,13.7272
2021-03-12,14.2074
2021-03-13,14.2074
2021-03-14,14.2074
2021-03-15,14.6245
2021-03-16,14.4563
2021-03-17,14.4352
2021-03-18,14.9715
2021-03-19,15.0696
2021-03-20,15.0696
2021-03-21,15.0696
2021-03-22,14.8699
2021-03-23,14.982
2021-03-24,15.0872
2021-03-25,15.1432
2021-03-26,15.7148
2021-03-27,15.7148
2021-03-28,15.7148
2021-03-29,15.8131
2021-03-30,15.7534
2021-03-31,13.1175
2021-04-01,13.1892
2021-04-02,13.1892
2021-04-03,13.1892
2021-04-04,13.1892
2021-04-05,13.0021
2021-04-06,12.9366
2021-04-07,12.609
2021-04-08,12.5155
2021-04-09,12.478
2021-04-10,12.478
2021-04-11,12.478
2021-04-12,12.5342
2021-04-13,12.4843
2021-04-14,12.4749
2021-04-15,12.5685
2021-04-16,12.5654
2021-04-17,12.5654
2021-04-18,12.5654
2021-04-19,12.7089
2021-04-20,12.6964
2021-04-21,12.7681
2021-04-22,12.6122
2021-04-23,12.5903
2021-04-24,12.5903
2021-04-25,12.5903
2021-04-26,12.5435
2021-04-27,12.4624
2021-04-28,12.5342
2021-04-29,12.6465
2021-04-30,12.6901
2021-05-01,12.6901
2021-05-02,12.6901
2021-05-03,12.7338
2021-05-04,12.896
2021-05-05,12.659
2021-05-06,12.818
2021-05-07,13.3545
2021-05-08,13.3545
2021-05-09,13.3545
2021-05-10,13.4044
2021-05-11,13.0487
2021-05-12,12.921
2021-05-13,13.1266
2021-05-14,13.1578
2021-05-15,13.1578
2021-05-16,13.1578
2021-05-17,13.0861
2021-05-18,13.0674
2021-05-19,12.9428
2021-05-20,12.9085
2021-05-21,13.0082
2021-05-22,13.0082
2021-05-23,13.0082
2021-05-24,12.8929
2021-05-25,12.628
2021-05-26,12.6498
2021-05-27,12.519
2021-05-28,12.6748
2021-05-29,12.6748
2021-05-30,12.6748
2021-05-31,12.6748
2021-06-01,12.6062
2021-06-02,12.6779
2021-06-03,12.7527
2021-06-04,12.7745
2021-06-05,12.7745
2021-06-06,12.7745
2021-06-07,12.7651
2021-06-08,12.787
2021-06-09,13.0799
2021-06-10,13.1204
2021-06-11,13.2326
2021-06-12,13.2326
2021-06-13,13.2326
2021-06-14,13.0768
2021-06-15,13.1111
2021-06-16,12.9116
2021-06-17,12.8181
2021-06-18,12.3289
2021-06-19,12.3289
2021-06-20,12.3289
2021-06-21,12.6467
2021-06-22,12.5003
2021-06-23,12.2696
2021-06-24,12.3974
2021-06-25,12.6031
2021-06-26,12.6031
2021-06-27,12.6031
2021-06-28,12.5127
2021-06-29,12.3008
2021-06-30,10.898
2021-07-01,10.9697
2021-07-02,10.9353
2021-07-03,10.9353
2021-07-04,10.9353
2021-07-05,10.9353
2021-07-06,10.9152
2021-07-07,10.9181
2021-07-08,10.7976
2021-07-09,10.964
2021-07-10,10.964
2021-07-11,10.964
2021-07-12,10.9726
2021-07-13,10.746
2021-07-14,10.8177
2021-07-15,11.1561
2021-07-16,11.0816
2021-07-17,11.0816
2021-07-18,11.0816
2021-07-19,10.9926
2021-07-20,11.1705
2021-07-21,11.007
2021-07-22,11.0127
2021-07-23,11.159
2021-07-24,11.159
2021-07-25,11.159
2021-07-26,11.1676
2021-07-27,11.3053
2021-07-28,11.3196
2021-07-29,11.3426
2021-07-30,11.202
2021-07-31,11.202
2021-08-01,11.202
2021-08-02,11.3254
2021-08-03,11.3426
2021-08-04,11.2508
2021-08-05,11.3512
2021-08-06,11.3426
2021-08-07,11.3426
2021-08-08,11.3426
2021-08-09,11.3856
2021-08-10,11.4235
2021-08-11,11.5413
2021-08-12,11.5499
2021-08-13,11.6131
2021-08-14,11.6131
2021-08-15,11.6131
2021-08-16,11.7193
2021-08-17,11.748
2021-08-18,11.6016
2021-08-19,11.6188
2021-08-20,11.6303
2021-08-21,11.6303
2021-08-22,11.6303
2021-08-23,11.5499
2021-08-24,11.3891
2021-08-25,11.3058
2021-08-26,11.2397
2021-08-27,11.3115
2021-08-28,11.3115
2021-08-29,11.3115
2021-08-30,11.3202
2021-08-31,11.2914
2021-09-01,11.3489
