,WBT US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,20.216
2020-01-02,20.0375
2020-01-03,20.143
2020-01-04,20.143
2020-01-05,20.143
2020-01-06,20.0537
2020-01-07,19.8103
2020-01-08,19.8103
2020-01-09,19.8671
2020-01-10,20.0131
2020-01-11,20.0131
2020-01-12,20.0131
2020-01-13,20.0131
2020-01-14,19.9969
2020-01-15,19.932
2020-01-16,20.0862
2020-01-17,20.1349
2020-01-18,20.1349
2020-01-19,20.1349
2020-01-20,20.1349
2020-01-21,19.9482
2020-01-22,19.9807
2020-01-23,20.2809
2020-01-24,19.859
2020-01-25,19.859
2020-01-26,19.859
2020-01-27,19.9401
2020-01-28,19.8833
2020-01-29,19.8995
2020-01-30,20.0294
2020-01-31,19.794
2020-02-01,19.794
2020-02-02,19.794
2020-02-03,19.3558
2020-02-04,19.4775
2020-02-05,19.8752
2020-02-06,19.7778
2020-02-07,19.4613
2020-02-08,19.4613
2020-02-09,19.4613
2020-02-10,19.5749
2020-02-11,19.3315
2020-02-12,19.1692
2020-02-13,19.0637
2020-02-14,18.9582
2020-02-15,18.9582
2020-02-16,18.9582
2020-02-17,18.9582
2020-02-18,18.731
2020-02-19,18.6093
2020-02-20,18.9095
2020-02-21,18.9176
2020-02-22,18.9176
2020-02-23,18.9176
2020-02-24,18.4226
2020-02-25,18.3081
2020-02-26,18.3081
2020-02-27,18.1005
2020-02-28,18.3039
2020-02-29,18.3039
2020-03-01,18.3039
2020-03-02,18.1818
2020-03-03,17.9296
2020-03-04,17.8645
2020-03-05,16.9615
2020-03-06,16.7988
2020-03-07,16.7988
2020-03-08,16.7988
2020-03-09,15.5784
2020-03-10,15.2937
2020-03-11,14.4476
2020-03-12,12.9344
2020-03-13,13.0971
2020-03-14,13.0971
2020-03-15,13.0971
2020-03-16,11.2503
2020-03-17,10.9086
2020-03-18,10.3961
2020-03-19,11.0144
2020-03-20,11.1364
2020-03-21,11.1364
2020-03-22,11.1364
2020-03-23,11.0063
2020-03-24,11.4456
2020-03-25,11.2748
2020-03-26,11.4131
2020-03-27,11.5026
2020-03-28,11.5026
2020-03-29,11.5026
2020-03-30,11.3642
2020-03-31,14.1526
2020-04-01,13.5678
2020-04-02,13.2283
2020-04-03,13.0774
2020-04-04,13.0774
2020-04-05,13.0774
2020-04-06,13.6056
2020-04-07,13.5678
2020-04-08,13.5773
2020-04-09,14.1715
2020-04-10,14.1715
2020-04-11,14.1715
2020-04-12,14.1715
2020-04-13,13.5395
2020-04-14,13.964
2020-04-15,13.3886
2020-04-16,13.3132
2020-04-17,13.3415
2020-04-18,13.3415
2020-04-19,13.3415
2020-04-20,13.4264
2020-04-21,13.0491
2020-04-22,13.0868
2020-04-23,13.2189
2020-04-24,13.1811
2020-04-25,13.1811
2020-04-26,13.1811
2020-04-27,13.1811
2020-04-28,13.4547
2020-04-29,14.2752
2020-04-30,13.964
2020-05-01,13.7376
2020-05-02,13.7376
2020-05-03,13.7376
2020-05-04,13.8036
2020-05-05,14.0093
2020-05-06,13.5212
2020-05-07,14.0306
2020-05-08,14.3608
2020-05-09,14.3608
2020-05-10,14.3608
2020-05-11,14.1816
2020-05-12,13.8325
2020-05-13,13.625
2020-05-14,13.5118
2020-05-15,13.7476
2020-05-16,13.7476
2020-05-17,13.7476
2020-05-18,14.2382
2020-05-19,14.408
2020-05-20,14.4834
2020-05-21,14.4646
2020-05-22,14.5495
2020-05-23,14.5495
2020-05-24,14.5495
2020-05-25,14.5495
2020-05-26,15.3607
2020-05-27,15.3324
2020-05-28,15.0777
2020-05-29,15.0494
2020-05-30,15.0494
2020-05-31,15.0494
2020-06-01,15.5022
2020-06-02,15.3324
2020-06-03,15.9078
2020-06-04,16.0022
2020-06-05,17.2002
2020-06-06,17.2002
2020-06-07,17.2002
2020-06-08,16.8417
2020-06-09,16.2757
2020-06-10,15.8418
2020-06-11,15.2098
2020-06-12,15.257
2020-06-13,15.257
2020-06-14,15.257
2020-06-15,15.4739
2020-06-16,15.5022
2020-06-17,15.2381
2020-06-18,15.2287
2020-06-19,15.0211
2020-06-20,15.0211
2020-06-21,15.0211
2020-06-22,15.0683
2020-06-23,15.2475
2020-06-24,14.4457
2020-06-25,14.6438
2020-06-26,14.4457
2020-06-27,14.4457
2020-06-28,14.4457
2020-06-29,15.0211
2020-06-30,24.1425
2020-07-01,23.6885
2020-07-02,23.6129
2020-07-03,23.6129
2020-07-04,23.6129
2020-07-05,23.6129
2020-07-06,23.6583
2020-07-07,23.1135
2020-07-08,23.4918
2020-07-09,22.9167
2020-07-10,23.5977
2020-07-11,23.5977
2020-07-12,23.5977
2020-07-13,23.9912
2020-07-14,24.1577
2020-07-15,24.9446
2020-07-16,24.99
2020-07-17,24.5663
2020-07-18,24.5663
2020-07-19,24.5663
2020-07-20,24.1577
2020-07-21,24.9295
2020-07-22,24.9749
2020-07-23,25.1868
2020-07-24,24.5058
2020-07-25,24.5058
2020-07-26,24.5058
2020-07-27,24.8084
2020-07-28,24.5512
2020-07-29,24.9144
2020-07-30,24.4755
2020-07-31,24.1274
2020-08-01,24.1274
2020-08-02,24.1274
2020-08-03,24.415
2020-08-04,24.8538
2020-08-05,25.9444
2020-08-06,25.8082
2020-08-07,26.1866
2020-08-08,26.1866
2020-08-09,26.1866
2020-08-10,26.6709
2020-08-11,26.5044
2020-08-12,26.4742
2020-08-13,26.4439
2020-08-14,26.5801
2020-08-15,26.5801
2020-08-16,26.5801
2020-08-17,26.3531
2020-08-18,26.0958
2020-08-19,26.1866
2020-08-20,26.0655
2020-08-21,26.1261
2020-08-22,26.1261
2020-08-23,26.1261
2020-08-24,26.9433
2020-08-25,26.459
2020-08-26,26.0807
2020-08-27,26.3682
2020-08-28,26.6255
2020-08-29,26.6255
2020-08-30,26.6255
2020-08-31,26.0958
2020-09-01,25.9293
2020-09-02,26.1109
2020-09-03,25.778
2020-09-04,25.7477
2020-09-05,25.7477
2020-09-06,25.7477
2020-09-07,25.7477
2020-09-08,25.3844
2020-09-09,25.7023
2020-09-10,25.5207
2020-09-11,25.5055
2020-09-12,25.5055
2020-09-13,25.5055
2020-09-14,25.8839
2020-09-15,25.1272
2020-09-16,24.9001
2020-09-17,24.9909
2020-09-18,24.7942
2020-09-19,24.7942
2020-09-20,24.7942
2020-09-21,24.0526
2020-09-22,24.4915
2020-09-23,24.325
2020-09-24,24.1737
2020-09-25,24.2039
2020-09-26,24.2039
2020-09-27,24.2039
2020-09-28,24.4461
2020-09-29,23.9315
2020-09-30,37.3692
2020-10-01,37.2747
2020-10-02,38.1488
2020-10-03,38.1488
2020-10-04,38.1488
2020-10-05,38.8103
2020-10-06,38.6449
2020-10-07,39.3772
2020-10-08,39.5426
2020-10-09,39.4481
2020-10-10,39.4481
2020-10-11,39.4481
2020-10-12,39.6371
2020-10-13,39.2355
2020-10-14,39.3772
2020-10-15,38.8103
2020-10-16,39.0465
2020-10-17,39.0465
2020-10-18,39.0465
2020-10-19,38.6921
2020-10-20,38.6685
2020-10-21,38.6449
2020-10-22,39.33
2020-10-23,40.1805
2020-10-24,40.1805
2020-10-25,40.1805
2020-10-26,39.0465
2020-10-27,37.4873
2020-10-28,37.0148
2020-10-29,37.251
2020-10-30,37.1802
2020-10-31,37.1802
2020-11-01,37.1802
2020-11-02,38.2905
2020-11-03,39.1646
2020-11-04,37.7948
2020-11-05,38.9997
2020-11-06,39.0706
2020-11-07,39.0706
2020-11-08,39.0706
2020-11-09,43.2995
2020-11-10,43.583
2020-11-11,42.9452
2020-11-12,41.6458
2020-11-13,42.5672
2020-11-14,42.5672
2020-11-15,42.5672
2020-11-16,44.6698
2020-11-17,44.7643
2020-11-18,44.7879
2020-11-19,44.2446
2020-11-20,44.4808
2020-11-21,44.4808
2020-11-22,44.4808
2020-11-23,45.3549
2020-11-24,46.7252
2020-11-25,46.0401
2020-11-26,46.0401
2020-11-27,45.9928
2020-11-28,45.9928
2020-11-29,45.9928
2020-11-30,45.1423
2020-12-01,45.7093
2020-12-02,46.5598
2020-12-03,46.8433
2020-12-04,49.702
2020-12-05,49.702
2020-12-06,49.702
2020-12-07,49.0641
2020-12-08,49.6075
2020-12-09,49.2295
2020-12-10,49.7493
2020-12-11,50.5053
2020-12-12,50.5053
2020-12-13,50.5053
2020-12-14,48.7097
2020-12-15,50.1981
2020-12-16,50.6707
2020-12-17,51.1668
2020-12-18,50.2218
2020-12-19,50.2218
2020-12-20,50.2218
2020-12-21,49.891
2020-12-22,51.2377
2020-12-23,52.2063
2020-12-24,51.8519
2020-12-25,51.8519
2020-12-26,51.8519
2020-12-27,51.8519
2020-12-28,52.8914
2020-12-29,53.5529
2020-12-30,53.7656
2020-12-31,50.7006
2021-01-01,50.7006
2021-01-02,50.7006
2021-01-03,50.7006
2021-01-04,49.2877
2021-01-05,51.2389
2021-01-06,52.2257
2021-01-07,52.6518
2021-01-08,52.4948
2021-01-09,52.4948
2021-01-10,52.4948
2021-01-11,52.7191
2021-01-12,53.1452
2021-01-13,52.2257
2021-01-14,52.9882
2021-01-15,52.8985
2021-01-16,52.8985
2021-01-17,52.8985
2021-01-18,52.8985
2021-01-19,53.4368
2021-01-20,52.6069
2021-01-21,52.0687
2021-01-22,52.4948
2021-01-23,52.4948
2021-01-24,52.4948
2021-01-25,51.5304
2021-01-26,51.5753
2021-01-27,49.6914
2021-01-28,52.0463
2021-01-29,50.0502
2021-01-30,50.0502
2021-01-31,50.0502
2021-02-01,52.0911
2021-02-02,52.7191
2021-02-03,53.1228
2021-02-04,54.289
2021-02-05,54.5357
2021-02-06,54.5357
2021-02-07,54.5357
2021-02-08,54.7151
2021-02-09,54.3787
2021-02-10,54.289
2021-02-11,54.0199
2021-02-12,54.2217
2021-02-13,54.2217
2021-02-14,54.2217
2021-02-15,54.2217
2021-02-16,55.0739
2021-02-17,54.3338
2021-02-18,53.6834
2021-02-19,55.4552
2021-02-20,55.4552
2021-02-21,55.4552
2021-02-22,55.6122
2021-02-23,55.5449
2021-02-24,57.1597
2021-02-25,56.5645
2021-02-26,56.9459
2021-02-27,56.9459
2021-02-28,56.9459
2021-03-01,58.7812
2021-03-02,57.5019
2021-03-03,56.7836
2021-03-04,55.4818
2021-03-05,56.6265
2021-03-06,56.6265
2021-03-07,56.6265
2021-03-08,57.7039
2021-03-09,57.1652
2021-03-10,58.5343
2021-03-11,58.3548
2021-03-12,59.0057
2021-03-13,59.0057
2021-03-14,59.0057
2021-03-15,59.0505
2021-03-16,57.9732
2021-03-17,58.9383
2021-03-18,57.5019
2021-03-19,58.1528
2021-03-20,58.1528
2021-03-21,58.1528
2021-03-22,57.2101
2021-03-23,54.7861
2021-03-24,54.7861
2021-03-25,56.3347
2021-03-26,57.3447
2021-03-27,57.3447
2021-03-28,57.3447
2021-03-29,56.4245
2021-03-30,57.1203
2021-03-31,52.4177
2021-04-01,52.3974
2021-04-02,52.3974
2021-04-03,52.3974
2021-04-04,52.3974
2021-04-05,52.0926
2021-04-06,51.605
2021-04-07,51.097
2021-04-08,50.8531
2021-04-09,51.605
2021-04-10,51.605
2021-04-11,51.605
2021-04-12,52.2145
2021-04-13,51.5846
2021-04-14,51.4018
2021-04-15,51.4018
2021-04-16,51.8691
2021-04-17,51.8691
2021-04-18,51.8691
2021-04-19,51.2189
2021-04-20,51.1579
2021-04-21,65.2799
2021-04-22,63.5912
2021-04-23,64.5873
2021-04-24,64.5873
2021-04-25,64.5873
2021-04-26,64.1807
2021-04-27,65.0345
2021-04-28,65.0751
2021-04-29,64.5263
2021-04-30,64.8109
2021-05-01,64.8109
2021-05-02,64.8109
2021-05-03,63.9165
2021-05-04,63.7335
2021-05-05,63.9774
2021-05-06,64.0994
2021-05-07,64.9674
2021-05-08,64.9674
2021-05-09,64.9674
2021-05-10,64.5806
2021-05-11,63.5421
2021-05-12,60.5898
2021-05-13,61.2006
2021-05-14,62.3815
2021-05-15,62.3815
2021-05-16,62.3815
2021-05-17,61.8114
2021-05-18,60.9766
2021-05-19,60.2233
2021-05-20,59.1645
2021-05-21,59.6939
2021-05-22,59.6939
2021-05-23,59.6939
2021-05-24,59.2866
2021-05-25,59.5717
2021-05-26,59.4088
2021-05-27,59.9586
2021-05-28,69.7116
2021-05-29,69.7116
2021-05-30,69.7116
2021-05-31,69.7116
2021-06-01,69.8541
2021-06-02,69.8949
2021-06-03,69.5691
2021-06-04,69.6913
2021-06-05,69.6913
2021-06-06,69.6913
2021-06-07,69.3451
2021-06-08,68.9786
2021-06-09,68.9379
2021-06-10,68.8972
2021-06-11,68.6121
2021-06-12,68.6121
2021-06-13,68.6121
2021-06-14,68.551
2021-06-15,69.1211
2021-06-16,69.4266
2021-06-17,69.3247
2021-06-18,68.1031
2021-06-19,68.1031
2021-06-20,68.1031
2021-06-21,68.6603
2021-06-22,68.0486
2021-06-23,69.0069
2021-06-24,68.8438
2021-06-25,67.5185
2021-06-26,67.5185
2021-06-27,67.5185
2021-06-28,67.4573
2021-06-29,67.7835
2021-06-30,38.6123
2021-07-01,38.9104
2021-07-02,38.6481
2021-07-03,38.6481
2021-07-04,38.6481
2021-07-05,38.6481
2021-07-06,40.8418
2021-07-07,40.6987
2021-07-08,40.4603
2021-07-09,40.6987
2021-07-10,40.6987
2021-07-11,40.6987
2021-07-12,40.7226
2021-07-13,38.7434
2021-07-14,38.8746
2021-07-15,38.9966
2021-07-16,38.8892
2021-07-17,38.8892
2021-07-18,38.8892
2021-07-19,38.9131
2021-07-20,38.8892
2021-07-21,39.0204
2021-07-22,38.8892
2021-07-23,38.9131
2021-07-24,38.9131
2021-07-25,38.9131
2021-07-26,38.8892
2021-07-27,38.7581
2021-07-28,38.8773
2021-07-29,38.8892
2021-07-30,39.0204
2021-07-31,39.0204
2021-08-01,39.0204
2021-08-02,38.8296
2021-08-03,38.7005
2021-08-04,38.5693
2021-08-05,38.7005
2021-08-06,38.8317
2021-08-07,38.8317
2021-08-08,38.8317
2021-08-09,38.784
2021-08-10,38.8674
2021-08-11,38.8794
2021-08-12,38.8317
2021-08-13,38.7243
2021-08-14,38.7243
2021-08-15,38.7243
2021-08-16,38.6528
2021-08-17,38.6289
2021-08-18,38.5932
2021-08-19,38.7005
2021-08-20,38.6766
2021-08-21,38.6766
2021-08-22,38.6766
2021-08-23,38.6766
2021-08-24,38.9151
2021-08-25,38.8555
2021-08-26,38.9151
2021-08-27,38.9271
2021-08-28,38.9271
2021-08-29,38.9271
2021-08-30,38.939
2021-08-31,38.938
2021-09-01,39.0812
2021-09-02,39.1409
2021-09-03,39.117
2021-09-04,39.117
2021-09-05,39.117
2021-09-06,39.117
2021-09-07,39.1289
2021-09-08,39.0573
2021-09-09,39.0693
2021-09-10,39.0573
2021-09-11,39.0573
2021-09-12,39.0573
2021-09-13,39.0693
2021-09-14,39.1051
2021-09-15,39.0931
2021-09-16,39.0454
2021-09-17,39.0096
2021-09-18,39.0096
2021-09-19,39.0096
2021-09-20,38.938
2021-09-21,38.9977
2021-09-22,39.0573
2021-09-23,39.0931
2021-09-24,39.0573
2021-09-25,39.0573
2021-09-26,39.0573
2021-09-27,39.1647
2021-09-28,39.1409
2021-09-29,39.1289
2021-09-30,30.6437
2021-10-01,30.9366
2021-10-02,30.9366
2021-10-03,30.9366
2021-10-04,30.9838
2021-10-05,30.9649
2021-10-06,30.9366
2021-10-07,31.0216
2021-10-08,31.0121
2021-10-09,31.0121
2021-10-10,31.0121
2021-10-11,31.0121
2021-10-12,31.0216
2021-10-13,31.0027
2021-10-14,31.0499
2021-10-15,31.031
2021-10-16,31.031
2021-10-17,31.031
2021-10-18,31.031
2021-10-19,31.031
2021-10-20,31.0405
2021-10-21,31.0405
2021-10-22,31.031
2021-10-23,31.031
2021-10-24,31.031
2021-10-25,31.031
2021-10-26,31.031
2021-10-27,31.0216
2021-10-28,31.031
2021-10-29,31.0405
2021-10-30,31.0405
2021-10-31,31.0405
2021-11-01,31.116
2021-11-02,31.1125
2021-11-03,31.0937
2021-11-04,31.0842
2021-11-05,31.0653
2021-11-06,31.0653
2021-11-07,31.0653
2021-11-08,31.1125
2021-11-09,31.1598
2021-11-10,31.122
