,NVRI US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,24.5687
2020-01-02,24.8697
2020-01-03,24.2825
2020-01-04,24.2825
2020-01-05,24.2825
2020-01-06,24.0035
2020-01-07,23.9007
2020-01-08,23.798
2020-01-09,23.4603
2020-01-10,22.7702
2020-01-11,22.7702
2020-01-12,22.7702
2020-01-13,22.6088
2020-01-14,22.3371
2020-01-15,22.0141
2020-01-16,22.506
2020-01-17,22.3225
2020-01-18,22.3225
2020-01-19,22.3225
2020-01-20,22.3225
2020-01-21,22.0655
2020-01-22,21.904
2020-01-23,21.9481
2020-01-24,19.276
2020-01-25,19.276
2020-01-26,19.276
2020-01-27,18.219
2020-01-28,18.5493
2020-01-29,18.6447
2020-01-30,18.7475
2020-01-31,18.6154
2020-02-01,18.6154
2020-02-02,18.6154
2020-02-03,18.4832
2020-02-04,18.542
2020-02-05,18.9824
2020-02-06,18.8796
2020-02-07,17.7124
2020-02-08,17.7124
2020-02-09,17.7124
2020-02-10,17.6097
2020-02-11,18.2263
2020-02-12,19.2467
2020-02-13,19.2834
2020-02-14,19.0852
2020-02-15,19.0852
2020-02-16,19.0852
2020-02-17,19.0852
2020-02-18,19.0191
2020-02-19,19.1292
2020-02-20,19.0411
2020-02-21,18.749
2020-02-22,18.749
2020-02-23,18.749
2020-02-24,18.0084
2020-02-25,16.8793
2020-02-26,16.3587
2020-02-27,15.4935
2020-02-28,16.4687
2020-02-29,16.4687
2020-03-01,16.4687
2020-03-02,16.608
2020-03-03,16.0361
2020-03-04,16.2414
2020-03-05,15.4935
2020-03-06,15.2223
2020-03-07,15.2223
2020-03-08,15.2223
2020-03-09,13.7632
2020-03-10,13.5799
2020-03-11,13.3423
2020-03-12,12.5551
2020-03-13,13.0554
2020-03-14,13.0554
2020-03-15,13.0554
2020-03-16,12.3639
2020-03-17,12.1726
2020-03-18,11.0396
2020-03-19,12.0181
2020-03-20,12.2829
2020-03-21,12.2829
2020-03-22,12.2829
2020-03-23,12.4595
2020-03-24,13.0995
2020-03-25,12.8788
2020-03-26,13.2467
2020-03-27,12.3344
2020-03-28,12.3344
2020-03-29,12.3344
2020-03-30,12.717
2020-03-31,15.2787
2020-04-01,14.6138
2020-04-02,14.7538
2020-04-03,14.5438
2020-04-04,14.5438
2020-04-05,14.5438
2020-04-06,14.955
2020-04-07,15.9174
2020-04-08,16.9672
2020-04-09,16.451
2020-04-10,16.451
2020-04-11,16.451
2020-04-12,16.451
2020-04-13,16.3286
2020-04-14,16.1973
2020-04-15,15.7599
2020-04-16,15.6811
2020-04-17,16.1273
2020-04-18,16.1273
2020-04-19,16.1273
2020-04-20,16.0661
2020-04-21,15.7686
2020-04-22,15.7861
2020-04-23,16.2673
2020-04-24,16.3548
2020-04-25,16.3548
2020-04-26,16.3548
