,BKH US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,20.7262
2020-01-02,20.4401
2020-01-03,20.3962
2020-01-04,20.3962
2020-01-05,20.3962
2020-01-06,20.4008
2020-01-07,20.372
2020-01-08,20.3554
2020-01-09,20.4719
2020-01-10,20.5627
2020-01-11,20.5627
2020-01-12,20.5627
2020-01-13,20.7353
2020-01-14,20.7489
2020-01-15,20.9502
2020-01-16,21.1136
2020-01-17,21.103
2020-01-18,21.103
2020-01-19,21.103
2020-01-20,21.103
2020-01-21,21.1666
2020-01-22,21.2589
2020-01-23,21.3392
2020-01-24,21.321
2020-01-25,21.321
2020-01-26,21.321
2020-01-27,21.321
2020-01-28,21.3785
2020-01-29,21.4345
2020-01-30,21.5208
2020-01-31,21.4057
2020-02-01,21.4057
2020-02-02,21.4057
2020-02-03,21.486
2020-02-04,21.4057
2020-02-05,21.5601
2020-02-06,21.5874
2020-02-07,21.5389
2020-02-08,21.5389
2020-02-09,21.5389
2020-02-10,21.6237
2020-02-11,21.6373
2020-02-12,21.5344
2020-02-13,21.6827
2020-02-14,21.7614
2020-02-15,21.7614
2020-02-16,21.7614
2020-02-17,21.7614
2020-02-18,21.7886
2020-02-19,21.6841
2020-02-20,21.6751
2020-02-21,21.6675
2020-02-22,21.6675
2020-02-23,21.6675
2020-02-24,21.4086
2020-02-25,21.3507
2020-02-26,21.1931
2020-02-27,20.5936
2020-02-28,19.9956
2020-02-29,19.9956
2020-03-01,19.9956
2020-03-02,20.6492
2020-03-03,20.6337
2020-03-04,21.3368
2020-03-05,21.0896
2020-03-06,21.3059
2020-03-07,21.3059
2020-03-08,21.3059
2020-03-09,20.351
2020-03-10,20.5797
2020-03-11,19.6989
2020-03-12,18.4488
2020-03-13,19.022
2020-03-14,19.022
2020-03-15,19.022
2020-03-16,17.1953
2020-03-17,18.0948
2020-03-18,16.7101
2020-03-19,16.7827
2020-03-20,16.8322
2020-03-21,16.8322
2020-03-22,16.8322
2020-03-23,16.7425
2020-03-24,17.6188
2020-03-25,17.8892
2020-03-26,18.6496
2020-03-27,18.5908
2020-03-28,18.5908
2020-03-29,18.5908
2020-03-30,19.3759
2020-03-31,18.8495
2020-04-01,17.9769
2020-04-02,18.3857
2020-04-03,17.9596
2020-04-04,17.9596
2020-04-05,17.9596
2020-04-06,19.0539
2020-04-07,18.7033
2020-04-08,19.4784
2020-04-09,19.892
2020-04-10,19.892
2020-04-11,19.892
2020-04-12,19.892
2020-04-13,19.425
2020-04-14,19.686
2020-04-15,19.1813
2020-04-16,19.1042
2020-04-17,19.4156
2020-04-18,19.4156
2020-04-19,19.4156
2020-04-20,18.7662
2020-04-21,18.7049
2020-04-22,18.8275
2020-04-23,18.5775
2020-04-24,18.6121
2020-04-25,18.6121
2020-04-26,18.6121
2020-04-27,19.0696
2020-04-28,19.3432
2020-04-29,19.109
2020-04-30,18.5209
2020-05-01,18.1734
2020-05-02,18.1734
2020-05-03,18.1734
2020-05-04,18.2033
2020-05-05,18.2236
2020-05-06,17.9453
2020-05-07,17.9343
2020-05-08,18.3321
2020-05-09,18.3321
2020-05-10,18.3321
2020-05-11,18.1183
2020-05-12,17.9076
2020-05-13,17.8242
2020-05-14,17.7189
2020-05-15,17.5727
2020-05-16,17.5727
2020-05-17,17.5727
2020-05-18,18.0994
2020-05-19,17.9422
2020-05-20,17.961
2020-05-21,17.9909
2020-05-22,18.0632
2020-05-23,18.0632
2020-05-24,18.0632
2020-05-25,18.0632
2020-05-26,18.3337
2020-05-27,18.351
2020-05-28,18.4563
