,ALE US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,32.3755
2020-01-02,32.1903
2020-01-03,32.2359
2020-01-04,32.2359
2020-01-05,32.2359
2020-01-06,32.1561
2020-01-07,31.9082
2020-01-08,32.1077
2020-01-09,32.3128
2020-01-10,32.2843
2020-01-11,32.2843
2020-01-12,32.2843
2020-01-13,32.4496
2020-01-14,32.3926
2020-01-15,32.7829
2020-01-16,33.0479
2020-01-17,33.0593
2020-01-18,33.0593
2020-01-19,33.0593
2020-01-20,33.0593
2020-01-21,33.0394
2020-01-22,33.0365
2020-01-23,33.2132
2020-01-24,33.1676
2020-01-25,33.1676
2020-01-26,33.1676
2020-01-27,32.9625
2020-01-28,32.9568
2020-01-29,32.9653
2020-01-30,33.216
2020-01-31,33.0337
2020-02-01,33.0337
2020-02-02,33.0337
2020-02-03,33.1961
2020-02-04,32.9824
2020-02-05,33.0736
2020-02-06,32.8371
2020-02-07,32.6234
2020-02-08,32.6234
2020-02-09,32.6234
2020-02-10,32.6519
2020-02-11,32.6604
2020-02-12,32.5806
2020-02-13,32.4082
2020-02-14,32.3939
2020-02-15,32.3939
2020-02-16,32.3939
2020-02-17,32.3939
2020-02-18,32.4424
2020-02-19,32.1145
2020-02-20,31.9549
2020-02-21,32.0005
2020-02-22,32.0005
2020-02-23,32.0005
2020-02-24,31.8209
2020-02-25,31.3077
2020-02-26,30.9913
2020-02-27,30.1218
2020-02-28,28.9158
2020-02-29,28.9158
2020-03-01,28.9158
2020-03-02,30.4553
2020-03-03,30.2558
2020-03-04,31.2137
2020-03-05,30.7176
2020-03-06,30.9742
2020-03-07,30.9742
2020-03-08,30.9742
2020-03-09,30.2643
2020-03-10,30.7632
2020-03-11,29.0755
2020-03-12,27.097
2020-03-13,27.7812
2020-03-14,27.7812
2020-03-15,27.7812
2020-03-16,25.0073
2020-03-17,28.397
2020-03-18,26.7823
2020-03-19,27.4219
2020-03-20,24.8692
2020-03-21,24.8692
2020-03-22,24.8692
2020-03-23,24.164
2020-03-24,25.526
2020-03-25,25.6659
2020-03-26,27.0422
2020-03-27,26.9308
2020-03-28,26.9308
2020-03-29,26.9308
2020-03-30,27.0907
2020-03-31,26.8917
2020-04-01,25.8008
2020-04-02,25.7386
2020-04-03,25.1479
2020-04-04,25.1479
2020-04-05,25.1479
2020-04-06,26.5045
2020-04-07,26.2643
2020-04-08,26.855
2020-04-09,27.2309
2020-04-10,27.2309
2020-04-11,27.2309
2020-04-12,27.2309
2020-04-13,26.6628
2020-04-14,26.9935
2020-04-15,25.9986
2020-04-16,25.6792
2020-04-17,26.2332
2020-04-18,26.2332
2020-04-19,26.2332
2020-04-20,25.1931
2020-04-21,25.5549
2020-04-22,25.5068
2020-04-23,25.7301
2020-04-24,25.9477
2020-04-25,25.9477
2020-04-26,25.9477
2020-04-27,26.3067
2020-04-28,26.7758
2020-04-29,27.0952
2020-04-30,26.0099
2020-05-01,25.4701
2020-05-02,25.4701
2020-05-03,25.4701
2020-05-04,25.439
2020-05-05,25.7245
2020-05-06,24.5063
2020-05-07,24.7098
2020-05-08,25.5098
2020-05-09,25.5098
2020-05-10,25.5098
2020-05-11,25.083
2020-05-12,24.6335
2020-05-13,24.4187
2020-05-14,23.8788
2020-05-15,23.7629
2020-05-16,23.7629
2020-05-17,23.7629
2020-05-18,24.8625
2020-05-19,24.6194
2020-05-20,25.018
2020-05-21,24.8455
2020-05-22,24.8625
2020-05-23,24.8625
2020-05-24,24.8625
2020-05-25,24.8625
2020-05-26,25.4081
2020-05-27,26.1968
2020-05-28,25.9847
2020-05-29,26.3437
2020-05-30,26.3437
2020-05-31,26.3437
2020-06-01,26.4766
2020-06-02,26.6717
2020-06-03,27.0109
2020-06-04,26.8639
2020-06-05,27.5169
2020-06-06,27.5169
2020-06-07,27.5169
2020-06-08,27.7374
2020-06-09,27.6045
2020-06-10,27.302
2020-06-11,25.9367
2020-06-12,26.0611
2020-06-13,26.0611
2020-06-14,26.0611
2020-06-15,26.2533
2020-06-16,26.1233
2020-06-17,25.7077
2020-06-18,25.6597
2020-06-19,25.1423
2020-06-20,25.1423
2020-06-21,25.1423
2020-06-22,25.2074
2020-06-23,25.0802
2020-06-24,24.9614
2020-06-25,24.724
2020-06-26,24.577
2020-06-27,24.577
2020-06-28,24.577
2020-06-29,25.1706
2020-06-30,30.5887
2020-07-01,30.8319
2020-07-02,31.02
2020-07-03,31.02
2020-07-04,31.02
2020-07-05,31.02
2020-07-06,30.8838
2020-07-07,31.1853
2020-07-08,31.127
2020-07-09,31.1302
2020-07-10,31.8825
