,TPIC US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,53.6766
2020-01-02,53.5659
2020-01-03,54.2302
2020-01-04,54.2302
2020-01-05,54.2302
2020-01-06,54.4516
2020-01-07,54.8502
2020-01-08,54.673
2020-01-09,53.732
2020-01-10,53.7209
2020-01-11,53.7209
2020-01-12,53.7209
2020-01-13,55.7359
2020-01-14,56.2563
2020-01-15,57.3966
2020-01-16,57.7509
2020-01-17,58.2159
2020-01-18,58.2159
2020-01-19,58.2159
2020-01-20,58.2159
2020-01-21,59.1016
2020-01-22,58.8581
2020-01-23,59.5888
2020-01-24,58.6145
2020-01-25,58.6145
2020-01-26,58.6145
2020-01-27,56.0016
2020-01-28,58.1938
2020-01-29,58.5923
2020-01-30,58.0055
2020-01-31,58.6366
2020-02-01,58.6366
2020-02-02,58.6366
2020-02-03,59.0241
2020-02-04,60.1645
2020-02-05,61.4266
2020-02-06,59.8323
2020-02-07,62.4231
2020-02-08,62.4231
2020-02-09,62.4231
2020-02-10,65.8331
2020-02-11,64.8809
2020-02-12,67.4717
2020-02-13,67.1838
2020-02-14,67.1395
2020-02-15,67.1395
2020-02-16,67.1395
2020-02-17,67.1395
2020-02-18,66.7188
2020-02-19,70.2617
2020-02-20,73.0517
2020-02-21,70.1952
2020-02-22,70.1952
2020-02-23,70.1952
2020-02-24,68.1359
2020-02-25,66.1209
2020-02-26,65.8774
2020-02-27,64.4381
2020-02-28,65.2574
2020-02-29,65.2574
2020-03-01,65.2574
2020-03-02,64.0446
2020-03-03,64.1996
2020-03-04,66.5027
2020-03-05,63.2916
2020-03-06,60.4349
2020-03-07,60.4349
2020-03-08,60.4349
2020-03-09,51.6876
2020-03-10,53.4592
2020-03-11,50.4696
2020-03-12,45.1326
2020-03-13,43.6711
2020-03-14,43.6711
2020-03-15,43.6711
2020-03-16,37.6254
2020-03-17,38.0905
2020-03-18,34.0158
2020-03-19,37.6476
2020-03-20,37.0718
2020-03-21,37.0718
2020-03-22,37.0718
2020-03-23,37.0718
2020-03-24,45.3762
2020-03-25,44.9776
2020-03-26,44.3133
2020-03-27,43.8704
2020-03-28,43.8704
2020-03-29,43.8704
2020-03-30,44.8448
2020-03-31,65.6741
2020-04-01,60.4573
2020-04-02,60.1385
2020-04-03,61.4137
2020-04-04,61.4137
2020-04-05,61.4137
2020-04-06,64.8408
2020-04-07,66.5255
2020-04-08,68.8493
2020-04-09,70.5049
2020-04-10,70.5049
2020-04-11,70.5049
2020-04-12,70.5049
2020-04-13,64.347
2020-04-14,63.2722
2020-04-15,61.8779
2020-04-16,61.907
2020-04-17,66.0607
2020-04-18,66.0607
2020-04-19,66.0607
2020-04-20,66.4383
2020-04-21,66.4093
2020-04-22,68.3264
2020-04-23,69.2269
2020-04-24,68.9073
2020-04-25,68.9073
2020-04-26,68.9073
2020-04-27,69.6335
2020-04-28,72.4801
2020-04-29,75.2396
2020-04-30,73.7582
2020-05-01,69.9821
2020-05-02,69.9821
2020-05-03,69.9821
2020-05-04,71.3473
2020-05-05,71.4635
2020-05-06,71.2892
2020-05-07,71.5795
2020-05-08,77.2437
2020-05-09,77.2437
2020-05-10,77.2437
2020-05-11,78.667
2020-05-12,75.4137
2020-05-13,73.9614
2020-05-14,74.7457
2020-05-15,75.0071
2020-05-16,75.0071
2020-05-17,75.0071
2020-05-18,80.8455
2020-05-19,82.4722
2020-05-20,82.7626
2020-05-21,83.0822
2020-05-22,82.4141
2020-05-23,82.4141
2020-05-24,82.4141
2020-05-25,82.4141
2020-05-26,83.9536
2020-05-27,84.854
2020-05-28,83.1693
2020-05-29,83.1112
2020-05-30,83.1112
2020-05-31,83.1112
2020-06-01,84.1569
2020-06-02,84.4474
2020-06-03,85.2316
2020-06-04,87.2504
2020-06-05,87.8749
2020-06-06,87.8749
2020-06-07,87.8749
2020-06-08,88.4849
2020-06-09,88.1363
2020-06-10,85.464
2020-06-11,82.356
2020-06-12,84.4764
2020-06-13,84.4764
2020-06-14,84.4764
2020-06-15,86.3064
2020-06-16,88.7463
2020-06-17,87.1197
2020-06-18,88.0782
2020-06-19,88.1944
2020-06-20,88.1944
2020-06-21,88.1944
2020-06-22,88.4559
2020-06-23,88.0492
2020-06-24,86.1902
2020-06-25,86.9454
2020-06-26,86.5387
2020-06-27,86.5387
2020-06-28,86.5387
2020-06-29,91.041
2020-06-30,91.041
2020-07-01,91.041
2020-07-02,91.041
2020-07-03,91.041
2020-07-04,91.041
2020-07-05,91.041
2020-07-06,91.041
2020-07-07,91.041
2020-07-08,91.041
2020-07-09,91.041
2020-07-10,91.041
2020-07-11,91.041
2020-07-12,91.041
2020-07-13,91.041
2020-07-14,91.041
2020-07-15,91.041
2020-07-16,91.041
2020-07-17,91.041
2020-07-18,91.041
2020-07-19,91.041
2020-07-20,91.041
2020-07-21,91.041
2020-07-22,91.041
2020-07-23,91.041
2020-07-24,91.041
2020-07-25,91.041
2020-07-26,91.041
2020-07-27,91.041
2020-07-28,91.041
2020-07-29,91.041
2020-07-30,91.041
2020-07-31,91.041
2020-08-01,91.041
2020-08-02,91.041
2020-08-03,91.041
2020-08-04,91.041
2020-08-05,91.041
2020-08-06,91.041
2020-08-07,91.041
2020-08-08,91.041
2020-08-09,91.041
2020-08-10,91.041
2020-08-11,91.041
2020-08-12,91.041
2020-08-13,91.041
2020-08-14,91.041
2020-08-15,91.041
2020-08-16,91.041
2020-08-17,91.041
2020-08-18,91.041
2020-08-19,91.041
2020-08-20,91.041
2020-08-21,91.041
2020-08-22,91.041
2020-08-23,91.041
2020-08-24,91.041
2020-08-25,91.041
2020-08-26,91.041
2020-08-27,91.041
2020-08-28,91.041
2020-08-29,91.041
2020-08-30,91.041
2020-08-31,91.041
2020-09-01,91.041
2020-09-02,91.041
2020-09-03,91.041
2020-09-04,91.041
2020-09-05,91.041
2020-09-06,91.041
2020-09-07,91.041
2020-09-08,91.041
2020-09-09,91.041
2020-09-10,91.041
2020-09-11,91.041
2020-09-12,91.041
2020-09-13,91.041
2020-09-14,91.041
2020-09-15,91.041
2020-09-16,91.041
2020-09-17,91.041
2020-09-18,91.041
2020-09-19,91.041
2020-09-20,91.041
2020-09-21,91.041
2020-09-22,91.041
2020-09-23,91.041
2020-09-24,91.041
2020-09-25,91.041
2020-09-26,91.041
2020-09-27,91.041
2020-09-28,91.041
2020-09-29,91.041
