,DK US Equity
,CURRENT_EV_TO_T12M_EBIT
2020-01-01,7.8402
2020-01-02,7.9079
2020-01-03,7.7225
2020-01-04,7.7225
2020-01-05,7.7225
2020-01-06,7.7387
2020-01-07,7.7976
2020-01-08,7.7578
2020-01-09,7.8226
2020-01-10,7.8417
2020-01-11,7.8417
2020-01-12,7.8417
2020-01-13,7.7902
2020-01-14,7.7225
2020-01-15,7.515
2020-01-16,7.5253
2020-01-17,7.487
2020-01-18,7.487
2020-01-19,7.487
2020-01-20,7.487
2020-01-21,7.4002
2020-01-22,7.3928
2020-01-23,7.3384
2020-01-24,7.3987
2020-01-25,7.3987
2020-01-26,7.3987
2020-01-27,7.1677
2020-01-28,7.2045
2020-01-29,7.1735
2020-01-30,7.1044
2020-01-31,6.9469
2020-02-01,6.9469
2020-02-02,6.9469
2020-02-03,6.8041
2020-02-04,6.8056
2020-02-05,7.0352
2020-02-06,7.0087
2020-02-07,7.0676
2020-02-08,7.0676
2020-02-09,7.0676
2020-02-10,7.1368
2020-02-11,7.0852
2020-02-12,7.122
2020-02-13,7.1397
2020-02-14,7.0838
2020-02-15,7.0838
2020-02-16,7.0838
2020-02-17,7.0838
2020-02-18,6.9101
2020-02-19,6.9528
2020-02-20,7.0117
2020-02-21,7.0661
2020-02-22,7.0661
2020-02-23,7.0661
2020-02-24,6.8292
2020-02-25,6.5981
2020-02-26,6.142
2020-02-27,5.8726
2020-02-28,6.0173
2020-02-29,6.0173
2020-03-01,6.0173
2020-03-02,5.8965
2020-03-03,5.6112
2020-03-04,5.6825
2020-03-05,5.585
2020-03-06,5.4439
2020-03-07,5.4439
2020-03-08,5.4439
2020-03-09,4.7263
2020-03-10,4.7511
2020-03-11,4.4512
2020-03-12,4.1936
2020-03-13,4.4061
2020-03-14,4.4061
2020-03-15,4.4061
2020-03-16,4.3363
2020-03-17,4.4483
2020-03-18,4.4629
2020-03-19,4.5837
2020-03-20,5.1004
2020-03-21,5.1004
2020-03-22,5.1004
2020-03-23,4.8384
2020-03-24,4.7642
2020-03-25,4.8835
2020-03-26,4.9548
2020-03-27,4.9141
2020-03-28,4.9141
2020-03-29,4.9141
2020-03-30,5.3069
2020-03-31,5.3069
2020-04-01,5.3069
2020-04-02,5.3069
2020-04-03,5.3069
2020-04-04,5.3069
2020-04-05,5.3069
2020-04-06,5.3069
2020-04-07,5.3069
2020-04-08,5.3069
2020-04-09,5.3069
2020-04-10,5.3069
2020-04-11,5.3069
2020-04-12,5.3069
2020-04-13,5.3069
2020-04-14,5.3069
2020-04-15,5.3069
2020-04-16,5.3069
2020-04-17,5.3069
2020-04-18,5.3069
2020-04-19,5.3069
2020-04-20,5.3069
2020-04-21,5.3069
2020-04-22,5.3069
2020-04-23,5.3069
2020-04-24,5.3069
2020-04-25,5.3069
2020-04-26,5.3069
2020-04-27,5.3069
2020-04-28,5.3069
2020-04-29,5.3069
2020-04-30,5.3069
2020-05-01,5.3069
2020-05-02,5.3069
2020-05-03,5.3069
2020-05-04,5.3069
2020-05-05,5.3069
2020-05-06,5.3069
2020-05-07,5.3069
2020-05-08,5.3069
2020-05-09,5.3069
2020-05-10,5.3069
2020-05-11,5.3069
2020-05-12,5.3069
2020-05-13,5.3069
2020-05-14,5.3069
2020-05-15,5.3069
2020-05-16,5.3069
2020-05-17,5.3069
2020-05-18,5.3069
2020-05-19,5.3069
2020-05-20,5.3069
2020-05-21,5.3069
2020-05-22,5.3069
2020-05-23,5.3069
2020-05-24,5.3069
2020-05-25,5.3069
2020-05-26,5.3069
2020-05-27,5.3069
2020-05-28,5.3069
2020-05-29,5.3069
2020-05-30,5.3069
2020-05-31,5.3069
2020-06-01,5.3069
2020-06-02,5.3069
2020-06-03,5.3069
2020-06-04,5.3069
2020-06-05,5.3069
2020-06-06,5.3069
2020-06-07,5.3069
2020-06-08,5.3069
2020-06-09,5.3069
2020-06-10,5.3069
2020-06-11,5.3069
2020-06-12,5.3069
2020-06-13,5.3069
2020-06-14,5.3069
2020-06-15,5.3069
2020-06-16,5.3069
2020-06-17,5.3069
2020-06-18,5.3069
2020-06-19,5.3069
2020-06-20,5.3069
2020-06-21,5.3069
2020-06-22,5.3069
2020-06-23,5.3069
2020-06-24,5.3069
2020-06-25,5.3069
2020-06-26,5.3069
2020-06-27,5.3069
2020-06-28,5.3069
2020-06-29,5.3069
2020-06-30,5.3069
2020-07-01,5.3069
2020-07-02,5.3069
2020-07-03,5.3069
2020-07-04,5.3069
2020-07-05,5.3069
2020-07-06,5.3069
2020-07-07,5.3069
2020-07-08,5.3069
2020-07-09,5.3069
2020-07-10,5.3069
2020-07-11,5.3069
2020-07-12,5.3069
2020-07-13,5.3069
2020-07-14,5.3069
2020-07-15,5.3069
2020-07-16,5.3069
2020-07-17,5.3069
2020-07-18,5.3069
2020-07-19,5.3069
2020-07-20,5.3069
2020-07-21,5.3069
2020-07-22,5.3069
2020-07-23,5.3069
2020-07-24,5.3069
2020-07-25,5.3069
2020-07-26,5.3069
2020-07-27,5.3069
2020-07-28,5.3069
2020-07-29,5.3069
2020-07-30,5.3069
2020-07-31,5.3069
2020-08-01,5.3069
2020-08-02,5.3069
2020-08-03,5.3069
2020-08-04,5.3069
2020-08-05,5.3069
2020-08-06,5.3069
