,RTL LX Equity,RTL LX Equity,RTL LX Equity,RTL LX Equity,RTL LX Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,16.821,16.821,16.821,16.821,200.0
2010-01-02,16.821,16.821,16.821,16.821,200.0
2010-01-03,16.821,16.821,16.821,16.821,200.0
2010-01-04,17.024,17.024,17.024,17.024,200.0
2010-01-05,16.821,17.002,16.64,16.64,450.0
2010-01-06,17.1,17.1,17.1,17.1,450.0
2010-01-07,17.074,17.074,17.074,17.074,450.0
2010-01-08,17.038,17.038,17.038,17.038,220.0
2010-01-09,17.038,17.038,17.038,17.038,220.0
2010-01-10,17.038,17.038,17.038,17.038,220.0
2010-01-11,17.36,17.36,17.36,17.36,220.0
2010-01-12,17.002,17.002,17.002,17.002,28.0
2010-01-13,17.617,17.617,17.617,17.617,28.0
2010-01-14,17.183,18.087,17.183,18.087,304.0
2010-01-15,17.906,18.087,17.906,18.087,766.0
2010-01-16,17.906,18.087,17.906,18.087,766.0
2010-01-17,17.906,18.087,17.906,18.087,766.0
2010-01-18,17.364,17.364,17.364,17.364,800.0
2010-01-19,18.087,18.087,18.087,18.087,500.0
2010-01-20,17.979,17.979,17.979,17.979,29.0
2010-01-21,18.015,18.015,17.4,17.4,1458.0
2010-01-22,17.957,17.957,17.957,17.957,1458.0
2010-01-23,17.957,17.957,17.957,17.957,1458.0
2010-01-24,17.957,17.957,17.957,17.957,1458.0
2010-01-25,17.903,17.903,17.903,17.903,1458.0
2010-01-26,17.364,17.997,17.364,17.997,263.0
2010-01-27,17.997,17.997,17.726,17.726,300.0
2010-01-28,17.997,17.997,17.997,17.997,100.0
2010-01-29,18.0,18.0,18.0,18.0,100.0
2010-01-30,18.0,18.0,18.0,18.0,100.0
2010-01-31,18.0,18.0,18.0,18.0,100.0
2010-02-01,17.183,17.183,17.183,17.183,150.0
2010-02-02,18.123,18.16,18.123,18.16,200.0
2010-02-03,18.626,18.63,18.626,18.63,650.0
2010-02-04,19.136,19.136,18.34,18.34,650.0
2010-02-05,18.123,18.123,17.454,17.454,275.0
2010-02-06,18.123,18.123,17.454,17.454,275.0
2010-02-07,18.123,18.123,17.454,17.454,275.0
2010-02-08,18.268,18.268,18.268,18.268,25.0
2010-02-09,17.917,17.917,17.917,17.917,25.0
2010-02-10,18.232,18.232,18.232,18.232,25.0
2010-02-11,18.026,18.026,18.026,18.026,25.0
2010-02-12,18.033,18.033,18.033,18.033,25.0
2010-02-13,18.033,18.033,18.033,18.033,25.0
2010-02-14,18.033,18.033,18.033,18.033,25.0
2010-02-15,17.982,17.982,17.982,17.982,25.0
2010-02-16,18.051,18.051,18.051,18.051,25.0
2010-02-17,18.539,18.539,18.539,18.539,25.0
2010-02-18,18.232,18.232,18.232,18.232,100.0
2010-02-19,18.72,18.72,18.72,18.72,100.0
2010-02-20,18.72,18.72,18.72,18.72,100.0
2010-02-21,18.72,18.72,18.72,18.72,100.0
2010-02-22,18.771,18.771,18.771,18.771,100.0
2010-02-23,18.558,18.558,18.558,18.558,100.0
2010-02-24,18.398,18.398,18.398,18.398,100.0
2010-02-25,18.304,18.304,18.304,18.304,100.0
2010-02-26,18.883,18.883,18.883,18.883,100.0
2010-02-27,18.883,18.883,18.883,18.883,100.0
2010-02-28,18.883,18.883,18.883,18.883,100.0
2010-03-01,19.379,19.379,19.379,19.379,35.0
2010-03-02,19.353,19.353,19.353,19.353,245.0
2010-03-03,18.558,18.558,18.558,18.558,400.0
2010-03-04,18.178,18.178,18.178,18.178,100.0
2010-03-05,19.353,19.353,19.353,19.353,50.0
2010-03-06,19.353,19.353,19.353,19.353,50.0
2010-03-07,19.353,19.353,19.353,19.353,50.0
2010-03-08,18.912,18.912,18.912,18.912,50.0
2010-03-09,19.1,19.1,19.1,19.1,50.0
2010-03-10,19.52,19.52,19.52,19.52,50.0
2010-03-11,19.227,19.227,18.594,18.594,500.0
2010-03-12,19.353,19.379,19.353,19.379,215.0
2010-03-13,19.353,19.379,19.353,19.379,215.0
2010-03-14,19.353,19.379,19.353,19.379,215.0
2010-03-15,19.299,19.299,19.299,19.299,215.0
2010-03-16,18.395,18.395,18.395,18.395,100.0
2010-03-17,19.172,19.172,19.172,19.172,100.0
2010-03-18,19.353,19.353,19.353,19.353,2000.0
