,CLX US Equity
,BEST_EPS_NXT_YR
2019-01-01,9.165
2019-01-02,9.165
2019-01-03,9.165
2019-01-04,9.165
2019-01-05,9.165
2019-01-06,9.165
2019-01-07,9.165
2019-01-08,9.165
2019-01-09,9.165
2019-01-10,9.165
2019-01-11,9.165
2019-01-12,9.165
2019-01-13,9.165
2019-01-14,9.165
2019-01-15,9.165
2019-01-16,9.165
2019-01-17,9.165
2019-01-18,9.165
2019-01-19,9.165
2019-01-20,9.165
2019-01-21,9.165
2019-01-22,9.165
2019-01-23,9.165
2019-01-24,9.165
2019-01-25,9.165
2019-01-26,9.165
2019-01-27,9.165
2019-01-28,9.165
2019-01-29,9.165
2019-01-30,9.165
2019-01-31,9.165
2019-02-01,9.165
2019-02-02,9.165
2019-02-03,9.165
2019-02-04,9.165
2019-02-05,9.165
2019-02-06,9.165
2019-02-07,9.165
2019-02-08,9.165
2019-02-09,9.165
2019-02-10,9.165
2019-02-11,9.165
2019-02-12,9.165
2019-02-13,9.165
2019-02-14,9.165
2019-02-15,9.165
2019-02-16,9.165
2019-02-17,9.165
2019-02-18,9.165
2019-02-19,9.165
2019-02-20,9.165
2019-02-21,9.165
2019-02-22,9.165
2019-02-23,9.165
2019-02-24,9.165
2019-02-25,9.165
2019-02-26,9.165
2019-02-27,9.165
2019-02-28,9.165
2019-03-01,9.165
2019-03-02,9.165
2019-03-03,9.165
2019-03-04,9.165
2019-03-05,9.165
2019-03-06,9.165
2019-03-07,9.165
2019-03-08,9.165
2019-03-09,9.165
2019-03-10,9.165
2019-03-11,9.165
2019-03-12,9.165
2019-03-13,9.165
2019-03-14,9.165
2019-03-15,9.165
2019-03-16,9.165
2019-03-17,9.165
2019-03-18,9.165
2019-03-19,9.165
2019-03-20,9.165
2019-03-21,9.165
2019-03-22,9.165
2019-03-23,9.165
2019-03-24,9.165
2019-03-25,9.165
2019-03-26,9.165
2019-03-27,9.165
2019-03-28,9.165
2019-03-29,9.165
2019-03-30,9.165
