,GM US Equity
,BEST_EPS_NXT_YR
2019-01-01,8.89
2019-01-02,8.89
2019-01-03,8.89
2019-01-04,8.89
2019-01-05,8.89
2019-01-06,8.89
2019-01-07,8.89
2019-01-08,8.89
2019-01-09,8.89
2019-01-10,8.89
2019-01-11,8.89
2019-01-12,8.89
2019-01-13,8.89
2019-01-14,8.89
2019-01-15,8.89
2019-01-16,8.89
2019-01-17,8.89
2019-01-18,8.89
2019-01-19,8.89
2019-01-20,8.89
2019-01-21,8.89
2019-01-22,8.89
2019-01-23,8.89
2019-01-24,8.89
2019-01-25,8.89
2019-01-26,8.89
2019-01-27,8.89
2019-01-28,8.89
2019-01-29,8.89
2019-01-30,8.89
2019-01-31,8.89
2019-02-01,8.89
2019-02-02,8.89
2019-02-03,8.89
2019-02-04,8.89
2019-02-05,8.89
2019-02-06,8.89
2019-02-07,8.89
2019-02-08,8.89
2019-02-09,8.89
2019-02-10,8.89
2019-02-11,8.89
2019-02-12,8.89
2019-02-13,8.89
2019-02-14,8.89
2019-02-15,8.89
2019-02-16,8.89
2019-02-17,8.89
2019-02-18,8.89
2019-02-19,8.89
2019-02-20,8.89
2019-02-21,8.89
2019-02-22,8.89
2019-02-23,8.89
2019-02-24,8.89
2019-02-25,8.89
2019-02-26,8.89
2019-02-27,8.89
2019-02-28,8.89
2019-03-01,8.89
2019-03-02,8.89
2019-03-03,8.89
2019-03-04,8.89
2019-03-05,8.89
2019-03-06,8.89
2019-03-07,8.89
2019-03-08,8.89
2019-03-09,8.89
2019-03-10,8.89
2019-03-11,8.89
2019-03-12,8.89
2019-03-13,8.89
2019-03-14,8.89
2019-03-15,8.89
2019-03-16,8.89
2019-03-17,8.89
2019-03-18,8.89
2019-03-19,8.89
2019-03-20,8.89
2019-03-21,8.89
2019-03-22,8.89
2019-03-23,8.89
2019-03-24,8.89
2019-03-25,8.89
2019-03-26,8.89
2019-03-27,8.89
2019-03-28,8.89
2019-03-29,8.89
2019-03-30,8.89
2019-03-31,8.89
2019-04-01,8.89
2019-04-02,8.89
2019-04-03,8.89
2019-04-04,8.89
2019-04-05,8.89
2019-04-06,8.89
2019-04-07,8.89
2019-04-08,8.89
2019-04-09,8.89
2019-04-10,8.89
2019-04-11,8.89
