,JAZZ US Equity
,BEST_EPS_NXT_YR
2019-01-01,19.1
2019-01-02,19.18
2019-01-03,19.18
2019-01-04,19.448
2019-01-05,19.448
2019-01-06,19.448
2019-01-07,19.448
2019-01-08,19.448
2019-01-09,19.448
2019-01-10,19.448
2019-01-11,17.713
2019-01-12,17.713
2019-01-13,17.713
2019-01-14,17.713
2019-01-15,17.713
2019-01-16,17.713
2019-01-17,17.713
2019-01-18,17.713
2019-01-19,17.713
2019-01-20,17.713
2019-01-21,17.713
2019-01-22,17.713
2019-01-23,17.713
2019-01-24,17.713
2019-01-25,17.713
2019-01-26,17.713
2019-01-27,17.713
2019-01-28,17.713
2019-01-29,17.713
2019-01-30,17.713
2019-01-31,17.713
2019-02-01,17.713
2019-02-02,17.713
2019-02-03,17.713
2019-02-04,17.793
2019-02-05,17.793
2019-02-06,17.793
2019-02-07,17.793
2019-02-08,17.793
2019-02-09,17.793
2019-02-10,17.793
2019-02-11,17.793
2019-02-12,17.793
2019-02-13,17.793
2019-02-14,17.793
2019-02-15,17.793
2019-02-16,17.793
2019-02-17,17.793
2019-02-18,17.793
2019-02-19,17.793
2019-02-20,17.793
2019-02-21,17.793
2019-02-22,17.793
2019-02-23,17.793
2019-02-24,17.793
2019-02-25,17.793
2019-02-26,17.793
2019-02-27,18.11
2019-02-28,18.11
2019-03-01,18.11
2019-03-02,18.11
2019-03-03,18.11
2019-03-04,18.11
2019-03-05,18.11
2019-03-06,18.11
2019-03-07,18.11
2019-03-08,18.11
2019-03-09,18.11
2019-03-10,18.11
2019-03-11,18.11
2019-03-12,18.11
2019-03-13,18.11
2019-03-14,17.373
2019-03-15,17.373
2019-03-16,17.373
2019-03-17,17.373
2019-03-18,17.373
2019-03-19,17.373
2019-03-20,17.373
2019-03-21,17.373
2019-03-22,17.373
2019-03-23,17.373
2019-03-24,17.373
2019-03-25,17.373
2019-03-26,17.373
2019-03-27,17.76
2019-03-28,17.76
2019-03-29,17.76
2019-03-30,17.76
2019-03-31,17.76
2019-04-01,17.76
2019-04-02,17.76
2019-04-03,17.76
2019-04-04,17.76
2019-04-05,17.76
2019-04-06,17.76
2019-04-07,17.76
2019-04-08,17.76
2019-04-09,17.76
2019-04-10,17.76
2019-04-11,17.76
2019-04-12,17.76
2019-04-13,17.76
2019-04-14,17.76
2019-04-15,17.76
2019-04-16,17.76
2019-04-17,17.76
2019-04-18,17.76
2019-04-19,17.76
2019-04-20,17.76
2019-04-21,17.76
2019-04-22,17.76
2019-04-23,17.753
2019-04-24,17.753
2019-04-25,17.753
2019-04-26,17.753
2019-04-27,17.753
2019-04-28,17.753
2019-04-29,17.753
2019-04-30,17.753
2019-05-01,17.753
2019-05-02,17.753
2019-05-03,17.753
2019-05-04,17.753
2019-05-05,17.753
2019-05-06,17.753
2019-05-07,17.437
2019-05-08,17.49
2019-05-09,17.49
2019-05-10,17.49
2019-05-11,17.49
2019-05-12,17.49
2019-05-13,20.117
2019-05-14,20.117
2019-05-15,20.117
2019-05-16,20.117
2019-05-17,20.117
2019-05-18,20.117
2019-05-19,20.117
2019-05-20,20.117
2019-05-21,20.117
2019-05-22,20.117
2019-05-23,20.095
2019-05-24,20.095
2019-05-25,20.095
2019-05-26,20.095
2019-05-27,20.095
2019-05-28,20.095
2019-05-29,20.095
2019-05-30,20.095
2019-05-31,20.095
2019-06-01,20.095
2019-06-02,20.095
2019-06-03,20.095
2019-06-04,20.095
2019-06-05,20.095
2019-06-06,20.095
2019-06-07,20.095
2019-06-08,20.095
2019-06-09,20.095
2019-06-10,20.095
2019-06-11,20.095
2019-06-12,20.095
2019-06-13,20.095
2019-06-14,20.095
2019-06-15,20.095
2019-06-16,20.095
2019-06-17,20.095
2019-06-18,20.095
2019-06-19,20.095
2019-06-20,20.095
2019-06-21,20.095
2019-06-22,20.095
2019-06-23,20.095
2019-06-24,20.095
2019-06-25,20.095
2019-06-26,20.095
2019-06-27,20.095
2019-06-28,20.095
2019-06-29,20.095
2019-06-30,20.095
2019-07-01,20.095
2019-07-02,20.095
2019-07-03,20.095
2019-07-04,20.095
2019-07-05,20.095
2019-07-06,20.095
2019-07-07,20.095
2019-07-08,20.095
2019-07-09,20.095
2019-07-10,20.095
2019-07-11,20.095
2019-07-12,20.095
2019-07-13,20.095
2019-07-14,20.095
2019-07-15,20.095
2019-07-16,20.095
2019-07-17,20.095
2019-07-18,20.095
2019-07-19,20.095
2019-07-20,20.095
2019-07-21,20.095
2019-07-22,20.095
2019-07-23,20.095
2019-07-24,20.095
2019-07-25,20.095
2019-07-26,20.227
2019-07-27,20.227
2019-07-28,20.227
2019-07-29,20.227
2019-07-30,20.227
2019-07-31,20.227
2019-08-01,20.02
2019-08-02,20.02
2019-08-03,20.02
2019-08-04,20.02
2019-08-05,20.02
2019-08-06,20.07
2019-08-07,19.785
2019-08-08,19.785
2019-08-09,19.785
2019-08-10,19.785
2019-08-11,19.785
2019-08-12,19.785
2019-08-13,19.785
2019-08-14,19.785
2019-08-15,19.785
2019-08-16,19.785
2019-08-17,19.785
2019-08-18,19.785
2019-08-19,19.785
2019-08-20,19.785
2019-08-21,19.785
2019-08-22,19.785
2019-08-23,19.65
2019-08-24,19.65
2019-08-25,19.65
2019-08-26,19.65
2019-08-27,19.65
2019-08-28,19.65
2019-08-29,19.65
2019-08-30,19.65
2019-08-31,19.65
2019-09-01,19.65
2019-09-02,19.65
2019-09-03,19.65
2019-09-04,19.65
2019-09-05,19.65
2019-09-06,19.65
2019-09-07,19.65
2019-09-08,19.65
2019-09-09,19.65
2019-09-10,19.65
2019-09-11,19.65
2019-09-12,19.65
2019-09-13,19.65
2019-09-14,19.65
2019-09-15,19.65
2019-09-16,19.65
2019-09-17,19.65
2019-09-18,19.65
2019-09-19,19.65
2019-09-20,19.65
2019-09-21,19.65
2019-09-22,19.65
2019-09-23,19.65
2019-09-24,19.65
2019-09-25,19.65
2019-09-26,19.65
2019-09-27,19.65
2019-09-28,19.65
2019-09-29,19.65
2019-09-30,19.65
2019-10-01,19.65
2019-10-02,19.65
2019-10-03,19.65
2019-10-04,19.65
2019-10-05,19.65
2019-10-06,19.65
2019-10-07,19.65
2019-10-08,19.65
2019-10-09,19.65
2019-10-10,19.65
2019-10-11,19.65
2019-10-12,19.65
2019-10-13,19.65
2019-10-14,19.65
2019-10-15,19.65
2019-10-16,19.65
2019-10-17,19.65
2019-10-18,19.65
2019-10-19,19.65
2019-10-20,19.65
2019-10-21,19.65
2019-10-22,19.65
2019-10-23,19.65
2019-10-24,19.65
2019-10-25,19.65
2019-10-26,19.65
2019-10-27,19.65
2019-10-28,19.65
2019-10-29,19.65
2019-10-30,19.65
2019-10-31,19.65
2019-11-01,19.65
2019-11-02,19.65
2019-11-03,19.65
2019-11-04,19.65
2019-11-05,19.65
2019-11-06,19.65
2019-11-07,19.65
2019-11-08,19.65
2019-11-09,19.65
2019-11-10,19.65
2019-11-11,20.6
2019-11-12,20.6
2019-11-13,20.6
2019-11-14,20.6
2019-11-15,20.6
2019-11-16,20.6
2019-11-17,20.6
2019-11-18,20.6
2019-11-19,20.6
2019-11-20,20.6
2019-11-21,20.6
2019-11-22,20.6
2019-11-23,20.6
2019-11-24,20.6
2019-11-25,20.6
2019-11-26,20.6
2019-11-27,20.6
2019-11-28,20.6
2019-11-29,20.6
2019-11-30,20.6
2019-12-01,20.6
2019-12-02,20.6
2019-12-03,20.6
2019-12-04,20.6
2019-12-05,20.6
2019-12-06,20.6
2019-12-07,20.6
2019-12-08,20.6
2019-12-09,20.6
2019-12-10,20.6
2019-12-11,20.6
2019-12-12,20.6
2019-12-13,20.6
2019-12-14,20.6
2019-12-15,20.6
2019-12-16,20.6
2019-12-17,20.6
2019-12-18,20.6
2019-12-19,20.6
2019-12-20,20.6
2019-12-21,20.6
2019-12-22,20.6
2019-12-23,20.6
2019-12-24,20.6
2019-12-25,20.6
2019-12-26,20.6
2019-12-27,20.6
2019-12-28,20.6
2019-12-29,20.6
2019-12-30,20.6
2019-12-31,20.6
2020-01-01,20.6
2020-01-02,20.36
2020-01-03,20.36
2020-01-04,20.36
2020-01-05,20.36
2020-01-06,20.36
2020-01-07,20.36
2020-01-08,20.36
2020-01-09,20.36
2020-01-10,20.36
2020-01-11,20.36
2020-01-12,20.36
2020-01-13,20.36
2020-01-14,20.36
2020-01-15,20.36
2020-01-16,20.36
2020-01-17,20.36
2020-01-18,20.36
