,AMCX US Equity
,BEST_EPS_NXT_YR
2019-01-01,17.65
2019-01-02,17.65
2019-01-03,17.65
2019-01-04,17.65
2019-01-05,17.65
2019-01-06,17.65
2019-01-07,17.65
2019-01-08,17.65
2019-01-09,17.65
2019-01-10,17.65
2019-01-11,17.65
2019-01-12,17.65
2019-01-13,17.65
2019-01-14,17.65
2019-01-15,17.65
2019-01-16,17.65
2019-01-17,17.65
2019-01-18,17.65
2019-01-19,17.65
2019-01-20,17.65
2019-01-21,17.65
2019-01-22,17.65
2019-01-23,17.65
2019-01-24,17.65
2019-01-25,17.65
2019-01-26,17.65
2019-01-27,17.65
2019-01-28,17.65
2019-01-29,17.65
2019-01-30,17.65
2019-01-31,17.65
2019-02-01,17.65
2019-02-02,17.65
2019-02-03,17.65
2019-02-04,17.65
2019-02-05,17.65
2019-02-06,17.65
2019-02-07,17.65
2019-02-08,17.65
2019-02-09,17.65
2019-02-10,17.65
2019-02-11,17.65
2019-02-12,17.65
2019-02-13,17.65
2019-02-14,17.65
2019-02-15,17.65
2019-02-16,17.65
2019-02-17,17.65
2019-02-18,17.65
2019-02-19,17.65
2019-02-20,17.65
2019-02-21,17.65
2019-02-22,17.65
2019-02-23,17.65
2019-02-24,17.65
2019-02-25,17.65
2019-02-26,17.65
2019-02-27,17.65
2019-02-28,17.65
2019-03-01,17.65
2019-03-02,17.65
2019-03-03,17.65
2019-03-04,17.65
2019-03-05,17.65
2019-03-06,17.65
2019-03-07,17.65
2019-03-08,17.65
2019-03-09,17.65
2019-03-10,17.65
2019-03-11,17.65
2019-03-12,17.65
2019-03-13,17.65
2019-03-14,17.65
2019-03-15,17.65
2019-03-16,17.65
2019-03-17,17.65
2019-03-18,17.65
2019-03-19,17.65
2019-03-20,17.65
2019-03-21,17.65
2019-03-22,17.65
2019-03-23,17.65
2019-03-24,17.65
2019-03-25,17.65
2019-03-26,17.65
2019-03-27,17.65
2019-03-28,17.65
2019-03-29,17.65
2019-03-30,17.65
2019-03-31,17.65
2019-04-01,17.65
2019-04-02,17.65
2019-04-03,17.65
2019-04-04,17.65
2019-04-05,17.65
2019-04-06,17.65
2019-04-07,17.65
2019-04-08,17.65
2019-04-09,17.65
2019-04-10,17.65
2019-04-11,17.65
2019-04-12,17.65
2019-04-13,17.65
2019-04-14,17.65
2019-04-15,17.65
2019-04-16,17.65
2019-04-17,17.65
2019-04-18,17.65
2019-04-19,17.65
2019-04-20,17.65
2019-04-21,17.65
2019-04-22,17.65
2019-04-23,17.65
