,AMGN US Equity
,BEST_EPS_NXT_YR
2019-01-01,17.19
2019-01-02,17.02
2019-01-03,17.02
2019-01-04,17.02
2019-01-05,17.02
2019-01-06,17.02
2019-01-07,17.02
2019-01-08,17.02
2019-01-09,17.02
2019-01-10,17.02
2019-01-11,17.02
2019-01-12,17.02
2019-01-13,17.02
2019-01-14,17.02
2019-01-15,17.02
2019-01-16,17.02
2019-01-17,17.02
2019-01-18,17.02
2019-01-19,17.02
2019-01-20,17.02
2019-01-21,17.02
2019-01-22,17.02
2019-01-23,17.02
2019-01-24,17.02
2019-01-25,17.02
2019-01-26,17.02
2019-01-27,17.02
2019-01-28,17.123
2019-01-29,17.123
2019-01-30,16.79
2019-01-31,16.79
2019-02-01,16.79
2019-02-02,16.79
2019-02-03,16.79
2019-02-04,16.79
2019-02-05,16.79
2019-02-06,16.79
2019-02-07,16.96
2019-02-08,16.96
2019-02-09,16.96
2019-02-10,16.96
2019-02-11,16.96
2019-02-12,16.96
2019-02-13,16.96
2019-02-14,16.96
2019-02-15,16.96
2019-02-16,16.96
2019-02-17,16.96
2019-02-18,16.96
2019-02-19,16.96
2019-02-20,16.96
2019-02-21,16.96
2019-02-22,16.96
2019-02-23,16.96
2019-02-24,16.96
2019-02-25,16.96
2019-02-26,16.96
2019-02-27,16.96
2019-02-28,16.96
2019-03-01,16.96
2019-03-02,16.96
2019-03-03,16.96
2019-03-04,16.96
2019-03-05,16.96
2019-03-06,16.96
2019-03-07,16.96
2019-03-08,16.96
2019-03-09,16.96
2019-03-10,16.96
2019-03-11,16.96
2019-03-12,16.96
2019-03-13,16.96
2019-03-14,17.33
2019-03-15,17.33
2019-03-16,17.33
2019-03-17,17.33
2019-03-18,17.33
2019-03-19,17.33
2019-03-20,17.33
2019-03-21,17.33
2019-03-22,17.33
2019-03-23,17.33
2019-03-24,17.33
2019-03-25,17.33
2019-03-26,17.33
2019-03-27,17.33
2019-03-28,17.33
2019-03-29,17.33
2019-03-30,17.33
2019-03-31,17.33
2019-04-01,17.33
2019-04-02,17.33
2019-04-03,17.33
2019-04-04,17.33
2019-04-05,17.33
2019-04-06,17.33
2019-04-07,17.33
2019-04-08,17.33
2019-04-09,17.33
2019-04-10,17.342
2019-04-11,17.342
2019-04-12,17.342
2019-04-13,17.342
2019-04-14,17.342
2019-04-15,17.354
2019-04-16,17.354
2019-04-17,17.354
2019-04-18,17.318
2019-04-19,17.318
2019-04-20,17.318
2019-04-21,17.318
2019-04-22,17.318
2019-04-23,17.318
2019-04-24,17.316
2019-04-25,17.316
2019-04-26,17.316
2019-04-27,17.316
2019-04-28,17.316
2019-04-29,17.316
2019-04-30,17.354
2019-05-01,17.23
2019-05-02,17.23
2019-05-03,17.23
2019-05-04,17.23
2019-05-05,17.23
2019-05-06,17.23
2019-05-07,17.23
2019-05-08,17.23
2019-05-09,17.23
2019-05-10,17.23
2019-05-11,17.23
2019-05-12,17.23
2019-05-13,17.23
2019-05-14,17.23
2019-05-15,17.23
2019-05-16,17.23
2019-05-17,17.23
2019-05-18,17.23
2019-05-19,17.23
2019-05-20,17.23
2019-05-21,17.23
2019-05-22,17.23
2019-05-23,17.23
2019-05-24,17.23
2019-05-25,17.23
2019-05-26,17.23
2019-05-27,17.23
2019-05-28,17.23
2019-05-29,17.23
2019-05-30,17.23
2019-05-31,17.23
2019-06-01,17.23
2019-06-02,17.23
2019-06-03,17.23
2019-06-04,17.23
2019-06-05,17.23
2019-06-06,17.23
2019-06-07,17.23
2019-06-08,17.23
2019-06-09,17.23
2019-06-10,17.23
2019-06-11,17.23
2019-06-12,17.23
2019-06-13,17.23
2019-06-14,17.23
2019-06-15,17.23
2019-06-16,17.23
2019-06-17,17.23
2019-06-18,17.23
2019-06-19,17.23
2019-06-20,17.23
2019-06-21,17.23
2019-06-22,17.23
2019-06-23,17.23
2019-06-24,17.23
2019-06-25,17.23
2019-06-26,17.23
2019-06-27,17.23
2019-06-28,17.23
2019-06-29,17.23
2019-06-30,17.23
2019-07-01,17.23
2019-07-02,17.23
2019-07-03,17.23
2019-07-04,17.23
2019-07-05,17.23
2019-07-06,17.23
2019-07-07,17.23
2019-07-08,17.23
2019-07-09,17.23
2019-07-10,17.23
2019-07-11,17.22
2019-07-12,17.22
2019-07-13,17.22
2019-07-14,17.22
2019-07-15,17.22
2019-07-16,17.22
2019-07-17,17.22
2019-07-18,17.22
2019-07-19,17.22
2019-07-20,17.22
2019-07-21,17.22
2019-07-22,17.22
2019-07-23,17.322
2019-07-24,17.322
2019-07-25,17.322
2019-07-26,17.322
2019-07-27,17.322
2019-07-28,17.322
2019-07-29,17.322
2019-07-30,17.404
2019-07-31,17.27
2019-08-01,17.438
2019-08-02,17.438
2019-08-03,17.438
2019-08-04,17.438
2019-08-05,17.438
2019-08-06,17.438
2019-08-07,17.438
2019-08-08,17.438
2019-08-09,17.438
2019-08-10,17.438
2019-08-11,17.438
2019-08-12,17.438
2019-08-13,17.438
2019-08-14,17.438
2019-08-15,17.438
2019-08-16,17.438
2019-08-17,17.438
2019-08-18,17.438
2019-08-19,17.438
2019-08-20,17.438
2019-08-21,17.52
2019-08-22,17.52
2019-08-23,17.52
2019-08-24,17.52
2019-08-25,17.52
2019-08-26,18.538
2019-08-27,18.538
2019-08-28,18.538
2019-08-29,18.538
2019-08-30,18.538
2019-08-31,18.538
2019-09-01,18.538
2019-09-02,18.538
2019-09-03,18.538
2019-09-04,18.678
2019-09-05,18.678
2019-09-06,18.678
2019-09-07,18.678
2019-09-08,18.678
2019-09-09,18.678
2019-09-10,18.678
2019-09-11,18.678
2019-09-12,18.678
2019-09-13,18.678
2019-09-14,18.678
2019-09-15,18.678
2019-09-16,18.678
2019-09-17,18.678
2019-09-18,18.678
2019-09-19,18.678
2019-09-20,18.678
2019-09-21,18.678
2019-09-22,18.678
2019-09-23,18.678
2019-09-24,18.678
2019-09-25,18.678
2019-09-26,18.678
2019-09-27,18.678
2019-09-28,18.678
2019-09-29,18.678
2019-09-30,18.678
2019-10-01,18.678
2019-10-02,18.678
2019-10-03,18.678
2019-10-04,18.678
2019-10-05,18.678
2019-10-06,18.678
2019-10-07,18.678
2019-10-08,18.678
2019-10-09,18.678
2019-10-10,18.678
2019-10-11,18.678
2019-10-12,18.678
2019-10-13,18.678
2019-10-14,18.678
2019-10-15,18.735
2019-10-16,18.735
2019-10-17,18.735
2019-10-18,18.735
2019-10-19,18.735
2019-10-20,18.735
2019-10-21,18.735
2019-10-22,18.735
2019-10-23,18.735
2019-10-24,18.735
2019-10-25,18.735
2019-10-26,18.735
2019-10-27,18.735
2019-10-28,18.735
2019-10-29,19.018
2019-10-30,18.938
2019-10-31,18.938
2019-11-01,18.938
2019-11-02,18.938
2019-11-03,18.938
2019-11-04,18.938
2019-11-05,19.427
2019-11-06,19.427
2019-11-07,19.427
2019-11-08,19.427
2019-11-09,19.427
2019-11-10,19.427
2019-11-11,19.558
2019-11-12,19.558
2019-11-13,19.558
2019-11-14,19.558
2019-11-15,19.558
2019-11-16,19.558
2019-11-17,19.558
2019-11-18,19.558
2019-11-19,19.558
2019-11-20,19.558
2019-11-21,19.745
2019-11-22,19.745
2019-11-23,19.745
2019-11-24,19.745
2019-11-25,19.745
2019-11-26,19.745
2019-11-27,19.745
2019-11-28,19.745
2019-11-29,19.745
2019-11-30,19.745
2019-12-01,19.745
2019-12-02,19.745
2019-12-03,19.745
2019-12-04,19.745
2019-12-05,19.745
2019-12-06,19.745
2019-12-07,19.745
2019-12-08,19.745
2019-12-09,19.745
2019-12-10,19.745
2019-12-11,19.745
2019-12-12,19.745
2019-12-13,19.745
2019-12-14,19.745
2019-12-15,19.745
2019-12-16,19.745
2019-12-17,19.745
2019-12-18,19.745
2019-12-19,19.745
2019-12-20,19.745
2019-12-21,19.745
2019-12-22,19.745
2019-12-23,19.196
2019-12-24,19.196
2019-12-25,19.196
2019-12-26,19.196
2019-12-27,19.196
2019-12-28,19.196
2019-12-29,19.196
2019-12-30,19.196
2019-12-31,19.196
2020-01-01,19.196
2020-01-02,19.196
2020-01-03,19.196
2020-01-04,19.196
2020-01-05,19.196
2020-01-06,19.196
2020-01-07,19.196
2020-01-08,19.196
2020-01-09,19.83
2020-01-10,19.83
2020-01-11,19.83
2020-01-12,19.83
2020-01-13,19.83
2020-01-14,19.83
2020-01-15,19.83
2020-01-16,19.83
2020-01-17,19.83
2020-01-18,19.83
2020-01-19,19.83
2020-01-20,19.83
2020-01-21,19.83
2020-01-22,19.83
2020-01-23,19.83
2020-01-24,19.942
2020-01-25,19.942
2020-01-26,19.942
2020-01-27,19.942
2020-01-28,19.942
2020-01-29,21.418
2020-01-30,21.413
2020-01-31,22.219
2020-02-01,22.219
2020-02-02,22.219
2020-02-03,22.219
2020-02-04,22.219
2020-02-05,22.219
2020-02-06,22.219
2020-02-07,22.219
2020-02-08,22.219
2020-02-09,22.219
2020-02-10,22.386
2020-02-11,22.386
2020-02-12,22.386
2020-02-13,22.386
2020-02-14,22.386
2020-02-15,22.386
2020-02-16,22.386
2020-02-17,22.386
2020-02-18,22.34
2020-02-19,22.34
2020-02-20,22.34
2020-02-21,22.34
2020-02-22,22.34
2020-02-23,22.34
2020-02-24,22.34
2020-02-25,22.34
2020-02-26,22.34
2020-02-27,22.34
2020-02-28,22.34
2020-02-29,22.34
2020-03-01,22.34
2020-03-02,22.34
2020-03-03,22.34
2020-03-04,22.34
2020-03-05,22.34
2020-03-06,22.34
2020-03-07,22.34
2020-03-08,22.34
2020-03-09,22.34
2020-03-10,22.34
2020-03-11,22.34
2020-03-12,22.34
2020-03-13,22.34
2020-03-14,22.34
2020-03-15,22.34
2020-03-16,22.34
2020-03-17,22.34
2020-03-18,22.34
2020-03-19,22.34
2020-03-20,22.34
2020-03-21,22.34
2020-03-22,22.34
2020-03-23,22.34
2020-03-24,22.34
2020-03-25,22.34
2020-03-26,22.34
2020-03-27,22.34
2020-03-28,22.34
2020-03-29,22.47
2020-03-30,22.484
2020-03-31,22.484
2020-04-01,22.484
2020-04-02,22.484
2020-04-03,22.484
