,ZTS US Equity
,BEST_EPS_NXT_YR
2019-01-01,5.48
2019-01-02,5.48
2019-01-03,5.48
2019-01-04,5.48
2019-01-05,5.48
2019-01-06,5.48
2019-01-07,5.48
2019-01-08,5.48
2019-01-09,5.48
2019-01-10,5.48
2019-01-11,5.48
2019-01-12,5.48
2019-01-13,5.48
2019-01-14,5.48
2019-01-15,5.48
2019-01-16,5.48
2019-01-17,5.48
2019-01-18,5.48
2019-01-19,5.48
2019-01-20,5.48
2019-01-21,5.48
2019-01-22,5.48
2019-01-23,5.48
2019-01-24,5.48
2019-01-25,5.48
2019-01-26,5.48
2019-01-27,5.48
2019-01-28,5.48
2019-01-29,5.48
2019-01-30,5.48
2019-01-31,5.48
2019-02-01,5.48
2019-02-02,5.48
2019-02-03,5.48
2019-02-04,5.48
2019-02-05,5.48
2019-02-06,5.48
2019-02-07,5.48
2019-02-08,5.48
2019-02-09,5.48
2019-02-10,5.48
2019-02-11,5.48
2019-02-12,5.48
2019-02-13,5.48
2019-02-14,5.48
2019-02-15,5.48
2019-02-16,5.48
2019-02-17,5.48
2019-02-18,5.48
2019-02-19,5.48
2019-02-20,5.48
2019-02-21,5.48
2019-02-22,5.48
2019-02-23,5.48
2019-02-24,5.48
2019-02-25,5.48
2019-02-26,5.48
2019-02-27,5.48
2019-02-28,5.48
2019-03-01,5.48
2019-03-02,5.48
2019-03-03,5.48
2019-03-04,5.48
2019-03-05,5.48
2019-03-06,5.48
2019-03-07,5.48
2019-03-08,5.48
2019-03-09,5.48
2019-03-10,5.48
2019-03-11,5.48
2019-03-12,5.48
2019-03-13,5.48
2019-03-14,5.48
2019-03-15,5.48
2019-03-16,5.48
2019-03-17,5.48
2019-03-18,5.48
2019-03-19,5.48
2019-03-20,5.48
2019-03-21,5.48
2019-03-22,5.48
2019-03-23,5.48
2019-03-24,5.48
2019-03-25,5.48
2019-03-26,5.48
2019-03-27,5.48
2019-03-28,5.48
2019-03-29,5.48
2019-03-30,5.48
2019-03-31,5.48
2019-04-01,5.48
2019-04-02,5.48
2019-04-03,5.48
2019-04-04,5.48
2019-04-05,5.48
2019-04-06,5.48
2019-04-07,5.48
2019-04-08,5.48
2019-04-09,5.48
2019-04-10,5.48
2019-04-11,5.48
2019-04-12,5.48
2019-04-13,5.48
2019-04-14,5.48
2019-04-15,5.48
2019-04-16,5.48
2019-04-17,5.48
2019-04-18,5.48
2019-04-19,5.48
2019-04-20,5.48
2019-04-21,5.48
2019-04-22,5.48
2019-04-23,5.48
2019-04-24,5.48
2019-04-25,5.48
2019-04-26,5.48
2019-04-27,5.48
2019-04-28,5.48
2019-04-29,5.48
2019-04-30,5.48
2019-05-01,5.48
2019-05-02,5.48
2019-05-03,5.48
2019-05-04,5.48
2019-05-05,5.48
2019-05-06,5.48
2019-05-07,5.48
2019-05-08,6.47
2019-05-09,6.47
2019-05-10,6.47
2019-05-11,6.47
2019-05-12,6.47
2019-05-13,6.47
2019-05-14,6.47
2019-05-15,6.47
2019-05-16,6.47
2019-05-17,6.47
2019-05-18,6.47
2019-05-19,6.47
2019-05-20,6.47
2019-05-21,6.47
2019-05-22,6.47
2019-05-23,6.47
2019-05-24,6.47
2019-05-25,6.47
2019-05-26,6.47
2019-05-27,6.47
2019-05-28,6.47
2019-05-29,6.47
2019-05-30,6.47
2019-05-31,6.47
2019-06-01,6.47
2019-06-02,6.47
2019-06-03,6.47
2019-06-04,6.47
2019-06-05,6.47
2019-06-06,6.47
2019-06-07,6.47
2019-06-08,6.47
2019-06-09,6.47
2019-06-10,6.47
2019-06-11,6.47
2019-06-12,6.47
2019-06-13,6.47
2019-06-14,6.47
2019-06-15,6.47
2019-06-16,6.47
2019-06-17,6.47
2019-06-18,6.47
2019-06-19,6.47
2019-06-20,6.47
2019-06-21,6.47
2019-06-22,6.47
2019-06-23,6.47
2019-06-24,6.47
2019-06-25,6.47
2019-06-26,6.47
2019-06-27,6.47
2019-06-28,6.47
2019-06-29,6.47
2019-06-30,6.47
2019-07-01,6.47
2019-07-02,6.47
2019-07-03,6.47
2019-07-04,6.47
2019-07-05,6.47
2019-07-06,6.47
2019-07-07,6.47
2019-07-08,6.47
2019-07-09,6.47
2019-07-10,6.47
2019-07-11,6.47
2019-07-12,6.47
2019-07-13,6.47
