,EXEL US Equity
,BEST_EPS_NXT_YR
2019-01-01,2.73
2019-01-02,2.73
2019-01-03,2.865
2019-01-04,2.865
2019-01-05,2.865
2019-01-06,2.865
2019-01-07,2.865
2019-01-08,2.865
2019-01-09,2.865
2019-01-10,2.865
2019-01-11,2.865
2019-01-12,2.865
2019-01-13,2.865
2019-01-14,2.865
2019-01-15,2.865
2019-01-16,2.865
2019-01-17,2.865
2019-01-18,2.865
2019-01-19,2.865
2019-01-20,2.865
2019-01-21,2.865
2019-01-22,2.865
2019-01-23,2.865
2019-01-24,2.865
2019-01-25,2.865
2019-01-26,2.865
2019-01-27,2.865
2019-01-28,2.84
2019-01-29,2.84
2019-01-30,2.84
2019-01-31,2.84
2019-02-01,2.84
2019-02-02,2.84
2019-02-03,2.84
2019-02-04,2.84
2019-02-05,2.84
2019-02-06,2.84
2019-02-07,2.84
2019-02-08,2.84
2019-02-09,2.84
2019-02-10,2.84
2019-02-11,2.84
2019-02-12,2.84
2019-02-13,4.293
2019-02-14,4.293
2019-02-15,4.293
2019-02-16,4.293
2019-02-17,4.293
2019-02-18,4.293
2019-02-19,4.293
2019-02-20,4.293
2019-02-21,4.208
2019-02-22,4.208
2019-02-23,4.208
2019-02-24,4.208
2019-02-25,4.208
2019-02-26,4.208
2019-02-27,4.208
2019-02-28,4.208
2019-03-01,4.208
2019-03-02,4.208
2019-03-03,4.215
2019-03-04,4.215
2019-03-05,4.215
2019-03-06,4.215
2019-03-07,4.215
2019-03-08,4.215
2019-03-09,4.215
2019-03-10,4.215
2019-03-11,4.215
2019-03-12,4.215
2019-03-13,4.215
2019-03-14,4.215
2019-03-15,4.215
2019-03-16,4.215
2019-03-17,4.215
2019-03-18,4.215
2019-03-19,4.215
2019-03-20,4.215
2019-03-21,4.215
2019-03-22,4.215
2019-03-23,4.215
2019-03-24,4.215
2019-03-25,4.215
2019-03-26,4.215
2019-03-27,4.215
2019-03-28,4.215
2019-03-29,4.215
2019-03-30,4.215
2019-03-31,4.215
2019-04-01,4.215
2019-04-02,4.215
2019-04-03,4.215
2019-04-04,4.215
2019-04-05,4.215
2019-04-06,4.215
2019-04-07,4.215
2019-04-08,4.567
2019-04-09,4.567
2019-04-10,4.567
2019-04-11,4.567
2019-04-12,4.567
2019-04-13,4.567
2019-04-14,4.567
2019-04-15,4.567
2019-04-16,4.567
2019-04-17,4.567
2019-04-18,4.567
2019-04-19,4.567
2019-04-20,4.567
2019-04-21,4.567
2019-04-22,4.567
2019-04-23,4.567
2019-04-24,3.36
2019-04-25,3.36
2019-04-26,3.36
2019-04-27,3.36
2019-04-28,3.36
2019-04-29,3.36
2019-04-30,3.36
2019-05-01,3.373
2019-05-02,3.315
2019-05-03,3.315
2019-05-04,3.315
2019-05-05,3.315
2019-05-06,3.315
2019-05-07,3.315
2019-05-08,3.315
2019-05-09,3.315
2019-05-10,3.315
2019-05-11,3.315
2019-05-12,3.315
2019-05-13,3.315
2019-05-14,3.315
2019-05-15,3.315
2019-05-16,3.315
2019-05-17,3.315
2019-05-18,3.315
2019-05-19,3.315
2019-05-20,3.315
2019-05-21,3.315
2019-05-22,3.315
2019-05-23,3.315
2019-05-24,3.315
2019-05-25,3.315
2019-05-26,3.315
2019-05-27,3.315
2019-05-28,3.315
2019-05-29,3.315
2019-05-30,3.315
2019-05-31,3.315
2019-06-01,3.315
2019-06-02,3.315
2019-06-03,3.315
2019-06-04,3.315
2019-06-05,3.315
2019-06-06,3.315
2019-06-07,3.315
2019-06-08,3.315
2019-06-09,3.315
2019-06-10,3.315
2019-06-11,3.315
2019-06-12,3.315
2019-06-13,3.315
2019-06-14,3.315
2019-06-15,3.315
2019-06-16,3.315
2019-06-17,3.315
2019-06-18,3.315
2019-06-19,3.315
2019-06-20,3.315
2019-06-21,3.315
2019-06-22,3.315
2019-06-23,3.315
2019-06-24,3.315
2019-06-25,3.315
2019-06-26,3.315
2019-06-27,3.315
2019-06-28,3.315
2019-06-29,3.315
2019-06-30,3.315
2019-07-01,3.315
2019-07-02,3.315
2019-07-03,3.315
2019-07-04,3.315
2019-07-05,3.315
2019-07-06,3.315
2019-07-07,3.315
2019-07-08,3.315
2019-07-09,3.315
2019-07-10,3.315
2019-07-11,3.315
2019-07-12,3.315
2019-07-13,3.315
2019-07-14,3.315
2019-07-15,3.11
2019-07-16,3.11
2019-07-17,3.11
2019-07-18,3.11
2019-07-19,3.11
2019-07-20,3.11
2019-07-21,3.11
2019-07-22,3.11
2019-07-23,3.11
2019-07-24,3.11
2019-07-25,3.11
2019-07-26,3.11
2019-07-27,3.11
2019-07-28,3.11
2019-07-29,3.11
2019-07-30,3.11
2019-07-31,3.107
2019-08-01,2.94
2019-08-02,2.94
2019-08-03,2.94
2019-08-04,2.94
2019-08-05,2.94
2019-08-06,2.94
2019-08-07,2.94
2019-08-08,2.94
2019-08-09,2.94
2019-08-10,2.94
2019-08-11,2.94
2019-08-12,2.94
2019-08-13,2.94
2019-08-14,2.94
2019-08-15,2.94
2019-08-16,2.94
2019-08-17,2.94
2019-08-18,2.94
2019-08-19,2.94
2019-08-20,2.94
2019-08-21,2.94
2019-08-22,2.94
2019-08-23,2.94
2019-08-24,2.94
2019-08-25,2.94
2019-08-26,2.94
2019-08-27,2.94
2019-08-28,2.94
2019-08-29,2.94
2019-08-30,2.94
2019-08-31,2.94
2019-09-01,2.94
2019-09-02,2.94
2019-09-03,2.94
2019-09-04,2.94
2019-09-05,2.94
2019-09-06,2.94
2019-09-07,2.94
2019-09-08,2.94
2019-09-09,2.94
2019-09-10,2.94
2019-09-11,2.94
2019-09-12,2.94
2019-09-13,2.94
2019-09-14,2.94
2019-09-15,2.94
2019-09-16,2.94
2019-09-17,2.94
2019-09-18,2.94
2019-09-19,2.94
2019-09-20,2.94
2019-09-21,2.94
2019-09-22,2.94
2019-09-23,2.94
2019-09-24,2.94
2019-09-25,2.94
2019-09-26,2.94
2019-09-27,2.94
2019-09-28,2.94
2019-09-29,2.94
2019-09-30,2.94
2019-10-01,2.94
2019-10-02,2.94
2019-10-03,2.94
2019-10-04,2.94
2019-10-05,2.94
2019-10-06,2.94
2019-10-07,2.94
2019-10-08,2.907
2019-10-09,2.907
2019-10-10,2.907
2019-10-11,2.717
2019-10-12,2.717
2019-10-13,2.717
2019-10-14,2.717
2019-10-15,2.405
2019-10-16,2.405
2019-10-17,2.405
2019-10-18,2.405
2019-10-19,2.405
2019-10-20,2.405
2019-10-21,2.405
2019-10-22,2.405
2019-10-23,2.405
2019-10-24,2.405
2019-10-25,2.405
2019-10-26,2.405
2019-10-27,2.405
2019-10-28,2.405
2019-10-29,2.405
2019-10-30,2.405
2019-10-31,2.405
2019-11-01,2.405
2019-11-02,2.405
2019-11-03,2.405
2019-11-04,2.405
2019-11-05,2.405
2019-11-06,2.405
2019-11-07,2.405
2019-11-08,2.405
2019-11-09,2.405
2019-11-10,2.405
2019-11-11,2.405
2019-11-12,2.405
2019-11-13,2.405
2019-11-14,2.405
2019-11-15,2.405
2019-11-16,2.405
2019-11-17,2.405
2019-11-18,2.405
2019-11-19,2.405
2019-11-20,2.405
2019-11-21,2.405
2019-11-22,2.405
2019-11-23,2.405
2019-11-24,2.405
2019-11-25,2.405
2019-11-26,2.405
2019-11-27,2.405
2019-11-28,2.405
2019-11-29,2.405
2019-11-30,2.405
2019-12-01,2.405
2019-12-02,2.405
2019-12-03,2.405
2019-12-04,2.405
2019-12-05,2.405
2019-12-06,2.405
2019-12-07,2.405
2019-12-08,2.405
2019-12-09,2.405
2019-12-10,2.405
2019-12-11,2.405
2019-12-12,2.405
2019-12-13,2.405
2019-12-14,2.405
2019-12-15,2.405
2019-12-16,2.405
2019-12-17,2.405
2019-12-18,2.405
2019-12-19,2.405
2019-12-20,2.405
2019-12-21,2.405
2019-12-22,2.405
2019-12-23,2.405
2019-12-24,2.405
2019-12-25,2.405
2019-12-26,2.405
2019-12-27,2.405
2019-12-28,2.405
2019-12-29,2.405
2019-12-30,2.405
2019-12-31,2.405
2020-01-01,2.405
2020-01-02,2.405
2020-01-03,2.405
2020-01-04,2.405
2020-01-05,2.405
2020-01-06,2.405
2020-01-07,2.405
