,EBAY US Equity
,BEST_EPS_NXT_YR
2019-01-01,4.23
2019-01-02,4.23
2019-01-03,4.23
2019-01-04,4.23
2019-01-05,4.23
2019-01-06,4.23
2019-01-07,4.23
2019-01-08,4.23
2019-01-09,4.23
2019-01-10,4.23
2019-01-11,4.23
2019-01-12,4.23
2019-01-13,4.23
2019-01-14,4.23
2019-01-15,4.23
2019-01-16,4.23
2019-01-17,4.23
2019-01-18,4.23
2019-01-19,4.23
2019-01-20,4.23
2019-01-21,4.23
2019-01-22,4.23
2019-01-23,4.27
2019-01-24,4.27
2019-01-25,4.27
2019-01-26,4.27
2019-01-27,4.27
2019-01-28,4.27
2019-01-29,4.27
2019-01-30,3.83
2019-01-31,3.83
2019-02-01,3.83
2019-02-02,3.83
2019-02-03,3.83
2019-02-04,3.83
2019-02-05,3.83
2019-02-06,3.83
2019-02-07,3.83
2019-02-08,3.83
2019-02-09,3.83
2019-02-10,3.83
2019-02-11,3.83
2019-02-12,3.83
2019-02-13,3.83
2019-02-14,3.83
2019-02-15,3.83
2019-02-16,3.83
2019-02-17,3.83
2019-02-18,3.83
2019-02-19,3.83
2019-02-20,3.83
2019-02-21,3.83
2019-02-22,3.83
2019-02-23,3.83
2019-02-24,3.83
2019-02-25,3.83
2019-02-26,3.83
2019-02-27,3.83
2019-02-28,3.83
2019-03-01,3.83
2019-03-02,3.83
2019-03-03,3.83
2019-03-04,4.16
2019-03-05,4.16
2019-03-06,4.16
2019-03-07,4.16
2019-03-08,4.16
2019-03-09,4.16
2019-03-10,4.16
2019-03-11,4.16
2019-03-12,4.16
2019-03-13,4.16
2019-03-14,4.16
2019-03-15,4.16
2019-03-16,4.16
2019-03-17,4.16
2019-03-18,4.16
2019-03-19,4.16
2019-03-20,4.16
2019-03-21,4.16
2019-03-22,4.16
2019-03-23,4.16
2019-03-24,4.16
2019-03-25,4.16
2019-03-26,4.16
2019-03-27,4.16
2019-03-28,4.16
2019-03-29,4.16
2019-03-30,4.16
2019-03-31,4.16
2019-04-01,4.16
2019-04-02,4.16
2019-04-03,4.16
2019-04-04,4.16
2019-04-05,4.16
2019-04-06,4.16
2019-04-07,4.16
2019-04-08,4.16
2019-04-09,4.16
2019-04-10,4.16
2019-04-11,4.16
2019-04-12,4.16
2019-04-13,4.16
2019-04-14,4.16
2019-04-15,4.16
2019-04-16,4.16
2019-04-17,4.16
2019-04-18,4.16
2019-04-19,4.16
2019-04-20,4.16
2019-04-21,4.16
2019-04-22,4.16
2019-04-23,4.16
2019-04-24,4.43
2019-04-25,4.43
2019-04-26,4.43
2019-04-27,4.43
2019-04-28,4.43
2019-04-29,4.43
2019-04-30,4.43
2019-05-01,4.43
2019-05-02,4.43
2019-05-03,4.43
2019-05-04,4.43
2019-05-05,4.43
2019-05-06,4.43
2019-05-07,4.43
2019-05-08,4.43
2019-05-09,4.43
2019-05-10,4.43
2019-05-11,4.43
2019-05-12,4.43
2019-05-13,4.43
2019-05-14,4.43
2019-05-15,4.43
2019-05-16,4.43
2019-05-17,4.43
2019-05-18,4.43
2019-05-19,4.43
2019-05-20,4.43
2019-05-21,4.43
2019-05-22,4.43
2019-05-23,4.43
2019-05-24,4.43
2019-05-25,4.43
2019-05-26,4.43
2019-05-27,4.43
2019-05-28,4.43
2019-05-29,4.43
2019-05-30,4.43
2019-05-31,4.43
2019-06-01,4.43
2019-06-02,4.43
2019-06-03,4.43
2019-06-04,4.43
2019-06-05,4.43
2019-06-06,4.43
2019-06-07,4.43
2019-06-08,4.43
2019-06-09,4.43
2019-06-10,4.43
2019-06-11,4.43
2019-06-12,4.43
2019-06-13,4.43
2019-06-14,4.43
2019-06-15,4.43
2019-06-16,4.43
2019-06-17,4.43
2019-06-18,4.43
2019-06-19,4.43
2019-06-20,4.43
2019-06-21,4.43
2019-06-22,4.43
2019-06-23,4.43
2019-06-24,4.43
2019-06-25,4.43
2019-06-26,4.43
2019-06-27,4.43
2019-06-28,4.43
2019-06-29,4.43
2019-06-30,4.43
2019-07-01,4.43
2019-07-02,4.43
2019-07-03,4.43
2019-07-04,4.43
2019-07-05,4.43
2019-07-06,4.43
2019-07-07,4.43
2019-07-08,4.43
2019-07-09,4.43
2019-07-10,4.43
2019-07-11,4.43
2019-07-12,4.43
2019-07-13,4.43
2019-07-14,4.43
2019-07-15,4.43
2019-07-16,4.43
2019-07-17,4.43
2019-07-18,4.675
2019-07-19,4.675
2019-07-20,4.675
2019-07-21,4.675
2019-07-22,4.675
2019-07-23,4.675
2019-07-24,4.675
2019-07-25,4.67
2019-07-26,4.67
2019-07-27,4.67
2019-07-28,4.67
2019-07-29,4.67
2019-07-30,4.67
2019-07-31,4.67
2019-08-01,4.67
2019-08-02,4.67
2019-08-03,4.67
2019-08-04,4.67
2019-08-05,4.67
2019-08-06,4.67
2019-08-07,4.67
2019-08-08,4.67
2019-08-09,4.67
2019-08-10,4.67
2019-08-11,4.67
2019-08-12,4.67
2019-08-13,4.67
2019-08-14,4.67
2019-08-15,4.67
2019-08-16,4.67
2019-08-17,4.67
2019-08-18,4.67
2019-08-19,4.67
2019-08-20,4.67
2019-08-21,4.67
2019-08-22,4.67
2019-08-23,4.67
2019-08-24,4.67
2019-08-25,4.67
2019-08-26,4.67
2019-08-27,4.67
2019-08-28,4.67
2019-08-29,4.67
2019-08-30,4.67
2019-08-31,4.67
2019-09-01,4.67
2019-09-02,4.67
2019-09-03,4.67
2019-09-04,4.67
2019-09-05,4.67
2019-09-06,4.67
2019-09-07,4.67
2019-09-08,4.67
2019-09-09,4.67
2019-09-10,4.67
2019-09-11,4.67
2019-09-12,4.67
2019-09-13,4.67
2019-09-14,4.67
2019-09-15,4.67
2019-09-16,4.67
2019-09-17,4.67
2019-09-18,4.67
2019-09-19,4.67
2019-09-20,4.67
2019-09-21,4.67
2019-09-22,4.67
2019-09-23,4.67
2019-09-24,4.67
2019-09-25,4.67
2019-09-26,4.67
2019-09-27,4.67
2019-09-28,4.67
2019-09-29,4.67
2019-09-30,4.67
2019-10-01,4.67
2019-10-02,4.67
2019-10-03,4.67
2019-10-04,4.67
2019-10-05,4.67
2019-10-06,4.67
2019-10-07,4.67
2019-10-08,4.67
2019-10-09,4.67
2019-10-10,4.67
2019-10-11,4.67
2019-10-12,4.67
2019-10-13,4.67
2019-10-14,4.67
2019-10-15,4.67
2019-10-16,4.67
2019-10-17,4.67
2019-10-18,4.67
2019-10-19,4.67
2019-10-20,4.67
2019-10-21,4.73
2019-10-22,4.73
2019-10-23,5.19
2019-10-24,5.077
2019-10-25,5.077
2019-10-26,5.077
2019-10-27,5.077
2019-10-28,5.077
2019-10-29,5.077
2019-10-30,5.077
2019-10-31,5.077
2019-11-01,5.077
2019-11-02,5.077
2019-11-03,5.077
2019-11-04,5.077
2019-11-05,5.077
2019-11-06,5.077
2019-11-07,5.077
2019-11-08,5.077
2019-11-09,5.077
2019-11-10,5.077
2019-11-11,5.077
2019-11-12,5.077
2019-11-13,5.077
2019-11-14,5.077
2019-11-15,5.077
2019-11-16,5.077
2019-11-17,5.077
2019-11-18,5.077
2019-11-19,5.077
2019-11-20,5.077
2019-11-21,5.077
2019-11-22,5.077
2019-11-23,5.077
2019-11-24,5.077
2019-11-25,5.077
2019-11-26,5.077
2019-11-27,5.077
2019-11-28,5.077
2019-11-29,5.077
2019-11-30,5.077
2019-12-01,5.077
2019-12-02,5.077
2019-12-03,5.077
2019-12-04,5.077
2019-12-05,5.077
2019-12-06,5.077
2019-12-07,5.077
2019-12-08,5.077
2019-12-09,5.077
2019-12-10,5.077
2019-12-11,5.077
2019-12-12,5.077
2019-12-13,5.077
2019-12-14,5.077
2019-12-15,5.077
2019-12-16,5.077
2019-12-17,5.077
2019-12-18,5.077
2019-12-19,5.077
2019-12-20,5.077
2019-12-21,5.077
2019-12-22,5.077
2019-12-23,5.077
2019-12-24,5.077
2019-12-25,5.077
2019-12-26,5.077
2019-12-27,5.077
2019-12-28,5.077
2019-12-29,5.077
2019-12-30,5.077
2019-12-31,5.077
2020-01-01,5.077
2020-01-02,5.077
2020-01-03,5.077
2020-01-04,5.077
2020-01-05,5.077
2020-01-06,5.077
2020-01-07,5.077
2020-01-08,5.077
2020-01-09,5.077
2020-01-10,5.077
2020-01-11,5.077
2020-01-12,5.077
2020-01-13,5.077
2020-01-14,5.077
2020-01-15,5.077
2020-01-16,5.077
2020-01-17,5.077
2020-01-18,5.077
2020-01-19,5.077
2020-01-20,5.077
2020-01-21,5.077
2020-01-22,5.077
2020-01-23,5.077
2020-01-24,5.077
2020-01-25,5.077
2020-01-26,5.077
2020-01-27,4.68
2020-01-28,4.973
2020-01-29,5.01
2020-01-30,5.01
2020-01-31,5.01
2020-02-01,5.01
2020-02-02,5.01
2020-02-03,5.01
2020-02-04,5.01
2020-02-05,5.01
2020-02-06,5.01
2020-02-07,5.01
2020-02-08,5.01
2020-02-09,5.01
2020-02-10,5.01
2020-02-11,5.455
2020-02-12,5.455
2020-02-13,5.455
2020-02-14,5.945
2020-02-15,5.945
2020-02-16,5.945
2020-02-17,5.945
2020-02-18,5.945
2020-02-19,5.945
2020-02-20,5.945
2020-02-21,5.945
2020-02-22,5.945
2020-02-23,5.945
2020-02-24,5.945
2020-02-25,5.945
2020-02-26,5.945
2020-02-27,5.945
2020-02-28,5.945
2020-02-29,5.945
2020-03-01,5.945
2020-03-02,5.945
2020-03-03,5.945
2020-03-04,5.945
2020-03-05,5.945
2020-03-06,5.945
2020-03-07,5.945
2020-03-08,5.945
2020-03-09,5.945
2020-03-10,5.945
2020-03-11,5.945
2020-03-12,5.945
2020-03-13,5.945
2020-03-14,5.945
2020-03-15,5.945
2020-03-16,5.945
2020-03-17,5.945
2020-03-18,5.945
2020-03-19,5.945
2020-03-20,5.945
2020-03-21,5.945
2020-03-22,5.945
2020-03-23,5.945
2020-03-24,5.945
2020-03-25,5.945
2020-03-26,5.945
2020-03-27,5.945
2020-03-28,5.945
2020-03-29,5.945
2020-03-30,5.945
2020-03-31,5.945
2020-04-01,5.945
2020-04-02,5.945
2020-04-03,5.945
2020-04-04,5.945
2020-04-05,5.945
2020-04-06,5.945
2020-04-07,5.945
2020-04-08,5.945
2020-04-09,5.945
2020-04-10,5.945
2020-04-11,5.945
2020-04-12,5.945
2020-04-13,5.337
2020-04-14,5.337
2020-04-15,5.337
2020-04-16,5.337
2020-04-17,5.337
2020-04-18,5.337
2020-04-19,5.337
2020-04-20,5.337
2020-04-21,5.337
2020-04-22,5.19
2020-04-23,5.19
2020-04-24,5.19
2020-04-25,5.19
2020-04-26,5.527
2020-04-27,5.168
2020-04-28,5.113
2020-04-29,5.113
2020-04-30,4.438
2020-05-01,4.438
2020-05-02,4.438
2020-05-03,4.438
2020-05-04,4.438
2020-05-05,4.438
2020-05-06,4.438
2020-05-07,4.438
2020-05-08,4.438
2020-05-09,4.438
2020-05-10,4.438
2020-05-11,4.438
2020-05-12,4.438
2020-05-13,4.438
2020-05-14,4.438
2020-05-15,4.438
2020-05-16,4.438
2020-05-17,4.438
2020-05-18,4.438
2020-05-19,4.438
2020-05-20,4.438
2020-05-21,4.438
2020-05-22,4.438
2020-05-23,4.438
2020-05-24,4.438
2020-05-25,4.438
2020-05-26,4.438
2020-05-27,4.438
2020-05-28,4.438
2020-05-29,4.438
2020-05-30,4.438
2020-05-31,4.438
2020-06-01,4.438
2020-06-02,4.438
2020-06-03,4.438
2020-06-04,4.823
2020-06-05,5.336
2020-06-06,5.336
2020-06-07,5.336
2020-06-08,5.336
2020-06-09,5.336
2020-06-10,5.336
2020-06-11,5.336
2020-06-12,5.336
2020-06-13,5.336
2020-06-14,5.336
2020-06-15,5.336
2020-06-16,5.336
2020-06-17,5.336
2020-06-18,5.336
2020-06-19,5.336
2020-06-20,5.336
2020-06-21,5.336
2020-06-22,5.336
2020-06-23,5.336
2020-06-24,5.336
2020-06-25,5.266
2020-06-26,5.266
2020-06-27,5.266
2020-06-28,5.266
