,PFE US Equity
,BEST_EPS_NXT_YR
2019-01-01,4.628
2019-01-02,4.628
2019-01-03,4.628
2019-01-04,4.628
2019-01-05,4.628
2019-01-06,4.628
2019-01-07,4.628
2019-01-08,4.628
2019-01-09,4.628
2019-01-10,4.628
2019-01-11,4.628
2019-01-12,4.628
2019-01-13,4.628
2019-01-14,4.628
2019-01-15,4.628
2019-01-16,4.628
2019-01-17,4.628
2019-01-18,4.628
2019-01-19,4.628
2019-01-20,4.628
2019-01-21,4.628
2019-01-22,4.628
2019-01-23,4.615
2019-01-24,4.615
2019-01-25,4.615
2019-01-26,4.615
2019-01-27,4.615
2019-01-28,4.615
2019-01-29,4.615
2019-01-30,4.615
2019-01-31,4.54
2019-02-01,4.54
2019-02-02,4.54
2019-02-03,4.54
2019-02-04,4.54
2019-02-05,4.54
2019-02-06,4.54
2019-02-07,4.54
2019-02-08,4.54
2019-02-09,4.54
2019-02-10,4.54
2019-02-11,4.54
2019-02-12,4.54
2019-02-13,4.54
2019-02-14,4.54
2019-02-15,4.54
2019-02-16,4.54
2019-02-17,4.54
2019-02-18,4.54
2019-02-19,4.54
2019-02-20,4.54
2019-02-21,4.54
2019-02-22,4.54
2019-02-23,4.54
2019-02-24,4.54
2019-02-25,4.54
2019-02-26,4.54
2019-02-27,4.54
2019-02-28,4.54
2019-03-01,4.54
2019-03-02,4.54
2019-03-03,4.54
2019-03-04,4.54
2019-03-05,4.54
2019-03-06,4.54
2019-03-07,4.54
2019-03-08,4.54
2019-03-09,4.54
2019-03-10,4.54
2019-03-11,4.54
2019-03-12,4.54
2019-03-13,4.54
2019-03-14,4.54
2019-03-15,4.54
2019-03-16,4.54
2019-03-17,4.54
2019-03-18,4.54
2019-03-19,4.54
2019-03-20,4.54
2019-03-21,4.54
2019-03-22,4.54
2019-03-23,4.54
2019-03-24,4.54
2019-03-25,4.54
2019-03-26,4.54
2019-03-27,4.54
2019-03-28,4.54
2019-03-29,4.54
2019-03-30,4.54
2019-03-31,4.54
2019-04-01,4.54
2019-04-02,4.54
2019-04-03,4.54
2019-04-04,4.54
2019-04-05,4.54
2019-04-06,4.54
2019-04-07,4.54
2019-04-08,4.54
2019-04-09,4.54
2019-04-10,4.54
2019-04-11,4.54
2019-04-12,4.54
2019-04-13,4.54
2019-04-14,4.54
2019-04-15,4.54
2019-04-16,4.575
2019-04-17,4.575
2019-04-18,4.575
2019-04-19,4.575
2019-04-20,4.575
2019-04-21,4.575
2019-04-22,4.575
2019-04-23,4.575
2019-04-24,4.493
2019-04-25,4.493
2019-04-26,4.493
2019-04-27,4.493
2019-04-28,4.493
2019-04-29,4.493
2019-04-30,4.493
2019-05-01,4.485
2019-05-02,4.475
2019-05-03,4.475
2019-05-04,4.475
2019-05-05,4.475
2019-05-06,4.475
2019-05-07,4.475
2019-05-08,4.475
2019-05-09,4.475
2019-05-10,4.475
2019-05-11,4.475
2019-05-12,4.475
2019-05-13,4.475
2019-05-14,4.475
2019-05-15,4.475
