,1981718D US Equity
,BEST_EPS_NXT_YR
2019-01-01,4.809
2019-01-02,4.809
2019-01-03,4.809
2019-01-04,4.74
2019-01-05,4.74
2019-01-06,4.74
2019-01-07,4.687
2019-01-08,4.67
2019-01-09,4.67
2019-01-10,4.632
2019-01-11,4.632
2019-01-12,4.632
2019-01-13,4.632
2019-01-14,4.604
2019-01-15,4.554
2019-01-16,4.559
2019-01-17,4.559
2019-01-18,4.559
2019-01-19,4.559
2019-01-20,4.559
2019-01-21,4.559
2019-01-22,4.559
2019-01-23,4.66
2019-01-24,4.664
2019-01-25,4.684
2019-01-26,4.684
2019-01-27,4.684
2019-01-28,4.684
2019-01-29,4.747
2019-01-30,4.747
2019-01-31,4.747
2019-02-01,4.747
2019-02-02,4.747
2019-02-03,4.747
2019-02-04,4.747
2019-02-05,4.747
2019-02-06,4.747
2019-02-07,4.747
2019-02-08,4.747
2019-02-09,4.747
2019-02-10,4.747
2019-02-11,4.747
2019-02-12,4.747
2019-02-13,4.747
2019-02-14,4.74
2019-02-15,4.752
2019-02-16,4.752
2019-02-17,4.752
2019-02-18,4.752
2019-02-19,4.752
2019-02-20,4.752
2019-02-21,4.752
2019-02-22,4.752
2019-02-23,4.752
2019-02-24,4.752
2019-02-25,4.752
2019-02-26,4.752
2019-02-27,4.752
2019-02-28,4.752
2019-03-01,4.752
2019-03-02,4.752
2019-03-03,4.752
2019-03-04,4.752
2019-03-05,4.752
2019-03-06,4.752
2019-03-07,4.752
2019-03-08,4.752
2019-03-09,4.752
2019-03-10,4.752
2019-03-11,4.752
2019-03-12,4.752
2019-03-13,4.752
2019-03-14,4.756
2019-03-15,4.756
2019-03-16,4.756
2019-03-17,4.756
2019-03-18,4.756
2019-03-19,4.756
2019-03-20,4.756
2019-03-21,4.756
2019-03-22,4.756
2019-03-23,4.756
2019-03-24,4.756
2019-03-25,4.756
2019-03-26,4.756
2019-03-27,4.756
2019-03-28,4.756
2019-03-29,4.75
2019-03-30,4.75
2019-03-31,4.75
2019-04-01,4.693
2019-04-02,4.693
2019-04-03,4.689
2019-04-04,4.689
2019-04-05,4.551
2019-04-06,4.551
2019-04-07,4.551
2019-04-08,4.553
2019-04-09,4.553
2019-04-10,4.553
2019-04-11,4.513
2019-04-12,4.513
2019-04-13,4.513
2019-04-14,4.513
2019-04-15,4.513
2019-04-16,4.496
2019-04-17,4.496
2019-04-18,4.496
2019-04-19,4.496
2019-04-20,4.496
2019-04-21,4.496
2019-04-22,4.496
2019-04-23,4.496
2019-04-24,4.503
2019-04-25,4.493
2019-04-26,4.493
2019-04-27,4.493
2019-04-28,4.493
2019-04-29,4.493
2019-04-30,4.493
2019-05-01,4.493
2019-05-02,4.493
2019-05-03,4.493
2019-05-04,4.493
2019-05-05,4.493
2019-05-06,4.493
2019-05-07,4.493
2019-05-08,4.493
2019-05-09,4.499
2019-05-10,4.499
2019-05-11,4.499
2019-05-12,4.499
2019-05-13,4.499
2019-05-14,4.501
2019-05-15,4.501
2019-05-16,4.501
2019-05-17,4.501
2019-05-18,4.501
