,GRA US Equity
,BEST_EPS_NXT_YR
2019-01-01,6.8
2019-01-02,6.8
2019-01-03,6.8
2019-01-04,6.8
2019-01-05,6.8
2019-01-06,6.8
2019-01-07,6.8
2019-01-08,6.8
2019-01-09,6.8
2019-01-10,6.8
2019-01-11,6.8
2019-01-12,6.8
2019-01-13,6.8
2019-01-14,6.8
2019-01-15,6.8
2019-01-16,6.8
2019-01-17,6.8
2019-01-18,6.8
2019-01-19,6.8
2019-01-20,6.8
2019-01-21,6.8
2019-01-22,6.8
2019-01-23,6.8
2019-01-24,6.8
2019-01-25,6.8
2019-01-26,6.8
2019-01-27,6.8
2019-01-28,6.8
2019-01-29,6.8
2019-01-30,6.8
2019-01-31,6.8
2019-02-01,6.8
2019-02-02,6.8
2019-02-03,6.8
2019-02-04,6.8
2019-02-05,6.8
2019-02-06,6.8
2019-02-07,6.8
2019-02-08,6.8
2019-02-09,6.8
2019-02-10,6.8
2019-02-11,6.35
2019-02-12,6.35
2019-02-13,6.35
2019-02-14,6.35
2019-02-15,6.35
2019-02-16,6.35
2019-02-17,6.35
2019-02-18,6.35
2019-02-19,6.35
2019-02-20,6.35
2019-02-21,6.35
2019-02-22,6.35
2019-02-23,6.35
2019-02-24,6.35
2019-02-25,6.35
2019-02-26,6.35
2019-02-27,6.35
2019-02-28,6.35
2019-03-01,6.35
2019-03-02,6.35
2019-03-03,6.35
2019-03-04,6.35
2019-03-05,6.35
2019-03-06,6.35
2019-03-07,6.35
2019-03-08,6.35
2019-03-09,6.35
2019-03-10,6.35
2019-03-11,6.35
2019-03-12,6.35
2019-03-13,6.35
2019-03-14,6.35
2019-03-15,6.35
2019-03-16,6.35
2019-03-17,6.35
2019-03-18,6.35
2019-03-19,6.35
2019-03-20,6.35
2019-03-21,6.35
2019-03-22,6.35
2019-03-23,6.35
2019-03-24,6.35
2019-03-25,6.35
2019-03-26,6.35
2019-03-27,6.35
2019-03-28,6.35
2019-03-29,6.35
2019-03-30,6.35
2019-03-31,6.35
2019-04-01,6.35
2019-04-02,6.35
2019-04-03,6.35
2019-04-04,6.35
2019-04-05,6.35
2019-04-06,6.35
2019-04-07,6.35
2019-04-08,6.35
2019-04-09,6.35
2019-04-10,6.35
2019-04-11,6.35
2019-04-12,6.35
2019-04-13,6.35
2019-04-14,6.35
2019-04-15,6.35
2019-04-16,6.35
2019-04-17,6.35
2019-04-18,6.35
2019-04-19,6.35
2019-04-20,6.35
2019-04-21,6.35
2019-04-22,6.35
2019-04-23,6.35
2019-04-24,6.35
2019-04-25,6.35
2019-04-26,6.35
2019-04-27,6.35
2019-04-28,6.35
2019-04-29,6.35
2019-04-30,6.35
2019-05-01,6.35
2019-05-02,6.35
2019-05-03,6.35
2019-05-04,6.35
2019-05-05,6.35
2019-05-06,6.35
2019-05-07,6.35
2019-05-08,6.35
2019-05-09,6.35
2019-05-10,6.35
2019-05-11,6.35
2019-05-12,6.35
2019-05-13,6.35
2019-05-14,6.35
2019-05-15,6.35
2019-05-16,6.35
2019-05-17,6.35
2019-05-18,6.35
2019-05-19,6.35
2019-05-20,6.35
2019-05-21,6.35
2019-05-22,6.35
2019-05-23,6.35
2019-05-24,6.35
2019-05-25,6.35
2019-05-26,6.35
2019-05-27,6.35
2019-05-28,6.35
2019-05-29,6.35
2019-05-30,6.35
2019-05-31,6.35
2019-06-01,6.35
2019-06-02,6.35
2019-06-03,6.35
2019-06-04,6.35
2019-06-05,6.35
2019-06-06,6.35
2019-06-07,6.35
2019-06-08,6.35
2019-06-09,6.35
2019-06-10,6.35
2019-06-11,6.35
2019-06-12,6.35
2019-06-13,6.35
2019-06-14,6.35
2019-06-15,6.35
2019-06-16,6.35
2019-06-17,6.35
2019-06-18,6.35
2019-06-19,6.35
2019-06-20,6.35
2019-06-21,6.35
2019-06-22,6.35
2019-06-23,6.35
2019-06-24,6.35
2019-06-25,6.35
2019-06-26,6.35
2019-06-27,6.35
2019-06-28,6.35
2019-06-29,6.35
2019-06-30,6.35
2019-07-01,6.35
2019-07-02,6.35
2019-07-03,6.35
2019-07-04,6.35
2019-07-05,6.35
2019-07-06,6.35
2019-07-07,6.35
2019-07-08,6.35
2019-07-09,6.35
2019-07-10,6.35
2019-07-11,6.35
2019-07-12,6.35
2019-07-13,6.35
2019-07-14,6.35
2019-07-15,6.35
2019-07-16,6.35
2019-07-17,6.35
2019-07-18,6.35
2019-07-19,6.35
2019-07-20,6.35
2019-07-21,6.35
2019-07-22,6.35
2019-07-23,6.35
2019-07-24,6.35
2019-07-25,6.35
2019-07-26,6.35
2019-07-27,6.35
2019-07-28,6.35
2019-07-29,6.35
2019-07-30,6.35
2019-07-31,6.35
2019-08-01,6.35
2019-08-02,6.35
2019-08-03,6.35
2019-08-04,6.35
2019-08-05,6.35
2019-08-06,6.35
2019-08-07,6.35
2019-08-08,6.35
2019-08-09,6.35
2019-08-10,6.35
2019-08-11,6.35
2019-08-12,6.35
2019-08-13,6.35
2019-08-14,6.35
2019-08-15,6.35
2019-08-16,6.35
2019-08-17,6.35
2019-08-18,6.35
2019-08-19,6.35
2019-08-20,6.35
2019-08-21,6.35
2019-08-22,6.35
2019-08-23,6.35
2019-08-24,6.35
2019-08-25,6.35
