,HDS US Equity
,BEST_EPS_NXT_YR
2019-01-01,3.74
2019-01-02,3.74
2019-01-03,3.74
2019-01-04,3.74
2019-01-05,3.74
2019-01-06,3.74
2019-01-07,3.74
2019-01-08,3.74
2019-01-09,3.74
2019-01-10,3.74
2019-01-11,3.61
2019-01-12,3.61
2019-01-13,3.61
2019-01-14,3.61
2019-01-15,3.61
2019-01-16,3.61
2019-01-17,3.61
2019-01-18,3.61
2019-01-19,3.61
2019-01-20,3.61
2019-01-21,3.61
2019-01-22,3.61
2019-01-23,3.61
2019-01-24,3.61
2019-01-25,3.61
2019-01-26,3.61
2019-01-27,3.61
2019-01-28,3.61
2019-01-29,3.61
2019-01-30,3.61
2019-01-31,3.61
2019-02-01,3.61
2019-02-02,3.61
2019-02-03,3.61
2019-02-04,3.61
2019-02-05,3.61
2019-02-06,3.61
2019-02-07,3.61
2019-02-08,3.61
2019-02-09,3.61
2019-02-10,3.61
2019-02-11,3.61
2019-02-12,3.61
2019-02-13,3.61
2019-02-14,3.61
2019-02-15,3.61
2019-02-16,3.61
2019-02-17,3.61
2019-02-18,3.61
2019-02-19,3.61
2019-02-20,3.61
2019-02-21,3.61
2019-02-22,3.61
2019-02-23,3.61
2019-02-24,3.61
2019-02-25,3.61
2019-02-26,3.61
2019-02-27,3.61
2019-02-28,3.61
2019-03-01,3.61
2019-03-02,3.61
2019-03-03,3.61
2019-03-04,3.61
2019-03-05,3.61
2019-03-06,3.61
2019-03-07,3.61
2019-03-08,3.61
2019-03-09,3.61
2019-03-10,3.61
2019-03-11,3.61
2019-03-12,3.61
2019-03-13,3.61
2019-03-14,3.61
2019-03-15,3.61
2019-03-16,3.61
2019-03-17,3.61
2019-03-18,3.61
2019-03-19,3.595
2019-03-20,3.836
2019-03-21,3.836
2019-03-22,3.842
2019-03-23,3.842
2019-03-24,3.842
2019-03-25,3.842
2019-03-26,3.842
2019-03-27,3.842
2019-03-28,3.842
2019-03-29,3.842
2019-03-30,3.842
2019-03-31,3.842
2019-04-01,3.842
2019-04-02,3.842
2019-04-03,3.842
2019-04-04,3.842
2019-04-05,3.842
2019-04-06,3.842
2019-04-07,3.842
2019-04-08,3.842
2019-04-09,3.842
2019-04-10,3.842
2019-04-11,3.842
2019-04-12,3.842
2019-04-13,3.842
2019-04-14,3.842
2019-04-15,3.868
2019-04-16,3.842
2019-04-17,3.842
2019-04-18,3.842
2019-04-19,3.842
2019-04-20,3.842
2019-04-21,3.842
2019-04-22,3.842
2019-04-23,3.842
2019-04-24,3.842
2019-04-25,3.842
2019-04-26,3.882
2019-04-27,3.882
2019-04-28,3.882
2019-04-29,3.882
2019-04-30,3.882
2019-05-01,3.882
2019-05-02,3.882
2019-05-03,3.882
2019-05-04,3.882
2019-05-05,3.882
2019-05-06,3.882
2019-05-07,3.882
2019-05-08,3.882
2019-05-09,3.882
2019-05-10,3.882
2019-05-11,3.882
2019-05-12,3.882
2019-05-13,3.882
2019-05-14,3.882
2019-05-15,3.882
2019-05-16,3.882
2019-05-17,3.882
2019-05-18,3.882
2019-05-19,3.882
2019-05-20,3.882
2019-05-21,3.882
2019-05-22,3.882
2019-05-23,3.882
2019-05-24,3.882
2019-05-25,3.882
2019-05-26,3.882
2019-05-27,3.882
2019-05-28,3.882
2019-05-29,3.882
2019-05-30,3.882
2019-05-31,3.902
2019-06-01,3.902
2019-06-02,3.902
2019-06-03,3.902
2019-06-04,3.902
2019-06-05,3.905
2019-06-06,3.905
2019-06-07,3.905
2019-06-08,3.905
2019-06-09,3.905
2019-06-10,3.905
2019-06-11,3.85
2019-06-12,3.823
2019-06-13,3.823
2019-06-14,3.823
2019-06-15,3.823
2019-06-16,3.823
2019-06-17,3.823
2019-06-18,3.788
2019-06-19,3.788
2019-06-20,3.788
2019-06-21,3.788
2019-06-22,3.788
2019-06-23,3.788
2019-06-24,3.788
2019-06-25,3.788
2019-06-26,3.788
2019-06-27,3.788
2019-06-28,3.788
2019-06-29,3.788
2019-06-30,3.788
2019-07-01,3.788
2019-07-02,3.788
2019-07-03,3.788
2019-07-04,3.788
2019-07-05,3.788
2019-07-06,3.788
2019-07-07,3.788
2019-07-08,3.788
2019-07-09,3.788
2019-07-10,3.788
2019-07-11,3.788
2019-07-12,3.788
2019-07-13,3.788
2019-07-14,3.58
2019-07-15,3.58
2019-07-16,3.58
2019-07-17,3.58
2019-07-18,3.58
2019-07-19,3.58
2019-07-20,3.58
2019-07-21,3.58
2019-07-22,3.58
2019-07-23,3.535
2019-07-24,3.535
2019-07-25,3.535
2019-07-26,3.535
2019-07-27,3.535
2019-07-28,3.535
2019-07-29,3.535
2019-07-30,3.535
2019-07-31,3.535
2019-08-01,3.535
2019-08-02,3.535
2019-08-03,3.535
2019-08-04,3.535
2019-08-05,3.535
2019-08-06,3.535
2019-08-07,3.535
2019-08-08,3.535
2019-08-09,3.535
2019-08-10,3.535
2019-08-11,3.535
2019-08-12,3.535
2019-08-13,3.535
2019-08-14,3.535
2019-08-15,3.535
2019-08-16,3.535
2019-08-17,3.535
2019-08-18,3.535
2019-08-19,3.535
2019-08-20,3.535
2019-08-21,3.535
2019-08-22,3.535
2019-08-23,3.535
2019-08-24,3.535
2019-08-25,3.535
2019-08-26,3.535
2019-08-27,3.535
2019-08-28,3.558
2019-08-29,3.558
2019-08-30,3.558
2019-08-31,3.558
2019-09-01,3.558
2019-09-02,3.558
2019-09-03,3.558
2019-09-04,3.576
2019-09-05,3.576
2019-09-06,3.558
2019-09-07,3.558
2019-09-08,3.558
2019-09-09,3.558
2019-09-10,3.462
2019-09-11,3.442
2019-09-12,3.468
2019-09-13,3.468
2019-09-14,3.468
2019-09-15,3.468
2019-09-16,3.468
2019-09-17,3.468
2019-09-18,3.468
2019-09-19,3.468
2019-09-20,3.468
2019-09-21,3.468
2019-09-22,3.468
2019-09-23,3.435
2019-09-24,3.435
2019-09-25,3.435
2019-09-26,3.437
2019-09-27,3.404
2019-09-28,3.404
2019-09-29,3.404
2019-09-30,3.404
2019-10-01,3.404
2019-10-02,3.404
2019-10-03,3.404
2019-10-04,3.404
2019-10-05,3.404
2019-10-06,3.404
2019-10-07,3.404
2019-10-08,3.404
2019-10-09,3.404
2019-10-10,3.437
2019-10-11,3.437
2019-10-12,3.437
2019-10-13,3.437
2019-10-14,3.437
2019-10-15,3.437
2019-10-16,3.437
2019-10-17,3.437
2019-10-18,3.437
2019-10-19,3.437
2019-10-20,3.437
2019-10-21,3.437
2019-10-22,3.437
2019-10-23,3.437
2019-10-24,3.437
2019-10-25,3.437
2019-10-26,3.437
2019-10-27,3.437
2019-10-28,3.437
2019-10-29,3.437
2019-10-30,3.437
2019-10-31,3.437
2019-11-01,3.437
2019-11-02,3.437
2019-11-03,3.437
2019-11-04,3.437
2019-11-05,3.437
2019-11-06,3.437
2019-11-07,3.428
2019-11-08,3.42
2019-11-09,3.42
2019-11-10,3.42
2019-11-11,3.42
2019-11-12,3.42
2019-11-13,3.42
2019-11-14,3.42
2019-11-15,3.42
2019-11-16,3.42
2019-11-17,3.42
2019-11-18,3.428
2019-11-19,3.428
2019-11-20,3.428
2019-11-21,3.428
2019-11-22,3.428
2019-11-23,3.428
2019-11-24,3.428
2019-11-25,3.428
2019-11-26,3.428
2019-11-27,3.428
2019-11-28,3.428
2019-11-29,3.428
2019-11-30,3.428
2019-12-01,3.428
2019-12-02,3.428
2019-12-03,3.428
2019-12-04,3.428
2019-12-05,3.441
2019-12-06,3.441
2019-12-07,3.441
2019-12-08,3.441
2019-12-09,3.441
2019-12-10,3.444
2019-12-11,3.421
2019-12-12,3.421
2019-12-13,3.421
2019-12-14,3.421
2019-12-15,3.421
2019-12-16,3.421
2019-12-17,3.421
2019-12-18,3.421
2019-12-19,3.421
2019-12-20,3.427
2019-12-21,3.427
2019-12-22,3.427
2019-12-23,3.427
2019-12-24,3.427
2019-12-25,3.427
2019-12-26,3.427
2019-12-27,3.427
2019-12-28,3.427
2019-12-29,3.427
2019-12-30,3.427
2019-12-31,3.427
2020-01-01,3.427
2020-01-02,3.427
2020-01-03,3.427
2020-01-04,3.427
2020-01-05,3.427
2020-01-06,3.427
2020-01-07,3.427
2020-01-08,3.427
2020-01-09,3.427
2020-01-10,3.427
2020-01-11,3.427
2020-01-12,3.427
2020-01-13,3.427
2020-01-14,3.427
2020-01-15,3.427
2020-01-16,3.427
2020-01-17,3.427
2020-01-18,3.427
2020-01-19,3.427
2020-01-20,3.427
2020-01-21,3.427
2020-01-22,3.427
2020-01-23,3.427
2020-01-24,3.427
2020-01-25,3.427
2020-01-26,3.427
2020-01-27,3.427
2020-01-28,3.427
2020-01-29,3.427
2020-01-30,3.427
2020-01-31,3.427
2020-02-01,3.427
2020-02-02,3.427
2020-02-03,3.427
2020-02-04,3.427
2020-02-05,3.454
2020-02-06,3.454
2020-02-07,3.454
2020-02-08,3.454
2020-02-09,3.454
2020-02-10,3.454
2020-02-11,3.454
2020-02-12,3.454
2020-02-13,3.454
2020-02-14,3.454
2020-02-15,3.454
2020-02-16,3.454
2020-02-17,3.454
2020-02-18,3.454
2020-02-19,3.454
2020-02-20,3.454
2020-02-21,3.454
2020-02-22,3.454
2020-02-23,3.454
2020-02-24,3.454
2020-02-25,3.454
2020-02-26,3.454
2020-02-27,3.454
2020-02-28,3.432
2020-02-29,3.432
2020-03-01,3.415
2020-03-02,3.415
2020-03-03,3.415
2020-03-04,3.415
2020-03-05,3.415
2020-03-06,3.432
2020-03-07,3.432
2020-03-08,3.432
2020-03-09,3.432
2020-03-10,3.432
2020-03-11,3.404
2020-03-12,3.404
2020-03-13,3.404
2020-03-14,3.404
2020-03-15,3.404
2020-03-16,3.393
2020-03-17,3.266
2020-03-18,3.227
2020-03-19,3.228
2020-03-20,3.228
2020-03-21,3.228
2020-03-22,3.228
2020-03-23,3.228
2020-03-24,3.228
2020-03-25,3.173
2020-03-26,3.173
2020-03-27,3.173
2020-03-28,3.173
2020-03-29,3.212
2020-03-30,3.152
2020-03-31,3.069
2020-04-01,3.029
2020-04-02,3.029
2020-04-03,3.0
2020-04-04,3.0
2020-04-05,3.0
2020-04-06,3.0
2020-04-07,3.0
2020-04-08,3.0
2020-04-09,3.0
2020-04-10,3.0
2020-04-11,3.0
2020-04-12,3.0
2020-04-13,3.0
2020-04-14,2.983
2020-04-15,2.983
2020-04-16,2.945
2020-04-17,2.945
2020-04-18,2.945
2020-04-19,2.945
2020-04-20,2.945
2020-04-21,2.945
2020-04-22,2.945
2020-04-23,2.945
2020-04-24,2.945
2020-04-25,2.945
2020-04-26,2.945
2020-04-27,2.945
2020-04-28,2.945
2020-04-29,2.945
2020-04-30,2.945
2020-05-01,2.945
2020-05-02,2.945
2020-05-03,2.935
2020-05-04,2.935
2020-05-05,2.935
2020-05-06,2.935
2020-05-07,2.935
2020-05-08,2.935
2020-05-09,2.935
2020-05-10,2.935
2020-05-11,2.935
2020-05-12,2.935
2020-05-13,2.935
2020-05-14,2.935
2020-05-15,2.905
2020-05-16,2.905
2020-05-17,2.905
2020-05-18,2.905
2020-05-19,2.905
2020-05-20,2.9
2020-05-21,2.87
2020-05-22,2.87
2020-05-23,2.87
2020-05-24,2.87
2020-05-25,2.87
2020-05-26,2.861
2020-05-27,2.861
2020-05-28,2.861
2020-05-29,2.861
2020-05-30,2.861
2020-05-31,2.861
2020-06-01,2.861
2020-06-02,2.859
2020-06-03,2.859
2020-06-04,2.859
2020-06-05,2.859
2020-06-06,2.859
2020-06-07,2.859
2020-06-08,2.851
2020-06-09,2.948
2020-06-10,2.994
2020-06-11,2.994
2020-06-12,2.994
2020-06-13,2.994
2020-06-14,2.994
2020-06-15,2.965
2020-06-16,2.965
2020-06-17,2.965
2020-06-18,2.965
2020-06-19,2.965
2020-06-20,2.965
2020-06-21,2.965
2020-06-22,2.965
2020-06-23,2.951
2020-06-24,2.951
2020-06-25,2.951
2020-06-26,2.951
2020-06-27,2.951
2020-06-28,2.951
2020-06-29,2.951
2020-06-30,2.951
2020-07-01,2.951
2020-07-02,2.951
2020-07-03,2.951
2020-07-04,2.951
2020-07-05,2.951
2020-07-06,2.951
2020-07-07,2.952
2020-07-08,2.952
2020-07-09,2.952
2020-07-10,2.952
2020-07-11,2.952
2020-07-12,2.952
2020-07-13,2.952
2020-07-14,2.952
2020-07-15,2.952
2020-07-16,2.952
2020-07-17,2.952
2020-07-18,2.952
2020-07-19,2.952
2020-07-20,2.975
2020-07-21,2.975
2020-07-22,2.975
2020-07-23,2.975
2020-07-24,2.975
2020-07-25,2.975
2020-07-26,2.975
2020-07-27,2.975
2020-07-28,2.975
2020-07-29,2.975
2020-07-30,2.975
2020-07-31,2.975
2020-08-01,2.975
2020-08-02,2.975
2020-08-03,2.975
2020-08-04,2.975
2020-08-05,2.975
2020-08-06,2.975
2020-08-07,2.975
2020-08-08,2.975
2020-08-09,2.975
2020-08-10,2.975
2020-08-11,2.917
2020-08-12,2.966
2020-08-13,3.014
2020-08-14,3.014
2020-08-15,3.014
2020-08-16,3.014
2020-08-17,3.014
2020-08-18,3.014
2020-08-19,3.014
2020-08-20,3.014
2020-08-21,3.014
2020-08-22,3.014
2020-08-23,3.014
2020-08-24,3.014
2020-08-25,3.042
2020-08-26,3.042
2020-08-27,3.042
2020-08-28,3.042
2020-08-29,3.042
2020-08-30,3.042
2020-08-31,3.042
2020-09-01,3.042
2020-09-02,3.078
2020-09-03,3.078
2020-09-04,3.115
2020-09-05,3.115
2020-09-06,3.115
2020-09-07,3.115
2020-09-08,3.115
2020-09-09,2.378
2020-09-10,2.16
2020-09-11,2.16
2020-09-12,2.142
2020-09-13,2.142
2020-09-14,2.142
2020-09-15,2.142
2020-09-16,2.135
2020-09-17,2.135
2020-09-18,2.135
2020-09-19,2.135
2020-09-20,2.135
2020-09-21,2.135
2020-09-22,2.135
2020-09-23,2.135
2020-09-24,2.135
2020-09-25,1.912
2020-09-26,1.912
2020-09-27,1.912
2020-09-28,1.912
2020-09-29,1.912
2020-09-30,1.912
2020-10-01,1.912
2020-10-02,1.912
2020-10-03,1.912
2020-10-04,1.912
2020-10-05,1.919
2020-10-06,1.919
2020-10-07,1.919
2020-10-08,1.919
2020-10-09,1.919
2020-10-10,1.919
2020-10-11,1.919
2020-10-12,1.919
2020-10-13,1.919
2020-10-14,1.919
2020-10-15,1.919
2020-10-16,1.919
2020-10-17,1.919
2020-10-18,1.919
2020-10-19,1.919
2020-10-20,1.919
2020-10-21,1.91
2020-10-22,1.91
2020-10-23,1.91
2020-10-24,1.91
2020-10-25,1.91
2020-10-26,1.91
2020-10-27,1.91
2020-10-28,1.91
2020-10-29,1.91
2020-10-30,1.91
2020-10-31,1.91
2020-11-01,1.91
2020-11-02,1.91
2020-11-03,1.91
2020-11-04,1.91
2020-11-05,1.91
2020-11-06,1.91
2020-11-07,1.91
2020-11-08,1.91
2020-11-09,1.887
2020-11-10,1.887
2020-11-11,1.887
2020-11-12,1.873
2020-11-13,1.873
2020-11-14,1.873
2020-11-15,1.873
2020-11-16,1.906
2020-11-17,1.956
2020-11-18,1.956
2020-11-19,1.956
2020-11-20,1.956
2020-11-21,1.956
2020-11-22,1.956
2020-11-23,1.956
2020-11-24,1.956
2020-11-25,1.956
2020-11-26,1.956
2020-11-27,1.956
2020-11-28,1.956
2020-11-29,1.956
2020-11-30,1.956
2020-12-01,1.956
2020-12-02,1.956
2020-12-03,1.956
2020-12-04,1.994
2020-12-05,1.994
2020-12-06,1.994
2020-12-07,1.986
2020-12-08,1.99
2020-12-09,1.975
2020-12-10,1.975
2020-12-11,1.975
2020-12-12,1.975
2020-12-13,1.975
2020-12-14,1.975
2020-12-15,1.975
2020-12-16,1.975
2020-12-17,1.975
2020-12-18,1.975
2020-12-19,1.975
2020-12-20,1.975
2020-12-21,1.975
2020-12-22,1.975
2020-12-23,1.975
2020-12-24,1.995
2020-12-25,1.995
2020-12-26,1.995
2020-12-27,1.995
2020-12-28,1.932
2020-12-29,1.932
2020-12-30,1.932
2020-12-31,1.96
2021-01-01,1.96
2021-01-02,1.96
2021-01-03,1.96
2021-01-04,1.96
2021-01-05,1.96
2021-01-06,1.96
2021-01-07,1.96
2021-01-08,1.96
2021-01-09,1.96
2021-01-10,1.96
2021-01-11,1.96
2021-01-12,1.96
2021-01-13,1.96
2021-01-14,1.96
2021-01-15,1.96
2021-01-16,1.96
2021-01-17,1.96
2021-01-18,1.96
2021-01-19,1.96
2021-01-20,1.96
2021-01-21,1.96
2021-01-22,1.96
2021-01-23,1.96
2021-01-24,1.96
2021-01-25,1.96
2021-01-26,1.96
2021-01-27,1.96
2021-01-28,1.96
2021-01-29,1.96
2021-01-30,1.96
2021-01-31,1.96
2021-02-01,1.96
2021-02-02,1.96
2021-02-03,1.96
2021-02-04,1.96
2021-02-05,1.96
2021-02-06,1.96
2021-02-07,1.96
2021-02-08,1.96
2021-02-09,1.96
2021-02-10,1.96
2021-02-11,1.96
2021-02-12,1.96
2021-02-13,1.96
2021-02-14,1.96
2021-02-15,1.96
2021-02-16,1.96
2021-02-17,1.96
2021-02-18,1.96
2021-02-19,1.96
2021-02-20,1.96
2021-02-21,1.96
2021-02-22,1.96
2021-02-23,1.96
2021-02-24,1.96
2021-02-25,1.96
2021-02-26,1.96
2021-02-27,1.96
2021-02-28,1.96
2021-03-01,1.96
2021-03-02,1.96
2021-03-03,1.96
2021-03-04,1.96
2021-03-05,1.96
2021-03-06,1.96
2021-03-07,1.96
2021-03-08,1.96
2021-03-09,1.96
2021-03-10,1.96
2021-03-11,1.96
2021-03-12,1.96
2021-03-13,1.96
2021-03-14,1.96
2021-03-15,1.96
2021-03-16,1.96
2021-03-17,1.96
2021-03-18,1.96
2021-03-19,1.96
2021-03-20,1.96
2021-03-21,1.96
2021-03-22,1.96
2021-03-23,1.96
2021-03-24,1.96
2021-03-25,1.96
2021-03-26,1.96
2021-03-27,1.96
2021-03-28,1.96
2021-03-29,1.96
2021-03-30,1.96
2021-03-31,1.96
2021-04-01,1.96
2021-04-02,1.96
2021-04-03,1.96
2021-04-04,1.96
2021-04-05,1.96
2021-04-06,1.96
2021-04-07,1.96
2021-04-08,1.96
2021-04-09,1.96
2021-04-10,1.96
2021-04-11,1.96
2021-04-12,1.96
2021-04-13,1.96
2021-04-14,1.96
2021-04-15,1.96
2021-04-16,1.96
2021-04-17,1.96
2021-04-18,1.96
2021-04-19,1.96
2021-04-20,1.96
2021-04-21,1.96
2021-04-22,1.96
2021-04-23,1.96
2021-04-24,1.96
2021-04-25,1.96
2021-04-26,1.96
2021-04-27,1.96
2021-04-28,1.96
2021-04-29,1.96
2021-04-30,1.96
2021-05-01,1.96
2021-05-02,1.96
2021-05-03,1.96
2021-05-04,1.96
2021-05-05,1.96
2021-05-06,1.96
2021-05-07,1.96
2021-05-08,1.96
2021-05-09,1.96
2021-05-10,1.96
2021-05-11,1.96
2021-05-12,1.96
2021-05-13,1.96
2021-05-14,1.96
2021-05-15,1.96
2021-05-16,1.96
2021-05-17,1.96
2021-05-18,1.96
2021-05-19,1.96
2021-05-20,1.96
2021-05-21,1.96
2021-05-22,1.96
2021-05-23,1.96
2021-05-24,1.96
2021-05-25,1.96
2021-05-26,1.96
2021-05-27,1.96
2021-05-28,1.96
2021-05-29,1.96
2021-05-30,1.96
2021-05-31,1.96
2021-06-01,1.96
2021-06-02,1.96
2021-06-03,1.96
2021-06-04,1.96
2021-06-05,1.96
2021-06-06,1.96
2021-06-07,1.96
2021-06-08,1.96
2021-06-09,1.96
2021-06-10,1.96
2021-06-11,1.96
2021-06-12,1.96
2021-06-13,1.96
2021-06-14,1.96
2021-06-15,1.96
2021-06-16,1.96
2021-06-17,1.96
2021-06-18,1.96
2021-06-19,1.96
2021-06-20,1.96
2021-06-21,1.96
2021-06-22,1.96
2021-06-23,1.96
2021-06-24,1.96
2021-06-25,1.96
2021-06-26,1.96
2021-06-27,1.96
2021-06-28,1.96
2021-06-29,1.96
2021-06-30,1.96
2021-07-01,1.96
2021-07-02,1.96
2021-07-03,1.96
2021-07-04,1.96
2021-07-05,1.96
2021-07-06,1.96
2021-07-07,1.96
2021-07-08,1.96
2021-07-09,1.96
2021-07-10,1.96
2021-07-11,1.96
2021-07-12,1.96
2021-07-13,1.96
2021-07-14,1.96
2021-07-15,1.96
2021-07-16,1.96
2021-07-17,1.96
2021-07-18,1.96
2021-07-19,1.96
2021-07-20,1.96
2021-07-21,1.96
2021-07-22,1.96
2021-07-23,1.96
2021-07-24,1.96
2021-07-25,1.96
2021-07-26,1.96
2021-07-27,1.96
2021-07-28,1.96
2021-07-29,1.96
2021-07-30,1.96
2021-07-31,1.96
2021-08-01,1.96
2021-08-02,1.96
2021-08-03,1.96
2021-08-04,1.96
2021-08-05,1.96
2021-08-06,1.96
2021-08-07,1.96
2021-08-08,1.96
2021-08-09,1.96
2021-08-10,1.96
2021-08-11,1.96
2021-08-12,1.96
2021-08-13,1.96
2021-08-14,1.96
2021-08-15,1.96
2021-08-16,1.96
2021-08-17,1.96
2021-08-18,1.96
2021-08-19,1.96
2021-08-20,1.96
2021-08-21,1.96
2021-08-22,1.96
2021-08-23,1.96
2021-08-24,1.96
2021-08-25,1.96
2021-08-26,1.96
2021-08-27,1.96
2021-08-28,1.96
2021-08-29,1.96
2021-08-30,1.96
2021-08-31,1.96
2021-09-01,1.96
2021-09-02,1.96
2021-09-03,1.96
2021-09-04,1.96
2021-09-05,1.96
2021-09-06,1.96
2021-09-07,1.96
2021-09-08,1.96
2021-09-09,1.96
2021-09-10,1.96
2021-09-11,1.96
2021-09-12,1.96
2021-09-13,1.96
2021-09-14,1.96
2021-09-15,1.96
2021-09-16,1.96
2021-09-17,1.96
2021-09-18,1.96
2021-09-19,1.96
2021-09-20,1.96
2021-09-21,1.96
2021-09-22,1.96
2021-09-23,1.96
2021-09-24,1.96
2021-09-25,1.96
2021-09-26,1.96
2021-09-27,1.96
2021-09-28,1.96
2021-09-29,1.96
2021-09-30,1.96
2021-10-01,1.96
2021-10-02,1.96
2021-10-03,1.96
2021-10-04,1.96
2021-10-05,1.96
2021-10-06,1.96
2021-10-07,1.96
2021-10-08,1.96
2021-10-09,1.96
2021-10-10,1.96
2021-10-11,1.96
2021-10-12,1.96
2021-10-13,1.96
2021-10-14,1.96
2021-10-15,1.96
2021-10-16,1.96
2021-10-17,1.96
