,BKNG US Equity
,BEST_EPS_NXT_YR
2019-01-01,231.41
2019-01-02,231.41
2019-01-03,231.41
2019-01-04,231.41
2019-01-05,231.41
2019-01-06,231.41
2019-01-07,231.41
2019-01-08,231.41
2019-01-09,231.41
2019-01-10,231.41
2019-01-11,231.41
2019-01-12,231.41
2019-01-13,231.41
2019-01-14,231.41
2019-01-15,231.41
2019-01-16,231.41
2019-01-17,231.41
2019-01-18,231.41
2019-01-19,231.41
2019-01-20,231.41
2019-01-21,231.41
2019-01-22,231.41
2019-01-23,231.41
2019-01-24,231.41
2019-01-25,231.41
2019-01-26,231.41
2019-01-27,231.41
2019-01-28,231.41
2019-01-29,231.41
2019-01-30,231.41
2019-01-31,231.41
2019-02-01,231.41
2019-02-02,231.41
2019-02-03,231.41
2019-02-04,231.41
2019-02-05,231.41
2019-02-06,231.41
2019-02-07,231.41
2019-02-08,231.41
2019-02-09,231.41
2019-02-10,231.41
2019-02-11,231.41
2019-02-12,231.41
2019-02-13,231.41
2019-02-14,231.41
2019-02-15,231.41
2019-02-16,231.41
2019-02-17,231.41
2019-02-18,231.41
2019-02-19,231.41
2019-02-20,231.41
2019-02-21,231.41
2019-02-22,231.41
2019-02-23,231.41
2019-02-24,231.41
2019-02-25,231.41
2019-02-26,231.41
2019-02-27,231.41
2019-02-28,231.41
2019-03-01,231.41
2019-03-02,231.41
2019-03-03,231.41
2019-03-04,231.41
2019-03-05,231.41
2019-03-06,231.41
2019-03-07,231.41
2019-03-08,231.41
2019-03-09,231.41
2019-03-10,231.41
2019-03-11,231.41
2019-03-12,231.41
2019-03-13,231.41
2019-03-14,231.41
2019-03-15,231.41
2019-03-16,231.41
2019-03-17,231.41
2019-03-18,231.41
2019-03-19,231.41
2019-03-20,231.41
2019-03-21,231.41
2019-03-22,231.41
2019-03-23,231.41
2019-03-24,231.41
2019-03-25,231.41
2019-03-26,231.41
2019-03-27,231.41
2019-03-28,231.41
2019-03-29,231.41
2019-03-30,231.41
2019-03-31,231.41
2019-04-01,231.41
2019-04-02,231.41
2019-04-03,231.41
2019-04-04,231.41
2019-04-05,231.41
2019-04-06,231.41
