,CAT US Equity
,BEST_EPS_NXT_YR
2019-01-01,25.09
2019-01-02,25.09
2019-01-03,25.09
2019-01-04,25.09
2019-01-05,25.09
2019-01-06,25.09
2019-01-07,25.09
2019-01-08,25.09
2019-01-09,25.09
2019-01-10,25.09
2019-01-11,25.09
2019-01-12,25.09
2019-01-13,25.09
2019-01-14,25.09
2019-01-15,25.09
2019-01-16,25.09
2019-01-17,25.09
2019-01-18,25.09
2019-01-19,25.09
2019-01-20,25.09
2019-01-21,25.09
2019-01-22,25.09
2019-01-23,25.09
2019-01-24,25.09
2019-01-25,25.09
2019-01-26,25.09
2019-01-27,25.09
2019-01-28,25.09
2019-01-29,25.09
2019-01-30,25.09
2019-01-31,25.09
2019-02-01,25.09
2019-02-02,25.09
2019-02-03,25.09
2019-02-04,25.09
2019-02-05,25.09
2019-02-06,25.09
2019-02-07,25.09
2019-02-08,25.09
2019-02-09,25.09
2019-02-10,25.09
2019-02-11,25.09
2019-02-12,25.09
2019-02-13,25.09
2019-02-14,25.09
2019-02-15,25.09
2019-02-16,25.09
2019-02-17,25.09
2019-02-18,25.09
2019-02-19,25.09
2019-02-20,25.09
2019-02-21,25.09
2019-02-22,25.09
2019-02-23,25.09
2019-02-24,25.09
2019-02-25,25.09
2019-02-26,25.09
2019-02-27,25.09
2019-02-28,25.09
2019-03-01,25.09
2019-03-02,25.09
2019-03-03,25.09
2019-03-04,25.09
2019-03-05,25.09
2019-03-06,25.09
2019-03-07,25.09
2019-03-08,25.09
2019-03-09,25.09
2019-03-10,25.09
2019-03-11,25.09
2019-03-12,25.09
2019-03-13,25.09
2019-03-14,25.09
2019-03-15,25.09
2019-03-16,25.09
2019-03-17,25.09
2019-03-18,25.09
2019-03-19,25.09
2019-03-20,25.09
2019-03-21,25.09
2019-03-22,25.09
2019-03-23,25.09
2019-03-24,25.09
2019-03-25,25.09
2019-03-26,25.09
2019-03-27,25.09
2019-03-28,25.09
2019-03-29,25.09
2019-03-30,25.09
2019-03-31,25.09
2019-04-01,25.09
2019-04-02,25.09
2019-04-03,25.09
2019-04-04,25.09
2019-04-05,25.09
2019-04-06,25.09
2019-04-07,25.09
2019-04-08,25.09
2019-04-09,25.09
2019-04-10,25.09
2019-04-11,25.09
2019-04-12,25.09
2019-04-13,25.09
2019-04-14,25.09
2019-04-15,25.09
2019-04-16,25.09
2019-04-17,25.09
2019-04-18,25.09
2019-04-19,25.09
2019-04-20,25.09
2019-04-21,25.09
2019-04-22,25.09
2019-04-23,25.09
2019-04-24,25.09
2019-04-25,25.09
2019-04-26,25.09
2019-04-27,25.09
2019-04-28,25.09
2019-04-29,25.09
2019-04-30,25.09
2019-05-01,25.09
2019-05-02,25.09
2019-05-03,25.09
2019-05-04,25.09
2019-05-05,25.09
2019-05-06,25.09
2019-05-07,25.09
2019-05-08,25.09
2019-05-09,25.09
2019-05-10,25.09
2019-05-11,25.09
2019-05-12,25.09
2019-05-13,25.09
2019-05-14,25.09
2019-05-15,25.09
2019-05-16,25.09
2019-05-17,25.09
2019-05-18,25.09
2019-05-19,25.09
2019-05-20,25.09
2019-05-21,25.09
2019-05-22,25.09
2019-05-23,25.09
2019-05-24,25.09
2019-05-25,25.09
2019-05-26,25.09
2019-05-27,25.09
2019-05-28,25.09
2019-05-29,25.09
2019-05-30,25.09
2019-05-31,25.09
2019-06-01,25.09
2019-06-02,25.09
2019-06-03,25.09
2019-06-04,25.09
2019-06-05,25.09
2019-06-06,25.09
2019-06-07,25.09
2019-06-08,25.09
2019-06-09,25.09
2019-06-10,25.09
2019-06-11,25.09
2019-06-12,25.09
2019-06-13,25.09
2019-06-14,25.09
2019-06-15,25.09
2019-06-16,25.09
2019-06-17,25.09
2019-06-18,25.09
2019-06-19,25.09
2019-06-20,25.09
2019-06-21,25.09
2019-06-22,25.09
2019-06-23,25.09
2019-06-24,25.09
2019-06-25,25.09
2019-06-26,25.09
2019-06-27,25.09
2019-06-28,25.09
2019-06-29,25.09
2019-06-30,25.09
