,OEC US Equity
,BEST_EPS_NXT_YR
2019-01-01,4.0
2019-01-02,4.0
2019-01-03,4.0
2019-01-04,4.0
2019-01-05,4.0
2019-01-06,4.0
2019-01-07,4.0
2019-01-08,4.0
2019-01-09,4.0
2019-01-10,4.0
2019-01-11,4.0
2019-01-12,4.0
2019-01-13,4.0
2019-01-14,4.0
2019-01-15,4.0
2019-01-16,4.0
2019-01-17,4.0
2019-01-18,4.0
2019-01-19,4.0
2019-01-20,4.0
2019-01-21,4.0
2019-01-22,4.0
2019-01-23,4.0
2019-01-24,4.0
2019-01-25,4.0
2019-01-26,4.0
2019-01-27,4.0
2019-01-28,4.0
2019-01-29,4.0
2019-01-30,4.0
2019-01-31,4.0
2019-02-01,4.0
2019-02-02,4.0
2019-02-03,4.0
2019-02-04,4.0
2019-02-05,4.0
2019-02-06,4.0
2019-02-07,4.0
2019-02-08,4.0
2019-02-09,4.0
2019-02-10,4.0
2019-02-11,4.0
2019-02-12,4.0
2019-02-13,4.0
2019-02-14,4.0
2019-02-15,4.0
2019-02-16,4.0
2019-02-17,4.0
2019-02-18,4.0
2019-02-19,4.0
2019-02-20,4.0
2019-02-21,4.0
2019-02-22,4.0
2019-02-23,4.0
2019-02-24,4.0
2019-02-25,4.0
2019-02-26,4.0
2019-02-27,4.0
2019-02-28,4.0
2019-03-01,4.0
2019-03-02,4.0
2019-03-03,4.0
2019-03-04,4.0
2019-03-05,4.0
2019-03-06,4.0
2019-03-07,4.0
2019-03-08,4.0
2019-03-09,4.0
2019-03-10,4.0
2019-03-11,4.0
2019-03-12,4.0
2019-03-13,4.0
2019-03-14,4.0
2019-03-15,4.0
2019-03-16,4.0
2019-03-17,4.0
2019-03-18,4.0
2019-03-19,4.0
2019-03-20,4.0
2019-03-21,4.0
2019-03-22,4.0
2019-03-23,4.0
2019-03-24,4.0
2019-03-25,4.0
2019-03-26,4.0
2019-03-27,4.0
2019-03-28,3.55
2019-03-29,3.55
2019-03-30,3.55
2019-03-31,3.55
2019-04-01,3.55
2019-04-02,3.55
2019-04-03,3.55
2019-04-04,3.55
2019-04-05,3.55
2019-04-06,3.55
2019-04-07,3.55
2019-04-08,3.55
2019-04-09,3.55
2019-04-10,3.55
2019-04-11,3.55
2019-04-12,3.55
2019-04-13,3.55
2019-04-14,3.55
2019-04-15,3.55
2019-04-16,3.55
2019-04-17,3.55
2019-04-18,3.55
2019-04-19,3.55
2019-04-20,3.55
2019-04-21,3.55
2019-04-22,3.55
2019-04-23,3.55
2019-04-24,3.55
2019-04-25,3.55
2019-04-26,3.55
2019-04-27,3.55
2019-04-28,3.55
2019-04-29,3.55
2019-04-30,3.55
2019-05-01,3.55
2019-05-02,3.55
2019-05-03,3.55
2019-05-04,3.55
2019-05-05,3.55
2019-05-06,3.55
2019-05-07,3.55
2019-05-08,3.55
2019-05-09,3.55
2019-05-10,3.55
2019-05-11,3.55
2019-05-12,3.55
2019-05-13,3.45
2019-05-14,3.45
2019-05-15,3.45
2019-05-16,3.45
2019-05-17,3.45
2019-05-18,3.45
2019-05-19,3.45
2019-05-20,3.45
2019-05-21,3.45
2019-05-22,3.45
2019-05-23,3.45
2019-05-24,3.45
2019-05-25,3.45
2019-05-26,3.45
2019-05-27,3.45
2019-05-28,3.45
2019-05-29,3.45
2019-05-30,3.45
2019-05-31,3.45
2019-06-01,3.45
2019-06-02,3.45
2019-06-03,3.45
2019-06-04,3.45
2019-06-05,3.45
2019-06-06,3.45
2019-06-07,3.45
2019-06-08,3.45
2019-06-09,3.45
2019-06-10,3.45
2019-06-11,3.45
2019-06-12,3.45
2019-06-13,3.45
2019-06-14,3.45
2019-06-15,3.45
2019-06-16,3.45
2019-06-17,3.45
2019-06-18,3.45
2019-06-19,3.45
2019-06-20,3.45
2019-06-21,3.45
2019-06-22,3.45
2019-06-23,3.45
2019-06-24,3.45
2019-06-25,3.45
2019-06-26,3.45
2019-06-27,3.45
2019-06-28,3.45
2019-06-29,3.45
2019-06-30,3.45
2019-07-01,3.45
2019-07-02,3.45
2019-07-03,3.45
2019-07-04,3.45
2019-07-05,3.45
2019-07-06,3.45
2019-07-07,3.45
2019-07-08,3.45
2019-07-09,3.45
2019-07-10,3.45
2019-07-11,3.45
2019-07-12,3.45
2019-07-13,3.45
2019-07-14,3.45
2019-07-15,3.45
2019-07-16,3.45
2019-07-17,3.45
2019-07-18,3.45
2019-07-19,3.45
2019-07-20,3.45
2019-07-21,3.45
2019-07-22,3.45
2019-07-23,3.45
2019-07-24,3.45
2019-07-25,3.45
2019-07-26,3.45
2019-07-27,3.45
2019-07-28,3.45
