,BMY US Equity
,BEST_EPS_NXT_YR
2019-01-01,5.385
2019-01-02,5.385
2019-01-03,5.343
2019-01-04,5.343
2019-01-05,5.343
2019-01-06,5.343
2019-01-07,5.343
2019-01-08,5.343
2019-01-09,5.343
2019-01-10,5.343
2019-01-11,5.343
2019-01-12,5.343
2019-01-13,5.343
2019-01-14,5.343
2019-01-15,5.343
2019-01-16,5.343
2019-01-17,5.343
2019-01-18,5.343
2019-01-19,5.343
2019-01-20,5.343
2019-01-21,5.343
2019-01-22,5.343
2019-01-23,5.178
2019-01-24,5.208
2019-01-25,5.138
2019-01-26,5.138
2019-01-27,5.138
2019-01-28,5.138
2019-01-29,5.138
2019-01-30,5.138
2019-01-31,5.138
2019-02-01,5.138
2019-02-02,5.138
2019-02-03,5.138
2019-02-04,5.138
2019-02-05,5.138
2019-02-06,5.138
2019-02-07,5.138
2019-02-08,5.138
2019-02-09,5.138
2019-02-10,5.138
2019-02-11,5.138
2019-02-12,5.138
2019-02-13,5.138
2019-02-14,5.138
2019-02-15,5.138
2019-02-16,5.138
2019-02-17,5.138
2019-02-18,5.138
2019-02-19,5.058
2019-02-20,5.058
2019-02-21,5.058
2019-02-22,5.058
2019-02-23,5.058
2019-02-24,5.058
2019-02-25,5.058
2019-02-26,5.058
2019-02-27,5.058
2019-02-28,5.684
2019-03-01,5.684
2019-03-02,5.684
2019-03-03,5.684
2019-03-04,5.684
2019-03-05,5.684
2019-03-06,5.684
2019-03-07,5.684
2019-03-08,5.684
2019-03-09,5.684
2019-03-10,5.684
2019-03-11,5.702
2019-03-12,5.702
2019-03-13,5.702
2019-03-14,5.702
2019-03-15,5.702
2019-03-16,5.702
2019-03-17,5.702
2019-03-18,5.702
2019-03-19,5.702
2019-03-20,5.678
2019-03-21,5.678
2019-03-22,5.678
2019-03-23,5.678
2019-03-24,5.678
2019-03-25,5.678
2019-03-26,5.678
2019-03-27,5.678
2019-03-28,5.678
2019-03-29,5.678
2019-03-30,5.678
2019-03-31,5.678
2019-04-01,5.678
2019-04-02,5.678
2019-04-03,5.678
2019-04-04,5.678
2019-04-05,5.678
2019-04-06,5.678
2019-04-07,5.678
2019-04-08,5.678
2019-04-09,5.678
2019-04-10,5.678
2019-04-11,5.68
2019-04-12,5.684
2019-04-13,5.684
2019-04-14,5.684
2019-04-15,5.684
2019-04-16,5.72
2019-04-17,5.762
2019-04-18,5.762
2019-04-19,5.762
2019-04-20,5.762
2019-04-21,5.762
2019-04-22,5.762
2019-04-23,5.762
2019-04-24,5.762
2019-04-25,5.113
2019-04-26,5.225
2019-04-27,5.225
2019-04-28,5.225
2019-04-29,5.225
2019-04-30,5.225
2019-05-01,5.225
2019-05-02,5.225
2019-05-03,5.225
2019-05-04,5.225
2019-05-05,5.225
2019-05-06,5.225
2019-05-07,5.225
2019-05-08,5.225
2019-05-09,5.225
2019-05-10,5.225
2019-05-11,5.225
2019-05-12,5.225
2019-05-13,5.225
2019-05-14,5.225
2019-05-15,5.225
2019-05-16,5.225
2019-05-17,4.913
2019-05-18,4.913
2019-05-19,4.913
2019-05-20,4.913
