,CIE SM Equity,CIE SM Equity,CIE SM Equity,CIE SM Equity,CIE SM Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,2.1483,2.1706,2.1131,2.1419,197691.0
2010-01-02,2.1483,2.1706,2.1131,2.1419,197691.0
2010-01-03,2.1483,2.1706,2.1131,2.1419,197691.0
2010-01-04,2.2344,2.2344,2.1483,2.1546,31114.0
2010-01-05,2.2344,2.2344,2.1514,2.1706,184039.0
2010-01-06,2.1514,2.1514,2.1163,2.1163,1392.0
2010-01-07,2.1993,2.1993,2.1578,2.1578,13935.0
2010-01-08,2.2153,2.2217,2.1355,2.1993,27709.0
2010-01-09,2.2153,2.2217,2.1355,2.1993,27709.0
2010-01-10,2.2153,2.2217,2.1355,2.1993,27709.0
2010-01-11,2.1961,2.1961,2.1738,2.1866,26498.0
2010-01-12,2.1834,2.1834,2.1706,2.177,13642.0
2010-01-13,2.1834,2.2344,2.1451,2.1451,41647.0
2010-01-14,2.1706,2.2025,2.1451,2.1451,110238.0
2010-01-15,2.2025,2.2025,2.2025,2.2025,2900.0
2010-01-16,2.2025,2.2025,2.2025,2.2025,2900.0
2010-01-17,2.2025,2.2025,2.2025,2.2025,2900.0
2010-01-18,2.2025,2.2025,2.1419,2.1802,12900.0
2010-01-19,2.1514,2.1706,2.1131,2.1387,34514.0
2010-01-20,2.2025,2.2025,2.1451,2.1451,26554.0
2010-01-21,2.1546,2.1706,2.1259,2.1259,34261.0
2010-01-22,2.1291,2.1674,2.0844,2.0844,27134.0
2010-01-23,2.1291,2.1674,2.0844,2.0844,27134.0
2010-01-24,2.1291,2.1674,2.0844,2.0844,27134.0
2010-01-25,2.1674,2.1674,2.1387,2.1514,10588.0
2010-01-26,2.1355,2.1451,2.0812,2.1451,24718.0
2010-01-27,2.1099,2.1099,2.1099,2.1099,767.0
2010-01-28,2.1099,2.1387,2.1068,2.1068,38638.0
2010-01-29,2.1099,2.1099,2.0812,2.0972,21508.0
2010-01-30,2.1099,2.1099,2.0812,2.0972,21508.0
2010-01-31,2.1099,2.1099,2.0812,2.0972,21508.0
